"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume","ADI.Adjusted"
"1",55.189999,56.040001,55.139999,55.790001,2720900,54.314965
"2",55.139999,56.02,55.139999,55.630001,2147200,54.159196
"3",55.619999,55.900002,55.27,55.439999,1534200,53.974217
"4",55.540001,55.98,55.290001,55.619999,1649700,54.149458
"5",55.490002,55.82,55.16,55.5,1882700,54.032632
"6",55.330002,55.919998,55.299999,55.700001,1251900,54.227345
"7",55.639999,55.700001,54.799999,55.130001,1751800,53.672415
"8",55.27,55.27,54.48,54.93,1853500,53.477702
"9",55,55,54.48,54.689999,3092400,53.244046
"10",54.77,54.959999,54.450001,54.52,894000,53.078542
"11",54.52,54.689999,53.779999,53.869999,1113900,52.445726
"12",53.82,54.049999,53.450001,53.75,1757900,52.3289
"13",53.66,53.759998,53.07,53.549999,1481600,52.134187
"14",53.82,53.880001,53.279999,53.5,1485500,52.08551
"15",53.650002,54.139999,53.490002,54.07,2167000,52.640439
"16",53.77,54.66,53.73,54.52,2201400,53.078542
"17",54.389999,54.720001,54.18,54.41,1740400,52.97145
"18",54.419998,54.84,54.259998,54.830002,711200,53.380348
"19",54.59,54.93,54.5,54.66,1197900,53.21484
"20",54.68,54.91,54.25,54.450001,1645600,53.010393
"21",54.48,54.869999,53.490002,54.740002,1200300,53.292727
"22",54.110001,54.669998,53.830002,54.400002,982600,52.961716
"23",54.459999,54.459999,54.009998,54.290001,933900,52.854624
"24",54.759998,54.93,53.759998,53.849998,2179400,52.426255
"25",53.77,54.200001,53.450001,53.73,1900200,52.309428
"26",53.830002,54.060001,53.509998,53.669998,1787400,52.251013
"27",53.389999,53.540001,52.93,52.939999,1369700,51.540314
"28",53.040001,53.689999,52.939999,53.48,1173100,52.066038
"29",53.349998,53.75,53.110001,53.459999,977900,52.046566
"30",53.599998,53.869999,53.560001,53.75,1165800,52.3289
"31",53.400002,53.400002,51.209999,51.279999,3931100,49.924203
"32",51.360001,51.639999,50.810001,51.299999,2517500,49.943675
"33",51.009998,51.049999,50,50.16,3059800,48.833816
"34",50.16,50.720001,49.66,50.549999,2407900,49.213504
"35",50.5,51.18,50.459999,50.52,1508500,49.184299
"36",50.82,51.130001,50.57,50.860001,1887200,49.515309
"37",50.400002,50.830002,49.619999,49.630001,1888300,48.31783
"38",49.610001,50.18,49.470001,50.009998,1698900,48.68778
"39",50,50.110001,49.380001,49.689999,1851700,48.376241
"40",49.610001,49.970001,49.279999,49.650002,1752800,48.337302
"41",49.580002,50.189999,49.360001,50.049999,2074300,48.726724
"42",50.18,50.299999,48.860001,48.93,2243300,47.636337
"43",49.060001,49.619999,48.810001,49.540001,2026000,48.230209
"44",49.810001,50.299999,49.57,49.93,1137800,48.609897
"45",49.75,50.220001,49.639999,50.18,1192700,48.853288
"46",50.16,50.66,50.080002,50.529999,1754000,49.194033
"47",50.419998,50.900002,50.400002,50.740002,1566900,49.398483
"48",51.189999,51.619999,50.75,51.18,1930700,49.826849
"49",51.220001,51.509998,51.080002,51.34,1016600,49.982618
"50",51.450001,51.919998,51.290001,51.720001,1105700,50.352572
"51",51.52,52.290001,51.52,52.169998,1357400,50.790672
"52",52.029999,52.580002,51.759998,52.540001,1181600,51.150892
"53",52.669998,52.790001,52.34,52.5,900100,51.111949
"54",52.75,52.950001,51.849998,51.93,1902700,50.557019
"55",52,52.34,51.759998,52.209999,2658900,50.829615
"56",51.650002,52.110001,49.990002,51.029999,4754300,49.680813
"57",50.950001,51.41,50.709999,51.290001,2094900,49.933941
"58",51.669998,51.700001,50.91,51.119999,1631500,49.768434
"59",51.099998,51.349998,50.400002,50.619999,2045500,49.281653
"60",50.389999,50.799999,50.09,50.25,1931600,49.281655
"61",50.25,50.669998,50.25,50.41,1435400,49.438572
"62",50.400002,50.779999,50.130001,50.220001,1893500,49.252235
