"","CBG.Open","CBG.High","CBG.Low","CBG.Close","CBG.Volume","CBG.Adjusted"
"1",30.33,30.5,30.209999,30.42,1538700,30.42
"2",30.360001,30.379999,30.01,30.26,1289900,30.26
"3",30.219999,30.280001,29.84,29.98,1395600,29.98
"4",30.059999,30.639999,29.99,30.540001,1707700,30.540001
"5",30.51,30.51,30.24,30.459999,1604400,30.459999
"6",30.35,30.559999,30.219999,30.49,1437300,30.49
"7",30.469999,30.559999,30.09,30.48,1440800,30.48
"8",30.6,30.68,30.370001,30.610001,1093500,30.610001
"9",30.65,31.059999,30.49,31.040001,2439000,31.040001
"10",31.09,31.52,31.01,31.469999,2395500,31.469999
"11",31.5,31.73,31.35,31.49,3234000,31.49
"12",31.35,31.82,31.32,31.799999,1911400,31.799999
"13",31.690001,31.82,31.5,31.809999,1785300,31.809999
"14",31.700001,32.029999,31.700001,31.99,4468000,31.99
"15",31.91,32.060001,31.610001,32.040001,2701500,32.040001
"16",32.040001,32.389999,31.809999,32.049999,2410500,32.049999
"17",31.950001,32.310001,31.950001,32.310001,1448100,32.310001
"18",32.380001,32.380001,32.07,32.330002,923500,32.330002
"19",32.189999,32.290001,31.92,31.93,2057200,31.93
"20",31.93,32.029999,31.67,31.98,1334300,31.98
"21",31.98,32.580002,31.92,32.509998,2470800,32.509998
"22",32.220001,32.740002,32.200001,32.630001,1221000,32.630001
"23",32.57,32.700001,32.450001,32.549999,1461600,32.549999
"24",32.720001,32.919998,32.549999,32.91,2197900,32.91
"25",32.98,33.060001,32.560001,32.82,1830700,32.82
"26",32.900002,33.060001,32.709999,32.900002,1592100,32.900002
"27",32.970001,33.240002,32.68,32.740002,1856900,32.740002
"28",32.82,33.139999,32.799999,33.099998,1700700,33.099998
"29",33.029999,33.139999,32.869999,33.049999,1387200,33.049999
"30",33.209999,33.5,33.130001,33.490002,3463700,33.490002
"31",33.459999,33.540001,33.16,33.41,1613400,33.41
"32",33.400002,33.77,33.34,33.619999,2304100,33.619999
"33",33.57,33.700001,33.349998,33.52,1208700,33.52
"34",33.599998,33.720001,32.869999,32.98,2499100,32.98
"35",33.099998,33.240002,32.360001,32.509998,3323900,32.509998
"36",32.540001,32.720001,31.440001,31.65,3797700,31.65
"37",31.51,31.98,30.6,30.84,3045000,30.84
"38",30.66,31.23,30.66,30.950001,4065400,30.950001
"39",31.129999,31.16,30.860001,31,2615000,31
"40",30.98,31.01,30.440001,30.59,2406200,30.59
"41",30.389999,30.620001,30.200001,30.209999,2015100,30.209999
"42",30.440001,30.719999,30.26,30.48,2590800,30.48
"43",30.51,30.6,30.4,30.5,2678100,30.5
"44",30.6,30.93,30.559999,30.860001,1441400,30.860001
"45",30.690001,30.85,30.620001,30.68,1871100,30.68
"46",30.83,31.17,30.799999,31.08,1546700,31.08
"47",31.08,31.1,30.809999,30.93,1223000,30.93
"48",30.99,31.110001,30.68,30.879999,1250100,30.879999
"49",31.02,31.43,30.940001,31.43,2028900,31.43
"50",31.48,31.860001,31.450001,31.75,1982500,31.75
"51",31.75,32.049999,31.73,31.9,1747800,31.9
"52",31.860001,32.02,31.709999,31.780001,1572300,31.780001
"53",31.719999,31.719999,31.379999,31.51,1311500,31.51
"54",31.780001,31.780001,31.280001,31.5,1402800,31.5
"55",31.49,31.620001,31.43,31.549999,1299400,31.549999
"56",31.67,31.709999,31.450001,31.68,1141700,31.68
"57",31.530001,31.6,31.370001,31.41,1100600,31.41
"58",31.440001,31.780001,31.4,31.780001,1315000,31.780001
"59",31.84,31.950001,31.620001,31.780001,1304200,31.780001
"60",31.9,32.049999,31.43,31.469999,2685700,31.469999
"61",31.43,31.559999,30.950001,31.110001,1483400,31.110001
"62",31.110001,31.34,31,31.33,1574200,31.33
"63",31.25,31.6,31.059999,31.139999,1238000,31.139999
"64",30.99,31.030001,30.66,30.82,1465800,30.82
"65",30.67,30.719999,30.16,30.530001,2191900,30.530001
"66",30.469999,30.66,30.379999,30.629999,2558400,30.629999
"67",30.49,30.530001,29.82,30.040001,2745200,30.040001
"68",30,30.190001,29.85,30.059999,2229900,30.059999
"69",30.030001,30.34,29.85,30.32,2412900,30.32
"70",30.34,30.58,30.07,30.17,2207000,30.17
"71",30.190001,30.5,30.17,30.27,1507100,30.27
"72",30.4,30.549999,30.25,30.370001,2154700,30.370001
"73",30.25,30.34,30.01,30.17,1862000,30.17
"74",30.059999,30.290001,29.9,29.950001,1635600,29.950001
"75",29.889999,30.08,29.719999,29.82,1526300,29.82
"76",29.709999,29.879999,29.629999,29.719999,1907200,29.719999
"77",29.790001,30.02,29.6,29.98,1089200,29.98
"78",29.700001,30.059999,29.51,30.01,1281100,30.01
"79",30,30,29.639999,29.74,1930700,29.74
"80",29.65,29.709999,29.129999,29.18,1598700,29.18
"81",29.110001,29.389999,28.74,29.02,1705300,29.02
"82",29.17,29.77,29.139999,29.58,1429700,29.58
"83",29.690001,29.889999,29.440001,29.459999,1191400,29.459999
"84",29.360001,29.51,28.809999,28.83,1750200,28.83
