"","CCL.Open","CCL.High","CCL.Low","CCL.Close","CCL.Volume","CCL.Adjusted"
"1",40.240002,40.32,39.66,40.18,3388700,39.245117
"2",40.130001,40.259998,40,40.150002,3700300,39.215816
"3",40,40.060001,38.990002,39.080002,3306700,38.170712
"4",38.880001,39.119999,38.619999,38.919998,2411400,38.014431
"5",38.52,38.73,38.299999,38.419998,2691600,37.526065
"6",38.09,38.720001,38,38.720001,2608100,37.819088
"7",38.34,38.700001,38.189999,38.619999,3323600,37.721412
"8",38.43,38.869999,38.419998,38.810001,2847800,37.906994
"9",38.860001,39.43,38.810001,39.110001,4794600,38.200013
"10",39,39.619999,38.919998,39.41,4941800,38.493032
"11",38.619999,39.259998,38.16,38.23,9458000,37.340487
"12",37.919998,38.209999,37.77,38.029999,6042000,37.14514
"13",37.990002,38.220001,37.799999,37.990002,3914300,37.106074
"14",37.869999,38.099998,37.73,37.939999,3219600,37.057234
"15",37.970001,38.040001,37.459999,37.650002,3534200,36.773984
"16",37.759998,37.830002,37.490002,37.52,3860500,36.647008
"17",37.639999,37.799999,37.490002,37.560001,2981000,36.686078
"18",37.650002,37.950001,37.599998,37.869999,2868000,36.988863
"19",37.799999,37.849998,37.529999,37.650002,2332300,36.773984
"20",37.5,37.59,37.009998,37.110001,3842900,36.246548
"21",36.869999,37.029999,36.709999,36.970001,4684100,36.109806
"22",36.130001,36.650002,36.130001,36.43,4302700,35.582369
"23",36.349998,36.939999,36.290001,36.799999,4624000,35.943759
"24",36.900002,36.970001,36.709999,36.889999,3039600,36.031665
"25",36.860001,36.970001,36.580002,36.610001,3239900,35.758182
"26",36.939999,37.009998,36.619999,36.740002,3152700,35.885158
"27",36.490002,36.560001,35.959999,36.049999,2762900,35.21121
"28",36.200001,36.689999,36.169998,36.52,2744300,35.670275
"29",36.25,36.360001,35.880001,36.25,2999500,35.406557
"30",36.470001,36.490002,36.220001,36.360001,2533600,35.513998
"31",36.380001,36.619999,36.200001,36.5,2718500,35.65074
"32",37.009998,37.52,37.009998,37.209999,4785900,36.34422
"33",36.830002,36.900002,36.619999,36.68,2561800,35.826552
"34",36.330002,36.700001,36.27,36.5,5700000,35.65074
"35",36.610001,36.709999,36.279999,36.330002,3297900,35.484698
"36",36.709999,36.790001,36.32,36.560001,3407100,35.709346
"37",36.34,36.779999,36.18,36.220001,4670300,35.377256
"38",36.139999,36.689999,36.099998,36.439999,4361800,35.592135
"39",36.209999,36.419998,35.950001,36.310001,3277300,35.465162
"40",36.16,36.18,35.700001,35.990002,4869900,35.152608
"41",35.849998,36.529999,35.759998,36.240002,3881700,35.396791
"42",37.34,37.349998,36.290001,36.32,4366100,35.474928
"43",36.43,36.630001,36.299999,36.450001,2922000,35.601904
