"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"1",117.370003,117.730003,116.900002,117.099998,1089100,112.132871
"2",116.459999,116.940002,115.980003,116.239998,1117100,111.30935
"3",116.129997,116.43,115.07,115.440002,1423400,110.543289
"4",115.699997,115.699997,114.669998,115.300003,1230000,110.409228
"5",115.32,115.459999,114.949997,115.43,1503100,110.533711
"6",115.400002,115.790001,115.139999,115.449997,1505800,110.552859
"7",115.660004,116.339996,115.07,116.269997,2113100,111.338076
"8",116.57,116.580002,115.779999,116.260002,1635800,111.328506
"9",116.650002,116.650002,115.089996,115.360001,2958000,110.46668
"10",115.199997,115.32,114.510002,115.220001,1501600,110.332619
"11",115.529999,116.510002,115.080002,116.309998,1906600,111.376381
"12",116,116.449997,115.68,116.269997,1188700,111.338076
"13",116.239998,116.5,115.279999,115.639999,1252100,110.734802
"14",115.629997,115.75,115.010002,115.489998,2477300,110.591163
"15",115.620003,116.089996,115.099998,115.160004,1386600,110.275167
"16",115.540001,115.699997,114.900002,115.440002,1501700,110.543289
"17",115.25,115.910004,115.25,115.75,1122200,110.840137
"18",115.860001,116.589996,115.800003,116.349998,976000,111.414685
"19",116.330002,116.489998,115.879997,116.32,1576900,111.385958
"20",116.449997,117.650002,116.110001,117.459999,2584200,112.477601
"21",117.209999,117.989998,117.110001,117.919998,2328100,113.260401
"22",117.5,118.639999,117.5,118.080002,2266400,113.414082
"23",118.129997,118.25,117.089996,118.010002,1684700,113.346849
"24",118.209999,118.489998,117.300003,117.360001,1695500,112.722532
"25",118.160004,118.25,117.18,117.82,2634200,113.164354
"26",118.089996,118.440002,117.660004,117.849998,1531200,113.193168
"27",117.349998,117.540001,116.580002,116.790001,1433300,112.175056
"28",117.32,117.800003,116.610001,117.739998,2148600,113.087514
"29",117.43,117.910004,116.860001,117.040001,1334400,112.415177
"30",117.279999,118.040001,117.099998,117.550003,1769000,112.905027
"31",117.410004,117.760002,117.269997,117.589996,1155200,112.943439
"32",117.5,118.279999,117.459999,118.139999,1347700,113.471709
"33",117.959999,118.029999,117.07,117.550003,1543700,112.905027
"34",117.440002,117.660004,116.809998,117.120003,1402600,112.492018
"35",118.93,119.599998,118.529999,118.900002,2544900,114.20168
"36",118.790001,119.07,117.440002,118.18,2024900,113.510129
"37",117.540001,118.339996,117.279999,117.540001,2476800,112.89542
"38",117.800003,118.330002,117.459999,117.879997,2089500,113.221981
"39",117.550003,118.379997,117.110001,118.150002,1683800,113.481316
"40",117.5,118.199997,117.290001,118.050003,1798600,113.385269
"41",117.949997,119.970001,117.800003,119.589996,2859800,114.86441
"42",118.220001,119,117.470001,117.800003,2698200,113.145148
"43",117.959999,119.400002,117.809998,119.160004,2319900,114.451408
"44",119.400002,119.510002,118.699997,119.18,1227600,114.470615
"45",118.769997,119.269997,118.550003,119.010002,1082100,114.307334
"46",119,119.099998,118.25,118.639999,1458100,113.951952
"47",118.510002,119.269997,118.309998,119.260002,1067900,114.547455
"48",119.910004,119.949997,117.779999,118.57,2019900,113.884718
"49",119,119.68,118.949997,119.459999,1232900,114.739549
"50",119.379997,120.75,119.239998,120.610001,1708900,115.844109
"51",120.449997,121.230003,120.089996,120.910004,1287200,116.132257
"52",120.790001,121.879997,120.720001,121.620003,1544300,116.814201
"53",121.900002,122.059998,121.150002,121.290001,1401400,116.497239
"54",121.790001,122,121.120003,121.389999,1097300,116.593286
"55",121.43,121.589996,120.860001,121.089996,1385400,116.305137
"56",121.580002,121.580002,120.830002,121.239998,1028200,116.449212
"57",121.010002,121.25,120.699997,120.970001,799400,116.189884
"58",121.68,121.68,120.580002,121.080002,1047300,116.295538
"59",121,121.629997,120.900002,121.559998,1469900,116.756567
"60",121.699997,121.940002,121.110001,121.349998,1901000,116.554866
"61",123,125.169998,122.559998,125.150002,4440300,120.204712
"62",125.040001,127.029999,124.709999,127.010002,2910600,121.991215
"63",127.050003,127.32,126.260002,126.599998,2057400,121.597412
"64",126.139999,126.489998,125.739998,126.110001,1500500,121.126777
"65",126.309998,126.489998,125.870003,126.169998,1014900,121.184403
"66",126.160004,126.529999,125.639999,125.940002,1511200,120.963496
"67",126.25,126.25,125.019997,125.370003,1598300,120.41602
"68",125.57,126.529999,125.449997,125.709999,1615300,120.742581
"69",125.599998,126.790001,125.519997,126.43,1684400,121.434132
"70",126.029999,126.559998,125.669998,126.010002,1594000,121.03073
"71",126.209999,126.800003,125.959999,126.480003,1401500,121.482159
"72",127.290001,127.290001,126.470001,126.5,3018500,121.501365
"73",126.370003,126.5,125.580002,125.830002,1453700,120.857842
"74",125.959999,125.989998,125.209999,125.510002,1563100,120.550487
"75",126.089996,127.779999,125.580002,127.620003,2076300,122.577111
"76",127.449997,127.550003,125.599998,125.660004,1819900,120.694561
"77",125.410004,125.669998,124.379997,125.540001,2045300,120.5793
"78",125.029999,125.599998,124.779999,125.32,1171000,120.367993
"79",124.860001,125.599998,124.769997,125.32,1665300,120.367993
