"","DO.Open","DO.High","DO.Low","DO.Close","DO.Volume","DO.Adjusted"
"1",47.25,47.450001,46.860001,46.889999,2018200,44.637925
"2",46.470001,46.93,46.130001,46.880001,1489000,44.628407
"3",47.169998,48.779999,47,48.77,2386100,46.427632
"4",48.849998,49.669998,48.5,49.59,1693100,47.208248
"5",49.380001,49.990002,49.049999,49.77,1052500,47.379603
"6",49.549999,49.709999,49.049999,49.139999,1279500,46.77986
"7",49.029999,49.889999,48.720001,49.689999,1266300,47.303443
"8",49.689999,49.720001,49.130001,49.459999,1021500,47.08449
"9",49.599998,50.639999,49.599998,50.310001,1729100,47.893668
"10",50.5,51,50.290001,50.369999,895300,47.950784
"11",50.299999,50.529999,48.619999,48.799999,1264700,46.45619
"12",48.700001,49.119999,48.509998,49.029999,796200,46.675143
"13",49.009998,49.009998,47.25,48.189999,1097500,45.875487
"14",48.099998,49.619999,48.099998,49.549999,1600000,47.170168
"15",49.470001,49.849998,49.290001,49.630001,991500,47.246327
"16",49.599998,49.810001,48.900002,49.02,1390300,46.665624
"17",48.709999,49.509998,48.709999,49.400002,1162800,47.027374
"18",49.560001,49.950001,49.27,49.470001,571800,47.094012
"19",49.389999,49.419998,48.459999,48.790001,1511900,46.446672
"20",48.419998,49.060001,48.310001,48.889999,981800,46.541867
"21",48.91,49.150002,48.169998,48.400002,868400,46.075403
"22",47.689999,48.240002,47.25,47.639999,1378900,45.351903
"23",47.639999,48.099998,47.5,47.75,1151600,45.456621
"24",48.049999,48.709999,47.91,48.57,763200,46.237237
"25",48.889999,49.560001,48.509998,49.34,977600,46.970255
"26",49.48,49.799999,48.91,49.68,1399200,47.293925
"27",49.82,49.93,49.009998,49.02,1082000,46.665624
"28",49.360001,49.509998,48.84,48.98,926000,46.627545
"29",48.849998,49.470001,48.290001,48.959999,771000,46.608505
"30",49.099998,50.310001,48.41,50.130001,1083900,47.722313
"31",50.5,50.5,49.799999,50.040001,1070500,47.636635
"32",48,48.5,45.919998,47.869999,4056300,45.570856
"33",47.560001,48.09,47.360001,47.799999,1221100,45.504219
"34",47.799999,47.84,46.799999,47.299999,1076100,45.028233
"35",47,47.650002,46.810001,47.360001,935700,45.085353
"36",47.400002,48.02,46.91,46.970001,1232400,44.714084
"37",46.77,47.330002,46.369999,46.790001,1877200,44.542729
"38",47.060001,47.790001,46.810001,47.32,2520400,45.047273
"39",45.740002,47.18,45.48,47.099998,2437500,45.682559
"40",46.950001,47.34,46.360001,46.970001,1230400,45.556474
"41",46.990002,47.07,45.830002,45.880001,1573300,44.499276
"42",46.139999,46.400002,45.209999,45.650002,1355100,44.276198
"43",45.790001,46.169998,45.310001,45.540001,1074800,44.169508
"44",45.759998,46.59,45.57,46.099998,1164000,44.712653
"45",45.990002,46.150002,44.779999,45.119999,1386500,43.762146
"46",45.25,45.389999,44.32,44.650002,1278000,43.306293
"47",44.549999,45.25,44.240002,44.34,988300,43.00562
"48",44.369999,44.48,43.75,44.330002,1667700,42.995923
"49",44.310001,44.720001,43.75,43.93,1283000,42.607959
"50",43.959999,44.200001,43.75,43.91,1311000,42.588561
"51",43.98,44.150002,43.759998,44.060001,1059400,42.734048
"52",44.400002,44.599998,43.93,44,1097800,42.675852
"53",44,44.060001,43.16,43.209999,1099900,41.909626
"54",43.299999,43.439999,43.040001,43.220001,981700,41.919327
"55",43.41,44.860001,43.360001,44.400002,1800200,43.063816
"56",44.290001,45.080002,44.080002,44.689999,943900,43.345086
"57",44.66,44.740002,43.529999,43.779999,1443700,42.462472
"58",43.779999,44.040001,43.529999,43.939999,796200,42.617657
"59",44.16,44.16,42.849998,42.959999,1426800,41.667149
"60",43.27,43.470001,42.669998,42.720001,1104900,41.434374
"61",42.68,42.939999,41.529999,41.709999,1876800,40.454767
"62",41.540001,41.889999,40.549999,41.860001,3126500,40.600255
"63",41.599998,41.689999,41.169998,41.330002,1248600,40.086206
"64",41.200001,41.650002,41.02,41.27,998000,40.02801
"65",41.209999,41.68,40.610001,41.299999,1686200,40.057106
"66",41.080002,41.650002,40.759998,41.610001,962800,40.357778
"67",41.540001,41.540001,39.700001,39.830002,2813600,38.631347
"68",39.700001,39.959999,39.330002,39.419998,1636700,38.233682
"69",39.43,40.02,39.18,39.240002,1419500,38.059103
"70",39.34,39.419998,38.040001,38.540001,3346300,37.380168
"71",38.650002,38.700001,37.93,38.150002,1790800,37.001905
"72",38.189999,38.52,37.080002,37.5,4171300,36.371465
"73",37.5,37.540001,36.900002,37.290001,2565200,36.167786
"74",37.18,37.959999,37.060001,37.669998,2427700,36.536347
"75",37.549999,37.580002,36.41,36.549999,2075500,35.450054
"76",36.5,36.740002,36.040001,36.09,1899000,35.003898
"77",36.220001,36.77,36.110001,36.380001,1275100,35.285172
"78",35.970001,36.009998,35.119999,35.169998,2309100,34.111583
"79",35.040001,35.080002,34,34.27,2419300,33.23867
"80",34.27,34.84,33.400002,33.540001,2086800,32.530639
"81",33.389999,36.07,33.119999,34.830002,3646400,33.781818
"82",34.91,35,32.709999,33,3080600,32.006889
"83",33.110001,33.939999,32.810001,33.669998,1938400,32.656724
"84",33.650002,35.599998,33.369999,33.990002,3559500,32.967098
"85",34.790001,35.209999,33.349998,35.139999,2753900,34.082487
"86",34.950001,35.98,34.189999,34.709999,3277100,33.665427
"87",34.610001,36.849998,34.23,35.41,2564400,34.344362
"88",35.610001,36.84,35.259998,36.330002,1884800,35.236677
"89",36.459999,39.049999,35.91,37.990002,2310400,36.84672
"90",38.310001,38.869999,36.77,38.75,2361900,37.583847
"91",37.52,38.759998,37.52,37.93,2674800,36.788525
"92",38.619999,39.599998,36.880001,37.029999,2122600,35.915608
"93",36.91,38.09,36.23,37.779999,1348100,36.643037
"94",38.57,38.849998,36.73,37.91,1986400,36.769126
"95",37.689999,38.669998,37.16,37.369999,1444200,36.245376
"96",39.040001,40.740002,38.419998,39.599998,2582300,38.408266
"97",39.59,40.189999,38.900002,39.07,1838800,37.894217
"98",38,38.639999,36.970001,38.189999,1693300,37.040699
"99",38.900002,39.040001,38.150002,38.869999,1727200,37.700235
"100",39.68,40,38.279999,38.779999,1254800,37.612943
"101",38.419998,39.23,37.490002,38.650002,713400,37.486858
"102",38.880001,38.919998,36.400002,37.709999,1712000,36.575144
"103",36.560001,36.669998,34.580002,34.720001,2229800,34.475067
"104",34.09,34.169998,33.029999,33.5,2722200,33.263672
"105",33.66,35.889999,33.369999,35.43,2344400,35.180057
"106",35.099998,36.66,34.849998,36.650002,1916700,36.391452
"107",36.389999,39.310001,36.299999,38.740002,2188100,38.466708
"108",39.209999,39.580002,36.790001,37.470001,2146100,37.205667
"109",37.439999,37.970001,36.189999,36.639999,1374700,36.38152
"110",36.23,36.759998,35.790001,35.84,1092300,35.587164
"111",35.740002,35.919998,34.189999,35.279999,1599800,35.031114
"112",35.540001,36.119999,35.049999,35.810001,1377900,35.557377
"113",35.66,36.57,34.84,36.169998,1190000,35.914834
"114",36.209999,36.5,35.259998,35.310001,830300,35.060905
"115",35.299999,35.529999,34.619999,35.389999,1513400,35.140338
"116",35.540001,36.549999,35.299999,36.220001,1331800,35.964485
"117",36.939999,37.529999,36.400002,37.150002,1319300,36.887924
"118",36.869999,37.310001,36.169998,36.779999,1097600,36.520532
"119",36.900002,36.939999,35.330002,36.16,1952600,35.904907
"120",35.240002,35.240002,32.16,32.220001,4408800,31.992703
"121",31.110001,31.780001,29.360001,29.370001,2749200,29.162808
"122",29.09,30.549999,29,30.5,4555700,30.284836
"123",29.99,31.309999,29.41,30.35,3379400,30.135894
"124",30.65,31.639999,30.440001,31.440001,2306000,31.218205
"125",31.27,31.93,30.08,30.08,2594200,29.867799
"126",30.17,30.799999,29.6,29.91,2673400,29.698998
"127",29.43,30.35,29.34,30.32,3056200,30.106105
"128",30.110001,33.27,30.110001,32.759998,3285500,32.528891
"129",32.290001,33.700001,31.370001,32.82,2546500,32.588469
"130",33.450001,35.880001,33.25,33.93,2434400,33.690639
"131",33.369999,34.919998,33,33.400002,2255500,33.164379
"132",33.91,35.599998,33.91,35.27,1791400,35.021186
"133",35.099998,38.130001,35.02,36.380001,2446000,36.123356
"134",37.200001,39.389999,37.09,38.099998,3390700,37.831219
"135",39.380001,39.799999,37.200001,38.790001,2142900,38.516354
"136",39.400002,39.849998,38.34,39,3503500,38.724872
"137",38.669998,39.290001,36.599998,38.759998,1331300,38.486563
