"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"1",50.790001,50.91,49.91,50.360001,990000,47.974161
"2",50.290001,50.490002,50.099998,50.389999,564600,48.002739
"3",50.200001,50.34,49,49.330002,1290500,46.992959
"4",49.330002,49.790001,49.139999,49.68,716800,47.326377
"5",49.540001,50.139999,49.470001,49.959999,765800,47.59311
"6",49.849998,49.939999,49.400002,49.59,767400,47.24064
"7",49.349998,49.77,49.07,49.720001,736900,47.364482
"8",49.889999,50.169998,49.290001,49.52,1447500,47.173957
"9",47.529999,48.529999,47.279999,47.580002,5629600,45.325867
"10",47.400002,47.779999,46.529999,47.759998,2395900,45.497336
"11",47.529999,47.529999,46.709999,46.77,1450300,44.55424
"12",46.689999,46.709999,46.470001,46.57,2320800,44.363714
"13",46.560001,46.98,46.299999,46.889999,1592700,44.668554
"14",46.77,46.939999,46.52,46.66,2287000,44.449451
"15",46.639999,46.77,46.110001,46.27,1718900,44.077928
"16",46.48,46.639999,46.169998,46.220001,2046200,44.030297
"17",46.099998,46.349998,46.049999,46.259998,1204900,44.068399
"18",46.299999,46.490002,46.27,46.32,528300,44.125558
"19",46.27,46.32,45.799999,46.110001,1708900,43.925508
"20",45.5,45.580002,45.209999,45.349998,1647500,43.723039
"21",45.439999,45.810001,45.32,45.630001,2182400,43.992997
"22",45.16,45.349998,44.66,44.759998,1973500,43.154206
"23",44.73,44.73,44.200001,44.439999,1786300,42.845686
"24",44.580002,44.669998,44.259998,44.369999,1639300,42.778198
"25",44.34,44.48,43.630001,44.080002,2465200,42.498605
"26",44.130001,44.259998,43.790001,43.889999,1669700,42.315419
"27",43.75,43.91,43.560001,43.759998,1641400,42.190081
"28",43.779999,44.619999,43.75,44.380001,1604800,42.787841
"29",44.23,44.34,43.77,44.02,1814500,42.440756
"30",44.279999,44.450001,44.060001,44.220001,1361400,42.633581
"31",44.209999,44.57,44.009998,44.490002,1731900,42.893895
"32",44.459999,45.41,44.25,45.290001,1959200,43.665194
"33",45.25,45.330002,44.630001,44.66,997100,43.057795
"34",44.630001,45.110001,44.540001,44.919998,1315500,43.308465
"35",46.310001,46.990002,46.139999,46.880001,4167700,45.198152
"36",46.869999,46.990002,46.099998,46.310001,1916300,44.648601
"37",46.740002,46.900002,46.310001,46.75,3090700,45.072815
"38",46.669998,46.990002,46.32,46.66,1645000,44.986043
"39",46.740002,47.939999,46.669998,47.860001,2857100,46.142993
"40",47.610001,48.400002,47.209999,47.290001,1853200,45.593443
"41",46.869999,47.41,46.860001,46.919998,1739600,45.236714
"42",47.279999,47.43,46.669998,46.790001,3785100,45.111381
"43",46.709999,47.32,46.709999,47.209999,1635400,45.516311
"44",47.25,47.32,46.709999,46.849998,1749200,45.169226
"45",46.330002,46.68,46.09,46.360001,1673400,44.696807
"46",46.380001,46.880001,46.16,46.790001,1355500,45.111381
"47",46.82,47.419998,46.759998,47.09,883800,45.400617
"48",47.23,47.27,46.029999,46.369999,1309800,44.706447
"49",46.689999,47.259998,46.669998,47.209999,1280800,45.516311
"50",47.369999,47.720001,47.279999,47.529999,741000,45.824831
"51",47.41,47.98,47.27,47.43,1684900,45.72842
"52",47.509998,47.639999,47.360001,47.450001,1041600,45.747703
"53",47.540001,47.709999,47.43,47.57,1469100,45.863397
"54",47.77,47.91,47.360001,47.549999,858900,45.844114
"55",47.419998,47.830002,47.380001,47.610001,1203600,45.901962
"56",47.75,47.779999,47.419998,47.450001,1105600,45.747703
"57",47.130001,47.540001,46.91,47.150002,952600,45.458466
"58",47.119999,47.52,47.009998,47.32,1324200,45.622365
"59",47.310001,48.93,47.310001,47.75,2276600,46.036939
"60",47.959999,48,47.400002,47.599998,857300,45.892319
"61",47.509998,48.09,47.490002,47.830002,1596500,46.114071
"62",47.810001,48.080002,47.59,48.07,1120300,46.345459
"63",47.849998,48.639999,47.810001,48.029999,2421300,46.306893
"64",48.029999,48.139999,47.610001,47.779999,1071700,46.065862
"65",47.720001,47.880001,47.330002,47.77,1034300,46.056222
"66",47.77,48.360001,47.549999,48.290001,1898500,46.557567
"67",48.959999,49.43,47.279999,47.580002,3593700,45.87304
"68",48.060001,49.950001,47.82,49.939999,4000100,48.14837
"69",49.830002,49.970001,49.389999,49.540001,1749500,47.762723
"70",49.509998,49.990002,49.5,49.790001,1703500,48.003754
"71",49.779999,50.389999,49.43,50.349998,1643500,48.543661
"72",50.759998,51.349998,50.73,51.189999,2597600,49.353526
"73",50.970001,51.169998,50.369999,50.470001,1372000,48.659359
"74",50.540001,50.619999,50.049999,50.349998,1992000,48.543661
"75",50.459999,51.810001,50.439999,51.73,2560100,49.874154
"76",51.549999,51.720001,51.209999,51.279999,1229700,49.440297
"77",51.23,52.110001,51.169998,51.900002,1596900,50.038057
"78",51.610001,52.110001,51.439999,52,1684900,50.134468
"79",52.029999,52.139999,51.25,51.459999,1713700,49.61384
"80",51.32,51.439999,50.669998,50.950001,2148000,49.122138
"81",51.299999,51.900002,51.150002,51.48,1841900,49.633123
"82",51.880001,51.990002,51.580002,51.59,1681800,49.739177
"83",51.639999,51.709999,51.02,51.049999,1831800,49.218549
"84",50.700001,50.939999,50.049999,50.07,2022400,48.273707
"85",49.709999,50.099998,49.240002,49.990002,2128700,48.73188
"86",49.619999,50.290001,49.169998,49.27,1939800,48.029999
"87",49.290001,50.52,48.34,48.369999,2849800,47.152649
"88",48.02,48.02,47.060001,47.080002,3232800,45.895118
"89",47.360001,48.630001,47.360001,48.130001,2100000,46.918691
"90",47.16,48.490002,46.700001,48.240002,2627900,47.025923
"91",47.619999,48.73,47.529999,48.360001,2129200,47.142902
"92",48.630001,49.209999,48.32,48.68,1709100,47.454848
"93",48.610001,49.119999,48.419998,49.110001,1313200,47.874026
"94",49.029999,49.599998,48.630001,49.419998,1241200,48.176222
"95",49.41,49.880001,49.41,49.52,1176600,48.273708
"96",50,50.599998,49.810001,50.299999,2011700,49.034076
"97",50.290001,51.080002,50.27,51.049999,1781500,49.7652
"98",51.02,51.560001,51.02,51.419998,2353900,50.125887
"99",51.57,52.529999,51.57,52.029999,2432600,50.720536
"100",51.860001,51.98,50.439999,50.939999,4627200,49.657968
"101",50.740002,51.400002,48.91,51.18,1344000,49.891929
"102",51.77,51.810001,51.450001,51.779999,1395700,50.476827
"103",51.810001,52.09,51.5,51.98,1209600,50.671795
"104",52,52.779999,51.990002,52.73,1258200,51.402919
"105",52.950001,53.16,52.549999,52.689999,1302900,51.363925
"106",52.5,53.23,52.439999,53.099998,1268600,51.763606
"107",53.400002,53.810001,53.099998,53.5,1496000,52.153541
"108",53.41,54.32,53.23,54.310001,1917200,52.943156
"109",54.849998,55.84,54.849998,55.720001,3773400,54.31767
"110",55.580002,56.66,55.540001,56.360001,2394000,54.941562
"111",56.52,56.849998,56.02,56.299999,1812700,54.883071
"112",56.310001,56.68,55.830002,55.900002,1393900,54.49314
"113",55.860001,55.970001,55.43,55.43,1279500,54.034968
"114",55.419998,55.689999,55.32,55.57,1570500,54.171444
"115",55.41,55.900002,55.400002,55.610001,1212400,54.210438
"116",55.360001,56.09,55.360001,55.790001,1193600,54.385908
"117",56.279999,56.349998,55.810001,55.849998,1070700,54.444396
"118",56,56.41,55.84,56.360001,1491300,54.941562
"119",56.369999,56.650002,54.959999,54.990002,3017700,53.606043
"120",55.07,55.900002,54.990002,55.860001,916300,54.454146
"121",56.23,57.209999,56.169998,56.990002,682800,55.555708
"122",56.889999,57.950001,56.799999,57.52,1991200,56.072368
"123",57.790001,58.25,57.459999,57.529999,1152100,56.082115
"124",57.27,58.290001,57.169998,58.110001,1819500,56.647519
