"","FTR.Open","FTR.High","FTR.Low","FTR.Close","FTR.Volume","FTR.Adjusted"
"1",5.54,5.67,5.5,5.61,8323200,5.257992
"2",5.63,5.64,5.49,5.5,9490500,5.154894
"3",5.5,5.59,5.44,5.58,8522900,5.229875
"4",5.55,5.65,5.52,5.64,7208000,5.28611
"5",5.62,5.7,5.61,5.69,8087900,5.332973
"6",5.69,5.75,5.66,5.7,5186200,5.342345
"7",5.68,5.75,5.66,5.74,6200400,5.379835
"8",5.75,5.77,5.68,5.76,8393200,5.398581
"9",5.78,5.79,5.69,5.75,12008700,5.389208
"10",5.75,5.76,5.64,5.71,4366700,5.351718
"11",5.7,5.75,5.67,5.67,4566100,5.314228
"12",5.67,5.73,5.67,5.7,6511200,5.342345
"13",5.72,5.76,5.69,5.74,8530900,5.379835
"14",5.75,5.76,5.68,5.73,12114700,5.370463
"15",5.76,5.85,5.72,5.84,13234100,5.473561
"16",5.84,5.87,5.78,5.84,6251900,5.473561
"17",5.83,5.87,5.81,5.86,4556800,5.492306
"18",5.88,5.88,5.82,5.85,3525800,5.482933
"19",5.85,5.88,5.83,5.85,5318400,5.482933
"20",5.82,5.87,5.73,5.77,5701800,5.407953
"21",5.76,5.81,5.62,5.79,8689600,5.426698
"22",5.72,5.81,5.69,5.73,7005600,5.370463
"23",5.75,5.8,5.72,5.79,5699500,5.426698
"24",5.78,5.8,5.74,5.75,4055500,5.389208
"25",5.73,5.8,5.7,5.74,6359500,5.379835
"26",5.75,5.9,5.74,5.85,11014200,5.482933
"27",5.86,5.88,5.73,5.75,9772800,5.389208
"28",5.76,5.84,5.71,5.8,6769600,5.436071
"29",5.8,5.84,5.75,5.77,4855800,5.407953
"30",5.81,5.89,5.77,5.89,4618900,5.520423
"31",5.76,5.86,5.76,5.84,5107000,5.473561
"32",5.85,5.94,5.8,5.93,7357300,5.557913
"33",5.94,5.95,5.85,5.87,3589100,5.501678
"34",5.89,5.99,5.84,5.94,6297400,5.567286
"35",7.11,7.24,6.56,6.79,124080200,6.363951
"36",6.58,6.82,6.48,6.65,26702300,6.232736
"37",6.62,6.62,6.45,6.55,15449200,6.139011
"38",6.5,6.56,6.41,6.48,11463300,6.073403
"39",6.45,6.59,6.43,6.54,11657600,6.129638
"40",6.54,6.86,6.51,6.81,33832300,6.382697
"41",6.67,6.67,6.38,6.4,19646200,5.998423
"42",6.43,6.49,6.37,6.42,9953900,6.017168
"43",6.41,6.46,6.28,6.35,11196300,5.95156
"44",6.39,6.52,6.38,6.49,11651900,6.082775
"45",6.5,6.51,6.43,6.49,6113400,6.082775
"46",6.46,6.51,6.45,6.5,7435200,6.092148
"47",6.51,6.51,6.46,6.47,7829600,6.06403
"48",6.48,6.57,6.46,6.51,10067100,6.101521
"49",6.57,6.61,6.54,6.56,4315100,6.148383
"50",6.59,6.64,6.52,6.57,6911100,6.157756
"51",6.59,6.65,6.57,6.61,6341600,6.195246
"52",6.64,6.74,6.6,6.64,8474900,6.223363
"53",6.63,6.69,6.57,6.68,6992200,6.260853
"54",6.7,6.76,6.67,6.7,5306300,6.279599
"55",6.7,6.76,6.68,6.69,6761300,6.270226
