"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume","HCN.Adjusted"
"1",63.110001,63.32,62.439999,62.869999,2371200,60.078404
"2",62.889999,63.099998,62.259998,62.990002,2117400,60.193078
"3",62.790001,63.099998,62.009998,62.950001,1918500,60.154853
"4",63.009998,63.220001,62.330002,63.169998,1171900,60.365082
"5",63.150002,63.25,62.639999,62.779999,1327900,59.9924
"6",62.549999,62.82,61.580002,62.119999,2201500,59.361706
"7",62.130001,62.220001,61.509998,62.09,2165100,59.333039
"8",62.32,63.220001,62.200001,63.029999,3473500,60.231299
"9",63.099998,63.419998,62.689999,63.41,5279000,60.594427
"10",63.25,63.889999,63.240002,63.509998,1960800,60.689986
"11",63.439999,63.599998,63.110001,63.349998,2021500,60.53709
"12",63.25,63.540001,62.709999,62.790001,3113700,60.001958
"13",62.860001,63.23,62.849998,62.900002,2083200,60.107074
"14",62.98,63.09,62.529999,62.630001,4712900,59.849062
"15",62.77,62.950001,62.200001,62.669998,2142600,59.887284
"16",62.27,63.240002,62.27,63.060001,2017600,60.25997
"17",62.799999,62.84,61.919998,62.34,1797200,59.571938
"18",62.259998,62.259998,61.419998,61.919998,1463300,59.170586
"19",62.009998,62.400002,61.869999,62.299999,1452800,59.533714
"20",62.27,62.849998,62.150002,62.5,1492900,59.724834
"21",62.549999,62.73,62.009998,62.66,1662100,59.877729
"22",62.57,63.400002,62.509998,62.889999,2073800,60.097516
"23",62.990002,63.02,62.560001,62.82,1352800,60.030625
"24",62.75,63.02,62.439999,62.98,1284200,60.18352
"25",62.790001,63.200001,62.740002,63.18,1506500,60.37464
"26",63.200001,63.669998,63,63.560001,1433600,60.737768
"27",63.18,63.970001,63.16,63.689999,2080600,60.861993
"28",64,64.300003,63.59,64.290001,2292300,61.435354
"29",64,64.349998,63.799999,64.260002,1011600,61.406687
"30",64.43,64.699997,64.220001,64.370003,1758400,61.511803
"31",64.239998,64.629997,64.239998,64.57,1458200,61.70292
"32",64.620003,64.720001,64.349998,64.699997,1756100,61.827145
