"","JNPR.Open","JNPR.High","JNPR.Low","JNPR.Close","JNPR.Volume","JNPR.Adjusted"
"1",24.700001,24.879999,24.629999,24.73,4437000,24.32267
"2",24.709999,24.809999,24.610001,24.66,3809800,24.253823
"3",24.629999,24.799999,24.450001,24.629999,4470600,24.224316
"4",24.549999,24.65,24.4,24.59,6232700,24.184976
"5",24.620001,25.120001,24.549999,24.93,5653800,24.519376
"6",24.85,25.35,24.84,25.190001,4682300,24.775094
"7",25.190001,25.290001,24.92,25.25,3604000,24.834105
"8",25.09,25.110001,24.200001,24.209999,14218600,23.811234
"9",24.209999,24.4,24.07,24.26,13231000,23.860412
"10",24.26,24.540001,24.190001,24.43,4501100,24.027612
"11",24.459999,24.549999,24.07,24.129999,7089000,23.732552
"12",24.08,24.299999,23.969999,24.139999,6484700,23.742387
"13",24.200001,24.34,24.030001,24.24,4280600,23.840741
"14",24.219999,24.58,24.139999,24.469999,6858000,24.066952
"15",24.5,24.74,24.469999,24.540001,3589200,24.1358
"16",24.639999,24.73,24.440001,24.5,4386800,24.096458
"17",24.549999,24.940001,24.549999,24.780001,4135400,24.371847
"18",24.950001,24.959999,24.65,24.65,2388700,24.243987
"19",24.75,24.82,24.58,24.709999,3200100,24.302999
"20",24.6,24.610001,24.02,24.08,6747400,23.683376
"21",24.07,24.41,24.059999,24.379999,6444500,23.978434
"22",24.139999,24.5,24.01,24.389999,3248800,23.98827
"23",24.42,24.49,24.190001,24.27,3040800,23.870247
"24",24.32,24.360001,24.059999,24.129999,3996300,23.732552
"25",24.200001,24.389999,24.059999,24.17,3203300,23.771894
"26",24.24,24.35,23.780001,23.83,6880000,23.437494
"27",23.799999,24.01,23.690001,23.85,7795600,23.457165
"28",24,24.1,23.9,24,4988300,23.604694
"29",24.27,24.67,24.01,24.450001,9647700,24.047283
"30",24.59,25.190001,24.59,24.82,10036100,24.411187
"31",22.639999,22.77,21.969999,22.43,40636400,22.060554
"32",22.440001,23.33,22.4,23.209999,13961500,22.827705
"33",23.17,23.43,23.02,23.25,6462700,22.867047
"34",23.41,23.74,23.139999,23.719999,7857600,23.329305
"35",23.719999,24.059999,23.690001,23.709999,7472500,23.31947
"36",23.84,24,23.66,23.719999,5917700,23.329305
"37",23.559999,23.82,23.48,23.540001,6580600,23.152271
"38",23.41,23.549999,23.16,23.27,6160500,22.886718
"39",23.219999,23.459999,23.040001,23.200001,5802200,22.817872
"40",23.139999,23.379999,23.059999,23.309999,4311600,22.926058
"41",23.25,23.459999,23.18,23.35,4122500,22.9654
"42",23.450001,23.5,22.99,23,4499700,22.621165
"43",23,23.290001,22.92,23.24,4478200,22.857212
"44",23.290001,23.450001,23.18,23.32,4204500,22.935894
"45",23.33,23.49,23.219999,23.34,3943000,22.955565
"46",23.43,23.75,23.379999,23.58,5749600,23.191612
"47",23.450001,23.65,22.950001,23,9829500,22.621165
"48",23.1,23.18,22.91,22.99,7052700,22.611329
"49",23.18,23.33,23.059999,23.25,4663600,22.867047
"50",23.26,23.690001,23.219999,23.690001,6655100,23.2998
"51",23.58,23.98,23.5,23.790001,5867300,23.398154
"52",23.799999,24.1,23.65,23.99,5015600,23.594858
"53",23.870001,24.209999,23.780001,24.049999,4155800,23.65387
"54",24.139999,24.18,23.620001,23.75,2794000,23.358812
"55",23.790001,23.799999,23.5,23.51,4511900,23.122765
"56",23.540001,23.709999,23.209999,23.23,5167300,22.847376
"57",23.08,23.190001,22.9,23.18,4385400,22.896766
"58",23.26,23.27,23.01,23.190001,5745300,22.906644
"59",23.209999,23.57,23.16,23.190001,3804000,22.906644
"60",23.23,23.25,23.030001,23.120001,5231200,22.8375
"61",23.07,23.51,23.01,23.17,4143600,22.886888
"62",23.059999,23.42,23.059999,23.33,6294500,23.044933
"63",23.200001,23.6,23.200001,23.51,3888300,23.222734
"64",23.49,23.549999,23.299999,23.35,3507900,23.064689
"65",23.440001,23.76,23.4,23.74,3244500,23.449923
"66",23.719999,23.719999,23.309999,23.700001,4044900,23.410413
"67",23.629999,23.629999,23.129999,23.16,3854200,22.87701
"68",23.129999,23.139999,22.6,23.030001,7200500,22.7486
"69",23.01,23.01,22.49,22.799999,5942200,22.521408
"70",22.84,23.02,22.74,22.82,3942800,22.541165
"71",22.82,22.98,22.77,22.790001,4968300,22.511532
"72",22.83,22.91,22.51,22.629999,13910400,22.353486
"73",22.639999,22.879999,22.5,22.6,3857800,22.323853
"74",22.629999,22.74,22.51,22.530001,4495800,22.254709
"75",22.52,22.66,22.450001,22.549999,3585400,22.274463
"76",22.52,22.549999,22.08,22.16,4990800,21.889229
"77",22.1,22.290001,22.02,22.219999,3018600,21.948496
"78",22.09,22.219999,21.9,22.18,3349400,21.908985
"79",22.25,22.299999,22.059999,22.15,4164800,21.879351
"80",22.1,22.120001,21.639999,21.68,7007900,21.415095
"81",21.68,22.049999,21.610001,21.950001,2903200,21.681796
"82",22,22.209999,21.93,22.059999,2722800,21.790451
"83",22.07,22.08,21.6,21.66,3176200,21.395339
"84",21.629999,21.799999,21.25,21.290001,5452400,21.029861
"85",21.02,21.23,20.450001,21.200001,9068200,20.94096
"86",21.120001,21.120001,20.73,20.940001,7302200,20.684137
"87",20.120001,20.200001,19.030001,19.040001,18728900,18.807353
"88",18.959999,19.1,18.549999,18.57,10167300,18.343095
"89",18.73,19.08,18.68,18.77,8181900,18.540652
"90",18.540001,19.17,18.41,19.129999,9634600,18.896252
"91",18.83,19.379999,18.83,19.190001,7666200,18.95552
"92",19.379999,19.629999,19.309999,19.48,6120600,19.241976
"93",19.370001,19.9,19.280001,19.799999,4820300,19.558065
"94",19.85,20.26,19.76,20.18,6056000,19.933423
"95",20.110001,20.200001,19.66,19.68,7058600,19.439532
"96",19.91,20.370001,19.780001,20.32,8248100,20.071712
"97",19.75,19.93,18.959999,19,21215600,18.767841
"98",18.99,19.82,18.809999,19.719999,13511900,19.479043
"99",19.74,20.780001,19.73,20.709999,10605300,20.456946
"100",20.65,21.030001,20.52,20.959999,11885400,20.703891
"101",20.950001,21.23,20.799999,20.969999,10288300,20.713769
"102",21.18,21.309999,20.84,21.07,11697200,20.812548
"103",21.049999,21.110001,20.83,21.07,6262600,20.812548
"104",21.120001,21.23,20.950001,21.190001,4573800,20.931082
"105",21.26,21.469999,21.09,21.43,5069200,21.168149
"106",21.450001,21.67,21.41,21.610001,5634300,21.34595
"107",21.549999,22,21.549999,21.91,5231600,21.642284
"108",21.18,21.700001,21.18,21.5,6225800,21.237294
"109",21.860001,21.950001,20.219999,20.280001,21582500,20.032202
"110",20.18,20.959999,20.129999,20.870001,9857200,20.614993
"111",20.799999,20.85,20.35,20.450001,7384800,20.200124
"112",20.41,21.02,20.4,20.99,5634600,20.733525
"113",21.040001,21.43,20.879999,21.33,6537500,21.069371
"114",21.27,21.709999,21.190001,21.58,5535100,21.316316
"115",21.51,21.540001,21.290001,21.459999,3808800,21.197782
"116",21.35,21.49,21.18,21.389999,3879800,21.128637
"117",21.629999,21.85,21.530001,21.85,3685000,21.583018
"118",21.84,22.08,21.719999,22.049999,4000300,21.780573
"119",22.02,22.27,22.01,22.26,4853600,21.988008
"120",22.23,22.290001,22.120001,22.200001,5056200,21.928741
"121",22.07,22.280001,21.9,22.16,2035600,21.988275
"122",22.09,22.09,21.67,21.76,5173500,21.591375
"123",21.58,21.700001,21.41,21.530001,5900000,21.363158
"124",21.629999,22.33,21.59,22.309999,5782200,22.137112
"125",22.219999,22.280001,22.08,22.24,3891100,22.067655
"126",22.17,22.370001,22.059999,22.34,4707600,22.16688
"127",22.299999,22.299999,21.65,21.700001,8064500,21.531841
"128",21.450001,21.879999,21.34,21.85,4978600,21.680678
"129",21.780001,21.860001,21.32,21.43,9297900,21.263932
"130",21.59,21.719999,21.34,21.370001,4480200,21.204398
"131",21.23,21.34,21.059999,21.1,4702300,20.93649
"132",21.299999,21.5,21.139999,21.26,8009700,21.09525
"133",21.120001,21.66,21.030001,21.370001,6489900,21.204398
"134",21.4,21.57,21.23,21.42,5418800,21.25401
"135",21.690001,21.91,21.68,21.9,3909700,21.73029
"136",22.059999,22.48,21.98,22.48,8698600,22.305795
"137",22.43,22.709999,22.42,22.66,3255500,22.4844
"138",22.67,23.1,22.639999,22.809999,3970500,22.633238
"139",22.790001,23.040001,22.780001,22.83,1338700,22.653083
"140",22.870001,22.98,22.719999,22.73,1982600,22.553858
"141",22.73,22.85,22.58,22.59,2569700,22.414943
"142",22.58,22.790001,22.459999,22.67,1809600,22.494323
"143",22.690001,22.73,22.280001,22.32,1884700,22.147035
"144",22.459999,22.58,22.24,22.450001,2086500,22.276029
"145",22.32,22.33,22.07,22.200001,3806500,22.027966
"146",22.190001,22.219999,21.74,21.889999,4322000,21.720367
"147",22.01,22.719999,21.92,22.379999,9811300,22.206569
"148",22.610001,23.1,22.6,23.030001,5419100,22.851534
"149",23.030001,23.209999,22.68,23.049999,4154400,22.871377
"150",22.85,22.85,22.389999,22.450001,5407100,22.276029
"151",22.299999,22.93,22.15,22.4,3540800,22.226415
"152",22.200001,22.34,21.73,22.25,6340800,22.077578
"153",22.32,22.549999,21.32,21.389999,10812300,21.224241
"154",21.379999,21.68,21.24,21.629999,3697100,21.462381
"155",21.74,21.84,21.469999,21.719999,2824500,21.551684
"156",21.549999,21.889999,21.370001,21.84,2975200,21.670755
"157",21.59,22.059999,21.52,22.049999,1765400,21.879127
"158",22.040001,22.379999,21.969999,22.01,2143300,21.839438
"159",21.98,22.16,21.76,22.15,2149000,21.978352
"160",21.83,22.030001,21.73,21.83,5045200,21.660832
"161",23.389999,23.59,22.65,22.65,11988700,22.474478
"162",22.709999,22.99,22.49,22.709999,6543100,22.534012
"163",22.610001,23,22.559999,22.73,8003100,22.553858
"164",22.73,22.83,22.15,22.559999,5997100,22.385175
"165",22.690001,23.280001,22.690001,23.219999,5460600,23.04006
"166",23.059999,23.48,22.700001,22.74,5677300,22.56378
"167",22.83,23.34,22.82,23.24,4228000,23.059906
"168",23.24,23.610001,23.24,23.43,5016400,23.248434
"169",23.299999,23.450001,23.129999,23.15,2727700,22.970603
"170",23.299999,23.33,22.860001,23.120001,3023300,22.940837
"171",23.139999,23.379999,23.1,23.290001,4044000,23.109519
"172",23.43,23.940001,23.41,23.65,4493400,23.466728
"173",23.639999,23.9,23.58,23.84,2504100,23.655256
"174",23.82,23.950001,23.68,23.93,2434200,23.744559
"175",23.82,23.9,23.67,23.75,2411700,23.565954
"176",23.73,24.09,23.620001,24,3249400,23.814016
"177",23.93,24.219999,23.76,24.200001,6472400,24.012467
"178",24.129999,24.139999,23.889999,24.129999,4457100,23.943008
"179",24.110001,24.6,24.059999,24.450001,7337200,24.26053
"180",24.43,24.57,24.360001,24.5,4459500,24.310142
"181",24.4,24.57,23.969999,24.110001,3836700,23.923165
"182",23.950001,24.15,23.83,23.91,4424400,23.823526
"183",23.91,24.139999,23.66,24.01,4595700,23.923165
"184",23.799999,23.940001,23.639999,23.879999,3777100,23.793634
"185",23.85,23.85,23.209999,23.209999,5087600,23.126057
"186",23.32,23.540001,23.09,23.15,3831700,23.066275
"187",23.08,23.57,23.07,23.57,11625300,23.484756
"188",24.370001,24.49,23.799999,23.92,9509700,23.83349
"189",23.75,23.84,23.379999,23.379999,4574500,23.295442
"190",23.4,23.629999,23.4,23.43,4231000,23.345263
"191",23.43,23.709999,23.389999,23.57,3322500,23.484756
"192",23.52,23.549999,23.139999,23.43,3080700,23.345263
