"","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"1",57.470001,57.939999,57.389999,57.900002,11609200,56.007444
"2",57.48,57.790001,56.98,57.27,14232200,55.398036
"3",57.07,57.419998,56.869999,57.040001,11670200,55.175554
"4",57.029999,57.669998,56.880001,57.040001,12040800,55.175554
"5",56.849998,56.950001,56.330002,56.869999,11199100,55.011109
"6",56.790001,57.59,56.68,57.419998,11200500,55.543131
"7",57.290001,57.810001,56.950001,57.779999,13729400,55.891364
"8",57.689999,57.689999,57.209999,57.299999,11624400,55.427054
"9",57.689999,57.77,57.349998,57.549999,17124800,55.668883
"10",57.540001,58.220001,57.240002,58.189999,16007700,56.287962
"11",57.880001,58.119999,57.299999,57.419998,12322900,55.543131
"12",57.220001,57.740002,56.869999,57.529999,14836600,55.649536
"13",57.34,57.490002,56.599998,57.389999,11854400,55.514113
"14",57.330002,57.700001,57.240002,57.529999,10178600,55.649536
"15",57.439999,57.779999,57.380001,57.619999,11549000,55.736594
"16",57.150002,57.990002,57.080002,57.57,14472200,56.077519
"17",57.27,57.48,56.82,56.970001,19189900,55.493075
"18",57.23,57.650002,57,57.049999,12599800,55.571
"19",56.889999,56.990002,56.400002,56.669998,13916100,55.20085
"20",56.349998,56.470001,55.630001,55.759998,18343400,54.314441
"21",55.880001,56.119999,55.610001,56.02,10914300,54.567703
"22",55.060001,55.810001,54.959999,55.560001,12436600,54.119629
"23",55.290001,55.91,55.189999,55.799999,10230000,54.353405
"24",56.529999,56.84,56.200001,56.290001,14004400,54.830704
"25",57.950001,58.689999,57.759998,58.27,36178000,56.759373
"26",58.509998,58.98,58.310001,58.709999,20507500,57.187964
"27",58.560001,58.860001,57.759998,57.860001,17013500,56.360002
"28",58.330002,58.48,57.900002,58.23,12803300,56.720409
"29",58.119999,58.41,57.900002,58.240002,9141400,56.730152
"30",58.419998,58.799999,58.369999,58.669998,10375200,57.149001
"31",58.759998,59.189999,58.52,59,11122100,57.470447
"32",59.07,59.349998,58.990002,59.169998,9844100,57.636038
"33",58.919998,59.27,58.84,59.009998,10500600,57.480186
"34",58.939999,59.259998,58.669998,59.189999,12382800,57.65552
"35",59.130001,59.130001,58.439999,58.639999,13498800,57.11978
"36",59.02,59.279999,58.610001,58.91,11815700,57.38278
"37",58.650002,58.68,57.66,57.669998,15955900,56.174925
"38",57.389999,57.490002,55.970001,56.48,23915400,55.015777
"39",56.91,56.98,56.34,56.650002,13543900,55.181372
"40",56.43,56.599998,55.599998,56.060001,16863300,54.606667
"41",55.889999,56.689999,55.830002,56.23,12190600,54.772258
"42",56.630001,56.689999,55.68,55.91,11743800,54.460554
"43",55.889999,56.360001,55.639999,56.34,12213200,54.879407
"44",56.540001,56.580002,56.169998,56.32,9066800,54.859925
"45",56.23,56.549999,56.130001,56.349998,11289600,54.889146
"46",56.689999,56.84,56.509998,56.720001,7019500,55.249557
"47",56.77,57,56.700001,56.98,8275900,55.502815
"48",57.240002,57.5,56.389999,56.75,12727400,55.278778
"49",56.860001,57.43,56.759998,57.23,8881400,55.746333
"50",57.599998,57.720001,57.34,57.560001,9040500,56.06778
"51",57.419998,57.849998,57.389999,57.639999,8121400,56.145704
"52",57.66,58.77,57.599998,58.5,12745500,56.98341
"53",58.439999,59.080002,58.330002,58.490002,10228600,56.97367
"54",58.98,59.830002,58.860001,59.34,13996800,57.801633
"55",59.57,59.950001,59.389999,59.740002,10281100,58.191265
"56",59.849998,59.950001,59.529999,59.59,11410900,58.045152
"57",59.25,59.369999,58.810001,59.16,9096100,57.626299
"58",59.34,59.650002,59.23,59.450001,8897900,57.908782
"59",59.459999,59.709999,59.150002,59.669998,8671100,58.123076
"60",60.02,60.369999,59.459999,59.700001,11791800,58.152301
"61",59.630001,60.139999,59.43,59.709999,9811900,58.16204
"62",59.619999,59.91,59.220001,59.91,9600900,58.356856
"63",59.84,60.220001,59.740002,59.889999,8090000,58.337374
"64",59.630001,59.68,58.779999,59.060001,14868700,57.528893
"65",59.150002,59.560001,58.919998,59.220001,9153800,57.684745
"66",59.18,59.84,58.970001,59.759998,11467000,58.210743
"67",59.799999,60.41,59.75,60.029999,14373700,58.473744
"68",59.779999,59.990002,59.450001,59.939999,10685600,58.386077
"69",59.709999,60.200001,59.619999,59.990002,10947900,58.434784
"70",59.950001,60.59,59.82,60.310001,15091800,58.746487
"71",60.540001,61.400002,60.540001,61.32,16973700,59.730302
"72",61.740002,61.849998,60.98,61.110001,18739300,59.525747
"73",60.939999,61.450001,60.799999,60.91,13225200,59.330931
"74",60.82,61.400002,60.77,60.939999,14328800,59.360152
"75",61.18,61.639999,61.02,61.630001,13728200,60.032267
"76",61.490002,61.5,60.150002,60.150002,16340100,58.590635
"77",60.330002,60.880001,60.32,60.560001,11948900,58.990006
"78",60.029999,60.5,59.73,60.330002,10686500,58.765969
"79",60.400002,60.740002,60.130001,60.240002,14384800,58.678302
"80",60.240002,60.400002,59.73,59.77,18995800,58.220486
"81",59.150002,59.490002,58.610001,58.84,24559100,57.700749
"82",59.25,60.389999,59.049999,60.299999,18321100,59.132479
"83",60.779999,60.799999,60,60.18,11578000,59.014804
"84",59.919998,59.919998,59.189999,59.27,14542000,58.122423
"85",59.360001,60.43,59.18,60.400002,15834100,59.230546
"86",60.330002,60.330002,58.889999,59.080002,19189500,57.936103
"87",59.029999,59.82,58.509998,58.52,16689400,57.386945
"88",58.5,59.150002,58.110001,58.16,17169300,57.033914
"89",56.689999,58.52,56.060001,57.990002,29096800,56.867208
"90",57.02,57.380001,54.259998,55.529999,37866900,54.454835
"91",54.75,55.98,54.279999,55.080002,31965100,54.013551
"92",55.73,56.779999,55.57,56.200001,20183500,55.111865
"93",56.099998,56.75,56.07,56.630001,10807600,55.533539
"94",57.23,58.009998,57.080002,57.93,14020400,56.808368
"95",58.040001,58.259998,57.439999,57.450001,13750700,56.337662
"96",58.119999,58.599998,57.939999,58.060001,12641900,56.935852
"97",58,58.779999,58,58.740002,13758000,57.602686
"98",58.450001,58.790001,58.25,58.639999,11087100,57.50462
"99",58.869999,59.689999,58.810001,59.630001,13600900,58.475454
"100",59.619999,59.779999,58.759998,59.290001,16712100,58.142037
"101",58.939999,59.68,58.919998,59.389999,14705200,58.240099
"102",60.119999,60.540001,59.869999,60.48,18347600,59.308995
"103",60.790001,61.150002,60.360001,60.880001,11841200,59.701251
"104",60.240002,60.369999,59.419998,60.25,15295800,59.083448
"105",60.799999,61.23,60.389999,61.150002,14063800,59.966024
"106",61.080002,61.310001,60.630001,61.23,10421600,60.044473
"107",61.07,61.549999,60.860001,61.470001,12384600,60.279828
"108",61.25,61.93,61.200001,61.93,10801000,60.730921
"109",61.709999,61.889999,61.290001,61.369999,12539800,60.181762
"110",60.419998,60.84,60.23,60.560001,17219600,59.387447
"111",60.5,60.630001,59.990002,60.23,12240400,59.063835
"112",60.25,60.619999,60.18,60.279999,6802000,59.112866
"113",60,60.529999,59.889999,60.380001,9017600,59.210932
"114",60.349998,60.82,60.200001,60.529999,8897800,59.358026
"115",60.450001,60.790001,60.150002,60.599998,9207700,59.42667
"116",60.200001,60.25,59.75,60.119999,10916600,58.955964
"117",61.07,61.07,60.299999,60.450001,12340500,59.279577
"118",60.700001,61.310001,60.700001,60.959999,8334800,59.779701
"119",61.16,61.16,59.950001,60.299999,14802600,59.132479
"120",60.57,60.57,60.200001,60.34,7626600,59.171706
"121",60.400002,60.560001,60.029999,60.16,6759600,58.995191
"122",59.98,60.209999,59.549999,60,12771600,58.838289
"123",60.009998,61.189999,60,61.080002,12503700,59.89738
"124",60.959999,61.619999,60.810001,61.540001,12115500,60.348472
"125",61.099998,61.57,60.84,61.380001,11515200,60.19157
"126",62.009998,63.060001,61.880001,62.700001,20071100,61.486013
"127",62.599998,63.16,62.259998,62.669998,15528200,61.456591
"128",61.849998,62.849998,61.560001,62.450001,19676400,61.240853
"129",62.16,62.240002,60.369999,60.68,29620600,59.505123
"130",61.169998,62.060001,61.110001,61.139999,16886200,59.956216
"131",60.529999,61.220001,59.959999,60.040001,17405400,58.877515
"132",60.740002,60.810001,58.790001,59.16,19209900,58.014553
"133",58.419998,59.860001,58.110001,58.43,20709700,57.298687
"134",58.57,59.830002,58.34,59.77,17856400,58.612742
"135",60.639999,61.48,60.439999,61.48,18173400,60.289633
"136",61.400002,62.349998,61.369999,61.93,22756400,60.730921
"137",62.16,62.330002,61.610001,61.939999,17073400,60.740725
"138",62.049999,62.970001,61.93,62.48,13552600,61.270271
"139",62.740002,62.869999,62.27,62.48,7412500,61.270271
"140",62.669998,62.889999,62.41,62.549999,6086500,61.338915
"141",62.419998,63.34,62.25,62.959999,10601200,61.740977
"142",62.720001,63.279999,62.57,63.150002,7518100,61.9273
"143",63.299999,63.490002,62.580002,62.580002,18529400,61.368337
"144",62.18,62.959999,62.07,62.490002,12600000,61.67429
"145",62.060001,62.279999,60.23,60.549999,20100600,59.759611
"146",60.639999,60.75,58.349998,58.98,29074100,58.210105
"147",59.889999,59.889999,58.669998,59.07,23843200,58.298931
"148",59.970001,60.900002,59.970001,60.389999,16971100,59.6017
"149",60.720001,60.790001,59.290001,59.34,15396200,58.565407
"150",59.279999,59.400002,58.27,58.830002,15455200,58.062066
"151",59.259998,59.700001,58.369999,58.84,21644700,58.071934
"152",56.91,57,55.27,56.810001,49602300,56.068433
"153",55.73,56.610001,54.5,54.990002,42458100,54.272191
"154",54.66,56,54.639999,55.93,29368900,55.199919
"155",56.040001,56.389999,55.419998,55.709999,23477700,54.98279
"156",55.450001,56.419998,55.189999,55.889999,21842400,55.160441
"157",56.380001,57.73,55.959999,57.59,31423500,56.83825
"158",57.720001,57.869999,56.66,56.68,15458300,55.940129
"159",56.41,56.990002,56.200001,56.77,12577700,56.028955
"160",56.049999,56.610001,55.759998,56.200001,15220500,55.466395
"161",56.619999,56.68,54.75,54.75,24354400,54.035322
"162",55.27,55.889999,54.68,55.669998,20393300,54.943311
"163",54.990002,55.5,54.369999,54.380001,26943700,53.670153
"164",54.529999,55.650002,54.27,55.470001,20308900,54.745925
"165",55.91,56.779999,55.869999,56.720001,18812500,55.979608
"166",56.32,57.07,56.279999,56.380001,14934100,55.644046
"167",56.860001,57.040001,56.459999,56.77,11293900,56.028955
"168",57.75,58.73,57.540001,57.889999,25009100,57.134334
"169",57.419998,58.099998,57.23,57.82,14372400,57.065248
"170",58.419998,58.709999,58.049999,58.459999,16367300,57.696893
"171",58.060001,58.66,57.84,58.369999,13061900,57.608068
"172",58.93,59.709999,58.549999,59.57,23211300,58.792404
"173",59.459999,60.220001,59.34,59.669998,16479100,58.891097
"174",59.360001,60.139999,59.32,60.099998,15308800,59.315485
"175",60.099998,60.099998,59.119999,59.369999,14278100,58.595014
"176",59.150002,59.48,58.799999,59.23,11256500,58.456842
"177",58.959999,59.889999,58.349998,59.799999,15379000,59.019401
"178",59.5,59.529999,58.799999,59.349998,16814000,58.575275
"179",60.25,61.25,60.080002,60.82,22937700,60.026087
"180",60.759998,61.27,60.75,61.139999,18307900,60.34191
"181",61.029999,61.700001,60.91,61.580002,15444800,60.776169
"182",61.130001,61.919998,61.130001,61.279999,15225900,60.480082
"183",61.279999,61.830002,61.029999,61.77,13047300,60.963687
"184",61.650002,61.990002,61.5,61.970001,13706900,61.161077
"185",61.639999,62.169998,61.349998,62.130001,16625500,61.318989
"186",62.200001,62.23,61.599998,62,10931300,61.190684
"187",62.16,62.869999,60.799999,60.889999,22719200,60.095173
"188",60.84,61.630001,60.799999,61.5,13001500,60.697211
"189",60.759998,61.009998,59.959999,59.959999,16357700,59.177313
"190",60.130001,60.650002,59.959999,60.240002,13015600,59.45366
"191",60.650002,61.450001,60.650002,61.369999,18159600,60.568907
"192",61.400002,61.860001,60.43,61,16506200,60.203738
"193",61.5,61.919998,61.25,61.849998,15182900,61.042641
"194",61.34,61.66,60.919998,61.610001,11718300,60.805776
"195",61.389999,62.049999,61.09,61.75,15697900,60.943948
"196",61.57,61.650002,60.759998,61.200001,11523800,60.401128
"197",61.32,62.099998,61.150002,61.75,18368300,60.943948
"198",61.75,62.080002,61.119999,61.139999,15112900,60.34191
"199",60.970001,61.240002,60.450001,60.459999,12128700,59.670786
"200",60.529999,60.639999,59.59,59.610001,14950900,58.831883
"201",59.459999,59.790001,58.869999,59.540001,14039600,58.762797
"202",59.490002,59.779999,59,59.549999,11755800,58.772665
"203",60.880001,61.459999,60.610001,60.959999,20656500,60.164259
"204",60.720001,60.939999,60.419998,60.580002,17346700,59.789222
"205",60.41,60.57,59.73,59.950001,18100600,59.560715
"206",60.07,60.700001,60,60.52,12697800,60.127013
"207",59.919998,60.75,59.650002,60.470001,12025200,60.077339
"208",61.150002,61.5,60.849998,60.849998,11505500,60.454868
"209",61.060001,61.560001,60.939999,61.049999,11734000,60.653571
"210",61.27,61.580002,60.830002,61.470001,11728500,61.070845
"211",61.349998,61.779999,61.200001,61.700001,9869700,61.299351
"212",61.639999,62.27,61.5,62.07,15468700,61.666948
"213",62.959999,63.610001,62.740002,63.040001,33775400,62.63065
"214",63.080002,64.480003,63.009998,64.209999,28732200,63.793051
