"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"1",185.960007,187.080002,184.529999,185.589996,1085400,184.764338
"2",184.990005,187.479996,184.020004,187.160004,1131100,186.32736
"3",186.279999,186.830002,182.330002,183.270004,1249800,182.454667
"4",183.339996,184.050003,182.009995,182.610001,863700,181.7976
"5",182.720001,183.470001,181.740005,182.550003,948100,181.737869
"6",181.789993,185.039993,181.279999,184.660004,1030600,183.838482
"7",184.550003,185.699997,182.479996,185.25,1002000,184.425854
"8",185.960007,186.880005,183.979996,185.289993,9e+05,184.465669
"9",185.460007,186.479996,184,185.490005,1399900,184.664792
"10",184.830002,186.679993,184.100006,186.199997,925000,185.371625
"11",181.699997,186.710007,181.699997,184.429993,934400,183.609495
"12",184.490005,187.970001,183.389999,187.350006,971500,186.516518
"13",187.479996,188.949997,187.410004,188.089996,1031400,187.253216
"14",188.220001,189.259995,187.869995,188.919998,1036400,188.079525
"15",189,189.050003,185.770004,186.210007,1342900,185.38159
"16",186.5,190.149994,185.929993,189.460007,1448000,188.617131
"17",189,190.710007,188.830002,189.440002,922900,188.597216
"18",189.410004,190.240005,188.460007,190,486100,189.154722
"19",189.929993,190.729996,188.839996,189.610001,893500,188.766458
"20",189.110001,189.990005,185.660004,188,1199600,187.16362
"21",188.339996,190.009995,187.279999,189.699997,1070700,188.856054
"22",188.190002,189.830002,187.25,188.990005,842300,188.149221
"23",188.990005,189.279999,187.570007,188.970001,494900,188.129306
"24",190,190.660004,188.919998,190.410004,745800,189.562902
"25",189.960007,190.350006,188.009995,188.770004,958800,187.930198
"26",189.600006,189.600006,187.179993,188.419998,817700,187.581749
"27",188.279999,190.490005,188.020004,188.710007,1127600,187.870468
"28",188.919998,191.520004,188.199997,191.449997,1372500,190.598268
"29",191.229996,191.229996,188.050003,188.449997,1021700,187.611615
"30",188.770004,191.050003,188.699997,190.800003,681200,189.951166
"31",190.699997,191.470001,189.779999,190.679993,652500,189.83169
"32",193.520004,194.800003,191.660004,193.580002,1446600,192.718797
"33",193.199997,195.199997,191.490005,191.800003,632200,190.946717
"34",191.820007,191.990005,189.770004,191.419998,609400,190.568403
"35",191.660004,192.610001,190.539993,191.089996,741600,190.239869
"36",191.570007,192.389999,190.380005,191.25,1093900,190.399161
"37",193.149994,195.889999,191.470001,191.860001,2543300,191.006448
"38",193.009995,195.529999,190.240005,195.429993,2218300,194.560558
"39",196.039993,196.440002,191.699997,193.669998,1339900,192.808393
"40",192.100006,193.5,190.990005,191.809998,1080900,190.956667
"41",191.070007,192.979996,189.820007,190.440002,1022700,189.592767
"42",190.75,190.970001,185.839996,186.580002,1437200,185.749939
"43",186.860001,189.979996,186.330002,189.830002,964100,188.98548
"44",190.119995,192.559998,190.110001,191.289993,9e+05,190.438976
"45",190.020004,191.259995,187.880005,188.169998,1264200,187.332862
"46",189.529999,190.580002,188.820007,189.75,824200,188.905834
"47",190.419998,192.309998,190.419998,192.139999,810000,191.285201
"48",192.740005,193.490005,189.779999,191.149994,855400,190.2996
"49",191.580002,192.550003,190.690002,192.119995,591200,191.265286
"50",192.179993,194.580002,192.039993,194.190002,722900,193.326084
"51",193.699997,194.5,193,193.589996,481800,192.728747
"52",193.860001,194.419998,192.949997,193.449997,693800,192.589371
"53",193.559998,193.940002,191.630005,192,963400,191.145824
"54",193.110001,194.699997,192.070007,193.910004,697100,193.047331
"55",193.809998,194.25,193.009995,193.770004,564600,192.907954
"56",194.110001,194.110001,191.419998,192.039993,622900,191.18564
"57",191.330002,193.380005,191.330002,193.050003,590500,192.431646
"58",193.990005,195.110001,192.970001,195.029999,807300,194.405299
"59",195,195.320007,193.020004,195.309998,839300,194.684401
"60",196.880005,197.130005,194.279999,194.979996,619300,194.355456
"61",195.399994,197,194.830002,195.660004,988600,195.033286
"62",195.550003,198.339996,195.119995,198.339996,997100,197.704695
"63",198.399994,200,198.25,199.630005,864100,198.990571
"64",199.600006,199.979996,196.279999,196.490005,903500,195.86063
"65",197.240005,197.240005,195.179993,195.529999,699000,194.903698
"66",195.149994,195.550003,193.020004,193.669998,1034400,193.049655
"67",194,194.380005,191.949997,192.460007,1113000,191.843539
"68",193.100006,193.240005,191.009995,191.779999,636900,191.165709
"69",191.479996,195.460007,190.300003,195.300003,1047100,194.674439
"70",195.300003,196.179993,193.949997,195.539993,723800,194.91366
"71",195.610001,197,195.009995,196,562600,195.372194
"72",197.339996,197.600006,195.679993,195.789993,991700,195.16286
"73",194.839996,195.300003,193.25,194.309998,631900,193.687604
"74",196.050003,196.050003,193.210007,194.690002,850900,194.066392
"75",195.100006,197.460007,194.660004,197.289993,1032600,196.658055
"76",196.520004,196.75,193.550003,194.009995,625200,193.388562
"77",194.160004,195.320007,193.160004,194.800003,640800,194.17604
"78",193.910004,196.839996,193.619995,196.520004,1024200,195.890532
"79",196.5,197.339996,194.350006,194.669998,812200,194.046452
"80",194.919998,194.990005,191.949997,192.570007,734800,191.953187
"81",192.789993,196.220001,192.410004,194.850006,954400,194.225883
"82",196.330002,200.919998,195.520004,199.600006,1231100,198.960669
"83",200.050003,200.300003,196.029999,196.619995,1069600,195.990203
"84",195.050003,195.979996,193.619995,193.660004,767900,193.039692
"85",194.880005,199.820007,194.350006,199.729996,1128100,199.090242
"86",199.589996,199.970001,195.759995,195.820007,1235000,195.192777
"87",195.919998,198.240005,193.949997,193.970001,1401400,193.348697
"88",194.020004,194.020004,189.610001,189.669998,1191200,189.062467
"89",189.990005,190.970001,185.889999,188.619995,1369000,188.015828
"90",186.410004,187.089996,178.279999,185.020004,2306400,184.427368
"91",181.660004,187.389999,181.559998,185.320007,1616400,184.72641
"92",188.130005,192.289993,187.509995,191.229996,1290700,190.617468
"93",190.309998,193.259995,190.309998,193.089996,917900,192.471511
"94",194.75,198.050003,194.75,196.929993,1405100,196.299207
