"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"1",68.349998,70.199997,68.010002,69.900002,1339900,69.900002
"2",69.389999,70.709999,69.360001,70.019997,996700,70.019997
"3",70,70.830002,69.650002,70.629997,1032000,70.629997
"4",70,70.050003,67.919998,68.870003,2246900,68.870003
"5",68.800003,70.639999,68.360001,70.379997,1658200,70.379997
"6",70,70.470001,69.050003,70.239998,991300,70.239998
"7",70.169998,71.970001,69.980003,71.379997,1595400,71.379997
"8",72.5,73.239998,72,72.75,2109300,72.75
"9",72.900002,72.940002,71.940002,72.690002,1718600,72.690002
"10",72.739998,73.379997,72.379997,73.25,1363600,73.25
"11",72.919998,72.919998,71.169998,71.220001,1383000,71.220001
"12",71.209999,71.370003,70.220001,70.449997,904400,70.449997
"13",70.449997,70.449997,69.82,69.870003,783300,69.870003
"14",69.889999,70.239998,69.110001,69.25,1605000,69.25
"15",69.400002,71.059998,69.279999,71.029999,1729300,71.029999
"16",70.889999,70.959999,69.790001,70.139999,865600,70.139999
"17",70,71.029999,69.779999,69.849998,883400,69.849998
"18",70.029999,70.620003,69.93,70.150002,1039500,70.150002
"19",70.150002,70.540001,69.650002,69.970001,810300,69.970001
"20",69.889999,69.970001,69.169998,69.349998,1321600,69.349998
"21",69.360001,69.849998,68.879997,68.980003,1290900,68.980003
"22",68.269997,70.940002,67.669998,70.860001,1478000,70.860001
"23",71.379997,72,70.150002,71,1032700,71
"24",70.980003,71.400002,70.190002,70.309998,1210500,70.309998
"25",70,70.330002,68.059998,69.07,2235500,69.07
"26",68.519997,68.989998,67,67.050003,1897900,67.050003
"27",66.989998,67,66.220001,66.279999,1886000,66.279999
"28",66.699997,67.849998,66.25,67.809998,1151300,67.809998
"29",66.18,66.699997,64.620003,64.739998,2574300,64.739998
"30",64.730003,66.339996,64.720001,65.449997,1659900,65.449997
"31",65.480003,66.07,64.919998,65.419998,1185000,65.419998
"32",65.739998,66.849998,65.5,66.669998,1271800,66.669998
"33",66.529999,67.239998,66.400002,67.010002,1056900,67.010002
"34",65.169998,66.160004,64.510002,65,2058100,65
"35",65.080002,65.660004,64.830002,65.089996,1065500,65.089996
"36",65.550003,65.629997,64.32,64.860001,1398100,64.860001
"37",64.519997,64.879997,63.82,63.959999,2133300,63.959999
"38",64.25,65.610001,64.169998,65.209999,1680000,65.209999
"39",65.489998,65.949997,65.019997,65.550003,1208000,65.550003
"40",65.209999,65.93,64.449997,65.110001,1496800,65.110001
"41",64.269997,66.239998,64.269997,66.040001,1636100,66.040001
"42",66.309998,66.5,64.870003,65.099998,1665300,65.099998
"43",69.360001,71.199997,68.489998,69.449997,3233800,69.449997
"44",69.870003,70.559998,69,70.139999,1356200,70.139999
"45",70.220001,70.860001,70.029999,70.699997,1149400,70.699997
"46",70.860001,71.330002,70.669998,71.150002,759800,71.150002
"47",71.230003,71.839996,70.900002,71.650002,1978300,71.650002
"48",92.440002,94.93,90.029999,93.489998,19682800,93.489998
"49",91.989998,92.330002,88.099998,88.440002,6831800,88.440002
"50",88.660004,89.620003,88.040001,89.040001,3190400,89.040001
"51",89.099998,89.769997,87.889999,88.489998,1987900,88.489998
"52",88.400002,89.160004,87.220001,87.5,2094400,87.5
"53",87.5,87.860001,85.980003,86.370003,2620500,86.370003
"54",86.760002,87.489998,86.279999,86.400002,1286300,86.400002
"55",86.25,88.059998,86.25,87.010002,1471600,87.010002
"56",86.720001,87.360001,86.339996,86.550003,939900,86.550003
"57",86.309998,88.220001,86.010002,88.160004,1279100,88.160004
"58",88.510002,88.75,87.699997,88.410004,1062600,88.410004
