"","MWV.Open","MWV.High","MWV.Low","MWV.Close","MWV.Volume","MWV.Adjusted"
"1",44.139999,44.380001,43.970001,44.029999,1304200,43.094235
"2",43.919998,43.970001,43.689999,43.830002,1016500,42.898488
"3",43.889999,44,43.200001,43.290001,1200900,42.369964
"4",43.43,43.490002,43.150002,43.310001,1220600,42.38954
"5",43.32,43.82,43.130001,43.610001,1593600,42.683163
"6",43.52,43.689999,43.34,43.630001,1191400,42.702738
"7",43.630001,43.82,43.040001,43.450001,2033300,42.526564
"8",43.599998,43.709999,43.380001,43.419998,2038100,42.497199
"9",43.549999,44.060001,43.490002,43.700001,3250100,42.77125
"10",43.790001,44,43.509998,43.599998,1062600,42.673373
"11",43.57,43.939999,43.310001,43.330002,1255800,42.409115
"12",43.259998,43.880001,43.189999,43.630001,841000,42.702738
"13",43.740002,44.220001,43.540001,44.200001,1377300,43.260624
"14",44,44.439999,43.869999,44.27,1048100,43.329136
"15",44.509998,44.59,43.970001,44.259998,1454200,43.319346
"16",44.240002,44.720001,44.240002,44.52,837700,43.573823
"17",44.439999,44.610001,43.959999,44.119999,602100,43.182322
"18",44.240002,44.560001,44.200001,44.380001,471000,43.436799
"19",44.220001,44.349998,43.599998,43.830002,601700,42.898488
"20",43.759998,43.790001,43.150002,43.349998,1081900,42.428687
"21",43.66,43.77,43.459999,43.709999,582300,42.781036
"22",43.220001,43.59,43.18,43.529999,419100,42.604861
"23",43.59,43.849998,43.529999,43.709999,558500,42.781036
"24",44.009998,44.16,43.759998,44.130001,655600,43.192112
"25",44.150002,44.439999,43.939999,43.98,813200,43.045298
"26",44.200001,44.279999,43.610001,44.060001,589800,43.1236
"27",43.720001,43.919998,43.34,43.41,469700,42.487413
"28",43.529999,44.209999,43.360001,44.02,554300,43.084449
"29",43.669998,43.82,43.34,43.689999,503200,42.761461
"30",43.919998,44.040001,43.029999,43.07,1013500,42.154639
"31",43.209999,43.580002,42.790001,43.259998,655000,42.340599
"32",43.549999,44.66,43.330002,44.25,1154800,43.30956
