"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"1",50.700001,50.939999,50.470001,50.689999,925700,48.821605
"2",50.599998,50.880001,50.419998,50.790001,1133000,48.917921
"3",50.650002,50.68,50.119999,50.299999,1124000,48.445981
"4",50.400002,50.950001,50.290001,50.84,1301600,48.966078
"5",50.849998,51.060001,50.290001,50.389999,1282800,48.532664
"6",50.299999,51.41,50.07,51.18,1460900,49.293546
"7",51.450001,51.990002,51.240002,51.959999,1509800,50.044794
"8",51.93,52.220001,51.549999,51.68,1105100,49.775116
"9",50.470001,51.150002,50.16,50.52,3455000,48.657873
"10",50.419998,50.43,49.59,50.16,2708600,48.311142
"11",50.150002,50.369999,49.810001,49.889999,2177700,48.051093
"12",49.889999,50.380001,49.720001,50.310001,1774500,48.455614
"13",50.029999,50.220001,49.650002,49.849998,1574600,48.368287
"14",49.639999,49.830002,48.98,49.09,2503500,47.630878
"15",49,49.34,48.720001,49.25,1875800,47.786122
"16",49.43,49.689999,49.139999,49.150002,1461300,47.689096
"17",49.23,49.73,49.200001,49.66,1382600,48.183936
"18",49.740002,50.75,49.720001,50.529999,1748000,49.028075
"19",50.139999,50.240002,49.580002,49.68,2319900,48.203341
"20",49.91,50,49.32,49.84,1367800,48.358586
"21",49.93,50.470001,49.889999,50.200001,1932200,48.707886
"22",49.849998,50.099998,49.580002,49.68,1317500,48.203341
"23",49.259998,49.720001,49.189999,49.419998,1809400,47.951068
"24",49.700001,49.75,49.029999,49.23,1519800,47.766716
"25",49.389999,49.73,49.18,49.599998,1679600,48.125718
"26",49.990002,50.66,49.959999,50.5,2014100,48.998968
"27",50.09,50.450001,49.709999,49.799999,1516300,48.319774
"28",49.919998,50.490002,49.860001,50.27,1975000,48.775805
"29",50.189999,50.639999,49.919998,50.450001,1536000,48.950455
"30",50.650002,50.880001,50.560001,50.689999,1329400,49.183319
"31",50.73,51.049999,50.41,51,2708800,49.484106
"32",51.830002,52.939999,50.91,51.110001,1858200,49.590837
"33",51.099998,51.349998,50.849998,51.330002,1341800,49.804299
"34",51.220001,51.610001,50.959999,51.240002,1208400,49.716974
"35",51.41,51.610001,51,51.02,1128300,49.503512
"36",51.66,51.810001,51.139999,51.240002,1870200,49.716974
"37",50.799999,51.259998,50.150002,50.220001,1650100,48.727292
"38",49.889999,50.689999,49.52,49.810001,1517900,48.329478
"39",50.040001,50.27,49.549999,50.189999,1202600,48.698181
"40",49.91,50.57,49.700001,49.970001,1143000,48.484723
"41",49.790001,50.830002,49.790001,50.630001,1397800,49.125105
"42",50.740002,50.869999,49.880001,50.09,1242800,48.601155
"43",50.07,51.09,50.009998,51.07,956300,49.552025
"44",51.299999,51.490002,50.939999,50.970001,1180800,49.454999
"45",50.950001,51.130001,50.669998,51.040001,926600,49.522918
"46",51.209999,52.52,51.169998,52.490002,2239400,50.92982
"47",52.619999,52.669998,51.990002,52.189999,1731000,50.638734
"48",52.529999,52.650002,51.939999,52,1395700,50.454383
"49",52.34,53.66,52.310001,53.650002,2672500,52.055341
"50",53.810001,54.279999,53.630001,54,2076500,52.394936
"51",53.900002,54.389999,53.75,54.07,1181300,52.462855
"52",53.950001,54.02,53.59,53.75,1205200,52.152367
"53",53.59,53.919998,53.470001,53.75,1174300,52.152367
