"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume","ORCL.Adjusted"
"1",42.57,42.880001,42.490002,42.66,13457200,41.985774
"2",42.450001,42.880001,42.360001,42.560001,9622700,41.887356
"3",42.529999,42.619999,41.84,42,11060900,41.336205
"4",42.049999,42.18,41.709999,42.139999,10324600,41.473992
"5",42,42.23,41.77,42.150002,8150200,41.483836
"6",42.189999,42.700001,41.98,42.32,12792400,41.651147
"7",42.380001,42.860001,42.299999,42.810001,10307000,42.133404
"8",42.93,43.189999,42.43,42.509998,27255800,41.838143
"9",40.259998,40.939999,39.93,40.82,65103700,40.174854
"10",40.93,41.330002,40.75,41.099998,16956600,40.450427
"11",40.990002,41.389999,40.66,40.759998,16459200,40.115801
"12",40.73,40.84,40.389999,40.459999,13889400,39.820543
"13",40.549999,40.549999,39.98,40.150002,16642500,39.515445
"14",40.029999,40.66,40.029999,40.529999,15320500,39.889436
"15",40.599998,40.82,40.490002,40.529999,14098200,39.889436
"16",40.41,40.91,40.41,40.77,13147000,40.125645
"17",40.93,41.200001,40.77,40.950001,13400200,40.3028
"18",40.98,41.360001,40.970001,41.34,7863600,40.686636
"19",41.009998,41.110001,40.75,40.889999,11959400,40.360905
"20",40.689999,40.849998,40.380001,40.560001,12350600,40.035177
"21",40.610001,40.720001,39.990002,40.259998,14711600,39.739056
"22",39.889999,40.52,39.889999,40.32,9566900,39.798281
"23",40.490002,40.490002,39.98,40.130001,11942300,39.610741
"24",40.43,40.68,40.259998,40.490002,13586800,39.966083
"25",40.380001,40.810001,40.360001,40.540001,11813800,40.015435
"26",40.810001,40.880001,40.130001,40.259998,14722600,39.739056
"27",40.209999,40.709999,39.860001,39.91,24447800,39.393586
"28",39.98,40.16,39.889999,40,19123500,39.482422
"29",40.029999,40.240002,39.919998,40.009998,15864700,39.492291
"30",40.139999,40.700001,39.959999,40.43,13728100,39.906858
"31",40.43,40.650002,40.240002,40.310001,9191700,39.788412
"32",40.349998,40.669998,40.349998,40.470001,10797700,39.946342
"33",40.27,40.639999,40.27,40.330002,7483800,39.808154
"34",40.310001,40.82,40.23,40.549999,9658200,40.025304
"35",40.709999,40.919998,40.5,40.630001,9450400,40.104271
"36",40.709999,41.029999,40.580002,40.959999,11406300,40.429999
"37",40.650002,40.939999,40.349998,40.389999,13689500,39.867375
"38",40.189999,40.529999,39.57,39.610001,15074700,39.097469
"39",39.630001,40.220001,39.529999,40.099998,12356200,39.581126
"40",40.009998,40.380001,39.810001,39.959999,8806600,39.442939
"41",39.849998,40.349998,39.779999,40.16,8184800,39.640351
"42",40.299999,40.43,39.59,39.669998,9180500,39.15669
"43",39.73,39.970001,39.560001,39.939999,8862000,39.423197
"44",39.990002,40.139999,39.810001,39.919998,10292800,39.403455
"45",39.740002,40.040001,39.73,39.900002,6704300,39.383717
"46",40.119999,40.299999,40.02,40.240002,10629700,39.719318
"47",40.290001,40.400002,39.98,40.220001,9707000,39.699576
"48",40.240002,40.59,39.98,40.279999,13418800,39.758798
"49",40.450001,40.77,40.400002,40.639999,7633600,40.11414
"50",40.720001,41.580002,40.639999,41.41,14378600,40.874177
"51",41.580002,41.580002,41.09,41.25,9627100,40.716248
"52",41.16,41.810001,41.16,41.580002,9569200,41.041979
"53",41.34,41.799999,41.27,41.630001,9260700,41.091332
"54",41.740002,42.040001,41.639999,41.740002,8856700,41.199909
"55",41.849998,42,41.779999,41.84,7320800,41.298613
"56",41.75,41.799999,41.419998,41.639999,8440000,41.101201
"57",41.669998,41.669998,41.209999,41.27,8737100,40.735989
"58",41.240002,41.73,41.240002,41.529999,8970900,40.992623
"59",41.599998,41.68,41.459999,41.66,8538600,41.120942
"60",41.799999,41.950001,41.619999,41.900002,10041600,41.357838
"61",41.889999,42.09,41.369999,41.549999,12248100,41.012365
"62",41.610001,41.759998,41.259998,41.27,15155600,40.735989
"63",41.009998,41.18,40.27,40.639999,19658500,40.11414
"64",40.509998,40.91,40.43,40.709999,14044100,40.183234
"65",40.700001,40.810001,40.57,40.709999,9134500,40.183234
"66",40.25,40.689999,40.200001,40.68,12389100,40.153623
"67",40.740002,40.740002,40.400002,40.5,11912300,39.975952
"68",40.5,40.77,40.209999,40.66,14018100,40.133882
"69",40.810001,41.330002,40.5,41.189999,13220100,40.657023
"70",41.189999,41.330002,40.77,41.139999,14083300,40.60767
"71",41.349998,41.77,41.200001,41.549999,26454500,41.012365
"72",40.580002,40.66,39.279999,39.799999,86679100,39.285009
"73",39.68,39.740002,39.240002,39.580002,24572600,39.067858
"74",39.5,39.59,38.799999,38.830002,34353300,38.327563
"75",38.77,39.560001,38.57,39.419998,18937000,38.909925
"76",39.349998,39.349998,38.650002,38.759998,13287800,38.258465
"77",38.77,39.009998,38.52,38.950001,16006400,38.446009
"78",38.57,38.630001,38.27,38.439999,16586000,37.942606
"79",38.459999,38.57,38.139999,38.279999,21143300,37.784677
"80",38.32,38.41,37.950001,38.09,17452400,37.597136
"81",38.150002,38.549999,37.919998,38.27,14808100,37.774808
"82",38.5,39.119999,38.400002,38.889999,15289500,38.386784
"83",38.970001,39.240002,38.950001,39.080002,14168000,38.693723
"84",38.939999,39.080002,38.43,38.459999,14309200,38.079849
"85",38.82,39.049999,38.040001,39.02,16005500,38.634315
"86",38.990002,39.209999,38.509998,38.740002,15004900,38.357084
"87",38.66,39.099998,38.09,38.099998,18234100,37.723407
"88",38.110001,38.779999,37.860001,38.23,20723700,37.852123
"89",38.66,39.040001,38.419998,38.459999,19508500,38.079849
"90",37.98,38.43,37.18,38.299999,24561500,37.921431
"91",37.990002,38.18,37.52,37.560001,21419300,37.188747
"92",37.689999,38.02,37.34,37.869999,21122700,37.495681
"93",36.310001,37.810001,35.82,37.799999,16654100,37.426373
"94",38.290001,38.470001,38.040001,38.349998,15381900,37.970936
"95",38.369999,38.43,37.580002,37.639999,16810200,37.267954
"96",38.080002,38.5,38.009998,38.23,9659100,37.852123
"97",38.32,38.740002,38.25,38.73,8975900,38.347181
"98",38.5,38.720001,38.349998,38.43,7525300,38.050147
"99",38.34,38.73,38.34,38.650002,11631800,38.267973
"100",38.73,38.740002,38.459999,38.580002,10923800,38.198666
"101",38.400002,38.66,38.389999,38.5,9644200,38.119455
"102",38.880001,39.049999,38.830002,39.049999,16142800,38.664017
"103",39.02,39.040001,38.759998,38.990002,10318600,38.604613
"104",38.93,39.150002,38.900002,39.130001,12671000,38.743228
"105",39.34,39.509998,39.110001,39.290001,12280300,38.901647
"106",39.220001,39.860001,39.110001,39.810001,11603400,39.416507
"107",39.689999,39.970001,39.610001,39.939999,13728500,39.54522
"108",39.970001,40.490002,39.889999,40.450001,11058100,40.050181
"109",40.529999,40.59,40.349998,40.470001,7061000,40.069984
"110",40.560001,40.59,40.049999,40.139999,10957400,39.743244
"111",40.169998,40.77,39.889999,40.720001,11868700,40.317513
"112",40.860001,41.07,40.630001,40.84,11476000,40.436325
"113",40.709999,41.200001,40.630001,41.16,11987600,40.753162
"114",41.189999,41.48,41.110001,41.259998,9328200,40.852172
"115",41.150002,41.27,40.810001,40.919998,9202400,40.515533
"116",40.709999,41.009998,40.610001,40.919998,9055500,40.515533
"117",41.32,41.5,41.169998,41.439999,12641400,41.030393
"118",41.490002,41.639999,41.360001,41.43,9541000,41.020494
"119",41.509998,41.639999,41.150002,41.150002,12404200,40.743263
"120",41.18,41.91,41.18,41.869999,11590000,41.456143
"121",41.98,42.509998,41.889999,42.41,11890100,41.990807
"122",42.009998,42.380001,42.009998,42.080002,10802400,41.664071
"123",41.900002,42.360001,41.860001,42.18,9081800,41.763081
"124",41.939999,42.139999,41.639999,42.060001,10326000,41.644268
"125",42.119999,42.119999,41.490002,41.889999,9177100,41.475946
"126",42.02,42.02,41.59,41.93,8925300,41.515552
"127",41.91,42.029999,41.330002,41.369999,12766500,40.961086
"128",40.98,41.93,40.889999,41.869999,13897500,41.456143
"129",41.700001,41.810001,40.880001,40.919998,12547600,40.515533
"130",41.119999,41.639999,40.709999,40.759998,12395800,40.357114
"131",40.240002,40.779999,39.919998,39.950001,14108200,39.555123
"132",41.209999,41.650002,40.77,41.110001,22343100,40.703657
"133",40.889999,41.360001,40.610001,40.630001,16424500,40.228402
"134",41.060001,41.630001,40.68,41.16,18151000,40.753162
"135",43.830002,45.369999,43.57,45.349998,54495600,44.901746
"136",45.099998,46.150002,44.98,46,41782200,45.545322
"137",45.57,46.049999,45.41,45.650002,21264400,45.198783
"138",45.529999,46.5,45.459999,46.009998,14042400,45.555222
"139",46.360001,46.709999,46.150002,46.23,10238200,45.773048
"140",46.189999,46.5,46.07,46.099998,6893500,45.644332
"141",46.02,46.09,45.599998,45.610001,9701400,45.159178
"142",45.549999,45.66,45.290001,45.34,9968400,44.891846
"143",45.450001,45.560001,44.970001,44.970001,13269200,44.525504
"144",45.02,45.189999,43.970001,44.330002,15070200,43.891831
"145",44.16,44.25,43.580002,43.59,18369400,43.27629
"146",44.060001,44.18,42.990002,43.139999,19229500,42.829528
"147",43.330002,43.52,43.009998,43.150002,13502200,42.839458
"148",43.630001,43.939999,43.380001,43.41,17516900,43.097585
"149",43.98,44.099998,43.259998,43.389999,15948100,43.077728
"150",43.259998,43.77,42.860001,43.27,16050300,42.958593
"151",43.669998,43.950001,42.57,42.93,12869300,42.62104
"152",42.459999,43.169998,42.459999,43.060001,12707400,42.750105
"153",43.060001,43.639999,42.57,42.630001,13431000,42.3232
"154",42.490002,43.619999,42.25,43.509998,17786700,43.196864
"155",43.560001,44.029999,43.23,43.900002,16308400,43.58406
"156",43.689999,43.93,43.209999,43.490002,15876600,43.177011
"157",43.950001,45.330002,43.18,44.049999,17969100,43.732978
"158",43.98,44.540001,43.919998,44.189999,14150300,43.87197
"159",44.169998,44.209999,43.540001,43.900002,12059500,43.58406
"160",43.009998,43.869999,42.580002,43.400002,14984100,43.087659
"161",43.939999,43.98,42.669998,42.689999,15132500,42.382765
"162",42.82,43.02,42.32,42.860001,12805100,42.551544
"163",42.09,42.52,41.82,41.889999,22590000,41.588524
"164",42.209999,42.709999,41.560001,42.68,16889500,42.372839
"165",42.939999,43.139999,42.540001,43.040001,12657100,42.730249
"166",42.970001,43.16,42.32,42.419998,12912000,42.114708
"167",42.5,43.240002,42.5,43.16,9630300,42.849384
"168",43.259998,43.470001,42.880001,42.98,9404500,42.670679
"169",42.630001,43.630001,42.630001,43.400002,12705700,43.087659
"170",43.790001,44.060001,43.560001,43.990002,12714800,43.673413
"171",43.959999,44,43.09,43.360001,12836900,43.047945
"172",43.48,44.060001,43.41,43.889999,12519700,43.57413
"173",43.799999,44.23,43.799999,43.93,10155700,43.613843
"174",43.669998,43.900002,43.540001,43.84,10118600,43.524491
"175",43.709999,44.110001,43.650002,44.099998,8661100,43.782618
"176",44.130001,44.369999,44,44.110001,8465700,43.792548
"177",44.060001,44.09,43.459999,43.77,14731200,43.454995
"178",43.459999,43.880001,43.299999,43.779999,10995500,43.464921
"179",43.790001,43.959999,43.380001,43.880001,10522500,43.564204
"180",43.830002,44.09,43.380001,43.73,11785400,43.415282
"181",43.799999,44.150002,43.709999,43.889999,8519300,43.57413
"182",43.77,44.110001,43.68,43.82,9549500,43.504634
"183",43.810001,44.040001,43.48,44.029999,11091000,43.713122
"184",43.830002,43.880001,43.169998,43.380001,10058700,43.067802
"185",43.200001,43.66,42.82,43.610001,14697600,43.296146
"186",43.66,43.889999,43.259998,43.799999,10983500,43.484777
"187",43.610001,43.610001,42.299999,42.380001,15086600,42.074999
"188",42.25,42.790001,42.189999,42.689999,11474200,42.382765
