"","PHM.Open","PHM.High","PHM.Low","PHM.Close","PHM.Volume","PHM.Adjusted"
"1",20.200001,20.280001,20.040001,20.129999,3849800,19.789585
"2",20,20.040001,19.549999,19.629999,5454300,19.29804
"3",19.6,19.799999,19.440001,19.58,4361200,19.248887
"4",19.57,19.610001,19.33,19.42,4385100,19.091593
"5",19.43,19.67,19.200001,19.549999,8488100,19.219393
"6",19.43,19.75,19.17,19.620001,5040500,19.337668
"7",19.6,19.67,19.24,19.52,5907000,19.239107
"8",19.59,19.91,19.540001,19.67,4546800,19.386948
"9",19.690001,19.700001,19.35,19.65,5404000,19.367235
"10",19.629999,20,19.59,19.9,6944600,19.613638
"11",19.83,20.42,19.77,19.959999,6261700,19.672774
"12",19.92,20.07,19.75,19.98,3515500,19.692486
"13",20.040001,20.040001,19.700001,19.85,4965500,19.564358
"14",19.860001,20.17,19.709999,20.08,12420400,19.791048
"15",20.139999,20.4,20.08,20.16,6414700,19.869896
"16",20.24,20.639999,20.15,20.5,4469600,20.205004
"17",20.540001,20.639999,20.24,20.309999,3543400,20.017738
"18",20.360001,20.459999,20.200001,20.33,2935400,20.03745
"19",20.209999,20.309999,19.91,20,3849200,19.712199
"20",19.969999,20.16,19.84,19.99,4178900,19.702343
"21",20.01,20.27,19.99,20.030001,3483900,19.741768
"22",19.77,20.09,19.639999,19.85,3370300,19.564358
"23",19.799999,19.9,19.610001,19.74,3487500,19.45594
"24",19.860001,19.92,19.610001,19.629999,4216500,19.347522
"25",19.610001,19.73,19.540001,19.68,4671900,19.396804
"26",19.799999,20.07,19.559999,19.959999,5006800,19.672774
"27",19.76,19.790001,19.42,19.49,6316900,19.209538
"28",19.549999,19.620001,19.42,19.49,2450000,19.209538
"29",19.4,19.5,19.23,19.23,6580800,18.953279
"30",19.379999,19.709999,19.370001,19.450001,10114600,19.170114
"31",19.48,19.91,19.34,19.84,7466100,19.554502
"32",19.799999,19.83,19.139999,19.24,17966700,18.963135
"33",19.129999,19.139999,18.65,18.73,10983300,18.460474
"34",18.690001,18.780001,18.370001,18.549999,7340100,18.283064
"35",18.559999,18.620001,18.290001,18.389999,4901700,18.125366
"36",18.41,18.48,18,18.139999,5278900,17.878964
"37",17.98,17.98,17.51,17.65,7393600,17.396015
"38",17.629999,17.93,17.549999,17.639999,5682800,17.386159
"39",17.74,17.940001,17.57,17.77,7290300,17.514289
"40",17.65,17.9,17.5,17.610001,5084400,17.356592
"41",17.530001,17.790001,17.5,17.6,3326600,17.346735
"42",17.639999,17.780001,17.469999,17.540001,3242700,17.287599
"43",17.549999,18.09,17.549999,18.07,5327700,17.809971
"44",18.1,18.25,18,18.02,3122600,17.760692
"45",17.969999,18.01,17.809999,17.860001,3680600,17.602994
"46",17.959999,18.07,17.83,17.99,2384500,17.731123
"47",18.040001,18.360001,17.959999,18.35,3616500,18.085943
"48",18.459999,18.48,18.1,18.27,3028000,18.007094
"49",18.379999,18.799999,18.360001,18.780001,6667900,18.509756
"50",19.08,19.32,18.889999,19.059999,7749300,18.785725
"51",18.98,19.16,18.940001,19.120001,3229600,18.844863
"52",19.18,19.25,18.99,19.120001,2966300,18.844863
"53",19.08,19.18,18.969999,19.09,3192300,18.815294
"54",19.24,19.34,19.01,19.07,4756700,18.795581
"55",19.120001,19.209999,18.940001,19.09,2877800,18.815294
"56",19.129999,19.200001,19.08,19.16,2227900,18.884286
"57",19.040001,19.200001,18.92,19.09,2425000,18.815294
"58",19.059999,19.309999,19.01,19.219999,2779600,18.943423
"59",19.209999,19.209999,18.889999,18.9,5185800,18.628028
"60",18.879999,19,18.17,18.18,8123400,17.918389
"61",18.290001,18.6,18.26,18.540001,4924400,18.273209
"62",18.530001,18.68,18.459999,18.530001,2728700,18.263353
"63",18.49,18.75,18.469999,18.6,2891700,18.332345
"64",18.66,18.82,18.540001,18.700001,4492300,18.430907
"65",18.75,19.09,18.690001,19.059999,5657600,18.785725
"66",18.93,19.18,18.93,19.07,4300600,18.795581
"67",19.040001,19.08,18.549999,18.780001,5096800,18.509756
"68",18.75,19.08,18.719999,18.940001,5470900,18.667453
"69",18.85,19.1,18.83,18.93,3239300,18.657597
"70",19.18,19.690001,19.120001,19.4,7286300,19.120833
"71",19.360001,19.440001,19.059999,19.08,3522800,18.85403
"72",19.16,19.219999,18.67,18.82,7028300,18.597109
"73",18.75,18.790001,18.219999,18.33,6462200,18.112913
"74",18.209999,18.559999,18.129999,18.41,4978900,18.191965
"75",18.059999,18.459999,17.950001,18.33,7038700,18.112913
"76",18.219999,18.32,17.950001,18.030001,6226800,17.816467
"77",18.129999,18.16,17.85,17.889999,5101600,17.678123
"78",17.76,17.879999,17.68,17.74,5111600,17.5299
"79",17.74,17.77,17.52,17.66,6439100,17.450848
"80",17.66,17.75,17.5,17.59,4545200,17.381677
"81",17.67,17.860001,17.48,17.780001,5135000,17.569427
"82",17.870001,18.1,17.74,17.959999,4940400,17.747294
"83",18.09,18.33,18.07,18.190001,5468200,17.974572
"84",18.08,18.43,18.040001,18.120001,5176000,17.905401
"85",18.110001,18.4,17.940001,18.309999,5103200,18.093149
"86",18.299999,18.469999,17.870001,17.9,5881800,17.688005
"87",17.860001,17.940001,16.950001,17.040001,15656900,16.838192
"88",17.01,17.299999,16.559999,16.66,12248300,16.462691
"89",16.790001,17.33,16.790001,16.99,5513700,16.788783
"90",16.790001,17.700001,16.73,17.59,9469200,17.381677
"91",17.18,17.85,17.18,17.389999,8368400,17.184045
