"","PRGO.Open","PRGO.High","PRGO.Low","PRGO.Close","PRGO.Volume","PRGO.Adjusted"
"1",140.130005,140.789993,139,139.410004,943400,139.015727
"2",139.050003,141.25,138.520004,141.169998,780900,140.770744
"3",141.720001,143.580002,141.020004,142.679993,1671600,142.276468
"4",142.679993,142.679993,140,140.389999,874100,139.992951
"5",140.210007,142.270004,140.119995,141.679993,871300,141.279296
"6",141.649994,142.009995,140.630005,141.5,502300,141.099812
"7",141.529999,143.669998,141.410004,143.619995,1093400,143.213812
"8",143.589996,143.600006,141.350006,141.860001,1244300,141.458795
"9",141.919998,144.059998,141.919998,143.910004,1344600,143.503
"10",144.419998,144.690002,143.270004,144.300003,558300,143.891897
"11",144.770004,145.509995,144.179993,145,760500,144.589914
"12",144.740005,148.020004,144.740005,147.940002,984000,147.521601
"13",148.279999,149.009995,147.070007,148.899994,1296800,148.478878
"14",148.220001,148.850006,145.660004,145.970001,2490200,145.557172
"15",145.100006,146.679993,145.020004,145.759995,1184000,145.347759
"16",146.350006,150.740005,146.059998,150.419998,1370100,149.994583
"17",150.869995,153.720001,148.860001,153.309998,1610100,152.876409
"18",152.919998,153.740005,150.600006,153.309998,1111500,152.876409
"19",153.589996,155.669998,150.429993,151.149994,1541000,150.722514
"20",151.759995,152.039993,146.710007,148.839996,1297900,148.41905
"21",149.449997,149.789993,147.190002,148.059998,1494000,147.641257
"22",145.979996,147.600006,144.5,147.270004,945100,146.853498
"23",145.5,146.809998,143.479996,146.149994,1316500,145.736655
"24",147.130005,160.649994,144.149994,158.850006,8133200,158.40075
"25",156.25,157.529999,152.539993,153.440002,2710700,153.006046
"26",154.399994,155.419998,152.570007,155.350006,1230200,154.910648
"27",155.139999,155.550003,151.440002,151.860001,1198400,151.430513
"28",152,154.910004,150.5,154.809998,800300,154.372167
"29",154.440002,154.630005,150.75,151.089996,1009800,150.662687
"30",152.169998,155.779999,151.820007,155.330002,1295200,154.890701
"31",155.880005,157.520004,155.210007,157.279999,1176800,156.835183
"32",157.229996,157.419998,155.490005,157.070007,804800,156.625785
"33",156.949997,156.949997,154.800003,154.990005,402500,154.551666
"34",155.199997,155.580002,153.25,153.839996,683500,153.404909
"35",154.330002,155.050003,153.100006,154.639999,443200,154.20265
"36",155.279999,155.589996,153.520004,153.889999,586700,153.454771
"37",153.330002,153.440002,150.330002,150.449997,913600,150.024497
"38",150.009995,152.479996,150.009995,151.589996,792600,151.161272
"39",151.740005,152.330002,148.330002,150.009995,705800,149.585739
"40",148.759995,150.009995,147.050003,148.100006,728200,147.681153
"41",146.050003,146.380005,141.479996,142.820007,2091800,142.416087
"42",143.259995,143.589996,141.259995,141.559998,778600,141.15964
"43",141.460007,143.419998,140.059998,143.279999,1188700,142.874777
"44",144.679993,144.679993,142.190002,142.25,892900,141.847691
"45",141.839996,142.320007,137.779999,139,1652600,138.606883
"46",139.619995,140.110001,137.289993,139.149994,1897000,138.756453
"47",145.410004,149.770004,145.149994,149.289993,2593000,148.867774
"48",149.699997,149.699997,146.720001,148.529999,1274900,148.109929
"49",147.990005,148.399994,146.369995,147.880005,1063300,147.461773
"50",146.839996,151.470001,146.839996,150.839996,1099200,150.413394
"51",149.589996,150.759995,148.720001,149.429993,607500,149.007378
"52",149.229996,149.800003,147.550003,147.75,486400,147.332136
"53",147.779999,149.770004,147.440002,149.220001,528500,148.79798
"54",148.410004,149.369995,147.800003,147.990005,514500,147.571463
"55",149.210007,149.210007,147.979996,148.119995,556400,147.701085
"56",149.5,150.259995,148.380005,148.820007,980000,148.504391
"57",148.570007,150.169998,148.020004,150.029999,709600,149.711816
"58",152.630005,153,148.190002,148.740005,578400,148.424559
"59",149.440002,150.570007,148.820007,148.949997,930200,148.634105
"60",149.839996,150.559998,149.130005,149.940002,939200,149.622011
"61",150.160004,150.160004,145.740005,146.070007,885600,145.760223
"62",146.589996,146.940002,145.160004,146.270004,839300,145.959796
"63",146.449997,146.449997,143.919998,144.830002,1296100,144.522847
"64",144.470001,144.740005,142.520004,143.179993,951800,142.876338
"65",143.729996,146.380005,143.380005,145.889999,1159000,145.580597
"66",145.520004,146.139999,144.360001,145.149994,541200,144.842161
"67",145.550003,145.550003,144.080002,144.5,681800,144.193545
"68",145.460007,145.460007,142.479996,143.679993,564600,143.375277
"69",143.320007,145.600006,135,145.259995,885700,144.951928
"70",145.779999,146.75,145.279999,146,942100,145.690364
"71",146.800003,146.880005,146.279999,146.639999,803900,146.329006
"72",146.460007,147.860001,145.960007,147.270004,1425500,146.957675
"73",147.649994,149.880005,147.300003,149.759995,1017100,149.442385
"74",146.960007,149.940002,146.960007,149.419998,926200,149.103109
"75",149.710007,153.169998,149.130005,152.889999,771100,152.565751
"76",152.830002,153.100006,150.619995,150.770004,732700,150.450252
"77",151.520004,151.910004,149.830002,150.720001,564800,150.400355
"78",150.119995,150.589996,148.580002,149.729996,561800,149.412449
"79",150.210007,151.179993,149.309998,150.190002,917100,149.871481
"80",151.039993,151.039993,148.440002,149.179993,796600,148.863613
"81",149.539993,151.929993,149.539993,151.460007,772600,151.138791
"82",152.660004,157.360001,151.630005,155.160004,1033500,154.830941
"83",155.649994,155.839996,152.720001,153.020004,601600,152.695481
"84",152.539993,152.839996,149.520004,149.960007,1092100,149.641973
