"","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume","PXD.Adjusted"
"1",221.759995,222,218.559998,219.199997,837900,219.10151
"2",217.779999,224.25,217.020004,223.789993,1150700,223.689444
"3",224.429993,228.770004,222.539993,223,1750300,222.899806
"4",224,227,222.020004,226.949997,1276900,226.848028
"5",226.899994,227.990005,225.020004,227.380005,897200,227.277843
"6",225.720001,226.75,223.679993,226.470001,835200,226.368248
"7",226.050003,228.660004,225.429993,228.5,841800,228.397335
"8",228.139999,230.029999,227.220001,229.970001,1229600,229.866676
"9",230.160004,232.419998,228.169998,232.300003,1514300,232.195631
"10",232.5,233.919998,230.820007,232.770004,1120600,232.665421
"11",233.149994,234.199997,220.919998,221.649994,1881700,221.550407
"12",226.399994,233.880005,225.179993,233.070007,3201500,232.965289
"13",231.990005,232.520004,225.850006,228.160004,1561400,228.057491
"14",227.119995,227.690002,224.710007,226.289993,1988100,226.188321
"15",226.850006,229.970001,224.970001,229.809998,997700,229.706744
"16",231.410004,232.160004,227.229996,228.75,1030400,228.647223
"17",227.5,228,223.5,224.550003,1106800,224.449113
"18",225.410004,226.389999,223.029999,224.979996,691300,224.878912
"19",223.610001,224.960007,222.5,223.130005,604300,223.029753
"20",222.880005,224.960007,221.550003,224.009995,1536900,223.909347
"21",224.160004,226.5,223.539993,226.039993,767800,225.938434
"22",222.800003,225.369995,221.660004,224.139999,1028100,224.039293
"23",223.320007,224.699997,220.479996,222.419998,1017100,222.320065
"24",223.429993,225.479996,222.410004,224.660004,854500,224.559064
"25",224.199997,224.429993,216.929993,219.910004,1666300,219.811198
"26",221.820007,226.710007,220.779999,225.690002,1185500,225.5886
"27",226.009995,229.009995,222.070007,222.580002,900700,222.479997
"28",223.039993,224.289993,221.399994,223.100006,795600,222.999767
"29",222.330002,227.860001,221.339996,227.660004,956800,227.557716
"30",228.369995,229.889999,227.160004,229.169998,1147900,229.067032
"31",228.410004,232.110001,226.800003,231.75,972200,231.645875
"32",231.710007,234.600006,230.009995,232.279999,1052100,232.175635
"33",231,231.759995,229.410004,231.380005,844500,231.276046
"34",230.5,231.279999,227.169998,227.5,971800,227.397784
"35",227.899994,230.860001,226.559998,228.960007,856600,228.857135
"36",229.660004,231.050003,226.440002,227.119995,739900,227.01795
"37",226.490005,226.490005,220.509995,221.460007,1281100,221.360505
"38",219.309998,224.220001,210.619995,216.460007,3511200,216.362751
"39",216.839996,223.399994,214.729996,222.410004,1439700,222.310075
"40",217.339996,219.860001,208.100006,209.979996,3084400,209.885652
"41",208.899994,213.990005,205.240005,206.360001,2050700,206.267283
"42",207.600006,207.619995,201.759995,205.710007,1462400,205.617581
"43",206.770004,210.669998,204.759995,210.110001,1145000,210.015598
"44",211.529999,211.869995,208.360001,208.839996,838000,208.746165
"45",207.600006,208.330002,202.699997,204.580002,960700,204.488084
"46",205.660004,206.880005,204.320007,204.889999,628100,204.797942
"47",205.449997,205.449997,199.389999,200.070007,2810000,199.980116
"48",201.600006,203.970001,200.889999,203.009995,1434800,202.918782
"49",203.300003,204.089996,201,204.039993,1007600,203.948318
"50",203.699997,205.5,203,203.169998,825200,203.078714
"51",203.169998,205.389999,201.789993,204.470001,762200,204.378133
"52",204.009995,206.270004,202.429993,205.949997,855500,205.857464
"53",204.970001,205.410004,202.550003,204.229996,643000,204.138235
"54",205.75,208.460007,204.669998,208.080002,825000,207.986512
"55",209.350006,213.110001,208.770004,211.350006,1558200,211.255047
"56",209.699997,209.830002,205.110001,206.050003,1518000,205.957425
"57",204.630005,206.710007,204.100006,205.139999,754000,205.04783
"58",206.460007,209.139999,204.589996,208.649994,946500,208.556247
"59",207.929993,208.289993,204.789993,205.300003,1250100,205.207762
"60",205.970001,208.5,205.630005,205.940002,767400,205.847474
"61",205.949997,206.660004,198.270004,199.910004,1381800,199.820184
"62",200.490005,203.399994,199.410004,202.110001,1299100,202.019193
"63",200.309998,200.309998,194.600006,197.960007,1626100,197.871063
"64",198.559998,201.369995,197.929993,199.380005,1370400,199.290423
"65",198.399994,200.350006,196.210007,200.119995,1261500,200.030081
"66",198.179993,205.110001,197.339996,203.619995,1426500,203.528509
"67",203.300003,203.410004,201.009995,202.25,1178300,202.159129
"68",201.399994,203.970001,199,202.619995,906300,202.528958
"69",202.520004,209.25,202.460007,206.820007,1219100,206.727083
"70",207.710007,208.720001,204.649994,205.440002,1965200,205.347698
"71",206.220001,206.440002,200.75,202.160004,1513900,202.069173
"72",202.839996,203.809998,200.100006,200.679993,1155700,200.589827
"73",200.350006,200.350006,193.029999,195.910004,1794000,195.821981
"74",194.779999,201.300003,194.779999,197.360001,1378600,197.271327
"75",195.440002,200.330002,193.199997,198.520004,1730600,198.430809
"76",198.559998,198.75,194.330002,194.690002,1208100,194.602528
"77",194.869995,198.309998,194.399994,196.600006,1110300,196.552055
"78",195.910004,202.860001,193.660004,201.960007,1852400,201.910748
"79",201,201.619995,194.649994,196.970001,1472700,196.92196
"80",196.649994,199.559998,188.600006,189.820007,2176700,189.77371
"81",188.229996,189.899994,183.059998,188.360001,2608700,188.314059
"82",188.970001,189.309998,182.369995,186.380005,1915600,186.334546
"83",187.889999,189.639999,183.529999,187.009995,1687800,186.964382
"84",185.550003,188.25,183.029999,183.029999,1789100,182.985357
"85",182.720001,186.199997,178.440002,185.699997,2460300,185.654704
"86",182.520004,184.149994,176.809998,178,2551000,177.956585
"87",178.389999,184.110001,172.470001,176.240005,2503500,176.19702
"88",176.5,179.309998,167.839996,168.029999,2787300,167.989016
"89",169.300003,173.419998,163.25,164.779999,3403500,164.739809
"90",161.139999,172.679993,156.820007,171.580002,3753300,171.538153
"91",167.570007,179.820007,166.559998,177.919998,3559500,177.876603
"92",181,184.169998,176.509995,178.679993,2436400,178.636412
"93",177.610001,181.580002,176.740005,179.710007,1363700,179.666175
"94",182.259995,186.169998,181.649994,185.940002,1896500,185.894651
"95",185.839996,187.649994,178.710007,178.990005,1683300,178.946349
"96",181.970001,186.350006,179.949997,183.940002,1592100,183.895139
"97",182.169998,182.830002,178.759995,181.110001,1331200,181.065827
"98",176.910004,178.25,172.679993,176.449997,1988700,176.40696
"99",178.199997,184.460007,175.5,183.759995,1731500,183.715175
"100",186.779999,189.990005,183.5,186.100006,1488900,186.054616
"101",184.089996,186.910004,180.5,185.360001,1461100,185.314791
"102",185,189.809998,180.679993,189.059998,2100200,189.013885
"103",190.740005,195.789993,186.149994,188.139999,2493200,188.094112
"104",183.960007,184.880005,178.009995,180.910004,2584800,180.865879
"105",173.410004,175.880005,170.529999,172.860001,8285000,172.81784
"106",172.279999,175.410004,171.059998,174.830002,4571900,174.78736
"107",175.229996,179.880005,174.789993,176.699997,3469700,176.656899
"108",179.270004,180.679993,170.509995,171.860001,2204100,171.818084
"109",171.580002,173.309998,167.759995,171.779999,2189100,171.738101
"110",169.179993,173.490005,169.100006,170.410004,1657700,170.36844
"111",168.910004,169.880005,163.820007,165.169998,2475300,165.129713
"112",167.410004,171,165.419998,170.630005,2139900,170.588388
"113",169.210007,169.210007,164.289993,165.039993,2302800,164.99974
