"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"1",36.48,36.91,36.43,36.619999,1941500,35.359649
"2",36.529999,36.810001,36.509998,36.669998,1780200,35.407928
"3",36.630001,36.740002,36.549999,36.68,1333200,35.417586
"4",36.709999,36.799999,36.529999,36.709999,1103800,35.446552
"5",36.700001,36.799999,36.59,36.669998,1418900,35.407928
"6",36.700001,37.049999,36.650002,36.93,1110500,35.658981
"7",36.959999,37.25,36.880001,37.16,1738000,35.881065
"8",37.150002,37.369999,37.110001,37.360001,1426300,36.074182
"9",37.509998,37.639999,37.34,37.580002,2179400,36.286612
"10",37.509998,37.59,37.23,37.400002,1456800,36.112807
"11",37.349998,37.419998,37.259998,37.360001,2067500,36.074182
"12",37.259998,37.669998,37.259998,37.650002,1305500,36.354202
"13",37.68,37.73,37.490002,37.73,1025800,36.431447
"14",37.349998,38.130001,37.349998,38.130001,2825400,37.073157
"15",37.990002,38.02,37.73,37.970001,2902000,36.917591
"16",38,38.389999,37.889999,38.139999,2147800,37.082878
"17",38.150002,38.209999,37.75,37.82,1636000,36.771747
"18",37.889999,37.98,37.84,37.919998,753200,36.868974
"19",37.91,38.040001,37.73,37.93,1746600,36.878699
"20",37.93,37.939999,37.73,37.75,1254900,36.703688
"21",37.860001,37.880001,37.290001,37.32,3239100,36.285606
"22",37.07,37.209999,37.02,37.080002,1587800,36.05226
"23",37.09,37.09,36.799999,37,1629800,35.974476
"24",37.220001,37.220001,36.950001,37.02,1287500,35.993922
"25",36.98,37.130001,36.950001,37.029999,1666400,36.003643
"26",37.07,37.310001,37.07,37.279999,1211200,36.246714
"27",37.110001,37.220001,36.82,36.830002,721500,35.809189
"28",36.91,37.119999,36.77,37.029999,724900,36.003643
"29",36.939999,37.299999,36.860001,37.189999,914100,36.159208
"30",37.299999,37.369999,37.099998,37.169998,848800,36.139762
"31",37.169998,37.310001,37.02,37.040001,701800,36.013368
"32",37.099998,37.209999,36.950001,37.049999,1118800,36.023089
"33",37.240002,38,37.240002,37.369999,1991900,36.334219
"34",36.970001,37.32,36.720001,37.279999,2029600,36.246714
"35",37.310001,37.84,37.16,37.720001,3472300,36.674521
"36",37.759998,37.970001,37.549999,37.950001,2554400,36.898145
"37",37.900002,38.060001,37.720001,37.93,3207100,36.878699
"38",37.709999,37.970001,37.59,37.779999,3248600,36.732855
"39",37.84,37.91,37.509998,37.91,1058000,36.859253
"40",37.880001,38.119999,37.75,37.950001,1490400,36.898145
"41",37.810001,38.259998,37.759998,38.07,2443200,37.014818
"42",38.330002,38.400002,38.080002,38.259998,1676000,37.199551
"43",38.330002,38.759998,38.259998,38.709999,1421600,37.637079
"44",38.759998,38.880001,38.400002,38.48,1484500,37.413454
"45",38.509998,38.689999,38.48,38.650002,1116100,37.578744
"46",38.810001,39.009998,38.700001,38.860001,1319400,37.782923
"47",38.919998,39.049999,38.849998,38.970001,1319400,37.889875
"48",39.080002,39.099998,38.650002,39.07,1740900,37.987101
"49",39.25,39.32,38.93,39.029999,2167000,37.948209
"50",39.130001,39.310001,39.02,39.259998,2734900,38.171834
"51",39.299999,39.540001,39.16,39.5,1566600,38.405183
"52",39.549999,39.610001,39.43,39.549999,863500,38.453797
"53",39.580002,39.619999,39.189999,39.34,1118500,38.249618
"54",39.41,39.580002,39.220001,39.310001,1506200,38.220451
"55",39.360001,39.450001,39.130001,39.369999,1447200,38.278786
"56",39.419998,39.66,39.290001,39.41,1759800,38.317678
"57",39.220001,39.389999,39.16,39.25,1226100,38.162113
"58",39.43,39.529999,39.23,39.330002,1017300,38.239897
"59",39.220001,39.27,39.02,39.169998,1366600,38.084328
