"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"1",33.959999,34.099998,33.25,33.779999,5985700,33.366711
"2",33.470001,33.700001,33.130001,33.68,2397900,33.267936
"3",33.610001,33.639999,33.139999,33.23,1646400,32.823441
"4",33.279999,33.369999,32.98,33.290001,1452300,32.882708
"5",33.220001,34.150002,33.09,34.07,2679300,33.653164
"6",33.919998,34.490002,33.880001,34.299999,1834100,33.880349
"7",34.259998,34.380001,33.779999,34.34,1130800,33.919861
"8",34.299999,34.599998,34.209999,34.529999,1236000,34.107535
"9",34.630001,34.990002,34.580002,34.939999,2460000,34.512519
"10",34.950001,35.099998,34.48,34.720001,1239100,34.295213
"11",34.599998,34.669998,34.23,34.259998,1388500,33.840838
"12",34.259998,34.509998,33.77,34.080002,1233200,33.663044
"13",34.16,34.509998,33.779999,34.470001,1474600,34.048272
"14",34.349998,34.84,34.32,34.700001,1860000,34.275457
"15",34.720001,34.75,34.07,34.169998,1567000,33.751939
"16",34.330002,34.419998,34.040001,34.200001,1590400,33.781574
"17",34.029999,34.150002,33.529999,33.529999,1328100,33.11977
"18",33.790001,33.98,33.400002,33.77,1152400,33.356835
"19",33.73,33.77,33.209999,33.25,813900,32.843197
"20",33.130001,33.259998,32.900002,33.110001,1143300,32.70491
"21",33.330002,33.470001,33.139999,33.41,1143800,33.001239
"22",33.029999,33.349998,32.830002,33.209999,1149900,32.803685
"23",33.209999,33.349998,33.16,33.240002,1016600,32.833321
"24",33.509998,33.669998,33.34,33.389999,765800,32.981483
"25",33.48,33.93,33.25,33.630001,1121900,33.218549
"26",33.73,33.869999,33.490002,33.689999,931400,33.277812
"27",33.43,33.650002,33.029999,33.139999,868400,32.734542
"28",33.209999,33.650002,33.139999,33.419998,876600,33.011115
"29",33.18,33.439999,33,33.389999,632700,32.981483
"30",33.52,33.580002,32.93,32.950001,1140000,32.546868
"31",32.950001,32.98,32.650002,32.669998,1076200,32.270291
"32",32.720001,33,32.419998,32.439999,1531700,32.043105
"33",32.389999,32.73,32.330002,32.450001,1638200,32.052985
"34",32.48,32.52,31.790001,31.809999,2609800,31.420814
"35",31.84,32.060001,31.57,31.67,2786200,31.282528
"36",34,34.470001,32.349998,32.700001,6434800,32.299926
"37",32.549999,32.619999,32.09,32.119999,2925800,31.727021
"38",32.110001,32.799999,31.950001,32.349998,2455000,31.954206
"39",32.450001,33.02,32.279999,32.990002,1330200,32.586379
"40",32.720001,32.970001,32.48,32.84,1741100,32.438213
"41",32.610001,33.380001,32.509998,33.360001,1907000,32.951851
"42",33.509998,33.689999,32.830002,33.09,2152000,32.685154
"43",33.119999,33.490002,32.790001,33.470001,1042900,33.060506
"44",33.549999,33.700001,33.139999,33.240002,1440400,32.833321
"45",33.27,33.369999,32.93,33.150002,1255500,32.744422
"46",33.27,33.759998,33.099998,33.73,1651900,33.317324
"47",33.82,34.59,33.700001,34.57,2123300,34.147047
"48",34.689999,34.950001,34.509998,34.849998,2420300,34.42362
"49",35.029999,35.310001,34.830002,35.279999,2147200,34.848359
"50",35.310001,35.740002,35.27,35.560001,2027200,35.124936
"51",35.419998,35.66,35.139999,35.599998,1441700,35.164444
"52",35.68,35.880001,35.41,35.810001,1767300,35.371877
"53",35.740002,36.509998,35.610001,36.189999,2384000,35.747225
"54",36.360001,36.450001,35.98,36.060001,952000,35.618819
"55",36.09,36.16,35.84,35.950001,1037900,35.510164
"56",36.07,36.16,35.849998,35.91,920500,35.470652
"57",35.830002,35.98,35.720001,35.810001,702400,35.371877
