"","SPLS.Open","SPLS.High","SPLS.Low","SPLS.Close","SPLS.Volume","SPLS.Adjusted"
"1",11.16,11.23,11.03,11.13,8090100,10.676873
"2",11.14,11.17,11.04,11.07,8005200,10.619315
"3",11.1,11.14,10.96,11.1,10603200,10.648095
"4",11.09,11.1,10.96,10.99,7181300,10.542572
"5",11.03,11.06,11.01,11.05,5564100,10.60013
"6",11.03,11.21,11.03,11.17,12367700,10.715244
"7",11.21,11.23,11.12,11.2,6210300,10.744023
"8",11.25,11.26,11.15,11.2,7179100,10.744023
"9",11.22,11.23,11.15,11.19,10168000,10.73443
"10",11.28,11.28,11.16,11.23,4308500,10.772801
"11",11.18,11.22,11.06,11.07,7272400,10.619315
"12",10.97,11.01,10.9,10.93,5551600,10.599919
"13",10.99,10.99,10.7,10.92,10863600,10.590221
"14",10.92,10.95,10.73,10.75,11511400,10.425355
"15",10.8,10.89,10.75,10.84,10012600,10.512637
"16",10.89,11.05,10.85,11.01,10167400,10.677503
"17",10.96,11.11,10.91,11.06,6677500,10.725994
"18",11.06,11.3,11.05,11.26,5278300,10.919954
"19",11.26,11.28,11.12,11.22,8446000,10.881162
"20",11.14,11.25,11.08,11.1,8058300,10.764786
"21",11.19,11.24,10.97,11.06,9672900,10.725994
"22",10.94,11.06,10.82,10.93,7581300,10.599919
"23",10.88,10.99,10.85,10.9,4532400,10.570825
"24",11.15,11.19,10.97,11.05,6997400,10.716295
"25",11.1,11.19,11.07,11.16,6298800,10.822973
"26",11.22,11.22,11.07,11.2,7309500,10.861765
"27",11.18,11.2,11.01,11.02,5196800,10.687202
"28",11.08,11.18,11,11.17,4110700,10.832671
"29",11.18,11.21,11.07,11.2,6942900,10.861765
"30",11.25,11.29,11.04,11.04,8107600,10.706597
"31",11.02,11.18,10.99,11.17,7098100,10.832671
"32",11.3,11.34,11.16,11.19,6839100,10.852067
"33",11.18,11.21,10.95,10.99,5305100,10.658107
"34",10.96,11.01,10.9,10.94,5714100,10.609617
"35",10.96,11.11,10.95,11.08,6537100,10.745389
"36",11.15,11.36,11.08,11.34,13786700,10.997538
"37",11.25,11.71,11.22,11.59,24991900,11.239988
"38",11.54,11.56,11.25,11.44,13472100,11.094517
"39",11.4,11.6,11.35,11.56,9499700,11.210894
"40",11.51,11.59,11.36,11.47,5521200,11.123612
"41",11.36,11.49,11.3,11.43,5822500,11.08482
"42",11.41,11.48,11.15,11.16,8828500,10.822973
"43",11.21,11.39,11.08,11.39,8013000,11.046028
"44",11.4,11.51,11.38,11.41,5236600,11.065423
"45",11.44,11.48,11.34,11.42,5187400,11.075121
"46",11.36,11.57,11.25,11.53,6816600,11.181799
"47",11.57,11.62,11.45,11.58,4720500,11.230289
"48",11.65,11.65,11.36,11.49,5139000,11.143007
"49",11.49,11.55,11.36,11.53,6162300,11.181799
"50",11.59,11.74,11.5,11.62,10521000,11.269081
"51",11.73,11.83,11.16,11.32,25528000,10.978141
"52",11.25,11.31,10.82,10.97,17282400,10.638711
"53",10.96,11.05,10.85,10.95,7911400,10.619315
"54",10.97,11.01,10.93,10.99,7603800,10.658107
