"","STI.Open","STI.High","STI.Low","STI.Close","STI.Volume","STI.Adjusted"
"1",40.369999,40.509998,40.200001,40.369999,2548800,39.542553
"2",40.220001,40.380001,40.040001,40.310001,2592100,39.483786
"3",40.200001,40.34,39.860001,40.02,2535000,39.199729
"4",40.07,40.360001,39.950001,40.259998,3399200,39.434807
"5",40.119999,40.220001,39.700001,39.849998,3456400,39.033211
"6",39.740002,40.619999,39.689999,40.490002,3368100,39.660096
"7",40.349998,40.450001,40.040001,40.419998,2763700,39.591528
"8",40.380001,40.439999,39.959999,40.18,2639500,39.356449
"9",40.349998,40.650002,40.34,40.470001,3694700,39.640506
"10",40.560001,40.650002,40.27,40.419998,2009300,39.591528
"11",40.279999,40.84,40.040001,40.110001,3127100,39.287884
"12",40,40.400002,39.75,40.299999,2442800,39.473988
"13",40.330002,40.330002,39.790001,40.16,2808600,39.336859
"14",40.07,40.27,39.93,40.220001,2192700,39.39563
"15",40.139999,40.290001,39.950001,40.060001,2870800,39.23891
"16",40.25,40.639999,40.110001,40.119999,4246400,39.297677
"17",40.119999,40.310001,39.959999,40.18,2626500,39.356449
"18",40.400002,40.860001,40.360001,40.759998,1951700,39.924559
"19",40.759998,40.759998,40.209999,40.27,3213400,39.444604
"20",40.139999,40.18,39.5,39.619999,3027300,38.807926
"21",39.709999,40,39.669998,39.869999,2797200,39.052802
"22",39.349998,39.77,39.200001,39.650002,3277900,38.837313
"23",39.450001,39.990002,39.290001,39.849998,2497300,39.033211
"24",40.18,40.32,39.759998,39.82,1993800,39.003827
"25",40.080002,40.799999,40.07,40.720001,4468000,39.885382
"26",40.790001,40.84,40.23,40.360001,3458500,39.53276
"27",40.09,40.119999,38.950001,39.07,4395300,38.2692
"28",39.380001,39.82,39.259998,39.720001,3580300,38.905878
"29",39.91,39.919998,38.66,39.279999,5810700,38.474894
"30",38.959999,39.110001,38.220001,38.25,7065200,37.466007
"31",38.290001,38.639999,37.919998,38.5,4851400,37.710883
"32",38.689999,39.110001,38.580002,38.91,3592700,38.112479
"33",38.810001,39.110001,38.77,39.080002,2590700,38.278997
"34",39,39.040001,38.529999,38.68,2629500,37.887194
"35",38.669998,38.84,38.48,38.5,2847300,37.710883
"36",38.759998,39.02,38.48,38.700001,2381200,37.906784
"37",38.5,38.650002,38.049999,38.049999,2972100,37.270106
"38",38.060001,38.18,37.32,37.52,3019800,36.75097
"39",37.709999,37.73,37.02,37.5,3836900,36.731379
"40",37.400002,37.57,36.91,37,3411800,36.241628
"41",36.889999,37.360001,36.880001,37.02,2657600,36.261218
"42",37.189999,37.209999,36.419998,36.549999,2516300,35.80085
"43",36.549999,37.029999,36.419998,37,2844200,36.241628
"44",37.049999,37.049999,36.580002,36.599998,2234000,35.849825
"45",36.59,36.880001,36.439999,36.57,3107600,35.820441
"46",36.84,37.029999,36.700001,36.93,2404100,36.173063
"47",36.860001,37.119999,36.830002,36.970001,1896700,36.212244
"48",37.110001,37.18,36.560001,36.810001,2810300,36.055523
"49",36.990002,37.330002,36.93,37.18,2875800,36.417939
"50",37.259998,37.439999,37.139999,37.27,2259800,36.506094
"51",37.150002,37.509998,37.060001,37.470001,2096000,36.701996
"52",37.540001,38.59,37.470001,38.400002,5543300,37.612934
"53",38.290001,38.52,38.110001,38.130001,2636900,37.348468
"54",38.360001,38.540001,38.27,38.450001,1849200,37.661909
"55",38.459999,38.639999,38.360001,38.459999,2346800,37.671702
"56",38.259998,38.360001,37.84,37.98,2026600,37.396009
"57",37.84,38.080002,37.619999,37.91,1638500,37.327085
"58",38.029999,38.130001,37.709999,38.080002,1607400,37.494473
"59",38.200001,38.369999,37.900002,38.220001,2254200,37.63232
"60",38.5,38.509998,37.990002,38.189999,2216800,37.602779
"61",38.279999,38.73,38.16,38.459999,2613100,37.868628
"62",38.349998,38.540001,38.049999,38.5,2407900,37.908014
"63",38.380001,38.75,38.369999,38.68,2948300,38.085246
"64",38.549999,38.68,38.27,38.459999,3122300,37.868628
"65",38.599998,39.07,38.41,38.959999,3861400,38.36094
"66",38.880001,39.169998,38.779999,39.07,3461500,38.469249
"67",39.150002,39.610001,39.009998,39.07,5759100,38.469249
"68",39.029999,39.349998,39.029999,39.209999,3579200,38.607096
"69",39.110001,39.599998,39.029999,39.369999,4233300,38.764635
"70",39.43,39.970001,39.27,39.720001,3645400,39.109256
"71",39.880001,40.240002,39.869999,40.119999,3214500,39.503103
"72",40.389999,40.470001,39.810001,39.84,3230500,39.22741
"73",39.810001,39.919998,39.290001,39.389999,2887500,38.784328
"74",39.290001,39.490002,39.049999,39.060001,3269100,38.459404
"75",39.07,39.169998,38.52,38.900002,4309900,38.301865
