"","SWN.Open","SWN.High","SWN.Low","SWN.Close","SWN.Volume","SWN.Adjusted"
"1",45.419998,45.900002,44.900002,44.98,4806000,44.98
"2",45.060001,45.080002,44.549999,44.869999,4847900,44.869999
"3",45.029999,45.880001,44.77,45.720001,3866300,45.720001
"4",45.869999,45.880001,45.189999,45.810001,4276800,45.810001
"5",45.91,46.450001,45.740002,46.32,3662500,46.32
"6",46.150002,46.610001,46.02,46.59,2814100,46.59
"7",46.59,47.18,46.540001,47.150002,3098300,47.150002
"8",47.099998,47.43,46.830002,47.43,4549200,47.43
"9",47.580002,47.700001,47.25,47.610001,5456400,47.610001
"10",47.610001,47.610001,46.709999,46.779999,2480900,46.779999
"11",46.82,46.900002,45.869999,45.959999,3677200,45.959999
"12",45.759998,46.360001,45.580002,45.91,2899200,45.91
"13",46.009998,46.080002,44.84,45.310001,3801300,45.310001
"14",45.029999,45.150002,44.720001,44.98,2520600,44.98
"15",45.029999,45.509998,44.59,45.490002,2936600,45.490002
"16",45.490002,45.52,44.91,44.990002,2208400,44.990002
"17",44.860001,45.189999,44.619999,44.75,1989000,44.75
"18",44.849998,45.16,44.330002,44.990002,1956000,44.990002
"19",44.59,44.73,43.919998,44.02,2784800,44.02
"20",43.970001,44.25,43.66,44.029999,2602300,44.029999
"21",43.869999,44.110001,43.630001,43.970001,2578800,43.970001
"22",43.619999,43.950001,42.869999,43.759998,6074500,43.759998
"23",43.759998,43.759998,42.709999,42.790001,3963100,42.790001
"24",43.110001,43.450001,42.639999,42.68,3141500,42.68
"25",42.549999,42.84,42.130001,42.400002,4710000,42.400002
"26",42.610001,43.459999,42.380001,43.389999,5955000,43.389999
"27",43.029999,43.27,41.189999,41.240002,7132900,41.240002
"28",41.330002,41.869999,41.049999,41.790001,5001500,41.790001
"29",41.439999,41.610001,41.110001,41.43,3894700,41.43
"30",41.560001,41.689999,40.869999,40.880001,5577000,40.880001
"31",41.09,41.549999,40.939999,41.52,3779500,41.52
"32",41.5,42.310001,41.380001,41.560001,4306300,41.560001
"33",41.259998,41.419998,40.77,40.849998,2955000,40.849998
"34",41.009998,41.32,40.66,40.91,2668600,40.91
"35",40.810001,41.549999,40.810001,41.34,4475600,41.34
"36",41.369999,41.529999,40.860001,41.080002,3797100,41.080002
"37",40.849998,41.389999,40.34,40.580002,5654100,40.580002
"38",40.259998,41.439999,39.709999,40.43,5320200,40.43
"39",40.330002,40.799999,39.91,40.68,4213300,40.68
"40",40.77,40.959999,39.970001,40.130001,5598000,40.130001
"41",39.939999,40.419998,39.830002,39.869999,4198700,39.869999
"42",40.040001,40.18,39.330002,39.48,5660800,39.48
"43",39.759998,40.009998,39.34,39.990002,5279500,39.990002
"44",40.23,40.27,39.279999,39.310001,3842800,39.310001
"45",38.970001,39.139999,38.150002,38.209999,7721700,38.209999
"46",38.240002,38.5,37.950001,38.400002,4499500,38.400002
"47",38.509998,39.23,38.400002,38.990002,5840900,38.990002
"48",39.119999,39.599998,38.759998,39.330002,5587600,39.330002
"49",39.560001,39.830002,39.369999,39.75,3836100,39.75
"50",39.970001,40.380001,39.740002,39.970001,3178300,39.970001
"51",39.77,39.830002,39.299999,39.439999,3817400,39.439999
"52",39.599998,39.970001,39.209999,39.93,4464800,39.93
"53",39.740002,39.990002,39.650002,39.73,3257700,39.73
"54",39.950001,40.439999,39.880001,40.41,2240500,40.41
"55",40.509998,40.650002,40.040001,40.080002,2854100,40.080002
"56",40.119999,40.279999,39.900002,40.169998,3134100,40.169998
"57",40.099998,40.52,39.950001,40.450001,2344900,40.450001
"58",40.549999,41.200001,40.23,41.18,3466000,41.18
"59",41.060001,41.23,40.220001,40.459999,3590800,40.459999
"60",40.57,40.639999,40.060001,40.48,2831400,40.48
"61",40.799999,40.84,39.07,39.389999,4892400,39.389999
"62",39.169998,39.720001,39.02,39.57,2858500,39.57
"63",39.419998,39.419998,38.43,38.700001,4310300,38.700001
"64",38.990002,39.610001,38.77,39.049999,3813000,39.049999
"65",38.75,38.950001,38.240002,38.880001,3794500,38.880001
"66",38.529999,38.740002,37.990002,38.150002,4597000,38.150002
"67",38.02,38.259998,37.369999,37.490002,3491900,37.490002
"68",37.650002,37.830002,37.310001,37.68,2743000,37.68
"69",37.57,38.119999,37.540001,37.810001,3053600,37.810001
"70",38.099998,38.130001,37.459999,37.509998,2836700,37.509998
"71",37.099998,37.400002,36.73,37.209999,4708000,37.209999
"72",37.27,37.360001,36.52,36.540001,4397400,36.540001
"73",36.529999,36.740002,36.080002,36.509998,3806200,36.509998
"74",36.400002,36.669998,36.060001,36.23,3774700,36.23
"75",36.169998,36.18,35.439999,35.700001,5494600,35.700001
"76",35.68,35.75,35.07,35.200001,6108900,35.200001
"77",35.209999,35.669998,35.09,35.450001,2773800,35.450001
"78",35.25,35.849998,35.150002,35.790001,3280800,35.790001
"79",35.68,35.709999,34.82,34.950001,4707300,34.950001
"80",35.040001,35.369999,34.599998,34.75,4988800,34.75
"81",34.529999,35.060001,33.990002,34.799999,5108500,34.799999
"82",34.860001,34.950001,34.240002,34.790001,3690600,34.790001
"83",34.619999,35.200001,34.27,35.099998,4551600,35.099998
"84",34.830002,35.459999,34.57,34.619999,5693700,34.619999
"85",34.470001,34.860001,33.759998,34.82,4721300,34.82
"86",34.5,34.529999,33.540001,33.82,5255700,33.82
"87",33.73,34.349998,33.290001,33.919998,7124300,33.919998
"88",33.900002,34.279999,32.779999,32.84,5716400,32.84
"89",33.119999,34.02,32.650002,33.099998,5651800,33.099998
"90",32.799999,35.799999,32.66,35.689999,9611600,35.689999
"91",32.490002,33.779999,31.34,31.969999,23703100,31.969999
"92",32.810001,32.830002,31.58,31.99,14656400,31.99
"93",31.790001,32.5,31.360001,32.169998,8405100,32.169998
"94",32.380001,33.080002,31.52,32.959999,10987700,32.959999
"95",33.43,33.84,32.490002,32.540001,8773000,32.540001
"96",32.900002,33.540001,32.209999,33.25,7894400,33.25
"97",32.009998,32.349998,31.280001,31.639999,11293500,31.639999
"98",31.26,31.41,30.6,31.1,6142300,31.1
"99",31.43,32.380001,30.83,32.18,6528000,32.18
"100",32.580002,32.869999,31.469999,31.91,5743700,31.91
"101",31.870001,31.99,31,31.48,3687400,31.48
"102",31.99,32.549999,31.33,32.509998,6434400,32.509998
"103",32.91,33.810001,32.389999,32.439999,5631300,32.439999
"104",31.860001,32.970001,31.719999,32.73,6659600,32.73
"105",33.16,34.669998,33,34.16,7337500,34.16
"106",33.900002,35.599998,33.740002,35.549999,7661000,35.549999
"107",35.470001,36.880001,35.369999,36.5,9877300,36.5
"108",36.669998,37.259998,35.23,35.419998,7946500,35.419998
"109",35.290001,35.540001,34.57,35.360001,5160600,35.360001
"110",35.18,35.189999,34.07,34.41,5337800,34.41
"111",34.099998,34.110001,33,33.560001,6202500,33.560001
"112",33.639999,33.959999,33.139999,33.75,5042900,33.75
"113",33.669998,33.98,33.049999,33.610001,5099200,33.610001
"114",33.549999,33.860001,32.470001,33.049999,9246500,33.049999
"115",33.619999,34,33.209999,33.580002,6552500,33.580002
"116",33.619999,34.43,33.459999,34.400002,4935000,34.400002
"117",34.830002,34.959999,34.049999,34.459999,5608200,34.459999
"118",34.240002,34.240002,33.400002,33.650002,5293600,33.650002
"119",33.639999,33.950001,32.830002,33.029999,5723400,33.029999
"120",32.970001,33.27,32.48,32.650002,4797700,32.650002
"121",31.469999,33.23,31.32,32.18,4772700,32.18
"122",31.73,32.139999,31.02,31.200001,7902500,31.200001
"123",30.99,31.98,30.85,30.99,4799700,30.99
"124",30.92,31.799999,30.719999,30.879999,6448900,30.879999
"125",30.6,30.969999,30.379999,30.59,6404600,30.59
"126",30.51,30.620001,29.450001,30.15,6384300,30.15
"127",29.559999,30.040001,29.1,29.23,7033300,29.23
"128",29,30,28.98,29.73,5546300,29.73
"129",29.23,29.440001,28.049999,29.01,9417000,29.01
"130",29.01,30.27,28.99,29.030001,7183400,29.030001
"131",28.59,29.6,28.59,28.709999,6386600,28.709999
"132",28.99,29.42,28.209999,28.25,6349200,28.25
"133",27.82,30.01,27.620001,28.93,7815500,28.93
"134",29.209999,30.450001,29.129999,30.200001,6463600,30.200001
"135",31.35,31.440001,29.5,30.709999,6409200,30.709999
"136",31.299999,31.49,29.969999,31,13988200,31
"137",30.16,30.23,28.889999,29.309999,10090700,29.309999
"138",28.700001,29.110001,27.91,28.92,11851000,28.92
"139",28.77,29.17,28.450001,28.459999,5120900,28.459999
"140",28.68,28.93,28.02,28.67,5351900,28.67
"141",29.049999,29.549999,28.889999,29.219999,6494600,29.219999
"142",29.040001,29.049999,27.110001,27.24,14182100,27.24
"143",27.01,27.5,26.75,27.290001,9657000,27.290001
"144",27.09,27.42,26.66,27.17,7326500,27.17
"145",26.799999,27.049999,25.700001,26.01,13333300,26.01
"146",25.799999,26.200001,24.690001,24.709999,12452600,24.709999
"147",24.91,24.959999,24.09,24.24,11653000,24.24
"148",24.639999,25.139999,24.049999,25.07,11383100,25.07
"149",24.98,25.129999,24.49,24.68,6661800,24.68
"150",23.66,24.389999,23.15,24.07,17762400,24.07
"151",24.07,24.290001,23.67,24.129999,14679800,24.129999
"152",23.799999,24.07,22.639999,23.02,48674100,23.02
"153",23.610001,24.440001,23.309999,23.780001,81402500,23.780001
"154",23.639999,25.02,23.639999,25.01,19914200,25.01
"155",24.68,24.85,23.67,24.5,15822300,24.5
"156",24.940001,25.620001,24.809999,25.530001,10863000,25.530001
"157",25.709999,25.719999,24.66,25.52,19227700,25.52
"158",25.52,26,25.33,25.35,9405400,25.35
"159",25.459999,26.040001,25.35,25.799999,9404400,25.799999
"160",25.66,26.309999,25.370001,25.559999,7593300,25.559999
"161",25.32,25.32,24.450001,24.700001,14012900,24.700001
"162",24.799999,24.950001,23.799999,24.280001,11636800,24.280001
"163",24.01,25.190001,23.75,24.790001,11937100,24.790001
"164",25.17,26.059999,25.129999,25.959999,11503700,25.959999
"165",26.379999,26.950001,25.959999,26.58,12854400,26.58
"166",26.07,26.34,25.34,25.92,9250100,25.92
"167",26.17,26.530001,25.959999,26.17,7362000,26.17
"168",26.469999,26.879999,26.33,26.48,6764300,26.48
"169",26.59,26.98,25.84,25.98,8697200,25.98
"170",26.16,27.040001,25.58,26.889999,11878600,26.889999
"171",27.049999,27.6,26.33,27.030001,10529500,27.030001
