"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume","SYK.Adjusted"
"1",85.739998,85.739998,84.68,85.099998,1003500,83.556075
"2",85.279999,85.279999,84.449997,84.760002,979600,83.222247
"3",84.82,84.82,83.510002,83.779999,1539100,82.260023
"4",84.019997,84.029999,83.279999,83.440002,977100,81.926195
"5",84.199997,86.519997,83.970001,84.610001,2338600,83.074967
"6",84.209999,84.43,83.660004,83.800003,1152600,82.279665
"7",83.519997,84.470001,83.519997,84.43,935800,82.898232
"8",84.599998,85.669998,84.599998,85.639999,1298300,84.086279
"9",86.239998,86.93,86.010002,86.080002,2118800,84.518299
"10",85.879997,86.25,85.150002,85.260002,890600,83.713176
"11",85.07,85.589996,84.660004,84.730003,694400,83.192793
"12",85.599998,85.650002,85.089996,85.5,1034700,83.94882
"13",85.230003,85.230003,84.550003,84.610001,1083900,83.372377
"14",84.470001,84.849998,83.809998,83.970001,1642200,82.741739
"15",84.089996,84.489998,83.900002,84.32,1586800,83.086618
"16",84.989998,85.889999,84.720001,85.5,1178400,84.249358
"17",85.220001,85.599998,84.889999,85.400002,653300,84.150822
"18",85.529999,85.720001,85.110001,85.629997,443400,84.377453
"19",85.690002,85.910004,85,85.559998,789700,84.308478
"20",85.470001,85.470001,83.849998,83.93,1326400,82.702323
"21",84.089996,84.290001,83.519997,83.980003,951800,82.751595
"22",83.389999,83.910004,82.68,83.68,1088800,82.45598
"23",83.57,84.050003,83.459999,84.019997,562700,82.791003
"24",84.400002,84.489998,83.230003,83.449997,1232800,82.229341
"25",81.860001,84,81.860001,82.739998,1787400,81.529727
"26",83.239998,83.239998,82.139999,82.290001,1295400,81.086312
"27",81.809998,82.790001,81.169998,81.709999,1877100,80.514794
"28",82.139999,82.839996,81,82.160004,1411700,80.958217
"29",81.889999,82.220001,81.209999,81.589996,1461000,80.396547
"30",81.940002,82.379997,81.629997,81.889999,1112000,80.692162
"31",82.260002,82.410004,81.620003,81.809998,1429400,80.61333
"32",81.879997,81.879997,80.550003,80.790001,4129400,79.608253
"33",80.839996,81.099998,80.110001,80.440002,1730400,79.263375
"34",80.529999,80.529999,79.800003,80.089996,2007100,78.918488
"35",80.139999,80.629997,79.940002,80.220001,1542400,79.046591
"36",80.410004,80.790001,80.089996,80.410004,1233600,79.233815
"37",80.139999,80.540001,79.699997,79.769997,2000500,78.603169
"38",79.699997,80.260002,79.029999,80,1924800,78.829808
"39",80,80.760002,79.739998,80.580002,1183500,79.401326
"40",80.269997,80.75,79.75,79.989998,1350100,78.819952
"41",79.389999,80.199997,79.389999,79.82,1406600,78.652441
"42",79.900002,80.129997,78.970001,79.25,1840800,78.090779
"43",79.5,79.949997,78.910004,79.809998,1133600,78.642585
"44",80.129997,80.129997,79.480003,79.550003,739600,78.386394
"45",79.980003,80.019997,79.43,79.589996,1442800,78.425802
"46",79.989998,80.800003,79.889999,80.75,1629500,79.568838
"47",80.889999,81.379997,80.550003,80.919998,1093000,79.736349
"48",81.220001,81.220001,79.779999,80.470001,907200,79.292935
"49",81.059998,81.370003,80.730003,81.32,743300,80.1305
"50",81.25,82.019997,81.080002,81.980003,944100,80.780849
"51",81.639999,82.010002,81.300003,81.889999,829700,80.692162
"52",81.779999,82.949997,81.699997,82.900002,1307400,81.68739
"53",82.779999,82.790001,82.029999,82.139999,977000,80.938505
"54",82.440002,82.989998,82.300003,82.93,1065000,81.71695
"55",82.519997,83.089996,82.099998,82.849998,1771400,81.638119
"56",82.739998,82.830002,82.139999,82.330002,592600,81.125728
"57",82.129997,82.699997,81.889999,82.669998,764300,81.460751
"58",82.830002,83.480003,82.57,83.309998,1136300,82.091389
"59",83.610001,83.610001,82.760002,83.120003,1073100,81.904173
"60",83.5,83.739998,83.220001,83.510002,1006200,82.288468
"61",83.699997,84.309998,83.110001,83.330002,887000,82.111101
"62",83.279999,84.169998,82.839996,84.129997,728300,82.899394
"63",84.07,84.349998,83.910004,84.269997,967800,83.037346
"64",84.279999,84.419998,83.669998,83.75,753700,82.524955
"65",84.040001,84.160004,83.690002,83.910004,961900,82.682619
"66",83.589996,84.290001,83.43,84.239998,819500,83.007786
"67",84.190002,84.349998,83.220001,83.459999,888000,82.239197
"68",83.379997,83.739998,83.040001,83.400002,566700,82.180077
"69",83.580002,84.290001,82.709999,84.059998,922200,82.830419
"70",84.080002,84.519997,83.669998,83.940002,1052500,82.712179
"71",84.449997,84.589996,83.669998,84.07,2065800,82.840274
"72",84.440002,84.620003,82.760002,82.839996,2694800,81.628263
"73",82.580002,82.839996,82.059998,82.139999,1042600,80.938505
"74",81.480003,81.779999,81.25,81.510002,1525000,80.317723
"75",81.68,82.300003,81.32,82.129997,866000,80.928649
"76",82.150002,82.160004,80.93,81.230003,2105400,80.04182
"77",81.129997,81.839996,80.959999,81.5,1278500,80.610541
"78",80.82,81.57,80.730003,81.519997,1020600,80.630319
"79",81.459999,81.620003,80.739998,80.75,954600,79.868726
"80",81.029999,81.610001,80.18,81.330002,2467400,80.442398
"81",81.099998,82.080002,80.919998,81.739998,1356500,80.847919
"82",82.379997,82.760002,82.129997,82.510002,1434300,81.60952
"83",83.139999,84.089996,83.080002,83.699997,1377600,82.786528
