"","URBN.Open","URBN.High","URBN.Low","URBN.Close","URBN.Volume","URBN.Adjusted"
"1",34.470001,34.540001,33.330002,33.389999,3914000,33.389999
"2",33.299999,33.860001,33.130001,33.790001,2329900,33.790001
"3",33.720001,33.73,33.220001,33.459999,2526300,33.459999
"4",33.849998,33.849998,33.34,33.52,2589600,33.52
"5",34.5,34.5,33.009998,33.32,3626600,33.32
"6",33.32,34.099998,33.32,34.009998,2142200,34.009998
"7",34.040001,34.040001,33.490002,33.919998,1558100,33.919998
"8",33.91,34.209999,33.709999,33.869999,1002300,33.869999
"9",33.990002,34.209999,33.77,34.139999,3183800,34.139999
"10",34.169998,34.470001,33.98,34.009998,1535200,34.009998
"11",34.049999,34.48,33.950001,34.02,1826900,34.02
"12",32.98,34.150002,32.98,33.900002,1921400,33.900002
"13",33.84,33.900002,33.419998,33.830002,969900,33.830002
"14",33.73,33.869999,33.580002,33.740002,1712100,33.740002
"15",33.619999,33.970001,33.5,33.860001,1559200,33.860001
"16",32.650002,33.779999,32.619999,33.419998,4410800,33.419998
"17",33.880001,34.23,33.419998,34.049999,2910200,34.049999
"18",34.18,34.799999,34.169998,34.52,1732700,34.52
"19",34.450001,34.59,34.09,34.290001,1422600,34.290001
"20",34.290001,34.369999,33.970001,34.049999,1686400,34.049999
"21",33.549999,34.490002,33.549999,34.43,1294100,34.43
"22",33.939999,34.009998,33.16,33.779999,1918500,33.779999
"23",33.459999,33.73,33.200001,33.549999,1287200,33.549999
"24",33.830002,33.889999,33.310001,33.360001,1198400,33.360001
"25",33.490002,33.650002,33.189999,33.290001,1609500,33.290001
"26",33.369999,33.509998,32.849998,33.25,1212700,33.25
"27",33.080002,33.689999,33.080002,33.380001,1307400,33.380001
"28",33.5,34.130001,33.380001,34.009998,1588900,34.009998
"29",33.919998,34.049999,33.610001,33.82,1628700,33.82
"30",34.209999,34.209999,33.82,33.84,1600600,33.84
"31",33.810001,34.119999,33.790001,33.93,1226000,33.93
"32",34.130001,35.060001,33.900002,34.91,1555700,34.91
"33",34.740002,34.919998,34.52,34.529999,1230700,34.529999
"34",34.68,35.009998,34.59,34.98,1457300,34.98
"35",35.029999,35.610001,35.02,35.400002,1840700,35.400002
"36",35.32,36.220001,35.209999,36.07,2206100,36.07
"37",35.740002,35.990002,35.52,35.73,2196300,35.73
"38",35.689999,35.860001,35.209999,35.599998,1550300,35.599998
"39",35.639999,36.09,35.48,36.009998,1878100,36.009998
"40",35.720001,36.139999,35.490002,36.049999,3081600,36.049999
"41",35.990002,37.209999,35.849998,36.93,2716300,36.93
"42",36.529999,37.09,36.279999,36.34,1933500,36.34
"43",36.59,37.310001,36.450001,37.169998,2716900,37.169998
"44",37.18,37.43,36.740002,36.779999,1812500,36.779999
"45",36.880001,37.139999,36.540001,36.759998,1143700,36.759998
"46",36.919998,36.919998,35.98,36.360001,2351100,36.360001
"47",36.48,36.5,36.009998,36.349998,1397900,36.349998
"48",36.369999,36.419998,35.610001,36.049999,1865900,36.049999
"49",36.459999,37.029999,36.110001,36.919998,3601100,36.919998
"50",37.799999,38.790001,37.240002,38.59,5476200,38.59
"51",38.439999,39.200001,38.439999,39.150002,3904800,39.150002
"52",39.02,39.360001,38.939999,39.27,1528700,39.27
"53",39.110001,39.84,39.110001,39.799999,1911900,39.799999
"54",39.849998,40.32,39.66,40.189999,2016500,40.189999
"55",40.209999,40.470001,39.77,40.240002,1788000,40.240002
"56",40.5,40.669998,40.18,40.259998,1794700,40.259998
"57",39.939999,40.189999,39.360001,39.77,2287100,39.77
"58",39.900002,40.049999,39.59,39.790001,2234500,39.790001
"59",39.849998,40.200001,39.419998,39.790001,1837600,39.790001
"60",39.900002,40.09,39.560001,39.619999,1380700,39.619999
"61",39.759998,40.310001,39.669998,40.099998,1824000,40.099998
"62",39.689999,39.970001,39.130001,39.369999,2069900,39.369999
"63",39.25,39.490002,38.77,39.07,1555600,39.07
