"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume","USB.Adjusted"
"1",43.43,43.52,43.209999,43.330002,4920000,42.119869
"2",42.970001,43.279999,42.84,42.98,5889000,41.779642
"3",42.93,43.16,42.799999,43.009998,5756800,41.808802
"4",43.009998,43.279999,42.919998,43.060001,4615400,41.857409
"5",42.959999,43.07,42.580002,42.75,5125700,41.556065
"6",42.700001,43.240002,42.650002,43.130001,6026500,41.925454
"7",43.099998,43.34,42.889999,43.330002,5526600,42.119869
"8",43.310001,43.369999,43.099998,43.279999,4206200,42.071262
"9",43.639999,43.919998,43.599998,43.740002,10241100,42.518418
"10",43.57,43.84,43.439999,43.82,10514800,42.596182
"11",43.66,43.830002,43.259998,43.299999,5989000,42.090704
"12",43.169998,43.41,42.93,43.360001,7349800,42.14903
"13",43,43.330002,42.75,43.060001,8779000,42.095264
"14",42.970001,43.360001,42.91,43.360001,10451900,42.388542
"15",43.360001,43.48,43.189999,43.32,5393800,42.349437
"16",43.450001,43.66,43.330002,43.34,5584600,42.368989
"17",43.169998,43.450001,43.130001,43.25,4485100,42.281006
"18",43.669998,43.75,43.459999,43.59,3519100,42.613388
"19",43.529999,43.709999,43.400002,43.48,4311700,42.505852
"20",43.23,43.470001,43.099998,43.189999,5982800,42.222349
"21",43.360001,43.439999,43.139999,43.380001,5753900,42.408094
"22",43.080002,43.189999,42.880001,43.099998,5242000,42.134365
"23",42.98,43.220001,42.810001,43.18,5091000,42.212574
"24",43.509998,43.639999,43.009998,43.049999,4477900,42.085486
"25",42.970001,43.419998,42.959999,43.299999,9467100,42.329885
"26",43.419998,43.490002,42.360001,42.529999,9454300,41.577136
"27",42.220001,42.32,41.580002,41.610001,11589200,40.67775
"28",41.82,42.310001,41.790001,42.169998,7856100,41.225201
"29",42.009998,42.209999,41.950001,42.119999,5008800,41.176322
"30",42.299999,42.549999,42.220001,42.25,6149600,41.30341
"31",42.259998,42.529999,42.220001,42.459999,4399500,41.508704
"32",42.540001,42.84,42.48,42.73,4385800,41.772656
"33",42.540001,42.82,42.5,42.75,5386000,41.792208
"34",42.700001,42.700001,42.310001,42.57,6284900,41.61624
"35",42.610001,42.970001,42.43,42.639999,5649400,41.684672
"36",42.830002,43.099998,42.66,42.919998,5542000,41.958397
"37",42.639999,42.779999,42.009998,42.029999,8403000,41.088338
"38",41.849998,42.080002,41.290001,41.330002,8252000,40.404024
"39",41.48,41.669998,41.240002,41.639999,5052700,40.707076
"40",41.419998,41.639999,41.02,41.169998,5240800,40.247605
"41",41.02,41.360001,40.990002,41.080002,6443100,40.159625
"42",41.16,41.25,40.580002,40.68,5578600,39.768586
"43",40.779999,41.200001,40.68,41.18,6066900,40.257383
"44",41.209999,41.279999,40.889999,40.959999,3805500,40.042311
"45",40.900002,41.299999,40.849998,41.16,6327300,40.237831
"46",41.34,41.459999,41.16,41.360001,4577100,40.433351
"47",41.349998,41.610001,41.34,41.599998,3528600,40.667972
"48",41.700001,41.779999,41.060001,41.27,5761100,40.345367
"49",41.509998,41.82,41.43,41.720001,3552300,40.785286
"50",41.66,41.869999,41.529999,41.84,4194100,40.902596
"51",41.669998,41.779999,41.459999,41.709999,5102000,40.775508
"52",41.779999,42.240002,41.73,42.189999,4371600,41.244753
"53",42.049999,42.470001,41.98,42.029999,3946600,41.088338
"54",42.189999,42.419998,42.189999,42.25,4583800,41.30341
"55",42.299999,42.610001,42.27,42.41,3945700,41.459825
"56",42.400002,42.490002,42.099998,42.200001,2748000,41.254531
"57",41.970001,42.189999,41.93,42.060001,2407000,41.117668
"58",42.23,42.299999,41.990002,42.279999,3381700,41.332737
"59",42.34,42.400002,42.07,42.27,3600600,41.322963
"60",42.48,42.509998,42.009998,42.119999,4391400,41.176322
"61",42.080002,42.560001,42.049999,42.240002,4609900,41.293636
"62",42.119999,42.220001,41.889999,42.130001,7807500,41.1861
"63",42.189999,42.200001,41.869999,42.029999,5979700,41.088338
"64",41.880001,41.91,41.48,41.599998,6252500,40.667972
"65",41.630001,41.91,41.619999,41.84,5184800,40.902596
"66",41.75,42.130001,41.720001,42.099998,4235600,41.156769
"67",42.02,42.41,41.970001,42.200001,7803200,41.254531
"68",42.150002,42.52,42.139999,42.369999,5015100,41.420721
"69",42.310001,42.59,42.279999,42.369999,5886100,41.420721
"70",42.48,42.889999,42.41,42.689999,7441300,41.733551
