"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"1",213,214.779999,212.75,214.25,6835600,53.168006
"2",212.990005,213.910004,212.119995,212.679993,6758000,52.778395
"3",212.389999,213.169998,211.229996,211.770004,6218000,52.552574
"4",211.869995,212.070007,210.850006,211.289993,7085200,52.433455
"5",210.880005,210.990005,209.970001,210.240005,7899200,52.172891
"6",210.139999,211.919998,209.899994,210.809998,5722400,52.31434
"7",210.449997,211.25,209.029999,211.25,10326000,52.42353
"8",211.470001,212.160004,208.020004,210.320007,15331200,52.192744
"9",211.520004,212.119995,209.100006,209.490005,18358800,51.986772
"10",209,209.809998,208.179993,209.470001,14765200,51.981808
"11",209.270004,210.589996,207.380005,207.789993,13089600,51.564899
"12",207.309998,210.490005,207.309998,209.059998,8244800,51.880062
"13",209.830002,209.860001,207.559998,208.960007,8580400,51.855248
"14",208.100006,209.899994,207.860001,209.279999,12961200,51.934657
"15",208.660004,211.740005,208.5,210.710007,9961600,52.289526
"16",211.949997,215.350006,211.830002,214.25,10993600,53.168006
"17",214.880005,215.490005,214.25,214.839996,5768800,53.314419
"18",215.309998,217,215.100006,216.509995,5571600,53.728844
"19",216.429993,217.550003,215.639999,216.740005,6612400,53.785923
"20",216.770004,216.889999,213.149994,215.259995,12149200,53.418645
"21",215.5,216.279999,214.509995,216.160004,5177200,53.64199
"22",213.800003,216.889999,212.679993,215.539993,8536800,53.48813
"23",215.949997,217.039993,214.369995,217,5696800,53.850443
"24",218.75,222.360001,217.649994,221.029999,13716400,54.850522
"25",221.669998,224.75,220.899994,221.779999,10900800,55.036641
"26",222.940002,223.160004,221.080002,222.669998,8853200,55.257502
"27",221.940002,222,217.830002,217.880005,9806000,54.068824
"28",219.179993,221.889999,218.919998,220.199997,11068000,54.64455
"29",219.529999,220.130005,218.509995,219.220001,6168400,54.401356
"30",220.919998,222.589996,220.610001,221.259995,7699200,54.907598
"31",221.490005,222.539993,220.679993,221.199997,8189200,54.892709
"32",223.389999,223.850006,221.830002,222.740005,11947600,55.274875
"33",214.100006,216.699997,211.339996,214.770004,27530400,53.29705
"34",214.419998,214.960007,213.119995,214.220001,10401600,53.160562
"35",214.399994,215.710007,213.330002,213.5,10577200,52.981887
"36",213.490005,214.789993,213.449997,214.059998,10422800,53.120856
