"","WFM.Open","WFM.High","WFM.Low","WFM.Close","WFM.Volume","WFM.Adjusted"
"1",41.299999,42.200001,41.200001,41.869999,8235400,41.264046
"2",41.599998,42.130001,41.150002,42.099998,7636200,41.490717
"3",42,42.810001,41.919998,42.689999,10754700,42.072178
"4",42.889999,42.900002,41.810001,42.119999,5962600,41.510428
"5",41.91,42.439999,41.799999,41.889999,4737500,41.283757
"6",41.939999,42.200001,41.610001,41.740002,4369800,41.13593
"7",41.709999,42,41.259998,41.82,4179500,41.21477
"8",42.029999,42.040001,40.18,40.549999,7742400,39.96315
"9",40.490002,40.5,38.98,39.220001,14137800,38.6524
"10",39.23,39.66,38.959999,39.240002,6412500,38.672111
"11",39.169998,39.380001,38.720001,38.950001,7013600,38.386307
"12",39.360001,39.549999,38.77,39.09,7799600,38.52428
"13",39.27,39.27,38.73,38.91,5066900,38.346885
"14",38.799999,38.98,38.509998,38.700001,9890400,38.139925
"15",38.57,38.93,38.5,38.630001,4431800,38.070938
"16",38.799999,39,38.450001,38.810001,3632000,38.367517
"17",38.790001,39.130001,38.73,38.950001,2922700,38.50592
"18",39.150002,39.310001,38.939999,39.16,3000200,38.713525
"19",39.27,39.5,38.57,38.759998,6724100,38.318084
"20",38.57,38.650002,37.950001,38.200001,6073700,37.764471
"21",38.189999,38.599998,38.150002,38.419998,4604300,37.98196
"22",37.900002,38.009998,37.200001,37.639999,7930900,37.210855
"23",37.689999,37.939999,37.220001,37.599998,5765200,37.17131
"24",37.900002,37.990002,37.060001,37.209999,8155400,36.785757
"25",37.209999,37.580002,36.419998,36.849998,11894800,36.429861
"26",36.990002,37.200001,36.43,36.459999,8858700,36.044308
"27",36.32,36.900002,36.080002,36.75,8283800,36.331002
"28",36.93,37.189999,36.599998,37.110001,5841100,36.686899
"29",37.049999,37.400002,36.740002,36.77,4463200,36.350775
"30",36.700001,36.919998,36.25,36.849998,7621200,36.429861
"31",36.5,36.880001,36.310001,36.849998,5221900,36.429861
"32",36.849998,37.470001,36.810001,37.330002,5803200,36.904391
"33",37.279999,37.380001,36.830002,36.880001,4271300,36.459521
"34",37,37.07,36.419998,36.529999,5938400,36.113509
"35",36.650002,38.029999,36.509998,37.68,10260900,37.250399
"36",38.049999,39.490002,37.68,39.110001,21385800,38.664096
"37",36.509998,39.349998,36.18,38.23,24476400,37.794128
"38",38.470001,38.720001,37.599998,37.860001,8886500,37.428348
"39",37.830002,38.279999,37.490002,37.950001,6208400,37.517322
"40",37.860001,40.450001,37.75,38.470001,22618900,38.031393
"41",38.27,38.790001,38.150002,38.490002,5625700,38.051166
"42",38.580002,38.810001,37.200001,37.349998,8282700,36.92416
"43",37.470001,38.040001,37.310001,37.889999,5610200,37.458004
"44",37.959999,38.529999,37.880001,38.259998,4248800,37.823785
"45",38.130001,39.07,38.110001,38.400002,5269200,37.962192
"46",38.459999,38.490002,37.880001,37.959999,3938100,37.527206
"47",38,38.919998,38,38.560001,4220100,38.120367
"48",38.830002,39.110001,38.389999,38.529999,4168400,38.090707
"49",38.790001,38.990002,38.400002,38.75,3586300,38.3082
"50",38.700001,39.07,38.580002,38.759998,4367000,38.318084
"51",38.709999,38.799999,38.040001,38.189999,5442000,37.754583
"52",38.099998,38.330002,37.75,37.919998,4317500,37.487661
"53",38.16,38.849998,38.080002,38.549999,4529500,38.110479
"54",38.700001,38.779999,38.32,38.490002,2661600,38.051166
"55",38.57,38.709999,38.400002,38.490002,2799000,38.051166
"56",38.580002,40.209999,38.529999,39.799999,8451800,39.346228
"57",39.299999,39.490002,38.779999,39.189999,5487500,38.743182
"58",39.380001,39.400002,38.990002,39.139999,3590200,38.693753
"59",39.200001,39.290001,38.810001,39.09,4447200,38.644324
"60",39.150002,39.73,38.990002,39.049999,4006200,38.604779
"61",39.220001,39.689999,39.02,39.130001,4127100,38.683868
"62",39.130001,39.619999,39.060001,39.52,3168100,39.069421
"63",39.330002,39.400002,38.669998,38.810001,4984400,38.367517
"64",38.66,38.950001,38.189999,38.349998,4820700,37.912759
"65",38.259998,38.779999,38.16,38.630001,3277300,38.189569
"66",38.630001,39.07,38.310001,38.509998,4029300,38.070934
"67",38.439999,38.5,38.02,38.099998,4461800,37.665609
"68",38.029999,38.259998,37.400002,37.57,4884000,37.141653
"69",37.59,38.299999,37.450001,38.189999,5644100,37.754583
"70",38.439999,39.689999,38.41,39.380001,8223800,38.931018
"71",39.580002,40.139999,39.32,39.790001,6888200,39.336343
"72",39.959999,40,38.610001,39.169998,8075300,38.723409
