"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume","WYN.Adjusted"
"1",74.260002,74.32,73.550003,74.199997,1305700,72.852062
"2",73.809998,74,73.25,73.440002,1514500,72.105873
"3",73.379997,73.419998,72.260002,72.440002,1228000,71.12404
"4",72.529999,72.949997,72,72.470001,1529200,71.153493
"5",72.330002,72.760002,72.139999,72.5,813700,71.182947
"6",72.269997,72.790001,72.18,72.650002,911300,71.330224
"7",72.650002,73.160004,72.5,73.150002,2126600,71.821141
"8",73.129997,74.190002,73.059998,74.139999,1367600,72.793154
"9",74.209999,74.709999,74.019997,74.529999,1264900,73.176069
"10",74.690002,74.879997,74.139999,74.809998,1497400,73.450981
"11",74.639999,75.309998,74.019997,74.110001,1236600,72.7637
"12",74.360001,75.699997,73.93,75.160004,2960000,73.794629
"13",75.239998,75.629997,74.550003,75.410004,1201900,74.040087
"14",75.260002,75.989998,74.75,75.620003,2167100,74.246271
"15",75.559998,75.809998,75.019997,75.720001,791700,74.344453
"16",75.800003,75.980003,75.260002,75.610001,793500,74.236451
"17",75.669998,76.050003,75.43,75.989998,625000,74.609545
"18",76.18,76.650002,76.099998,76.57,487700,75.17901
"19",75.900002,76.43,75.900002,76.309998,564000,74.923732
"20",75.879997,75.980003,75.480003,75.82,1188700,74.442635
"21",76.209999,77.050003,75.839996,77.029999,1076100,75.630653
"22",75.800003,77.160004,75.800003,76.699997,919100,75.306646
"23",76.669998,77.040001,76.290001,76.860001,644700,75.463743
"24",77.32,77.769997,76.760002,76.769997,689400,75.375374
"25",76.790001,77.230003,76.040001,76.480003,781300,75.090649
"26",76.870003,77.050003,76.309998,76.410004,728600,75.021921
"27",75.980003,76.410004,75.150002,75.239998,626300,73.87317
"28",75.669998,76.440002,75.519997,76.349998,487200,74.963006
"29",76.150002,76.760002,75.699997,76.419998,721400,75.031734
"30",76.629997,77.449997,76.629997,77.139999,862300,75.738655
"31",77.419998,77.470001,76.470001,76.550003,1193700,75.159377
"32",77.5,78.980003,77.349998,77.989998,1749100,76.573213
"33",78,78.860001,77.580002,78.129997,1298600,76.710669
