"","YHOO.Open","YHOO.High","YHOO.Low","YHOO.Close","YHOO.Volume","YHOO.Adjusted"
"1",35.869999,36.52,35.860001,36.310001,9179300,36.310001
"2",36.25,36.84,36.110001,36.630001,13321500,36.630001
"3",36.5,36.790001,36.34,36.779999,12466100,36.779999
"4",36.880001,37.060001,36.639999,36.939999,12926300,36.939999
"5",35,35.490002,34.77,34.810001,32432300,34.810001
"6",34.799999,34.939999,34.299999,34.43,24402900,34.43
"7",34.669998,35.009998,34.259998,34.939999,17836000,34.939999
"8",35.139999,35.200001,34.52,34.68,16200000,34.68
"9",34.810001,34.810001,33.970001,34.049999,21605800,34.049999
"10",34.130001,34.220001,33.369999,33.639999,26206400,33.639999
"11",33.790001,33.990002,33.349998,33.48,14589800,33.48
"12",33.380001,33.650002,33.099998,33.25,18074400,33.25
"13",33.25,33.75,33.02,33.66,16010000,33.66
"14",33.849998,34.549999,33.700001,34.25,25500600,34.25
"15",34.93,35.259998,34.849998,35.130001,20450100,35.130001
"16",35.5,35.700001,35.209999,35.349998,18609600,35.349998
"17",35.619999,35.91,35.400002,35.880001,16533600,35.880001
"18",36.07,36.150002,35.900002,36.139999,8604900,36.139999
"19",36.150002,36.23,35.48,35.52,15716800,35.52
"20",35.639999,35.66,34.279999,34.529999,23096900,34.529999
"21",34.68,35.07,34.68,34.849998,12626900,34.849998
"22",34.330002,34.970001,34.099998,34.93,18064800,34.93
"23",34.950001,35.560001,34.779999,35.43,18379500,35.43
"24",35.799999,35.950001,35.450001,35.700001,18680500,35.700001
"25",35.720001,35.939999,35.200001,35.610001,36316600,35.610001
"26",34.419998,34.450001,33.720001,33.790001,56260600,33.790001
"27",33.82,33.900002,32.98,33.209999,37535900,33.209999
"28",33.18,33.349998,32.93,33.330002,21540900,33.330002
"29",33.349998,33.639999,33.16,33.279999,18431000,33.279999
"30",33.48,33.84,33.400002,33.599998,18153600,33.599998
"31",33.779999,34.919998,33.68,34.709999,38622500,34.709999
"32",35.09,36.549999,35.040001,36.169998,47391000,36.169998
"33",36,36.330002,35.75,36.119999,20143800,36.119999
"34",36.23,36.23,35.509998,35.900002,14607200,35.900002
"35",35.91,36.16,35.669998,35.68,11570900,35.68
"36",35.939999,36.990002,35.799999,36.599998,29876700,36.599998
"37",36.259998,36.490002,35.68,35.810001,17937400,35.810001
"38",35.689999,36.080002,35.310001,35.619999,14573000,35.619999
"39",35.709999,36.66,35.650002,36.529999,13097200,36.529999
"40",36.32,36.419998,35.619999,35.700001,17636400,35.700001
"41",35.580002,35.939999,35.439999,35.790001,11770500,35.790001
"42",36,36,35.529999,35.66,11306600,35.66
"43",35.73,35.959999,35.400002,35.91,10593700,35.91
"44",36.099998,36.150002,35.75,35.790001,8660100,35.790001
"45",35.799999,35.990002,35.150002,35.52,12902700,35.52
"46",35.959999,36.450001,35.77,36.189999,16532300,36.189999
"47",36.32,36.419998,36.169998,36.360001,8927300,36.360001
"48",36.200001,36.57,36.119999,36.470001,13338900,36.470001
"49",36.77,37.77,36.75,37.380001,20153200,37.380001
"50",37.560001,37.939999,37.5,37.830002,17084900,37.830002
"51",37.610001,37.75,37.310001,37.5,12670300,37.5
"52",37.650002,37.75,37.310001,37.639999,12254900,37.639999
"53",37.700001,38.200001,37.639999,38.009998,14879100,38.009998
"54",38.139999,38.220001,37.540001,37.709999,14356400,37.709999
"55",37.759998,37.919998,37.560001,37.790001,9516800,37.790001
"56",38.299999,38.720001,37.830002,38.18,24843000,38.18
"57",38.09,38.57,37.900002,38.310001,16490600,38.310001
"58",38.57,38.669998,38.200001,38.509998,11634100,38.509998
"59",38.900002,39.299999,38.790001,39.27,19803300,39.27
"60",39.490002,39.599998,38.689999,38.869999,16092900,38.869999
"61",39.139999,39.34,38.959999,39.189999,14763300,39.189999
"62",39.049999,39.799999,39.049999,39.59,26200400,39.59
"63",40.34,41.82,40.259998,41.810001,75520200,41.810001
"64",42.009998,42.060001,40.599998,40.779999,52683000,40.779999
"65",41.049999,41.23,40.330002,41.139999,30741800,41.139999
"66",41.02,41.560001,40.93,41.259998,25203000,41.259998
"67",41.73,43.200001,41.5,42.880001,69745500,42.880001
"68",43.98,44.009998,42.139999,42.549999,72409900,42.549999
"69",42.610001,42.959999,41.689999,42.709999,61490700,42.709999
"70",42.369999,42.959999,42.299999,42.59,39495500,42.59
"71",43.049999,43.32,41.419998,42.09,93702100,42.09
"72",42.439999,43.189999,39.549999,40.93,233872100,40.93
"73",39.77,40.040001,38.220001,38.650002,109217100,38.650002
"74",38.150002,39.27,37.900002,39.049999,66105300,39.049999
"75",39.259998,40.099998,38.91,39.880001,49014100,39.880001
"76",39.560001,39.799999,38.82,38.950001,35916500,38.950001
"77",39.009998,40.799999,39,40.66,62189200,40.66
