"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"1",79.57,79.800003,79.029999,79.400002,1302400,77.712448
"2",79.059998,79.620003,78.849998,79.529999,1479400,77.839682
"3",79.580002,79.879997,78.629997,78.769997,1937600,77.095833
"4",78.730003,79.379997,78.25,79.230003,1727900,77.546063
"5",78.879997,79.139999,78.669998,79.099998,1387300,77.418821
"6",78.919998,79.540001,78.75,79.489998,1383800,77.800531
"7",79.540001,79.769997,78.879997,79.68,968700,77.986496
"8",79.949997,80.650002,79.830002,80.370003,2260700,78.661833
"9",80.370003,80.610001,80.089996,80.5,2352300,78.789067
"10",80.589996,80.739998,80.110001,80.610001,1751200,78.89673
"11",80.330002,81.169998,80.230003,80.599998,1607800,78.88694
"12",80.599998,82.099998,80.370003,81.980003,2909800,80.237615
"13",82,82.129997,81.18,81.720001,2131100,79.983139
"14",81.690002,82.040001,81.230003,81.910004,1857000,80.169103
"15",81.800003,81.800003,81,81.199997,2026200,79.474186
"16",81.620003,81.949997,81.32,81.540001,2325700,79.806964
"17",81.650002,82.230003,81.559998,81.919998,1437900,80.178885
"18",81.949997,82.940002,81.849998,82.489998,1236000,80.73677
"19",82.419998,82.489998,81.419998,82.290001,1727900,80.541024
"20",82.360001,82.730003,81.870003,82.300003,3015700,80.550813
"21",81.800003,83.43,81.75,83.230003,3033900,81.828928
"22",82.449997,82.720001,81.970001,82.470001,1690900,81.081719
"23",82.459999,82.75,81.919998,82.349998,1283400,80.963737
"24",82.849998,83.440002,82.580002,83.290001,1974700,81.887915
"25",83.32,83.580002,82.699997,83.18,2678300,81.779766
"26",83.309998,83.449997,82.559998,82.709999,3641600,81.317677
"27",80.580002,81,76.650002,77.010002,12870200,75.713633
"28",77.129997,78.470001,77.050003,77.419998,5021200,76.116727
"29",76.43,76.43,74.099998,74.129997,8476300,72.882109
"30",74.599998,75.150002,74.300003,74.839996,4467600,73.580156
"31",75.43,75.529999,74.699997,74.709999,5770800,73.452347
"32",75,75,73.730003,73.839996,5930500,72.59699
