"","ZION.Open","ZION.High","ZION.Low","ZION.Close","ZION.Volume","ZION.Adjusted"
"1",30.049999,30.23,29.799999,30.1,839600,29.90883
"2",29.9,29.98,29.700001,29.83,1065000,29.640544
"3",29.77,30.1,29.49,29.549999,2212200,29.362322
"4",29.67,29.93,29.469999,29.620001,1619600,29.431879
"5",29.51,29.620001,29.1,29.18,1328800,28.994673
"6",29.16,29.870001,29.1,29.77,2694200,29.580926
"7",29.77,29.860001,29.530001,29.809999,2072500,29.620671
"8",29.82,29.860001,29.48,29.75,921800,29.561053
"9",29.950001,30.389999,29.93,30.110001,3417400,29.918767
"10",30.059999,30.18,29.84,30.040001,1542000,29.849212
"11",29.950001,30.33,29.549999,29.610001,1712100,29.421942
"12",29.5,29.799999,29.27,29.639999,1963000,29.451751
"13",29.559999,29.809999,29.25,29.77,1120700,29.580926
"14",29.690001,29.860001,29.549999,29.639999,2157500,29.451751
"15",29.6,29.700001,29.360001,29.469999,1358900,29.28283
"16",29.5,29.879999,29.440001,29.5,1849700,29.31264
"17",29.530001,29.709999,29.24,29.34,1417600,29.153657
"18",29.610001,30.120001,29.549999,29.77,1428000,29.580926
"19",29.719999,29.799999,29.41,29.77,1986900,29.580926
"20",29.709999,29.74,29.32,29.389999,1694100,29.203338
"21",30.889999,30.889999,29.450001,29.74,1779100,29.551116
"22",29.32,29.51,29.24,29.370001,1945100,29.183467
"23",29.200001,29.74,29.02,29.700001,1666500,29.511371
"24",29.91,30.040001,29.5,29.530001,1484200,29.342451
"25",29.65,29.870001,29.120001,29.459999,2509900,29.272894
"26",29.450001,29.51,29.190001,29.26,1305800,29.074165
"27",29.18,29.18,28.4,28.52,2860200,28.338865
"28",28.77,29.030001,28.549999,28.780001,1479300,28.597214
"29",28.59,28.809999,28.49,28.639999,1273500,28.458102
"30",29.030001,29.290001,28.6,29.15,2805500,28.964863
"31",29.120001,29.190001,28.950001,29.049999,1354700,28.865498
"32",29.15,29.540001,29.15,29.49,1042400,29.302704
"33",30.25,30.469999,29.780001,30.059999,4663600,29.869083
"34",30.1,30.110001,29.299999,29.42,15091700,29.233149
"35",29.6,29.68,29.290001,29.33,5593400,29.14372
"36",29.25,29.639999,28.99,29.059999,7245400,28.875434
"37",28.860001,29.16,28.780001,28.82,4320100,28.636959
"38",28.700001,29,28.26,28.360001,5572900,28.179881
"39",28.32,28.5,27.99,28.129999,4658000,27.951341
"40",27.950001,28.440001,27.950001,28.030001,3093900,27.851977
"41",27.950001,28.27,27.809999,27.98,2748200,27.802294
"42",28.040001,28.17,27.51,27.549999,3332900,27.375024
"43",27.65,27.959999,27.440001,27.940001,2626100,27.762549
"44",27.91,28.120001,27.799999,27.85,1394700,27.67312
"45",27.809999,27.969999,27.610001,27.790001,1793900,27.613502
"46",27.57,27.99,27.530001,27.98,2335900,27.802294
"47",28,28.280001,27.93,28.219999,1261600,28.040769
"48",28.309999,28.35,27.940001,28.120001,1564800,27.941406
"49",28.26,28.620001,28.200001,28.469999,1403300,28.289181
"50",28.41,28.57,28.35,28.370001,1509200,28.22948
"51",28.379999,28.719999,28.200001,28.65,2024200,28.508092
"52",28.59,29.08,28.34,29.01,3517400,28.866309
"53",28.91,29.23,28.719999,29.040001,2561100,28.896162
"54",28.93,29.370001,28.93,29.15,1342500,29.005615
"55",29.209999,29.370001,29.129999,29.25,1258400,29.10512
"56",29.360001,29.469999,29.059999,29.34,2830200,29.194675
"57",29.190001,29.309999,28.969999,29.139999,2022800,28.995665
"58",29.26,29.290001,29.059999,29.139999,2365200,28.995665
"59",29.27,29.459999,29.16,29.360001,1791000,29.214576
"60",29.5,29.52,29.120001,29.219999,2406200,29.075268
"61",29.309999,29.540001,29.17,29.23,1979700,29.085219
"62",29.120001,29.120001,28.73,29.07,2289800,28.926012
"63",29,29.219999,28.92,28.969999,1956800,28.826507
"64",28.83,28.85,28.41,28.709999,1638200,28.567794
"65",28.450001,29.190001,28.450001,29.15,2157300,29.005615
"66",29.309999,29.309999,29,29.290001,2188800,29.144923
"67",29.309999,29.65,29.129999,29.58,2559800,29.433486
"68",29.6,29.6,29.33,29.450001,2469000,29.304131
"69",29.370001,29.58,29.16,29.190001,2737400,29.045418
"70",29.27,29.82,29.09,29.530001,3073300,29.383734
"71",29.65,30.129999,29.540001,29.870001,4025500,29.72205
