Date,Open,High,Low,Close,Volume,Adj Close
2010-06-10,10.05,10.44,10.04,10.36,10847200,9.890089
2010-06-11,10.21,10.41,10.2,10.38,6375900,9.909182
2010-06-14,10.49,10.64,10.36,10.38,6985600,9.909182
2010-06-15,10.51,10.78,10.43,10.75,6026200,10.2624
2010-06-16,10.54,10.75,10.49,10.65,5949800,10.166935
2010-06-17,10.76,10.76,10.38,10.6,6574600,10.119204
2010-06-18,10.57,10.61,10.46,10.51,9506500,10.033286
2010-06-21,10.67,10.82,10.42,10.54,6078400,10.061925
2010-06-22,10.55,10.59,10.14,10.17,7157500,9.708707
2010-06-23,10.17,10.2,9.91,10.02,5447400,9.565511
2010-06-24,9.98,10.06,9.66,9.68,9017100,9.240933
2010-06-25,9.75,9.97,9.65,9.86,16158400,9.412768
2010-06-28,9.97,9.97,9.72,9.77,4400100,9.326851
2010-06-29,9.63,9.66,9.22,9.25,8416200,8.830437
2010-06-30,9.24,9.49,9.15,9.24,9740700,8.82089
2010-07-01,9.2,9.23,8.99,9.09,8170600,8.677694
2010-07-02,9.17,9.35,9.04,9.12,4869900,8.706333
2010-07-06,9.26,9.39,8.82,8.9,8637100,8.496312
2010-07-07,9.0,9.92,8.95,9.86,17659400,9.412768
2010-07-08,10.06,10.06,9.65,9.79,8103800,9.345943
2010-07-09,9.67,10.27,9.67,10.23,12917700,9.765985
2010-07-12,10.17,10.28,10.07,10.25,6444500,9.785079
2010-07-13,10.41,10.46,10.16,10.23,4839100,9.765985
2010-07-14,10.16,10.39,10.1,10.21,5886900,9.746893
2010-07-15,10.17,10.23,10.0,10.2,5184700,9.737346
2010-07-16,10.11,10.14,9.91,9.98,7567800,9.527325
2010-07-19,10.08,10.14,9.97,10.07,3161100,9.613243
2010-07-20,9.9,10.3,9.89,10.25,4050500,9.785079
2010-07-21,10.28,10.33,9.96,10.03,4990300,9.575057
2010-07-22,10.16,10.43,10.11,10.39,5488100,9.918729
2010-07-23,10.39,10.49,10.26,10.46,5933900,9.985553
2010-07-26,10.43,10.5,10.36,10.47,4165100,9.9951
2010-07-27,10.54,10.71,10.43,10.71,6921900,10.224214
2010-07-28,10.63,10.69,10.49,10.55,3270600,10.071471
2010-07-29,10.66,10.68,10.27,10.34,4291500,9.870997
2010-07-30,10.22,10.37,10.12,10.31,4133400,9.842358
2010-08-02,10.46,10.79,10.46,10.76,5462900,10.271946
2010-08-03,10.69,10.75,10.42,10.45,5012400,9.976007
2010-08-04,10.44,10.6,10.33,10.54,3318000,10.061925
2010-08-05,10.45,10.74,10.42,10.67,4052200,10.186028
2010-08-06,10.56,10.71,10.03,10.65,7938200,10.166935
2010-08-09,10.7,11.14,10.66,11.07,9045600,10.567885
2010-08-10,10.93,11.4,10.91,11.16,9361500,10.653803
2010-08-11,10.96,11.01,10.6,10.61,5679800,10.128749
2010-08-12,10.48,10.75,10.3,10.59,4506800,10.109657
2010-08-13,10.52,10.95,10.51,10.62,4378100,10.138296
2010-08-16,10.54,10.77,10.33,10.66,4505900,10.176482
2010-08-17,10.77,11.04,10.63,10.93,4741200,10.434235
2010-08-18,10.9,11.05,10.82,10.9,4265800,10.405595
2010-08-19,10.85,10.85,10.56,10.58,4523900,10.10011
2010-08-20,10.5,10.54,10.37,10.4,5073600,9.928275
2010-08-23,10.47,10.63,10.42,10.46,3269500,9.985553
2010-08-24,10.31,10.46,10.21,10.27,6723400,9.804172
2010-08-25,10.26,10.49,10.13,10.43,7568200,9.956914
2010-08-26,10.52,10.62,10.35,10.4,7604100,9.928275
2010-08-27,10.51,10.63,10.29,10.6,4382500,10.119204
2010-08-30,10.57,10.63,10.39,10.4,2539900,9.928275
2010-08-31,10.35,10.49,10.21,10.24,6239500,9.775532
2010-09-01,10.36,10.68,10.29,10.66,5449500,10.176482
2010-09-02,10.7,10.93,10.56,10.93,3722600,10.434235
2010-09-03,10.95,11.15,10.91,11.14,3586800,10.63471
2010-09-07,11.02,11.05,10.85,11.0,2900000,10.50106
2010-09-08,11.06,11.24,10.97,11.02,3858400,10.520153
2010-09-09,11.15,11.19,10.96,11.11,2883500,10.60607
2010-09-10,11.08,11.12,11.0,11.05,2354400,10.548792
2010-09-13,11.17,11.21,11.07,11.16,4350400,10.653803
2010-09-14,11.1,11.29,11.02,11.19,3480600,10.682442
2010-09-15,11.15,11.16,10.88,10.98,4611000,10.481967
2010-09-16,10.88,10.97,10.77,10.9,1989300,10.405595
2010-09-17,11.01,11.04,10.78,10.88,4327700,10.386503
2010-09-20,10.88,11.41,10.88,11.38,5320900,10.863824
2010-09-21,11.36,11.54,11.21,11.38,6998200,10.863824
2010-09-22,11.31,11.44,11.14,11.25,4167900,10.73972
2010-09-23,11.12,11.17,11.02,11.09,3272600,10.586978
2010-09-24,11.24,11.36,11.16,11.35,3086000,10.835185
2010-09-27,11.35,11.5,11.33,11.39,4021700,10.873371
2010-09-28,11.44,11.5,11.25,11.48,5047100,10.959288
2010-09-29,11.37,11.5,11.21,11.39,5841500,10.873371
2010-09-30,11.47,11.57,11.21,11.35,4932400,10.835185
2010-10-01,11.44,11.57,11.38,11.54,3966600,11.016567
2010-10-04,11.5,11.6,11.3,11.37,2770400,10.854277
2010-10-05,11.55,11.73,11.51,11.68,3050800,11.150217
2010-10-06,11.63,11.77,11.58,11.75,3722600,11.217041
2010-10-07,11.8,11.83,11.69,11.8,3926000,11.264774
2010-10-08,11.84,12.04,11.77,11.97,3579700,11.427063
2010-10-11,12.04,12.41,12.0,12.22,6411600,11.665723
2010-10-12,12.24,12.34,12.12,12.3,5162100,11.742095
2010-10-13,12.38,12.54,12.31,12.52,5852100,11.952116
