"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"1",68.489998,69.360001,68.150002,68.910004,1672000,59.983314
"2",68.300003,69.43,68.25,69.43,1092600,60.435949
"3",69.830002,70.5,68.959999,69.019997,1213200,60.079058
"4",69.699997,70.239998,69.279999,70.239998,1649400,61.141019
"5",69.580002,70.800003,69.580002,70.540001,1382600,61.402159
"6",70.910004,70.980003,69.699997,70.650002,1693900,61.49791
"7",70.889999,72.040001,70.830002,71.540001,1849300,62.272618
"8",72.360001,72.940002,70.629997,71.150002,1225700,61.933139
"9",71.300003,72,70.18,70.220001,1008700,61.123613
"10",70.110001,70.230003,68.389999,69,1685700,60.061652
"11",68.449997,69.809998,67.139999,67.32,3247000,58.599281
"12",67.379997,68.639999,66.849998,68.580002,3385700,59.696061
"13",68.790001,69.07,67.540001,67.790001,1484200,59.008398
"14",66.379997,66.480003,65.199997,65.519997,1889800,57.447695
"15",65.290001,66.019997,64.620003,64.809998,2060600,56.82517
"16",64.540001,65.510002,64.540001,65,2783900,56.991764
"17",65.120003,65.589996,64.129997,64.970001,1492600,56.965461
"18",65.639999,66.309998,65.089996,65.739998,1865700,57.640591
"19",65.82,67.760002,65.629997,67.739998,1485400,59.394184
"20",68.529999,68.910004,67.839996,68.779999,2063400,60.306053
"21",69.269997,69.849998,69.029999,69.739998,1517100,61.147777
"22",69.209999,69.639999,68.760002,69.169998,881800,60.648003
"23",69.730003,71.379997,69.730003,70.93,1467200,62.191166
"24",70,70.800003,69.68,70.260002,1670100,61.603714
"25",70.25,70.5,69.360001,70.32,778900,61.65632
"26",70.129997,70.169998,69.029999,69.32,2320600,60.779524
"27",69.489998,69.839996,68.68,69.32,835700,60.779524
"28",68.639999,70.839996,68.540001,70.769997,1018600,62.050876
"29",71.129997,71.349998,69.400002,70.050003,1114300,61.419588
"30",71.099998,73.599998,70.989998,71.599998,2368600,62.778618
"31",69.889999,72.120003,69.889999,72.089996,1200300,63.208247
"32",72.330002,72.809998,72.059998,72.800003,1267000,63.830778
"33",73.379997,73.5,72.120003,72.370003,1125100,63.453755
"34",72.150002,72.769997,72.010002,72.510002,1020700,63.576506
"35",72.949997,73.989998,72.040001,72.690002,1111100,63.73433
"36",72.089996,72.959999,71.75,72.580002,981000,63.637882
"37",73.580002,75.220001,73.410004,74.989998,2407900,65.750958
"38",74.57,75.739998,74.279999,75.68,1941700,66.355949
"39",75.540001,76.949997,75.410004,76.699997,1514700,67.250279
