"","ATI.Open","ATI.High","ATI.Low","ATI.Close","ATI.Volume","ATI.Adjusted"
"1",49.68,51.91,49.68,51.849998,2175800,47.10803
"2",50.990002,52.080002,50.799999,51.950001,1554700,47.198886
"3",52.880001,53.880001,52.029999,52.119999,1815200,47.353337
"4",52.93,55,52.09,54.950001,2043800,49.92452
"5",54.490002,55.09,53.650002,54.18,1694300,49.22494
"6",54.5,54.93,51.970001,52.599998,2616800,47.789438
"7",52.66,52.959999,51.860001,52.07,1785200,47.307911
"8",53.189999,55.049999,51.810001,52.310001,1736700,47.525963
"9",52.25,53.09,50.16,50.400002,1736600,45.790643
"10",50.939999,51.23,49.23,50.810001,1446300,46.163146
"11",50.349998,50.439999,48.610001,48.779999,1471900,44.318799
"12",48.869999,50.299999,48.439999,50.209999,2840000,45.618018
"13",50.299999,50.5,48.669998,49.310001,1401300,44.80033
"14",48.09,48.290001,44.77,45.139999,3244100,41.011697
"15",45.009998,46.419998,44.009998,44.189999,1827600,40.148579
"16",44.16,45.349998,42.52,44.470001,2536100,40.402974
"17",44.52,44.77,43.599998,44.080002,1681900,40.048642
"18",45.639999,45.950001,43.630001,44.119999,1677900,40.084982
"19",44.049999,46.720001,43.900002,46.610001,1597600,42.347259
"20",47.279999,47.860001,46.450001,47.799999,1965200,43.428425
"21",48.259998,49.27,47.689999,48.77,1010300,44.309715
"22",48.470001,48.470001,46.369999,46.810001,1090500,42.528968
"23",48.18,49.200001,48.130001,48.580002,2092000,44.137093
"24",48.610001,48.950001,47.59,48.57,1211000,44.128005
"25",48.799999,48.799999,46.25,47.330002,1628700,43.001412
"26",46.939999,46.939999,44.66,44.73,2121600,40.639194
"27",45.240002,46.119999,44.549999,45.209999,2187200,41.075295
"28",44.060001,47.529999,44.060001,47.360001,2406800,43.028667
"29",47.93,48.880001,46.900002,47.299999,2035400,42.974153
"30",48.41,50.139999,48.080002,49.959999,2397100,45.390881
"31",49.709999,52.34,49.18,52.299999,2179200,47.516876
"32",52.27,53.150002,51.619999,53.110001,1328700,48.252798
"33",53.41,53.41,51.310001,52.040001,1862600,47.280656
"34",50.860001,50.860001,48.07,48.369999,3201400,43.946296
"35",49.060001,49.939999,46.5,47.16,2168800,42.846958
"36",46.580002,47.849998,46.130001,47.610001,2179000,43.255803
"37",48.73,49.650002,48.299999,49.369999,1732600,44.85484
"38",49.029999,49.150002,47.630001,48.049999,1878800,43.655562
"39",48.080002,48.200001,46.869999,47.849998,1660200,43.473852
"40",47.52,48.150002,47.130001,47.650002,1339500,43.292146
"41",46.990002,48.75,46.830002,48.41,1510200,43.982638
"42",49.09,49.720001,48.34,49.419998,1356600,44.900267
"43",49.310001,49.66,48.029999,48.560001,2279600,44.118921
"44",47.09,47.150002,44.689999,44.880001,2856100,40.775477
"45",43.849998,45.209999,43.34,44.669998,3011900,40.58468
"46",44.32,45.169998,44.080002,44.200001,1773500,40.157667
"47",43.799999,45.080002,43.540001,44.349998,1185500,40.293946
"48",45.299999,46.459999,44.66,46.130001,1859500,41.911158
"49",46.049999,46.860001,45.5,46.52,1501800,42.26549
"50",46.630001,47.509998,44.740002,44.990002,2058700,40.875418
"51",44.32,45.02,43.16,43.700001,1864500,39.703395
"52",44.009998,44.27,42.540001,42.560001,2110500,38.667654
"53",41.060001,41.59,40.279999,40.529999,3426100,36.823307
"54",39.959999,40.93,39.349998,40.799999,2844400,37.068614
"55",41.279999,41.599998,40.290001,40.330002,2197600,36.641601
"56",41.029999,41.810001,39.959999,41.75,2290500,37.931732
"57",41.41,41.880001,40.709999,40.759998,1317300,37.032272
"58",40.369999,41.5,40.130001,40.720001,1753000,36.995932
"59",41.810001,43.48,41.580002,43.400002,1730400,39.430832
"60",43.560001,44.040001,42.880001,44.040001,1245000,40.0123
"61",45.139999,45.450001,44.41,44.919998,1310000,40.811816
"62",44.48,44.740002,43.799999,44,1120400,39.975957
"63",44.060001,45.310001,44.060001,44.919998,1150600,40.811816
"64",45.77,45.98,43.880001,44.279999,898600,40.230349
"65",44.48,45.939999,44.080002,45.580002,1301600,41.411459
"66",46.43,47.990002,46.43,47.709999,2015400,43.346656
"67",47.25,47.279999,46.27,46.66,1318200,42.55323
"68",46.27,46.349998,45.240002,45.66,1067400,41.641245
"69",45.400002,45.98,44.93,45.560001,1208200,41.550048
"70",45.900002,45.98,44.619999,45.310001,1445600,41.322052
"71",45.529999,45.59,44.560001,45.419998,1204900,41.422367
"72",45.400002,45.419998,44.119999,44.150002,1728600,40.264149
"73",44.09,45.189999,43.919998,44.150002,1614500,40.264149
"74",43.200001,44.060001,42.66,42.77,1401200,39.005608
"75",43.630001,45.84,43.630001,45.830002,1690200,41.796284
"76",45.810001,46.57,45.400002,46.040001,1281800,41.9878
"77",46.450001,46.450001,44.900002,45.75,1926600,41.723324
"78",45.509998,46.59,45.200001,46.349998,1197800,42.270513
"79",47.040001,47.369999,45.75,46.450001,1820700,42.361714
"80",47.27,47.650002,46.73,46.950001,1193000,42.817707
"81",46.759998,46.82,45.189999,45.470001,1206600,41.467969
"82",46.290001,47.490002,46.029999,47.43,1200500,43.255459
"83",46.959999,47.720001,46.700001,46.869999,1671800,42.744746
"84",47.369999,47.369999,45.939999,46.029999,1358900,41.978678
"85",46.419998,49.099998,46.360001,48.93,1695600,44.623437
"86",48.91,49.25,48.189999,48.73,850800,44.441039
"87",48.279999,48.599998,47.200001,48.400002,1736700,44.140086
"88",48.990002,49.889999,48.779999,49.02,1344800,44.705516
"89",48.939999,49.139999,48.25,48.57,1121500,44.295122
"90",49.240002,49.290001,45.889999,47.91,4487400,43.693212
"91",47.82,47.82,46.82,47.73,2022400,43.529054
"92",46.66,47.240002,46.119999,46.700001,2049900,42.58971
"93",46.990002,48.400002,46.799999,47.900002,1176000,43.684093
"94",48.330002,48.439999,45.990002,47,1180700,42.863305
"95",47.16,47.330002,46.439999,46.830002,1022200,42.708269
"96",47.77,48.66,47.700001,47.82,1135800,43.611133
"97",47.259998,49.740002,45.509998,48.959999,3589200,44.650795
"98",48.560001,50.310001,48.369999,50.209999,1982600,45.790777
"99",50.759998,51.919998,50.560001,51.419998,2017500,46.894278
"100",51.240002,52.880001,51.150002,52.689999,1298600,48.0525
"101",53.169998,53.450001,51.77,52.400002,1456300,47.788027
"102",53.459999,53.459999,52.23,52.889999,1054800,48.234898
"103",53.16,53.419998,51.299999,52.84,1535200,48.189299
"104",53.990002,55.689999,53.73,55.650002,1901400,50.751979
"105",55.669998,56.869999,55.139999,55.919998,1457200,50.998212
"106",55.540001,55.540001,53.77,54.009998,1863700,49.25632
"107",53.82,53.950001,51.200001,51.66,2794200,47.113156
"108",51.73,52.150002,50.060001,52,2721300,47.423231
"109",51.27,52.900002,51.07,52.73,1206300,48.08898
"110",51.98,52.16,50.529999,51.290001,1757400,46.775723
"111",51.799999,52.27,50.880001,51.919998,1469500,47.350271
"112",50.970001,51.400002,49.540001,49.939999,1421000,45.544541
"113",47.810001,49.869999,47.02,48.41,5102100,44.149204
"114",50.09,51.150002,49.150002,49.209999,4436700,44.878792
"115",49.02,50.240002,48.900002,50.009998,2056700,45.608379
"116",49.560001,51.09,48.849998,50.889999,1573400,46.410927
"117",49.82,50.52,49.25,50.299999,1450100,45.872856
"118",50.580002,51.689999,50.41,51.639999,1292100,47.094916
"119",51.259998,51.310001,50.25,50.740002,776300,46.274132
"120",50.27,51.73,49.619999,51.549999,2049300,47.012837
"121",50.709999,52.32,50.16,51.700001,1497600,47.149636
