Date,Open,High,Low,Close,Volume,Adj Close
2010-06-10,29.110001,29.200001,28.67,28.85,6697500,27.154604
2010-06-11,28.610001,29.059999,28.09,28.620001,7259400,26.938121
2010-06-14,28.790001,29.67,28.790001,29.280001,7929000,27.559335
2010-06-15,29.450001,29.690001,29.26,29.59,3993400,27.851118
2010-06-16,29.360001,29.75,29.26,29.32,5604400,27.596984
2010-06-17,29.77,30.68,29.65,30.629999,8537500,28.83
2010-06-18,30.51,30.629999,30.24,30.43,5582200,28.641754
2010-06-21,30.780001,30.969999,29.780001,29.91,4279200,28.152312
2010-06-22,29.879999,30.190001,29.16,29.200001,5126100,27.484037
2010-06-23,29.209999,29.299999,28.799999,28.93,5606100,27.229903
2010-06-24,28.790001,29.049999,28.52,28.66,3815300,26.97577
2010-06-25,27.99,28.870001,27.99,28.469999,7009900,26.796935
2010-06-28,28.66,28.76,28.0,28.040001,4491600,26.392205
2010-06-29,27.809999,27.809999,26.73,26.9,8055900,25.319197
2010-06-30,26.83,26.940001,26.26,26.379999,7823800,24.829755
2010-07-01,26.290001,26.299999,25.0,25.99,9116200,24.462674
2010-07-02,26.059999,26.459999,25.969999,26.25,7035500,24.707395
2010-07-06,26.620001,26.790001,26.25,26.49,5131400,24.933291
2010-07-07,26.58,27.219999,26.5,27.17,5309200,25.573331
2010-07-08,27.35,27.709999,27.280001,27.639999,4090800,26.01571
2010-07-09,27.780001,27.790001,27.299999,27.629999,3988000,26.006298
2010-07-12,26.83,27.24,26.440001,27.209999,6867500,25.610979
2010-07-13,27.41,27.950001,27.219999,27.75,5175500,26.119247
2010-07-14,27.51,28.07,27.370001,27.76,3122000,26.128659
2010-07-15,27.799999,28.280001,27.77,28.219999,4435600,26.561626
2010-07-16,28.049999,28.209999,27.110001,27.16,5091700,25.563918
2010-07-19,27.33,27.84,27.24,27.66,2952300,26.034535
2010-07-20,27.26,27.83,27.18,27.700001,5185800,26.072186
2010-07-21,27.82,27.950001,27.139999,27.309999,3053000,25.705103
2010-07-22,27.690001,28.4,27.41,28.27,4383000,26.608689
2010-07-23,28.200001,28.440001,27.959999,28.15,3204500,26.49574
2010-07-26,28.129999,28.74,28.120001,28.58,3051200,26.900471
2010-07-27,28.629999,28.91,28.190001,28.360001,4092800,26.6934
2010-07-28,28.139999,28.139999,26.950001,27.549999,6523200,25.930999
2010-07-29,27.879999,28.0,27.17,27.49,4673300,25.874526
2010-07-30,27.18,28.09,27.030001,27.85,4916000,26.21337
2010-08-02,28.26,28.58,27.940001,28.5,5107200,26.825172
2010-08-03,28.459999,29.1,28.290001,28.450001,6918500,26.778111
2010-08-04,28.469999,29.030001,28.4,28.940001,3222200,27.239316
