"","BMC.Open","BMC.High","BMC.Low","BMC.Close","BMC.Volume","BMC.Adjusted"
"1",36.07,36.86,35.83,36.84,2302300,3.10785
"2",36.29,36.98,36.29,36.89,1556400,3.11207
"3",37.04,37.24,36.6,36.68,2226500,3.09435
"4",36.74,37.54,36.7,37.51,2200200,3.16437
"5",37.12,37.625,37.05,37.41,2310900,3.15594
"6",37.29,37.61,37.1,37.54,2274900,3.1669
"7",37.59,37.88,37.49,37.71,2162200,3.18125
"8",37.88,38.14,37.26,37.53,2143100,3.16606
"9",37.5,37.98,36.73,36.84,2205600,3.10785
"10",36.84,37.29,36.52,37.03,2138100,3.12388
"11",36.94,37.2,36.35,36.53,2044100,3.0817
"12",36.57,37.005,36.35,36.65,2213300,3.09182
"13",36.83,36.83,36.18,36.22,1398700,3.05555
"14",35.86,36.17,34.79,35.09,1836300,2.96022
"15",35.03,35.3458,34.58,34.63,1445700,2.92141
"16",34.53,35.11,34.24,34.99,2402700,2.95178
"17",35.02,35.1,34.72,34.76,2048100,2.93238
"18",14,14,13.14,13.71,500,1.15659
"19",35.07,35.76,34.59,34.86,2032600,2.94082
"20",35.28,36.32,34.91,36.28,1896200,3.06061
"21",36.51,36.51,35.75,36.26,1405500,3.05892
"22",36.28,36.5,35.99,36.46,935200,3.07579
"23",36.31,36.8,36.22,36.48,1539100,3.07748
"24",36.79,37.33,36.72,37.21,1684600,3.13906
"25",37.23,37.62,36.73,37.5,1616300,3.16353
"26",37.54,37.7901,37.12,37.58,1713100,3.17028
"27",37.58,37.58,36.47,36.48,1566800,3.07748
"28",36.5,37,36.41,36.89,1770000,3.11207
"29",36.3,37.05,35.92,37.05,1677400,3.12557
"30",37.15,37.15,36.37,36.44,1601700,3.07411
"31",36.71,37.79,36.67,37.68,1801600,3.17871
"32",37.44,38.17,37.4,38.17,1738400,3.22005
"33",38.13,38.66,38.04,38.63,1791500,3.25886
"34",38.74,38.8,37.93,38.49,2786900,3.24705
"35",38.4,38.55,37.61,37.91,2645500,3.19812
"36",36.85,37,34.94,35.62,7344700,3.00493
"37",35.03,36.24,35.03,35.58,3544300,3.00156
"38",35.85,36.6,35.63,36.42,2691600,3.07242
"39",36.37,36.42,35.49,35.62,2551600,3.00493
"40",35.64,36,35.03,35.96,2958900,3.03361
"41",35.69,35.84,35.39,35.55,1437800,2.99903
"42",35.19,35.8,35.01,35.74,2186600,3.01505
"43",35.91,36.15,35.76,35.97,1812100,3.03446
"44",35.76,36.36,35.66,36.03,2788400,3.03952
"45",35.39,35.56,34.78,35.21,3210800,2.97034
"46",34.87,35.2,34.63,35,2409700,2.95263
"47",34.81,35.07,34.65,34.88,1464800,2.9425
"48",34.81,35.32,34.47,35.08,1594700,2.95938
"49",35.25,36.45,35.22,36.16,2601100,3.05049
"50",36.2,36.29,35.67,36.13,1435000,3.04796
"51",36.3,37.73,36.3,37.59,5394500,3.17112
"52",37.44,37.75,37.03,37.67,3237100,3.17787
"53",37.65,38.1,37.36,37.64,3135500,3.17534
"54",37.35,37.35,36.58,36.82,3691900,3.10616
"55",36.66,36.96,36.4,36.79,2704500,3.10363
"56",37.02,37.2,36.45,36.6,2443300,3.0876
"57",36.92,37.49,36.46,37.46,2712600,3.16016
"58",37.16,37.49,36.48,36.49,3018400,3.07833
"59",36.33,36.6,35.97,36.05,3121400,3.04121
"60",36.48,37.38,36.38,37.28,2549400,3.14497
"61",37.36,37.99,37.21,37.97,1951700,3.20318
"62",38.27,38.45,37.94,38.34,2435700,3.23439
"63",16.22,16.35,16.1,16.35,5900,1.3793
"64",38.37,38.69,38.21,38.32,2253300,3.23271
"65",38.38,38.89,38.12,38.68,2106100,3.26308
"66",39,39,38.54,38.79,1746300,3.27236
"67",38.79,39,38.489,38.92,1922500,3.28332
"68",38.95,39.66,38.84,39.58,1805700,3.339
"69",39.42,39.53,38.85,39.33,1902200,3.31791
"70",39.1,39.5,38.83,39.145,2251500,3.3023
"71",38.96,39.29,38.82,39.09,1856700,3.29766
"72",39.24,39.59,39.08,39.35,2392800,3.3196
"73",39.5,39.98,39.4,39.82,1908500,3.35925
"74",39.72,39.82,39.28,39.6,2106400,3.34069
"75",39.64,39.97,39.46,39.67,1945300,3.34659
"76",39.47,39.98,39.3,39.53,1671600,3.33478
"77",39.95,40.71,39.79,40.66,2473000,3.43011
"78",40.53,40.92,40.165,40.7,1650400,3.43348
"79",40.93,41.49,40.59,41.08,3153600,3.46554
"80",40.92,41.22,40.67,41.05,1748800,3.46301
"81",41.29,41.51,40.35,40.48,2790500,3.41492
"82",40.97,41.25,40.5599,40.98,2362700,3.45711
"83",41.02,41.26,40.1,40.28,2277900,3.39805
"84",39.33,40.51,38.95,40.14,5735000,3.38624
"85",40.01,40.33,39.21,39.65,2484200,3.34491
"86",42.2,43.4399,42.03,42.32,12416600,3.57015
"87",43.11,43.7,42.17,42.2,5404700,3.56003
"88",42.17,43.12,41.98,42.47,4031600,3.5828
"89",42.15,42.73,42.05,42.59,2459800,3.59293
"90",42.62,43.99,42.62,43.67,2935200,3.68404
"91",43.54,44.15,43.46,44.14,2566500,3.72369
"92",44.05,44.68,43.41,44.68,3955900,3.76924
"93",44.47,44.63,43.88,44.02,2754100,3.71356
"94",43.75,44.1,43.005,43.57,4864700,3.6756
"95",43.74,44.14,43.62,43.83,1992700,3.69753
"96",43.97,44.16,42.64,43.17,4430300,3.64186
"97",43.38,44.47,42.87,44.22,4180900,3.73043
"98",44.3,44.67,44.0305,44.2,2333000,3.72875
"99",44.15,44.28,43.815,44.18,2837800,3.72706
"100",43.78,44.14,43.15,43.92,2891500,3.70513
"101",43.5,44.1,42.98,43.97,3781000,3.70934
"102",45.12,46.95,45.11,45.46,5897000,3.83504
"103",45.58,46.29,45.24,45.35,2402400,3.82576
"104",45.36,45.92,45.35,45.59,2211800,3.84601
"105",45.2,45.46,44.58,45.29,2688500,3.8207
"106",45.49,46.44,45.3,46.35,2960300,3.91012
"107",46.41,46.42,45.81,46.17,1499600,3.89494
"108",45.86,46.37,45.7,46.34,1222900,3.90928
"109",46.34,46.48,45.72,46.01,1402300,3.88144
"110",45.87,46.06,45.47,46.01,1139900,3.88144
"111",45.62,45.92,45.02,45.71,1037200,3.85613
"112",45.52,45.59,44.57,45,1256800,3.79624
"113",45.12,45.3997,44.53,44.63,1629000,3.76502
"114",44.25,44.6,43.69,43.82,2378100,3.69669
"115",43.82,44.29,43.68,43.9,1370600,3.70344
"116",44.15,45.29,43.91,44.74,1815500,3.7743
"117",44.83,45.08,44.73,45.01,1566000,3.79708
"118",44.71,45.3,44.34,45.3,2067600,3.82154
"119",44.87,44.93,44.03,44.22,1821200,3.73043
"120",44.62,45.52,44.62,44.9,1790400,3.7878
"121",14.93,14.93,14.93,14.93,100,1.25951
"122",44.79,44.79,44.14,44.45,871500,3.74984
"123",44.05,44.54,43.31,44.36,2213000,3.74224
"124",43.88,44.432,43.72,44.4,2368600,3.74562
"125",44.95,45.67,44.76,45.53,2547600,3.84095
"126",45.42,45.9,44.84,45.76,1723600,3.86035
"127",45.7,46,45.59,45.92,912700,3.87385
"128",46,46,45.48,45.73,1228400,3.85782
"129",45.79,46.2,45.79,45.96,1726800,3.87722
"130",46.13,46.85,45.98,46.79,1739400,3.94724
