"","BSX.Open","BSX.High","BSX.Low","BSX.Close","BSX.Volume","BSX.Adjusted"
"1",5.49,5.65,5.49,5.57,16844100,5.57
"2",5.52,5.79,5.5,5.77,33208700,5.77
"3",5.83,5.91,5.78,5.82,23418100,5.82
"4",5.89,6.12,5.87,6.11,23260200,6.11
"5",6.06,6.12,6.01,6.1,22903600,6.1
"6",6.08,6.17,5.98,6.11,13266400,6.11
"7",6.14,6.36,6.02,6.33,38085000,6.33
"8",6.41,6.41,6.15,6.18,20700800,6.18
"9",6.13,6.25,6.02,6.02,12843500,6.02
"10",6.03,6.08,5.93,6.04,18937600,6.04
"11",6.02,6.13,5.91,5.96,23325600,5.96
"12",5.98,6.14,5.91,6.11,29084400,6.11
"13",6.11,6.16,5.99,6.05,20468600,6.05
"14",5.99,6,5.76,5.77,24997900,5.77
"15",5.75,5.88,5.73,5.8,16513600,5.8
"16",5.79,5.92,5.72,5.9,25649800,5.9
"17",5.93,6.19,5.9,6.14,20750700,6.14
"18",6.16,6.24,6,6.03,18972600,6.03
"19",6.03,6.29,5.95,6.28,31097600,6.28
"20",6.33,6.38,6.16,6.38,19958100,6.38
"21",6.37,6.47,6.32,6.46,17211100,6.46
"22",6.45,6.46,6.36,6.45,13328900,6.45
"23",6.51,6.52,6.42,6.5,13833400,6.5
"24",6.5,6.53,6.42,6.52,10707100,6.52
"25",6.51,6.62,6.4,6.59,17339100,6.59
"26",6.55,6.6,6.11,6.11,31285000,6.11
"27",6.12,6.21,6.04,6.11,20625100,6.11
"28",6.04,6.27,6.03,6.27,17985900,6.27
"29",6.32,6.4,5.82,5.97,50007600,5.97
"30",6.01,6.15,5.9,5.93,25635000,5.93
"31",5.93,6,5.87,5.95,26065100,5.95
"32",5.93,6,5.91,5.95,10653000,5.95
"33",5.99,6,5.88,5.9,13101000,5.9
"34",5.88,5.91,5.67,5.69,18402100,5.69
"35",5.73,5.74,5.57,5.6,27578800,5.6
"36",5.58,5.63,5.52,5.6,14809200,5.6
"37",5.68,5.77,5.53,5.54,35647900,5.54
"38",5.55,5.61,5.5,5.55,15787900,5.55
"39",5.54,5.79,5.51,5.75,15611000,5.75
"40",5.71,5.88,5.66,5.69,26480200,5.69
"41",5.65,5.82,5.63,5.8,15416300,5.8
"42",5.81,5.89,5.76,5.88,11152800,5.88
"43",5.82,5.9,5.76,5.84,12666200,5.84
"44",5.76,5.76,5.56,5.57,15585100,5.57
"45",5.56,5.62,5.5,5.52,10972600,5.52
"46",5.52,5.57,5.42,5.48,12853700,5.48
"47",5.44,5.52,5.41,5.47,12655800,5.47
"48",5.5,5.88,5.43,5.8,60534700,5.8
"49",5.77,6.05,5.77,5.95,34454600,5.95
"50",5.91,5.97,5.79,5.84,21874800,5.84
"51",5.78,5.82,5.58,5.69,14843200,5.69
"52",5.71,5.75,5.61,5.63,9275300,5.63
"53",5.56,5.57,5.29,5.49,22667700,5.49
"54",5.45,5.49,5.38,5.45,14433800,5.45
"55",5.46,5.49,5.32,5.4,17947100,5.4
"56",5.45,5.49,5.33,5.49,7899600,5.49
"57",5.47,5.47,5.39,5.4,8246400,5.4
"58",5.38,5.43,5.14,5.19,33721600,5.19
"59",5.26,5.33,5.04,5.13,38200800,5.13
"60",5.16,5.33,5.11,5.31,21487800,5.31
"61",5.31,5.4,5.25,5.35,18322900,5.35
"62",5.34,5.35,5.17,5.21,14900500,5.21
"63",5.23,5.24,5.09,5.15,14606000,5.15
"64",5.2,5.34,5.2,5.3,18481800,5.3
"65",5.21,5.43,5.21,5.33,20933100,5.33
"66",5.38,5.45,5.22,5.24,16923500,5.24
