"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume","CERN.Adjusted"
"1",79.019997,80.459999,78.32,80.309998,2874400,20.077499
"2",79.529999,81.059998,79.300003,79.82,2978800,19.955
"3",80.360001,81.800003,79.519997,80.160004,4291200,20.040001
"4",80.290001,82.57,79.68,82.290001,2788000,20.5725
"5",81.980003,82.269997,81.190002,81.5,2324000,20.375
"6",81.650002,82.029999,80.75,81.18,2273600,20.295
"7",81.029999,81.540001,80.519997,80.620003,3838000,20.155001
"8",81.349998,81.989998,78.610001,79.510002,2891200,19.877501
"9",79.730003,80.459999,77.639999,77.769997,3258400,19.442499
"10",78,78.449997,76.959999,77.239998,3585600,19.309999
"11",76.779999,77.989998,75.339996,76,5807200,19
"12",76.099998,78.709999,75.940002,78.07,3641200,19.5175
"13",78.139999,78.75,76.660004,78.129997,2592400,19.532499
"14",77.199997,77.400002,75.669998,76.029999,5156800,19.0075
"15",75.730003,78.389999,75.480003,75.889999,4188800,18.9725
"16",75.739998,77.779999,72.970001,75.739998,4570000,18.934999
"17",75.989998,77.029999,74.5,76.099998,2994800,19.025
"18",76.589996,79.199997,76.589996,77.980003,4753600,19.495001
"19",77.760002,79.580002,77.220001,79.519997,2892000,19.879999
"20",79.540001,80.550003,79,79.830002,3301200,19.9575
"21",79.830002,80.419998,79.400002,80.230003,1800800,20.057501
"22",79.800003,80.830002,79.559998,80.309998,2100000,20.077499
"23",81.68,81.879997,78.349998,78.519997,7930400,19.629999
"24",78.669998,79.43,77.940002,78.830002,4826000,19.7075
"25",78.860001,79.449997,77.849998,78.970001,2230000,19.7425
"26",79.050003,79.050003,74.57,74.620003,5204000,18.655001
"27",74.699997,75.269997,74.080002,74.379997,3240000,18.594999
"28",73.529999,76.650002,72.669998,76.309998,4816000,19.077499
"29",76.230003,76.230003,72.050003,73.550003,7222400,18.387501
"30",75.260002,77.220001,74.629997,75.599998,5742800,18.9
"31",75.150002,76.690002,74.839996,76.669998,3971200,19.1675
"32",76.760002,77.510002,76.209999,76.779999,4287200,19.195
"33",76.779999,77.220001,76.330002,76.639999,3264000,19.16
"34",76.940002,77,74.720001,75.309998,3381600,18.827499
"35",76.5,78.279999,75.410004,77.529999,8322000,19.3825
"36",76.830002,77.839996,76.010002,77.449997,2531200,19.362499
"37",78.470001,79.199997,77.580002,78.330002,2608800,19.5825
"38",77.910004,78.5,77.339996,77.660004,1783200,19.415001
"39",77.339996,78.690002,77.339996,78.300003,1712000,19.575001
"40",77.940002,78.25,77.470001,77.639999,1253600,19.41
"41",77.019997,78,75.800003,77.839996,2589200,19.459999
"42",77.980003,78.199997,77.099998,77.480003,1336800,19.370001
"43",76.760002,78.269997,76.5,77.370003,2328800,19.342501
"44",76.389999,77.120003,75.93,76.889999,3381200,19.2225
"45",75.769997,76.980003,75.099998,76.580002,2167600,19.145
"46",76.370003,76.709999,75.400002,76.080002,1254400,19.02
"47",75.57,76.760002,75.309998,76.190002,1426000,19.047501
"48",76.669998,76.669998,74.919998,76.110001,3292400,19.0275
"49",75.610001,76.550003,74.889999,75.879997,1703200,18.969999
"50",75.980003,76.32,73.730003,75.370003,2894000,18.842501
"51",75.349998,75.410004,74.169998,75.339996,2193200,18.834999
"52",75.889999,75.940002,74.269997,74.290001,2134800,18.5725
"53",73.580002,74,72.43,73.339996,2302800,18.334999
"54",72.669998,75.349998,72.470001,75.099998,2628000,18.775
"55",75.07,75.099998,73.839996,74.449997,1483200,18.612499
"56",74.75,75.230003,73.160004,74.669998,2357600,18.6675
"57",76.029999,77.050003,74.290001,74.290001,2732400,18.5725
"58",74,74.07,72.650002,72.849998,2629200,18.2125
"59",74.169998,76.480003,73.5,75.730003,2469200,18.932501
"60",75.410004,76.919998,75.410004,76.610001,1812800,19.1525
"61",77.199997,77.879997,76.769997,77.480003,1507200,19.370001
"62",77.300003,77.400002,76.269997,76.389999,1813600,19.0975
"63",76.389999,78.760002,76.389999,78.279999,2235200,19.57
"64",78.93,79.209999,78.18,78.480003,1622800,19.620001
"65",78.599998,79.970001,78.230003,79.629997,2748800,19.907499
"66",80,80.839996,79.489998,80.379997,2586000,20.094999
"67",79.959999,80.610001,79.410004,79.849998,2466800,19.9625
"68",79.470001,80.32,79.150002,79.519997,2355600,19.879999
"69",79.279999,79.669998,78.260002,79.220001,1990800,19.805
"70",79.699997,79.949997,79.010002,79.18,4198400,19.795
"71",79.610001,80.82,79.089996,80.589996,2555200,20.147499
"72",80.279999,80.989998,79.839996,80.639999,1644800,20.16
"73",80.510002,81.169998,78.800003,79.519997,2032800,19.879999
"74",78.879997,79.660004,78.339996,78.489998,1883200,19.622499
"75",78.779999,80.139999,78.779999,79.959999,2322000,19.99
"76",79.769997,80.279999,79.330002,79.989998,2296400,19.997499
"77",80.18,81.669998,79.470001,81.480003,2882800,20.370001
"78",81.050003,82.629997,81.019997,82.510002,2212000,20.627501
"79",83,84.68,82.709999,83.989998,6564400,20.997499
"80",84.860001,85.029999,83.480003,85.029999,5508400,21.2575
"81",85.730003,86.220001,84.230003,84.720001,4720000,21.18
"82",85.589996,86.209999,85.199997,86.139999,3742400,21.535
"83",85.82,86.800003,85.480003,85.940002,3696000,21.485001
"84",86.150002,86.489998,84.440002,84.860001,3455600,21.215
"85",85.160004,86.540001,84.690002,86.239998,3370400,21.559999
"86",86.089996,86.330002,85.419998,85.669998,1196400,21.4175
"87",85.379997,85.769997,84.18,85.529999,1630000,21.3825
"88",85.970001,87.339996,85.489998,86.639999,2461600,21.66
"89",86.699997,87.410004,86.169998,87.279999,1954800,21.82
"90",87.68,87.949997,86.010002,86.489998,4162000,21.622499
"91",86.959999,86.959999,85.080002,85.709999,2161200,21.4275
"92",84.949997,86.309998,84.489998,85.160004,3320800,21.290001
"93",85.199997,86.970001,84.809998,86.870003,2418000,21.717501
"94",86.940002,87.07,84.900002,86.010002,1898800,21.502501
"95",85.849998,88.25,85.330002,88.110001,4244800,22.0275
"96",88.25,88.470001,87.620003,87.830002,3373600,21.9575
"97",87.330002,87.339996,86.519997,86.720001,2213600,21.68
"98",85.980003,87.199997,85.870003,86.919998,2382400,21.73
"99",87.599998,87.809998,86.269997,87.25,2422000,21.8125
"100",86.599998,88.099998,84.919998,87.830002,3827200,21.9575
"101",87.769997,88.970001,86.5,87.290001,2073600,21.8225
"102",87.57,87.75,86.150002,87.510002,2099200,21.877501
"103",87.370003,88.419998,86.589996,87.669998,1616400,21.9175
"104",88.459999,88.720001,87.120003,87.400002,2970000,21.85
"105",87.639999,88.370003,87.480003,87.82,2625200,21.955
"106",87.199997,88.410004,86.830002,88.089996,2831600,22.022499
"107",87.900002,88.300003,87.32,87.82,2945200,21.955
"108",87.650002,88.099998,86.790001,88.099998,2038800,22.025
"109",87.269997,88.120003,86.440002,88.089996,2459200,22.022499
"110",87.519997,88.120003,86.089996,86.720001,1594400,21.68
"111",86.889999,87.300003,85.959999,86.160004,1622800,21.540001
"112",85.75,85.900002,84.449997,85.209999,2482400,21.3025
"113",84.889999,85.470001,84.57,85.309998,1760000,21.327499
"114",85.800003,87.68,85.400002,86.379997,2010000,21.594999
"115",86.339996,87.150002,85.940002,86.870003,2000800,21.717501
"116",86.389999,87.980003,85.919998,87.349998,1483600,21.8375
"117",86.669998,86.669998,85.260002,86.050003,1728800,21.512501
"118",86.720001,89.550003,86.529999,88.779999,2591200,22.195
"119",87.93,88.400002,87.470001,88.029999,714400,22.0075
"120",87.419998,88.739998,87.169998,88.239998,2004000,22.059999
"121",87.300003,88.220001,86.949997,87.860001,1844000,21.965
"122",88.809998,93.410004,88.809998,91.580002,6790400,22.895
"123",91.230003,92.029999,91.040001,92.029999,2061600,23.0075
"124",92.050003,92.209999,90.889999,91.220001,2051600,22.805
"125",90.870003,92.050003,90.68,91.910004,2307600,22.977501
"126",92.769997,93.010002,91.629997,91.790001,1980800,22.9475
"127",91.849998,92.889999,91.830002,92.440002,1812800,23.110001
"128",92.43,92.940002,92.019997,92.339996,1307600,23.084999
"129",92.419998,92.720001,91.089996,91.82,2971200,22.955
"130",91.940002,92.790001,91.260002,92.220001,1882000,23.055
"131",92.459999,93.57,92.349998,92.910004,2361200,23.227501
"132",92.889999,93.699997,92.230003,92.489998,2224800,23.122499
"133",92.599998,94.5,92.43,94.110001,2916400,23.5275
"134",94.080002,97.760002,93.870003,97.010002,6566000,24.252501
"135",97.199997,97.489998,95.349998,96.059998,2219200,24.014999
"136",96.589996,96.589996,95.699997,96,1175200,24
"137",96.18,96.309998,95.089996,95.620003,1641200,23.905001
"138",95.389999,95.75,94.93,95.150002,1013200,23.7875
"139",95.139999,96.199997,94.059998,95.839996,902400,23.959999
"140",95.75,96.339996,95.059998,96.010002,1347200,24.002501
"141",96.07,96.389999,95.889999,96.160004,652400,24.040001
"142",95.900002,96.260002,95.349998,95.639999,910400,23.91
"143",95.599998,95.760002,94.57,94.739998,1108400,23.684999
"144",95.269997,97.589996,95.269997,95.900002,2320800,23.975
"145",95.68,95.769997,93.220001,94.360001,2558400,23.59
"146",93.690002,94.610001,92.059998,94.449997,2096800,23.612499
"147",94.220001,95.459999,94.129997,94.629997,1100000,23.657499
"148",94.849998,94.919998,93.959999,94.879997,1696400,23.719999
"149",94.220001,95.32,93.82,95.290001,1378800,23.8225
"150",95.650002,96.410004,95.360001,96.080002,1232800,24.02
"151",96.5,96.68,95.699997,95.949997,1010000,23.987499
"152",95.809998,95.949997,95.139999,95.419998,902000,23.855
"153",95.120003,96.889999,94.849998,96.889999,1607600,24.2225
"154",96.830002,98.300003,96.830002,97.660004,1748400,24.415001
"155",97.339996,97.339996,95.550003,96.160004,1809200,24.040001
"156",96.339996,97.620003,96,96.150002,2030000,24.0375
"157",96.32,96.940002,96.139999,96.389999,2757200,24.0975
"158",96.660004,97.599998,96.660004,97.199997,1537200,24.299999
"159",96.690002,96.709999,95.699997,96.300003,1814000,24.075001
"160",96.360001,97.080002,96.120003,96.389999,1524800,24.0975
"161",96.839996,98.059998,96.349998,96.879997,1662000,24.219999
"162",97.120003,98.480003,96.339996,96.489998,2911200,24.122499
"163",96.529999,99,96.029999,98.849998,2415600,24.7125
"164",99.089996,100.260002,98.870003,100.110001,2110000,25.0275
"165",99.760002,100.669998,98.129997,98.650002,1652400,24.6625
"166",98.300003,98.5,96.529999,97.25,2633200,24.3125
"167",97.080002,98.879997,96.879997,98.879997,1595600,24.719999
"168",98.790001,99.82,98.330002,99.730003,2235200,24.932501
"169",99.639999,100.650002,99.25,100.629997,2082400,25.157499
"170",100.279999,101.989998,96.169998,97.449997,5299200,24.362499
"171",96.959999,98.440002,96.830002,98.169998,3520000,24.5425
"172",97.800003,98.82,96.889999,98.709999,2538800,24.6775
"173",98.480003,98.730003,97.970001,98.169998,1599600,24.5425
"174",98.050003,99.400002,97.849998,99.089996,2629200,24.772499
"175",99.220001,100,98.449997,99.660004,1606000,24.915001
"176",99.220001,100.830002,99.18,100.089996,2071600,25.022499
"177",99.910004,100.199997,99.25,99.779999,2327600,24.945
