"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume","CI.Adjusted"
"1",33.720001,34.200001,33.380001,34.139999,3104400,34.02576
"2",33.77,34.540001,33.540001,34.490002,2417900,34.374591
"3",34.720001,35.189999,34.529999,34.549999,2957000,34.434388
"4",34.869999,35.169998,34.740002,35.110001,2226500,34.992515
"5",34.799999,35.490002,34.75,35.189999,1764300,35.072246
"6",35.360001,35.5,34.950001,35.34,2370500,35.221745
"7",35.389999,35.470001,35.07,35.209999,2718100,35.092179
"8",35.52,35.939999,35.080002,35.209999,2179800,35.092179
"9",35.130001,35.41,34.110001,34.209999,4185400,34.095525
"10",34.16,34.299999,33.720001,33.950001,3243200,33.836397
"11",33.779999,34.139999,33.279999,33.34,2523800,33.228438
"12",33.360001,33.48,32.93,33.290001,4592800,33.178606
"13",33.299999,33.73,33.09,33.189999,2183500,33.078938
"14",32.77,32.939999,31.65,31.870001,4941600,31.763357
"15",31.67,31.969999,30.950001,31.059999,4876900,30.956066
"16",30.98,31.040001,29.120001,29.860001,9695900,29.760083
"17",29.99,30.16,29.58,29.77,3010600,29.670384
"18",30.25,30.74,29.83,30.190001,4533600,30.088979
"19",30.42,31.27,30.17,30.700001,7405500,30.597272
"20",30.870001,31.290001,30.629999,31.01,2986700,30.906234
"21",31.129999,31.35,30.879999,31.290001,2148900,31.185298
"22",31.219999,31.41,30.889999,31.129999,2646500,31.025832
"23",31.43,31.709999,31.24,31.370001,2619900,31.26503
"24",31.33,31.66,31.059999,31.450001,3576300,31.344763
"25",31.5,31.92,30.870001,31.610001,3702100,31.504227
"26",31.389999,31.68,30.299999,30.34,3732500,30.238476
"27",30.51,31.290001,30.459999,31.15,2679600,31.045765
"28",30.73,31.32,30.42,31.25,3722700,31.145431
"29",31.48,31.5,30.51,30.690001,3290200,30.587306
"30",31.030001,31.629999,30.9,31.52,3399800,31.414528
"31",31.4,31.540001,30.82,31.01,3799300,30.906234
"32",31,31.85,30.950001,31.780001,2197400,31.673658
"33",31.99,32.049999,31.459999,31.530001,2129400,31.424495
"34",31.41,31.66,30.23,30.370001,3677800,30.268377
"35",30.629999,31.02,30.23,30.620001,2944900,30.51754
"36",30.389999,31.01,30.059999,30.76,2607100,30.657071
"37",31.280001,31.65,30.99,31.59,2890100,31.484294
"38",31.4,32.209999,31.32,31.77,3151400,31.663692
"39",31.799999,32.369999,31.719999,32.150002,3199300,32.042421
"40",33.779999,34.029999,32.66,33.959999,5912200,33.846362
"41",33.619999,34.560001,33.52,34.389999,3242500,34.274923
"42",34.68,34.77,34.380001,34.639999,2547200,34.524087
"43",34.349998,35,34.139999,34.860001,2727200,34.743352
"44",34.369999,34.369999,32.84,33.400002,5760200,33.288238
"45",33.150002,33.560001,32.779999,33.419998,2395800,33.308168
"46",33.279999,33.52,32.939999,33.380001,2110300,33.268305
"47",33.139999,33.43,32.549999,33.369999,2903000,33.258336
"48",33.709999,34.139999,33.360001,33.779999,1982500,33.666964
"49",33.709999,33.959999,33.32,33.77,3029100,33.656999
"50",33.560001,33.73,32.610001,32.880001,3367700,32.769978
"51",32.610001,32.950001,32.099998,32.41,1962900,32.301549
"52",32.580002,33.040001,32.48,32.720001,2619700,32.610513
"53",32.299999,32.490002,31.77,31.77,2776900,31.663692
"54",31.540001,32.470001,31.389999,32.330002,2164100,32.221819
"55",32.490002,32.75,31.91,32,1763000,31.892921
"56",32.16,32.560001,31.57,32.52,1816700,32.411182
"57",32.419998,32.75,31.91,31.91,1232600,31.803222
"58",31.780001,32.799999,31.5,32.220001,3526800,32.112186
"59",32.68,33.580002,32.389999,33.57,2752400,33.457668
"60",33.41,33.619999,32.740002,33.02,3325900,32.909509
"61",33.34,33.919998,33.279999,33.759998,1995100,33.64703
"62",33.52,33.740002,33.16,33.48,1457500,33.367969
"63",33.48,33.720001,33.349998,33.650002,1692200,33.537402
"64",34.02,34.650002,33.900002,34.389999,2885900,34.274923
"65",34.48,34.689999,34.200001,34.639999,1932200,34.524087
"66",35.16,35.360001,34.790001,35.259998,3383400,35.142011
"67",35.240002,35.389999,34.91,35.07,2576000,34.952648
"68",34.900002,35,34.400002,34.650002,2900800,34.534056
"69",34.599998,34.700001,34.25,34.639999,1784100,34.524087
"70",34.900002,34.970001,34.330002,34.470001,2055000,34.354658
"71",34.509998,35.049999,34.43,34.98,1490200,34.862949
"72",35,35.880001,34.799999,35.59,2260900,35.470909
"73",35.509998,35.700001,35.080002,35.470001,2283400,35.351311
"74",35.119999,35.830002,35.02,35.139999,2027800,35.022414
"75",35.650002,36.009998,35.57,36.009998,2213900,35.889501
"76",35.900002,36.040001,35.630001,35.639999,2010400,35.520741
"77",35.68,35.759998,35.34,35.540001,2797300,35.421077
"78",35.48,35.669998,34.950001,35.34,3037400,35.221745
"79",35.650002,35.990002,35.400002,35.779999,3491900,35.660272
