"","CMCSA.Open","CMCSA.High","CMCSA.Low","CMCSA.Close","CMCSA.Volume","CMCSA.Adjusted"
"1",17.709999,18.09,17.58,18.07,21576100,16.404007
"2",17.93,18.23,17.709999,18.190001,26498800,16.512945
"3",18.33,18.559999,18.15,18.15,15366500,16.476632
"4",18.35,18.73,18.27,18.65,17218200,16.930533
"5",18.620001,18.68,18.309999,18.389999,15190000,16.694504
"6",18.450001,18.59,18.34,18.58,13548600,16.866987
"7",18.700001,18.780001,18.450001,18.51,18149700,16.803441
"8",18.66,18.879999,18.200001,18.35,11629700,16.658193
"9",18.41,18.66,18.23,18.24,26905100,16.558334
"10",18.23,18.469999,18.09,18.18,16920700,16.503866
"11",18.02,18.17,17.719999,17.82,23152200,16.177057
"12",17.83,17.889999,17.559999,17.67,32329300,16.040886
"13",17.709999,18.190001,17.620001,18.110001,43067800,16.44032
"14",17.91,17.969999,17.49,17.68,30961300,16.049965
"15",17.67,17.77,17.32,17.370001,28896000,15.768546
"16",17.32,17.77,17.07,17.74,31254600,16.104432
"17",17.67,17.75,17.309999,17.459999,18692200,15.935584
"18",17.6,18.1,17.57,17.799999,39092200,16.245899
"19",17.799999,17.870001,17.530001,17.84,26867300,16.282408
"20",17.959999,18.01,17.639999,17.84,38580900,16.282408
"21",17.889999,18.09,17.76,18.07,19400000,16.492326
"22",17.92,18.59,17.85,18.51,30252900,16.893911
"23",18.700001,19.219999,18.639999,19.02,29205500,17.359383
"24",19.02,19.219999,18.860001,18.98,17046000,17.322875
"25",19.02,19.34,18.870001,19.309999,22860000,17.624063
"26",19.309999,19.35,18.48,18.540001,27038900,16.921292
"27",18.530001,19.09,18.469999,19.01,21234900,17.350256
"28",18.74,18.950001,18.58,18.860001,22236500,17.213353
"29",18.85,18.870001,18.110001,18.35,35187900,16.74788
"30",18.469999,19,18.459999,18.82,20791700,17.176844
"31",18.84,19.41,18.76,19.32,19692500,17.63319
"32",19.32,19.49,19.17,19.469999,15291800,17.770093
"33",19.48,19.58,19.07,19.33,21731500,17.642317
"34",19.120001,19.719999,18.84,19.559999,29895400,17.852235
"35",19.610001,19.76,18.860001,19.129999,24018300,17.459778
"36",18.85,19.709999,18.83,19.469999,27017100,17.770093
"37",19.73,19.799999,19.309999,19.48,25732700,17.77922
"38",19.42,19.5,19.040001,19.209999,14422800,17.532793
"39",19.35,19.4,19.040001,19.23,17427100,17.551047
"40",19.059999,19.299999,18.889999,18.940001,20814800,17.286368
"41",18.74,18.76,17.969999,18.639999,43674400,17.01256
"42",18.75,18.85,18.639999,18.73,18854900,17.094702
"43",18.49,18.700001,18.26,18.610001,22605900,16.98518
"44",18.219999,18.34,17.969999,18.01,22890600,16.437565
"45",17.75,18.26,17.67,18.17,23198100,16.583595
"46",18,18.110001,17.83,17.870001,14730100,16.309789
"47",17.83,17.950001,17.610001,17.75,12291500,16.200265
"48",17.879999,18.01,17.719999,17.76,22968400,16.209392
"49",17.790001,18.35,17.75,18.110001,23241100,16.528835
"50",17.93,18.040001,17.59,17.84,20634100,16.282408
"51",17.76,17.860001,17.549999,17.809999,16805600,16.255026
"52",17.98,18.01,17.43,17.450001,20138700,15.926459
"53",17.290001,17.370001,16.99,17.01,23695700,15.524874
"54",16.809999,17.48,16.76,17.33,26071600,15.816935
"55",17.379999,17.540001,16.99,17.030001,20025600,15.543128
"56",17.18,17.309999,16.879999,17.25,17472900,15.74392
"57",17.15,17.24,17,17,13246000,15.515747
"58",16.889999,17.280001,16.85,17.1,21899800,15.607016
"59",17.57,18.129999,17.540001,17.940001,42948600,16.373677
"60",18.049999,18.110001,17.76,18.08,22109100,16.501453
"61",18.24,18.370001,17.92,18.209999,11297600,16.620102
"62",18.059999,18.15,17.690001,17.799999,14247300,16.245899
"63",17.83,18.16,17.799999,17.92,10318800,16.355423
"64",18.120001,18.18,17.9,17.98,9978400,16.410184
"65",18.049999,18.49,17.99,18.4,17430400,16.793514
"66",18.5,18.559999,18.129999,18.42,19078300,16.811768
"67",18.360001,18.41,17.780001,17.790001,31407100,16.236774
"68",17.68,18.41,17.5,18.040001,45535100,16.464946
"69",18.030001,18.030001,17.42,17.57,28519600,16.035981
"70",17.66,18.01,17.620001,17.639999,31270400,16.099869
"71",17.76,18.299999,17.74,18.1,21873700,16.519707
"72",18.07,18.280001,18.02,18.129999,20050500,16.547087
"73",18.27,18.450001,17.870001,17.950001,19893300,16.382804
"74",17.84,18.24,17.65,17.92,18069400,16.355423
"75",18.200001,18.59,18.08,18.57,20108600,16.948672
"76",18.49,18.51,18.25,18.309999,19486100,16.711372
"77",18.4,18.66,18.09,18.34,25283600,16.738753
"78",18.25,18.33,17.93,18.15,20035700,16.565341
"79",18.209999,18.209999,17.809999,18.08,28005800,16.501453
"80",18.280001,18.32,17.809999,17.82,22625200,16.264153
"81",17.74,17.790001,17.52,17.66,22929600,16.20451
"82",17.870001,18.129999,17.85,18.07,25336000,16.580719
"83",18.030001,18.030001,17.57,17.76,27583500,16.296269
"84",17.85,18.030001,16.91,17.889999,19424000,16.415554
"85",17.889999,18.059999,17.700001,17.99,15993400,16.507312
"86",17.92,18.049999,17.809999,18.02,15238100,16.534841
