"","EMR.Open","EMR.High","EMR.Low","EMR.Close","EMR.Volume","EMR.Adjusted"
"1",45.080002,45.900002,44.919998,45.880001,3945600,39.788106
"2",45.450001,45.849998,45.09,45.77,3064800,39.692711
"3",45.900002,46.23,45.369999,45.450001,3454400,39.4152
"4",45.650002,47.470001,45.610001,47.450001,4702200,41.149643
"5",47.18,47.52,46.98,47.299999,2526200,41.019558
"6",47.439999,47.669998,46.5,47.23,2873100,40.958853
"7",47.290001,47.57,47.02,47.470001,3746300,41.166987
"8",48.07,48.709999,47.32,47.639999,3708500,41.314413
"9",47.57,48.07,46.310001,46.389999,3765400,40.230387
"10",46.360001,46.43,45.369999,46,3488000,39.892171
"11",45.900002,45.91,44.34,44.59,5284000,38.66939
"12",44.650002,45.099998,44.110001,44.889999,5245600,38.929555
"13",45.169998,45.259998,44.48,44.849998,4833500,38.894866
"14",43.900002,44.139999,42.689999,43.290001,9282100,37.542003
"15",43.139999,44.200001,42.939999,43.689999,7439400,37.888889
"16",43.5,43.82,42.73,43.700001,8165400,37.897563
"17",43.709999,44.16,43.029999,43.419998,4427500,37.654739
"18",44.189999,44.459999,43.09,43.400002,4747100,37.637398
"19",43.41,45.139999,43.27,45.09,6240300,39.103
"20",45.43,45.939999,45.02,45.93,4223700,39.831466
"21",45.990002,46.439999,45.84,46.419998,3868400,40.256403
"22",46.119999,46.5,45.610001,45.689999,5260100,39.623332
"23",46.209999,46.950001,46.200001,46.459999,5161100,40.291092
"24",46.200001,46.5,45.939999,46.470001,4207400,40.299766
"25",46.52,46.66,45.68,46.560001,3424400,40.377816
"26",46.130001,46.290001,45.09,45.220001,4677500,39.21574
"27",45.419998,45.68,44.860001,45.549999,3034600,39.501921
"28",44.990002,47.119999,44.799999,47.049999,5974200,40.802753
"29",47.380001,47.990002,47,47.419998,7738500,41.123624
"30",48.049999,49.139999,48.029999,48.84,5379000,42.355079
"31",48.82,50.650002,48.68,50.57,6527000,43.855372
"32",50.41,51.169998,50.25,50.599998,4683200,43.881387
"33",50.889999,50.970001,49.830002,50.290001,5208800,43.612551
"34",50.02,50.529999,49.799999,50.439999,3574400,43.742632
"35",50.830002,51.07,49.490002,49.779999,5360800,43.170266
"36",49.279999,49.810001,49.07,49.540001,6355400,42.962135
"37",50.299999,51.099998,49.990002,50.849998,4562800,44.098192
"38",51.52,51.799999,50.580002,50.84,7264900,44.089522
"39",50.869999,51.150002,50.119999,50.439999,6755500,43.742632
"40",50.130001,50.57,49.82,50.509998,5405100,43.803337
"41",49.98,50.439999,49.549999,50.369999,3674000,43.681927
"42",50.509998,50.630001,49.93,50.450001,2168100,43.751306
"43",50.02,51.02,49.759998,50.75,5340000,44.011472
"44",49.709999,49.77,48.07,48.330002,3850600,42.191304
"45",47.75,48.560001,47.279999,48.380001,3368000,42.234952
"46",48.150002,48.450001,47.93,48.23,2727400,42.104003
"47",47.869999,48.27,47.32,48.049999,2195300,41.946866
"48",48.549999,49.43,48.380001,48.66,4235900,42.479386
"49",48.669998,48.810001,48.25,48.599998,4258400,42.427006
"50",48.34,48.459999,47.110001,47.389999,3533700,41.370697
"51",47.09,47.290001,46.18,46.68,4607800,40.750879
"52",47.009998,47.689999,46.970001,47.099998,4612900,41.117531
"53",46.360001,46.57,45.07,46.02,6319900,40.17471
"54",45.490002,45.990002,44.869999,45.810001,4505200,39.991384
"55",46.099998,46.380001,45.209999,45.419998,3478600,39.650918
