"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"1",106.300003,109.620003,104.5,109.360001,2135700,109.360001
"2",105.75,108.959999,105.309998,107.269997,2318100,107.269997
"3",109.029999,110,107.199997,107.529999,1761200,107.529999
"4",109.290001,117.550003,109.260002,117.269997,3813600,117.269997
"5",115.800003,120.440002,114.610001,118.769997,3447300,118.769997
"6",124.93,125.879997,122.519997,123.449997,3229000,123.449997
"7",125.099998,125.370003,121.68,123.68,2388600,123.68
"8",125.5,126.489998,121.519997,122.449997,2096700,122.449997
"9",122.669998,124.5,119.699997,119.839996,1779200,119.839996
"10",120.080002,121.900002,116.75,120.75,1397100,120.75
"11",120,120.360001,116.260002,116.879997,1544800,116.879997
"12",116.879997,119.459999,115.160004,119.260002,2264400,119.260002
"13",121.849998,123.910004,119.220001,119.230003,1869600,119.230003
"14",116.220001,117.410004,113.550003,114.419998,2243400,114.419998
"15",114.480003,118,113.669998,113.830002,1937300,113.830002
"16",113.610001,117.959999,112.059998,117.449997,2078200,117.449997
"17",118.459999,121.68,118.330002,120.519997,2082800,120.519997
"18",123.510002,126.599998,121.120003,121.879997,2506700,121.879997
"19",122.559998,128.729996,122.559998,128.479996,2553400,128.479996
"20",129.960007,131.809998,127.5,130.649994,2176900,130.649994
"21",130,132.259995,129.229996,132.130005,1265400,132.130005
"22",131.600006,132.509995,128.350006,129.710007,1204400,129.710007
"23",131.339996,131.860001,129.5,130.639999,1418200,130.639999
"24",129.770004,135.399994,129.580002,133.210007,2208800,133.210007
"25",133.009995,133.460007,129.419998,131.460007,1760400,131.460007
"26",131.460007,131.460007,128.179993,128.919998,1443400,128.919998
"27",129.139999,131.600006,128.75,131.550003,1287100,131.550003
"28",128.619995,137.210007,128.309998,136.220001,2005500,136.220001
"29",136.369995,136.919998,133.860001,135.100006,1281600,135.100006
"30",136.490005,139.070007,136.490005,137.679993,1337000,137.679993
"31",137.529999,140,135.669998,139.990005,1550200,139.990005
"32",137.479996,139.899994,137.479996,139.399994,1078500,139.399994
"33",139.479996,139.860001,135.449997,136.740005,1256200,136.740005
"34",137.080002,138.919998,135.699997,137.039993,1402600,137.039993
"35",137.839996,139.199997,132.789993,135.5,2841300,135.5
"36",129.050003,130,124.330002,125.449997,5173800,125.449997
"37",126.339996,127.800003,125.099998,126.139999,1817200,126.139999
"38",127.019997,127.779999,124.910004,126.699997,1659000,126.699997
"39",127.330002,132,126.809998,131.449997,2509900,131.449997
"40",130.800003,131.740005,128.770004,129.729996,960300,129.729996
"41",128.080002,129.970001,126.290001,129.339996,915900,129.339996
"42",130,130.949997,128.279999,129.949997,727000,129.949997
"43",128.380005,129.949997,127.089996,129.220001,807700,129.220001
"44",126.949997,127.970001,123.870003,125.440002,1801800,125.440002
"45",123.010002,125.75,123.010002,124.650002,1308700,124.650002
"46",124.07,126.849998,124.07,124.519997,704900,124.519997
"47",123.910004,126.400002,122.480003,125.050003,661400,125.050003
"48",127.410004,127.410004,124.889999,125.860001,1000800,125.860001
"49",126.459999,126.800003,124.309998,125.080002,763600,125.080002
"50",124.209999,124.739998,122.129997,123.209999,1253400,123.209999
"51",122.82,125.040001,121.720001,125.029999,1160800,125.029999
"52",128.229996,130.470001,126.269997,126.290001,1718900,126.290001
"53",124.110001,127.919998,122.099998,125.160004,1933800,125.160004
"54",123.68,125.25,122,124.980003,1130000,124.980003
"55",126.959999,130.139999,126.309998,126.68,1420600,126.68
"56",127.980003,129.550003,124.839996,128.880005,1083400,128.880005
"57",128.139999,129.490005,126.279999,126.279999,778200,126.279999
"58",125,128.529999,124.709999,127.849998,835600,127.849998
"59",129.300003,130.570007,127.709999,130.169998,1356500,130.169998
"60",130,135.529999,129.889999,134.889999,2174000,134.889999
"61",136.949997,137.800003,135.25,136.449997,1380700,136.449997
"62",134.669998,136.220001,134,134.789993,1147800,134.789993
"63",135.550003,139.149994,135.210007,137.25,1318200,137.25
"64",139.220001,139.639999,137.800003,138.339996,1087700,138.339996
"65",137.490005,140,136.940002,138.410004,873400,138.410004
"66",140,140.940002,137.509995,138.850006,1124400,138.850006
"67",138.080002,142.75,137.580002,141.270004,1801600,141.270004
"68",141.270004,141.339996,138.699997,140.259995,1013600,140.259995
"69",141.699997,145.75,140.929993,144.740005,2188000,144.740005
"70",144.809998,145.279999,142.880005,144.880005,2992700,144.880005
"71",146.130005,146.699997,144,145.820007,1202200,145.820007
"72",145.190002,148.160004,145.190002,146,989100,146
"73",146.100006,146.899994,142.919998,143.550003,805500,143.550003
"74",143,145.399994,142,143.229996,976800,143.229996
"75",145.270004,147.5,144.5,147.089996,1247800,147.089996
"76",147.240005,149.300003,145.850006,147.910004,1052800,147.910004
"77",149.800003,151,146.309998,148.520004,1166800,148.520004
