"","FTR.Open","FTR.High","FTR.Low","FTR.Close","FTR.Volume","FTR.Adjusted"
"1",7.78,7.94,7.74,7.82,5719100,5.035401
"2",7.78,7.85,7.73,7.85,3948900,5.054718
"3",7.83,7.98,7.8,7.94,5314500,5.11267
"4",7.94,8.12,7.94,8.11,3205700,5.222135
"5",8.07,8.13,7.88,7.92,4369200,5.099792
"6",7.95,7.97,7.76,7.94,6422700,5.11267
"7",7.94,7.98,7.82,7.83,4897500,5.04184
"8",7.91,7.94,7.85,7.86,2752700,5.061157
"9",7.9,7.9,7.65,7.69,7769400,4.951692
"10",7.69,7.69,7.56,7.57,5236300,4.874423
"11",7.62,7.68,7.55,7.6,4641000,4.89374
"12",7.65,7.65,7.55,7.55,3564100,4.861544
"13",7.56,7.62,7.48,7.48,6159800,4.81647
"14",7.47,7.47,7.16,7.2,12481100,4.636175
"15",7.27,7.38,7.07,7.11,12362300,4.578223
"16",7.09,7.72,6.96,7.69,30420300,4.951692
"17",7.45,7.5,7.15,7.35,49167100,4.732762
"18",7.25,7.29,6.99,7.03,53027900,4.52671
"19",7.05,7.33,7.04,7.17,33608900,4.616857
"20",7.2,7.56,7.15,7.5,32827600,4.829349
"21",7.49,7.51,7.25,7.39,31892500,4.758518
"22",7.4,7.44,7.17,7.2,23435700,4.636175
"23",7.25,7.28,7.12,7.19,35019800,4.629736
"24",7.19,7.33,7.13,7.32,22012900,4.713444
"25",7.36,7.44,7.3,7.34,21896300,4.726323
"26",7.32,7.43,7.3,7.39,29381600,4.758518
"27",7.41,7.48,7.26,7.34,20779200,4.726323
"28",7.31,7.51,7.25,7.49,22097900,4.822909
"29",7.51,7.51,7.31,7.33,15200600,4.719883
"30",7.39,7.46,7.32,7.34,14303700,4.726323
"31",7.34,7.48,7.3,7.43,14471200,4.784275
"32",7.48,7.61,7.39,7.58,14718500,4.880862
"33",7.61,7.84,7.58,7.74,24642200,4.983888
"34",7.79,7.79,7.68,7.7,12989600,4.958131
"35",7.71,7.79,7.64,7.7,11953700,4.958131
"36",7.65,7.7,7.58,7.64,12339300,4.919496
"37",7.71,7.76,7.65,7.71,12183200,4.96457
"38",7.68,7.74,7.61,7.67,8317700,4.938814
"39",7.67,7.68,7.52,7.62,16367900,4.906618
"40",7.64,7.65,7.5,7.56,14546200,4.867983
"41",7.56,7.66,7.5,7.65,17618400,4.925936
"42",7.64,7.76,7.63,7.73,18591800,4.977449
"43",7.73,7.83,7.69,7.8,22033200,5.022523
"44",7.74,7.77,7.61,7.64,17234400,4.919496
"45",7.6,7.67,7.56,7.6,13788900,4.89374
"46",7.6,7.65,7.54,7.6,17480200,4.89374
"47",7.59,7.62,7.52,7.6,9172500,4.89374
"48",7.67,7.69,7.61,7.64,12731400,4.919496
"49",7.65,7.9,7.64,7.86,20678900,5.061157
"50",7.84,7.88,7.77,7.79,12632400,5.016083
"51",7.78,7.8,7.65,7.72,11609300,4.971009
"52",7.76,7.82,7.69,7.7,9490100,4.958131
"53",7.69,7.7,7.6,7.6,9930200,4.89374
"54",7.62,7.62,7.52,7.55,10729400,4.861544
"55",7.65,7.74,7.61,7.66,14180600,4.932375
"56",7.68,7.7,7.62,7.7,9455000,4.958131
"57",7.75,7.77,7.69,7.7,8079100,4.958131
"58",7.74,7.77,7.68,7.73,15369800,4.977449
"59",7.78,7.87,7.75,7.84,11482100,5.048279
"60",7.85,7.9,7.83,7.89,9834900,5.080475
"61",7.92,7.95,7.86,7.94,9417100,5.11267
"62",7.78,7.78,7.65,7.66,10838300,5.051994
"63",7.67,7.7,7.51,7.55,16944700,4.979446
"64",7.6,7.69,7.58,7.66,10605400,5.051994
"65",7.66,7.75,7.63,7.72,13335400,5.091565
"66",7.76,7.76,7.64,7.68,12764000,5.065184
"67",7.65,7.72,7.65,7.69,11947000,5.07178
"68",7.7,7.86,7.67,7.84,15988200,5.170709
"69",7.82,7.9,7.82,7.88,14281100,5.19709
"70",7.9,8.06,7.88,7.96,20751900,5.249853
"71",7.98,8.19,7.98,8.18,16331900,5.394949
"72",8.15,8.18,8.05,8.09,11499700,5.335591
"73",8.09,8.16,8.03,8.1,10851000,5.342187
"74",8.08,8.14,8.01,8.05,8357900,5.30921
"75",8,8.09,7.81,8.07,22717400,5.322401
"76",8.05,8.29,7.99,8.24,16155900,5.434521
"77",8.19,8.23,8.01,8.17,14177700,5.388354
"78",8.15,8.27,8.1,8.17,8539000,5.388354
"79",8.25,8.3,8.16,8.17,11151100,5.388354
"80",8.19,8.24,8.17,8.18,8368700,5.394949
"81",8.2,8.22,8.16,8.18,6952800,5.394949
"82",8.2,8.43,8.16,8.39,12090200,5.53345
"83",8.37,8.43,8.35,8.4,8603800,5.540045
"84",8.43,8.49,8.34,8.37,10708000,5.520259
"85",8.36,8.4,8.32,8.39,7447200,5.53345
"86",8.46,8.6,8.42,8.6,11270300,5.671951
"87",8.6,8.66,8.56,8.63,9603400,5.691737
"88",8.65,8.7,8.6,8.62,7973500,5.685142
"89",8.67,8.88,8.67,8.86,13586000,5.843429
"90",8.87,8.91,8.49,8.54,21957100,5.632379
"91",8.64,8.67,8.55,8.62,10046600,5.685142
"92",8.6,8.74,8.58,8.67,8510400,5.718118
"93",8.67,8.84,8.67,8.8,9353600,5.803857
"94",8.83,8.87,8.74,8.78,5986400,5.790666
"95",8.75,8.83,8.7,8.79,8825800,5.797262
"96",8.82,8.85,8.7,8.7,11713700,5.737904
"97",8.7,8.81,8.66,8.72,7695400,5.751095
"98",8.71,8.75,8.6,8.7,8823600,5.737904
"99",8.71,8.75,8.66,8.7,7345600,5.737904
"100",8.71,8.78,8.67,8.78,7434400,5.790666
"101",8.82,8.82,8.65,8.66,10760800,5.711523
"102",8.72,8.84,8.69,8.8,8215100,5.803857
"103",8.82,8.98,8.8,8.98,9273600,5.922572
"104",9,9.06,8.91,9.02,10018100,5.948954
"105",9.03,9.16,8.98,9,11923800,5.935763
"106",8.98,9.29,8.91,9.12,18247200,6.014906
"107",9.21,9.42,9.11,9.15,16579400,6.034692
"108",9.16,9.32,9.08,9.32,10747300,6.146812
"109",9.23,9.24,9.08,9.15,12942000,6.034692
"110",9.1,9.12,8.92,9,10890300,5.935763
"111",9.06,9.17,8.98,9.1,8352000,6.001716
"112",9.09,9.12,8.84,8.92,14679500,5.883001
"113",8.94,9.12,8.9,9.05,8159700,5.968739
"114",9.1,9.16,9.1,9.1,5765400,6.001716
"115",9.08,9.17,9.06,9.17,8677000,6.047883
"116",9.18,9.21,9.12,9.16,6994200,6.041287
"117",9.13,9.15,9.01,9.03,7558500,5.955549
"118",9.07,9.17,9.07,9.08,7183200,5.988525
"119",9.04,9.15,9.04,9.1,2968800,6.001716
"120",9.12,9.17,9.04,9.12,9238700,6.014906
"121",9.12,9.2,9.09,9.1,24047700,6.001716
"122",9.16,9.31,9.16,9.31,22376000,6.140217
"123",9.32,9.42,9.27,9.39,20482200,6.19298
"124",9.4,9.46,9.38,9.46,6122500,6.239146
"125",9.48,9.52,9.45,9.47,10680000,6.245742
"126",9.34,9.35,9.1,9.11,17657200,6.130005
"127",9.14,9.23,9.07,9.17,9962900,6.170378
"128",9.21,9.39,9.18,9.38,8262600,6.311685
"129",9.37,9.38,9.28,9.37,6286600,6.304956
"130",9.36,9.45,9.33,9.33,9612800,6.27804
"131",9.32,9.36,9.26,9.34,9807500,6.284769
"132",9.35,9.49,9.31,9.33,10101000,6.27804
"133",9.34,9.48,9.33,9.43,5964400,6.345329
"134",9.4,9.44,9.24,9.25,14448800,6.224209
"135",9.3,9.4,9.27,9.38,7450700,6.311685
"136",9.41,9.49,9.33,9.45,8601000,6.358787
"137",9.43,9.49,9.4,9.49,5017900,6.385702
"138",9.48,9.5,9.46,9.5,3931400,6.392431
"139",9.5,9.6,9.49,9.58,5181900,6.446262
"140",9.57,9.66,9.56,9.64,5914200,6.486636
"141",9.65,9.7,9.59,9.66,5373100,6.500093
"142",9.67,9.72,9.65,9.66,4115400,6.500093
"143",9.7,9.78,9.69,9.73,6629600,6.547195
"144",9.79,9.84,9.75,9.77,8084400,6.574111
"145",9.75,9.81,9.6,9.62,9319400,6.473178
"146",9.62,9.74,9.58,9.72,7866900,6.540467
"147",9.75,9.76,9.45,9.55,12685900,6.426076
"148",9.72,9.73,9.53,9.59,16778000,6.452991
"149",9.54,9.59,9.47,9.51,7589900,6.39916
"150",9.51,9.54,9.32,9.38,10778500,6.311685
"151",9.39,9.47,9.34,9.43,10910200,6.345329
"152",9.44,9.52,9.38,9.43,9289400,6.345329
"153",9.4,9.42,9.37,9.39,7259900,6.318414
"154",9.43,9.45,9.37,9.37,8274200,6.304956
"155",9.37,9.37,9.15,9.21,10058800,6.197294
"156",9.18,9.25,9.15,9.16,6295900,6.163649
"157",9.25,9.25,9.16,9.18,8278200,6.177107
"158",9.21,9.26,9.19,9.22,7072600,6.204023
"159",9.22,9.27,9.16,9.17,6483500,6.170378
"160",9.17,9.29,9.15,9.15,9913000,6.15692
"161",9.18,9.2,9.12,9.13,10390400,6.143463
"162",9.15,9.2,9.06,9.07,9223600,6.103089
"163",9.08,9.27,9.07,9.17,8956800,6.170378
"164",9.2,9.33,9.19,9.3,6340600,6.257854
"165",9.24,9.36,9.22,9.33,5680700,6.27804
"166",9.3,9.4,9.27,9.38,4603300,6.311685
"167",9.4,9.41,9.35,9.39,3650800,6.318414
"168",9.38,9.44,9.35,9.4,6976800,6.325142
"169",9.39,9.45,9.38,9.43,8883600,6.345329
"170",9.44,9.44,9.37,9.42,7032000,6.3386
"171",9.41,9.47,9.35,9.45,4114200,6.358787
"172",9.44,9.52,9.42,9.51,6011100,6.39916
"173",9.52,9.55,9.45,9.55,6367100,6.426076
"174",9.55,9.55,9.45,9.47,8158600,6.372245
"175",9.48,9.52,9.4,9.45,5275100,6.358787
"176",9.42,9.48,9.36,9.43,7603500,6.345329
"177",9.42,9.46,9.36,9.46,9539500,6.365516
"178",9.41,9.46,9.19,9.2,14716900,6.190565
"179",9,9.1,7.68,8.52,37876100,5.733002
"180",8.48,8.49,8.24,8.29,22013700,5.578237
"181",8.38,8.47,8.3,8.42,13118000,5.665713
"182",8.47,8.5,8.38,8.49,12320100,5.712815
"183",8.58,8.58,8.33,8.4,17679600,5.652255
"184",8.41,8.42,8.24,8.26,20446100,5.558051
"185",8.36,8.36,8.07,8.2,43046400,5.517677
"186",8.23,8.23,8.08,8.13,22573100,5.470575
"187",8.01,8.07,7.89,7.94,16345700,5.469198
"188",7.89,7.95,7.83,7.91,15626700,5.448533
"189",7.92,8.12,7.84,8.08,10721200,5.565632
"190",8,8.04,7.9,7.95,11821400,5.476086
"191",7.9,7.97,7.88,7.92,8386200,5.455421
"192",7.89,7.93,7.78,7.87,13056400,5.420981
"193",7.74,8,7.73,7.93,15149000,5.462309
"194",8.02,8.1,7.83,7.95,18010000,5.476086
"195",8.03,8.06,7.9,8.04,14365900,5.538079
"196",8.13,8.15,8.09,8.13,11384500,5.600073
"197",8.18,8.2,8.02,8.06,9399300,5.551856
"198",8.08,8.1,8.03,8.07,8118100,5.558744
"199",8.04,8.06,7.96,8.03,8331700,5.531191
"200",8.01,8.15,8.01,8.14,5745000,5.606961
"201",8.13,8.18,8.08,8.09,7385300,5.57252
"202",8.13,8.2,8.1,8.15,8275600,5.613849
"203",8.13,8.19,7.88,7.88,35962800,5.427869
"204",7.92,7.97,7.78,7.92,36347500,5.455421
"205",8.08,8.25,8.02,8.22,20930300,5.662066
"206",8.21,8.3,8.02,8.1,17289800,5.579409
"207",8.05,8.17,8.05,8.1,8682200,5.579409
"208",8.11,8.13,8.04,8.06,8633500,5.551856
"209",8.09,8.09,8,8.07,10191200,5.558744
"210",8.08,8.11,8,8.06,9178500,5.551856
"211",8.06,8.09,7.96,7.99,11676000,5.503638
"212",7.97,8.02,7.97,8.01,8163200,5.517415
"213",7.97,8.04,7.95,7.99,11865400,5.503638
"214",7.99,8.12,7.98,8.08,11824400,5.565632
"215",8.08,8.11,8.03,8.06,6686100,5.551856
"216",8.06,8.13,8.02,8.07,7346800,5.558744
"217",8.05,8.05,7.96,7.97,10542500,5.489862
"218",7.98,7.99,7.92,7.93,11832300,5.462309
"219",7.99,8.04,7.94,7.97,10798400,5.489862
"220",7.98,8.05,7.95,8.04,10696000,5.538079
"221",8,8.04,7.95,8.01,7403300,5.517415
"222",8.04,8.17,8.01,8.17,10500000,5.627625
"223",8.19,8.2,8.08,8.13,8434500,5.600073
"224",8.13,8.21,8.09,8.19,7529200,5.641401
"225",8.19,8.29,8.15,8.27,8530700,5.696507
"226",8.29,8.3,8.16,8.23,11238900,5.668954
"227",8.23,8.37,8.22,8.36,19177500,5.7585
"228",8.37,8.41,8.21,8.24,24477700,5.675842
"229",8.28,8.48,8.2,8.37,19324400,5.765388
"230",8.47,8.49,8.38,8.43,14050200,5.806718
"231",8.45,8.55,8.44,8.53,10090500,5.875599
"232",8.57,8.75,8.53,8.74,10466900,6.02025
"233",8.75,8.77,8.56,8.59,17880100,5.916928
"234",8.61,8.7,8.58,8.68,9400000,5.978922
"235",8.7,8.72,8.6,8.66,7313300,5.965145
"236",8.62,8.76,8.61,8.69,10531900,5.985809
"237",8.67,8.87,8.67,8.83,16879700,6.082244
"238",8.85,8.9,8.74,8.79,23098600,6.054691
"239",8.84,8.97,8.75,8.88,12073800,6.116685
"240",8.9,8.91,8.75,8.81,11745800,6.068468
"241",8.74,8.76,8.66,8.69,12416400,5.985809
"242",8.72,8.76,8.66,8.73,12536900,6.013362
"243",8.74,8.75,8.65,8.69,7555500,5.985809
"244",8.67,8.79,8.65,8.77,8000300,6.040915
"245",8.78,8.84,8.76,8.81,6692100,6.068468
"246",8.87,8.89,8.81,8.85,10544900,6.09602
"247",8.8,8.83,8.69,8.7,10860500,5.992698
"248",8.69,8.73,8.6,8.68,13855700,5.978922
"249",8.65,8.67,8.52,8.52,10720900,5.868711
"250",8.54,8.54,8.35,8.37,14030600,5.765388
"251",8.16,8.29,8.04,8.05,12537100,5.672376
"252",8.03,8.03,7.91,7.92,16086600,5.580772
"253",7.95,8.06,7.89,8.02,11641800,5.651237
"254",7.99,8.08,7.88,7.9,11388800,5.566679
"255",7.9,7.96,7.81,7.82,9532200,5.510308
"256",7.87,7.9,7.84,7.86,6740500,5.538494
"257",7.86,7.87,7.71,7.82,9099900,5.510308
