"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"1",101.230003,103.949997,101.029999,103.800003,610300,95.653308
"2",102.07,104.639999,102.07,104.260002,626300,96.077204
"3",104.32,105.779999,104.32,104.639999,628400,96.427378
"4",104.949997,107.559998,104.75,107.480003,370700,99.044485
"5",107.169998,107.989998,106.779999,107.699997,270900,99.247213
"6",107.650002,107.989998,106.32,107.82,375400,99.357797
"7",108.07,108.269997,107.089996,108.260002,730400,99.763266
"8",109.57,109.57,107.169998,107.860001,651100,99.394659
"9",107.739998,108.139999,104.620003,104.889999,634900,96.657757
"10",104.349998,105.610001,103.150002,105.239998,489900,96.980286
"11",104.870003,105.089996,102.650002,102.910004,464100,94.83316
"12",103.410004,104.050003,102.410004,103.379997,514200,95.266266
"13",103.599998,104.879997,102.889999,103.910004,293900,95.754675
"14",102.540001,102.779999,99.330002,100.040001,719100,92.188408
"15",99.739998,101.440002,99.220001,99.449997,652200,91.64471
"16",99.620003,99.900002,96.809998,98.75,1226800,90.999652
"17",99.209999,99.580002,97.470001,98.169998,492100,90.465171
"18",98.690002,99.980003,96.839996,97.540001,740600,89.884619
"19",97.440002,100,97.440002,99.82,529700,91.985673
"20",100.379997,101.620003,100.239998,101.57,787900,93.598325
"21",101.800003,103.339996,101.349998,102.989998,604900,94.906876
"22",102.550003,103.93,102.059998,103.779999,660600,95.634874
"23",104.860001,106.230003,104.279999,105.489998,847100,97.210664
"24",104.239998,105.5,103.5,103.75,879000,95.607229
"25",106.300003,109.029999,103.43,106.889999,2510700,98.500787
"26",106.400002,106.459999,103.949997,104.980003,1153000,96.740697
"27",104.980003,105.279999,103.870003,104.790001,667400,96.565606
"28",103.660004,106.080002,102.489998,105.900002,945900,97.588489
"29",106.309998,107.410004,104.809998,105.599998,826000,97.312032
"30",106.510002,108.720001,106.510002,108.389999,685000,99.883061
"31",108.370003,109.660004,107.370003,109.610001,482900,101.007311
"32",109.889999,110.949997,109.209999,110.949997,459300,102.242138
"33",111.349998,111.349998,109.529999,110.459999,747700,101.790597
"34",110.419998,110.970001,109.669998,110.779999,808800,102.085482
"35",111.93,111.959999,109.779999,111.25,1088100,102.518595
"36",109.559998,112.279999,108.949997,112.010002,877700,103.218949
"37",113.57,115.480003,112.510002,114.160004,835800,105.200209
"38",113.989998,114.32,113.089996,113.540001,496600,104.628867
"39",113.57,115.68,113.120003,115.440002,638100,106.379748
"40",114.379997,114.690002,113.599998,114.089996,744300,105.629805
"41",112.900002,114.480003,112.589996,114.029999,998500,105.574257
"42",114.440002,115,113.360001,115,554900,106.472329
