"","HRB.Open","HRB.High","HRB.Low","HRB.Close","HRB.Volume","HRB.Adjusted"
"1",15.35,15.89,15.35,15.87,5494500,13.206046
"2",15.76,15.88,15.68,15.86,2632200,13.197724
"3",15.87,16.030001,15.72,15.74,3389500,13.097868
"4",15.87,15.99,15.77,15.99,3403700,13.305903
"5",15.9,15.93,15.77,15.87,2511500,13.206046
"6",15.96,15.96,15.67,15.93,2321400,13.255975
"7",15.97,15.97,15.69,15.8,3163200,13.147797
"8",15.89,16,15.63,15.7,2269400,13.064582
"9",15.75,15.76,15.26,15.27,3656000,12.706763
"10",15.25,15.49,15.15,15.37,3397300,12.789977
"11",15.31,15.31,14.91,14.96,3736600,12.4488
"12",15.09,16.049999,15.03,15.55,13441000,12.939762
"13",15.69,16.42,15.66,16.25,9904400,13.522259
"14",16.02,16.07,15.51,15.71,4823400,13.072904
"15",15.72,15.9,15.59,15.69,4051800,13.056261
"16",15.7,15.73,15.25,15.53,4959600,12.923119
"17",15.56,15.63,15.19,15.24,3279000,12.681798
"18",15.39,15.7,15.18,15.3,2965500,12.731727
"19",15.28,15.53,15.16,15.49,4783600,12.889833
"20",14.49,14.5,13.44,14.22,22363100,11.833017
"21",14.18,14.72,14.11,14.6,6917200,12.14923
"22",14.57,14.65,14.11,14.37,6223800,11.957838
"23",14.51,14.73,14.46,14.58,5563200,12.132587
"24",14.62,14.66,14.36,14.46,3765200,12.03273
"25",14.46,14.62,14.3,14.61,5606000,12.157551
"26",14.57,14.59,13.98,13.98,5494000,11.633303
"27",14.28,14.75,14.25,14.61,10664100,12.157551
"28",14.5,14.73,14.18,14.69,7110400,12.224122
"29",14.68,15.02,14.61,14.84,5912800,12.348943
"30",14.92,15.11,14.83,15.05,5799300,12.523692
"31",15.05,15.26,14.95,15.23,6524200,12.673477
"32",15.34,15.62,15.23,15.52,8654200,12.914798
"33",15.63,15.69,15.51,15.63,7510900,13.006333
"34",15.51,15.75,15.45,15.48,5134800,12.881512
"35",15.58,15.67,15.4,15.45,5756200,12.856548
"36",15.36,15.75,15.22,15.68,5957700,13.04794
"37",15.79,15.97,15.68,15.83,2825100,13.172761
"38",15.76,15.81,15.54,15.58,2224200,12.964726
"39",15.64,15.7,15.33,15.41,3946000,12.823262
"40",15.31,15.48,14.97,15.01,7161600,12.490407
"41",14.88,15.07,14.7,14.87,4171400,12.373907
"42",14.89,14.94,14.69,14.78,2854900,12.299014
"43",14.66,14.83,14.63,14.73,2561200,12.257407
