"","INTC.Open","INTC.High","INTC.Low","INTC.Close","INTC.Volume","INTC.Adjusted"
"1",20.35,20.6,20.25,20.549999,57168300,17.35377
"2",20.309999,20.75,20.280001,20.639999,49491800,17.429772
"3",20.950001,21.139999,20.82,20.889999,68877500,17.640889
"4",21.110001,21.559999,21.01,21.48,62082000,18.139124
"5",21.41,21.65,21.209999,21.49,43764600,18.147568
"6",21.59,21.690001,21.200001,21.52,37270900,18.172903
"7",21.559999,21.65,21.18,21.4,64872600,18.071566
"8",21.67,21.690001,21.059999,21.190001,48844300,17.894229
"9",21.129999,21.33,20.860001,20.98,58831100,17.716891
"10",20.940001,21.02,20.66,20.809999,61352400,17.573331
"11",20.620001,20.790001,20.200001,20.32,62003900,17.159543
"12",20.4,20.41,19.889999,20.030001,94683200,16.914649
"13",20.110001,20.59,19.91,20.360001,54468400,17.193323
"14",20,20.049999,19.65,19.790001,79050800,16.711978
"15",19.700001,20.030001,19.4,19.450001,64294700,16.424859
"16",19.43,19.620001,19,19.25,88020000,16.255965
"17",19.209999,19.370001,18.959999,19.200001,58093400,16.213743
"18",19.549999,19.76,19.25,19.48,60697600,16.450192
"19",19.459999,20.17,19.389999,20.139999,72806800,17.007539
"20",20.34,20.360001,19.83,20.1,65407600,16.973762
"21",20.059999,20.280001,19.959999,20.24,52843800,17.091986
"22",20.309999,20.65,20.299999,20.57,56587900,17.37066
"23",20.969999,22.280001,20.82,21.01,103191800,17.742225
"24",22.059999,22.25,21.280001,21.360001,199002600,18.037789
"25",21.34,21.59,21.01,21.51,118558200,18.164458
"26",21.43,21.48,21,21.02,80451500,17.75067
"27",21.17,21.610001,21.16,21.59,63430400,18.232015
"28",21.16,21.73,21.1,21.65,72666400,18.282683
"29",21.57,21.65,21.18,21.26,71775300,17.953342
"30",21.35,21.98,21.34,21.780001,74465500,18.392464
"31",21.639999,21.719999,21.33,21.690001,62115500,18.316462
"32",21.68,21.74,21.41,21.709999,50929500,18.33335
"33",21.68,21.74,21.389999,21.58,53975800,18.22357
"34",21.639999,21.690001,21.290001,21.33,51673900,18.012454
"35",21.389999,21.48,20.76,21.030001,83811400,17.759115
"36",20.77,20.92,20.58,20.6,67395900,17.395994
"37",20.9,21.280001,20.73,21.15,50316200,17.86045
"38",21.01,21.030001,20.709999,20.870001,60929200,17.624001
"39",20.809999,20.860001,20.450001,20.73,85639700,17.639316
"40",20.639999,20.790001,20.459999,20.67,44475000,17.588262
"41",20.450001,20.809999,20.41,20.65,50833800,17.571243
"42",20.790001,20.790001,20.41,20.65,46082800,17.571243
"43",20.110001,20.17,19.700001,19.82,136352400,16.86499
"44",19.530001,19.58,19.299999,19.43,99079200,16.533137
"45",19.17,19.73,19.08,19.450001,86580600,16.550155
"46",19.33,19.49,19.15,19.15,57384800,16.294882
"47",19.139999,19.559999,19.110001,19.469999,48721100,16.567172
"48",19.719999,19.870001,19.5,19.530001,60836400,16.618228
"49",19.530001,19.780001,19.469999,19.59,58982400,16.669282
"50",18.969999,19.129999,18.809999,18.9,159900400,16.082155
"51",18.92,19,18.76,18.91,95174400,16.090664
"52",18.92,18.98,18.6,18.700001,71954400,15.911974
"53",18.559999,18.68,18.389999,18.41,75107400,15.66521
"54",18.26,18.59,18.18,18.48,63350600,15.724774
"55",18.6,18.610001,18.120001,18.18,69586000,15.469502
"56",18.23,18.52,17.809999,18.370001,135184300,15.631175
"57",18.25,18.309999,17.940001,17.959999,73718900,15.282301
"58",17.879999,17.92,17.6,17.67,111601400,15.035539
"59",17.940001,18.27,17.889999,18.139999,73611500,15.435465
"60",18.23,18.33,18.08,18.280001,53192100,15.554593
"61",18.52,18.59,18.200001,18.43,59143200,15.682229
"62",18.360001,18.41,18.049999,18.120001,58636500,15.418448
"63",18.040001,18.049999,17.75,17.9,101747000,15.231247
"64",18.049999,18.08,17.93,18,65019600,15.316338
"65",17.950001,18.1,17.84,17.969999,68814700,15.29081
"66",18.219999,18.559999,18.200001,18.559999,73870900,15.792846
"67",18.530001,18.799999,18.34,18.74,64479500,15.94601
"68",18.73,18.77,18.540001,18.719999,56107300,15.928991
"69",18.700001,18.98,18.58,18.969999,69165800,16.141718
"70",19.030001,19.08,18.67,18.809999,70436600,16.005573
"71",18.889999,18.959999,18.690001,18.93,44935100,16.107683
"72",18.879999,19.27,18.84,19.139999,69131400,16.286373
"73",19.040001,19.25,18.889999,19.01,61569400,16.175755
"74",18.85,19.309999,18.75,18.98,51954700,16.150227
"75",19.23,19.450001,19.18,19.42,55749300,16.524627
"76",19.4,19.43,19.18,19.24,51071000,16.371464
"77",19.309999,19.57,19.1,19.51,61019600,16.601209
"78",19.48,19.620001,19.120001,19.24,62484300,16.371464
"79",19.34,19.6,19.110001,19.200001,75382200,16.337428
"80",19.469999,20.35,18.879999,19.32,41275000,16.439536
"81",19.25,19.299999,18.77,18.870001,67082000,16.056629
"82",19.08,19.290001,19.030001,19.15,61004600,16.294882
"83",19.209999,19.370001,19.129999,19.309999,54990000,16.431027
"84",19.370001,19.540001,19.209999,19.4,51794600,16.507609
"85",19.4,19.58,19.209999,19.52,46528700,16.609718
"86",19.59,19.75,19.530001,19.559999,52722400,16.643754
"87",19.65,19.799999,19.440001,19.77,94743400,16.822445
"88",19.98,20.030001,19.16,19.24,173827300,16.371464
"89",19.309999,19.459999,19.200001,19.32,59255900,16.439536
"90",19.440001,19.469999,19.200001,19.32,64052800,16.439536
"91",19.26,19.32,18.969999,19.190001,54985100,16.328919
"92",19.01,19.389999,18.9,19.209999,85409800,16.345936
"93",19.299999,19.780001,19.290001,19.639999,84884600,16.711826
"94",19.75,19.860001,19.57,19.76,74287500,16.813936
"95",19.790001,19.93,19.75,19.84,50129800,16.882009
"96",19.950001,20,19.799999,19.870001,45769400,16.907536
"97",19.790001,20.110001,19.73,20.040001,56344600,17.052191
"98",19.93,20.200001,19.809999,20.190001,48151900,17.179827
"99",20.290001,20.530001,20.02,20.469999,71144000,17.41808
"100",20.450001,20.559999,20.01,20.049999,60774400,17.060698
"101",20.35,20.67,20.34,20.57,51593700,17.503171
"102",20.639999,20.700001,20.290001,20.34,60959100,17.307462
"103",20.34,20.52,20.219999,20.48,53044600,17.563017
"104",20.66,21.02,20.559999,20.969999,66048200,17.983226
