"","JNPR.Open","JNPR.High","JNPR.Low","JNPR.Close","JNPR.Volume","JNPR.Adjusted"
"1",24.26,24.58,24.16,24.559999,6027200,24.15547
"2",24.23,25.15,24.110001,24.99,6123800,24.578387
"3",25.219999,25.540001,24.860001,24.870001,6278800,24.460365
"4",25.209999,25.639999,25.049999,25.530001,5031200,25.109494
"5",25.25,25.35,24.85,25.16,10571500,24.745587
"6",25.42,25.450001,25.059999,25.290001,6399600,24.873447
"7",25.27,25.629999,25.200001,25.5,5629500,25.079987
"8",25.809999,26.09,24.83,24.950001,21225200,24.539047
"9",25.02,25.18,24.43,24.43,6429400,24.027612
"10",24.57,24.65,24.17,24.43,5442000,24.027612
"11",24.299999,24.32,23.58,23.709999,8717500,23.31947
"12",23.73,23.889999,23.200001,23.719999,9204900,23.329305
"13",23.66,24.4,23.620001,24.190001,7168900,23.791565
"14",23.91,24.040001,23.030001,23.219999,7819600,22.837541
"15",23.059999,23.52,22.74,22.82,5946000,22.444129
"16",22.85,23.07,22.25,23,8653600,22.621165
"17",23.139999,24.360001,23.049999,24.08,14727000,23.683376
"18",24.59,25.09,23.879999,24.09,9795500,23.693212
"19",24.66,25.51,24.440001,25.49,8092000,25.070152
"20",25.690001,25.889999,24.809999,25.43,8184500,25.011141
"21",25.389999,25.879999,25.25,25.77,5952400,25.345541
"22",25.76,26.059999,25.4,26,6349500,25.571752
"23",26.08,26.879999,26.08,26.73,6182500,26.289727
"24",26.700001,27.219999,26.59,27.1,9352000,26.653634
"25",26.76,26.959999,26.190001,26.860001,12270500,26.417587
"26",26.67,26.73,25.75,25.9,10002500,25.473398
"27",26.34,26.84,26.200001,26.6,8506700,26.161869
"28",26.09,26.870001,26.09,26.690001,10230300,26.250387
"29",26.18,26.51,25.639999,26.51,15676700,26.073352
"30",26.690001,27.790001,26.690001,27.41,10825300,26.958527
"31",27.360001,28.34,27.309999,28.09,12109800,27.627327
"32",27.860001,28.93,27.860001,28.85,10391800,28.374809
"33",28.879999,29,27.950001,28.08,8748900,27.617492
"34",28.01,28.24,27.59,27.799999,5305600,27.342103
"35",28.309999,28.459999,27.469999,27.6,6983700,27.145398
"36",27.370001,28,27.280001,27.780001,5848000,27.322434
"37",27.98,28.290001,27.76,28.1,5988800,27.637163
"38",28.030001,28.129999,27.700001,28.02,3091500,27.558481
"39",28.15,28.57,28.040001,28.48,3632800,28.010903
"40",28.219999,28.379999,28.08,28.309999,2607700,27.843703
"41",28,28.24,27.540001,27.99,4447500,27.528974
"42",28.09,28.75,28.08,28.58,4577900,28.109256
"43",28.290001,29,28.219999,28.690001,6223700,28.217445
"44",28.4,28.4,27.48,27.67,6461200,27.214245
"45",25.9,26.09,25,25.780001,14141600,25.355376
"46",25.639999,25.870001,25.48,25.629999,4078300,25.207845
"47",25.469999,26.26,25.379999,25.870001,4518300,25.443894
"48",25.969999,26.49,25.879999,26.219999,5529300,25.788127
"49",26.190001,26.58,26.1,26.469999,3818500,26.03401
"50",26.299999,26.780001,26.059999,26.68,6534700,26.240552
"51",26.58,27.52,26.559999,27.24,8441500,26.791327
"52",27.34,27.559999,27,27.18,4577800,26.732316
"53",26.84,27.25,26.58,26.790001,9115000,26.34874
"54",26.530001,26.879999,26.35,26.76,5527100,26.319234
"55",26.809999,27.030001,26.690001,26.790001,4224000,26.34874
"56",27.01,27.33,26.549999,27.24,5297500,26.791327
"57",27.24,27.73,26.91,26.91,4204200,26.466763
