"","KIM.Open","KIM.High","KIM.Low","KIM.Close","KIM.Volume","KIM.Adjusted"
"1",13.98,14.51,13.89,14.49,5255500,11.684892
"2",14.26,14.57,14.19,14.54,5008300,11.725213
"3",14.69,15,14.58,14.83,6220400,11.959072
"4",14.95,15.33,14.74,15.29,4274600,12.330021
"5",15.14,15.25,14.92,15,4889400,12.096162
"6",15.04,15.13,14.69,14.96,6313600,12.063905
"7",15.03,15.22,14.82,15.17,7683100,12.233252
"8",15.38,15.62,15.13,15.21,5467500,12.265508
"9",15.15,15.34,14.64,14.65,6902800,11.813918
"10",14.73,14.85,14.46,14.69,7603600,11.846174
"11",14.56,14.65,14.24,14.28,8704100,11.515546
"12",14.39,14.78,14.26,14.69,7651600,11.846174
"13",14.78,14.89,14.42,14.52,4137600,11.709085
"14",14.13,14.14,13.44,13.56,6881600,11.056769
"15",13.56,13.9,13.39,13.44,7432400,10.95892
"16",13.47,13.56,12.95,13.34,6349400,10.877381
"17",13.39,13.46,12.85,13.03,5686900,10.624608
"18",13.45,13.51,12.51,12.66,7602900,10.322912
"19",12.73,13.35,12.68,13.34,7811700,10.877381
"20",13.49,13.6,13.18,13.45,7573400,10.967075
"21",13.34,13.61,13.34,13.6,4762300,11.089384
"22",13.59,13.74,13.42,13.68,3694500,11.154616
"23",13.88,14.19,13.84,14.11,6649800,11.505236
"24",13.97,14.14,13.75,14.01,4554500,11.423697
"25",14.09,14.13,13.6,14.07,4481800,11.47262
"26",13.88,13.95,13.26,13.37,7258700,10.901843
"27",13.38,13.7,13.17,13.67,5006300,11.146462
"28",13.38,13.97,13.32,13.95,5680500,11.374773
"29",14.11,14.11,13.58,13.65,6417100,11.130154
"30",13.85,14.48,13.85,14.4,7903300,11.741701
"31",14.37,14.76,14.2,14.73,6776500,12.010781
"32",14.67,15.22,14.56,15.16,4534700,12.361402
"33",15.32,15.34,14.86,15.07,6786000,12.288016
"34",15.02,15.56,15.02,15.14,6545600,12.345094
"35",15.29,15.37,14.94,15.13,4512200,12.33694
"36",14.88,15.19,14.8,15.07,5743300,12.288016
"37",15.36,15.62,15.27,15.48,5688800,12.622328
"38",15.35,15.36,14.99,15.11,5404000,12.320632
"39",15.14,15.28,14.98,15.2,4673300,12.394017
"40",15.07,15.47,15.04,15.32,4649700,12.491865
"41",15.15,15.29,14.85,15.06,5035900,12.279862
"42",15.22,15.27,15.01,15.25,3101300,12.434787
"43",15.06,15.16,14.81,15,4135400,12.230938
"44",14.61,14.93,14.55,14.65,5714300,11.94555
"45",14.44,14.66,14.41,14.55,6740300,11.86401
"46",14.53,14.83,14.5,14.58,4833300,11.888472
"47",14.48,14.75,14.29,14.68,3896900,11.970012
"48",14.85,15.21,14.66,15.11,4897700,12.320632
"49",15.09,15.25,15.01,15.13,4018300,12.33694
"50",15.03,15.08,14.44,14.49,4550700,11.815086
"51",14.36,14.48,14.25,14.38,2946200,11.725393
"52",14.51,14.56,14.34,14.38,2593500,11.725393
"53",14.11,14.42,14,14.23,3681400,11.603083
"54",14.08,14.69,14.08,14.61,4182000,11.912934
"55",14.68,14.85,14.52,14.67,5014800,11.961858
"56",14.76,14.97,14.35,14.95,4109700,12.190168
"57",14.88,15.06,14.81,14.81,4118300,12.076013
"58",14.8,14.99,14.67,14.91,4288600,12.157553
"59",15.17,15.32,15.05,15.3,6501300,12.475557
"60",15.26,15.64,15.14,15.59,3914000,12.712022
"61",15.76,15.88,15.61,15.85,2472800,12.924025
"62",15.66,15.77,15.52,15.54,2792300,12.671252
"63",15.63,15.73,15.43,15.52,2763500,12.654945
"64",15.77,15.83,15.3,15.43,2383400,12.581559
"65",15.43,15.69,15.32,15.55,2136100,12.679406
"66",15.82,15.89,15.62,15.86,2312300,12.932179
"67",15.78,16,15.69,15.88,2859400,12.948487
"68",15.8,16,15.74,16,2715300,13.046334
"69",15.97,16.02,15.84,15.91,3396700,12.972949
"70",15.97,16.16,15.82,16.139999,5242700,13.160489
"71",16.1,16.84,16.1,16.799999,5765400,13.69865
"72",16.83,17.049999,16.690001,16.790001,14539900,13.690498
"73",16.690001,16.93,16.530001,16.67,10993700,13.59265
"74",16.49,16.690001,16.08,16.1,9112600,13.127874
"75",16.35,16.700001,16.35,16.65,4306200,13.576341
"76",16.639999,16.639999,16.16,16.200001,3619200,13.209414
"77",16.26,16.280001,15.92,16.190001,6502000,13.20126
"78",16.059999,16.129999,15.67,15.75,5776800,12.842485
"79",15.92,16.1,15.59,15.74,7041400,12.834331
"80",15.75,15.89,15.64,15.79,6037600,13.007322
"81",15.76,16.299999,15.75,16.27,7027000,13.402732
"82",16.48,16.76,16.219999,16.66,6469500,13.724002
"83",16.620001,16.83,16.540001,16.809999,7091000,13.847567
"84",16.91,17,16.76,16.799999,6049400,13.839329
"85",16.860001,16.93,16.709999,16.82,4267700,13.855805
"86",16.809999,16.959999,16.74,16.780001,3145100,13.822855
"87",16.77,16.950001,16.67,16.9,3630000,13.921706
"88",17,17.16,16.870001,16.959999,3542000,13.971132
"89",16.889999,17.01,16.58,16.74,3715600,13.789903
