"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"1",62.330003,62.640002,62.070001,62.219996,3009200,49.867229
"2",61.959998,62.200002,61.410002,62.150002,2393600,49.811131
"3",62.509993,62.860002,62.41999,62.449998,2645600,50.051568
"4",62.740008,63.059997,62.63,63.030001,2525400,50.516421
"5",62.770003,63.179995,62.699997,62.829994,2717000,50.356122
"6",63.169993,63.239999,62.509993,63.130003,2495300,50.596569
"7",63.300002,63.390005,62.730005,62.779994,2663700,50.316048
"8",63.330001,63.489994,62.470003,62.689995,2201300,50.243917
"9",62.689995,63.15,62.309998,62.370002,2620000,49.987453
"10",62.309998,62.529998,61.97,62.330003,2453800,49.955396
"11",62.110004,62.389995,61.759991,61.890004,3505000,49.602751
"12",62.059999,62.139999,61.399999,61.469997,4568000,49.26613
"13",61.819998,62.020001,61.169997,61.759991,2440600,49.49855
"14",61.129999,61.679995,60.74,60.970002,3993400,48.865401
"15",61.019995,61.490002,60.469999,60.629996,3376700,48.592898
"16",60.580003,60.719995,59.899999,60.639998,3744000,48.600914
"17",60.909999,61.010004,60.449994,60.490004,2187800,48.480699
"18",60.989999,61.150004,59.619996,60.189996,4035300,48.240253
"19",60.319997,61.389997,60.000004,61.289996,3191500,49.121865
"20",61.599994,61.909997,61.490002,61.909997,2627300,49.618775
"21",61.759991,61.990005,61.379994,61.7,2159500,49.450469
"22",61.679995,61.980003,61.509995,61.930002,2092900,49.634809
"23",62.439995,62.599992,62.100001,62.370002,1876500,49.987453
"24",62.150002,62.46,62.029995,62.330003,2194900,49.955396
"25",62.41,62.63,62.029995,62.529998,2236800,50.115685
"26",62.27,62.550003,61.810003,62.059999,2865700,49.738997
"27",62.399997,62.659995,62.240001,62.619997,2828600,50.187816
"28",62.219996,63.470001,62.129997,63.449996,3309800,50.853032
"29",63.669996,63.669996,62.059999,62.359999,2994600,49.979437
"30",62.779994,63.42,62.68,62.959995,2820400,50.460314
"31",62.749998,64.159996,62.68,63.64,3128600,51.005314
"32",63.86,64.190004,63.42,64.13,2060800,51.398033
"33",64.230006,65.01,63.870002,64.909998,3330100,52.023175
"34",64.949997,64.999997,63.600002,64.410004,2387100,51.622446
"35",64.540005,64.729997,63.210003,63.939996,2538000,51.245751
"36",63.650003,64.329995,63.589999,64.119998,3001900,51.390016
"37",64.550007,65.150003,64.35,65.129998,3017200,52.199498
"38",64.809997,65.050002,64.6,64.800003,2711600,51.935017
"39",64.970002,65.500004,64.830002,65.339996,2334400,52.367804
"40",65.120008,65.419996,65.01,65.31,2266400,52.343763
"41",65.019994,65.290007,64.499994,65.290007,2110900,52.327739
"42",65.370003,65.959997,65.280004,65.870006,2428900,52.792589
"43",65.589991,66.250003,65.519997,66.02,2946200,52.912804
"44",65.320003,65.710002,65.079998,65.120008,2916600,52.191491
"45",64.689999,65.320003,64.540005,65.23,3502600,52.279645
"46",65.069995,65.179999,64.729997,64.809997,2340400,51.943028
"47",64.65,65.110005,64.289997,65.110005,2695400,52.183474
"48",65.160006,65.490002,64.800003,64.920001,3271200,52.031192
"49",65.029997,65.469997,64.800003,65.280004,3530500,52.319723
"50",65.019994,65.259999,64.449994,64.79,2453400,51.927001
"51",64.379996,64.849995,64.379996,64.710004,2070900,51.862886
"52",65.039999,65.360001,64.940006,64.959999,2598100,52.063249
"53",64.389998,65.160006,64.389998,64.719994,3215300,51.870893
"54",64.589997,64.889993,64.220003,64.480001,2920300,51.678547
"55",64.519999,64.639998,63.949999,64.08999,2505200,51.365966
"56",64.220003,64.489992,63.749996,64.459996,2071900,51.662514
"57",64.430001,64.609998,64.000003,64.159996,2129500,51.422074
"58",64.08999,64.589997,63.899998,64.400001,3027700,51.614429
"59",64.729997,65.500004,64.550007,65.389996,3338400,52.407877
"60",65.399999,65.959997,65.399999,65.889999,2432000,52.808613
"61",66.110003,66.179997,65.550005,66.179997,2260900,53.041036
"62",65.949995,66.600003,65.949995,66.349996,2908300,53.177285
"63",65.690004,66.510001,65.510007,66.080003,2861800,53.493001
"64",66.339994,66.409999,65.919999,66.120002,1882300,53.52538
"65",66.169994,66.389994,65.999995,66.260005,1451800,53.638716
"66",66.640002,66.860005,66.32,66.489996,1529600,53.824897
"67",66.379992,66.669997,66.32,66.46,1858700,53.800615
"68",66.480005,66.68,66.260005,66.609994,2260000,53.922038
"69",66.300003,66.719998,66.260005,66.590001,2902400,53.905854
"70",66.660007,66.929999,66.349996,66.370001,3352300,53.72776
