"","KSS.Open","KSS.High","KSS.Low","KSS.Close","KSS.Volume","KSS.Adjusted"
"1",51.029999,51.48,50.59,51.290001,4197400,45.695012
"2",50.619999,51.82,50.470001,51.66,4091000,46.024649
"3",52.040001,52.779999,51.759998,52.290001,4522500,46.585926
"4",52.299999,53.68,51.599998,53.66,7442800,47.806478
"5",53.34,53.669998,52.919998,53.240002,5422100,47.432296
"6",53.310001,53.310001,52.080002,52.77,3568500,47.013565
"7",52.93,53.25,52.52,52.700001,3363900,46.951201
"8",53.029999,53.279999,51.68,51.970001,4230900,46.300834
"9",51.759998,52.459999,50.57,50.66,4096700,45.133734
"10",50.599998,51.48,50.150002,51.139999,2789500,45.561373
"11",50.599998,50.75,49.57,49.740002,4067100,44.314095
"12",49.849998,50.220001,49.419998,49.52,4607800,44.118092
"13",49.709999,50.119999,49.209999,49.52,2783500,44.118092
"14",48.93,48.93,47.360001,47.68,4724300,42.478809
"15",47.73,48.48,47.34,47.5,5225800,42.318444
"16",47.310001,48.810001,47.279999,48.66,5500100,43.351905
"17",48.73,49.360001,48.200001,48.279999,3430300,43.013357
"18",48.830002,49.150002,47.07,47.560001,4164400,42.371901
"19",47.560001,48.549999,47.380001,48.529999,3365900,43.236085
"20",48.130001,48.139999,46.18,47.970001,11351100,42.737175
"21",48,48.200001,47.509998,48.02,4335200,42.78172
"22",47.799999,47.869999,46.709999,47.200001,4510200,42.051171
"23",47.75,48.169998,47.34,47.880001,4725800,42.656993
"24",47.860001,47.900002,46.91,47.200001,3729300,42.051171
"25",47.060001,47.869999,46.84,47.700001,4243800,42.496628
"26",47.540001,47.639999,46.310001,46.419998,3220200,41.356255
"27",46.52,46.970001,45.73,46.169998,5293800,41.133526
"28",45.630001,47.419998,45.290001,47.310001,6437200,42.149172
"29",47.52,47.52,46.369999,46.57,4723600,41.489894
"30",47.07,48.200001,47.07,47.950001,3411700,42.719357
"31",47.82,48.560001,47.5,48.540001,3219200,43.244996
"32",48.639999,49.630001,48.330002,49.400002,4462500,44.011184
"33",49.580002,49.66,48.34,48.5,3454200,43.209359
"34",48.369999,48.639999,47.799999,47.900002,2654600,42.674812
"35",48.25,48.380001,46.630001,47.25,4295300,42.095716
"36",46.889999,47.880001,46.509998,47.689999,3807500,42.487717
"37",48.290001,49.41,48.040001,48.990002,5231700,43.645909
"38",49.110001,49.119999,46.779999,46.950001,5212100,41.828442
"39",47.189999,47.470001,46.790001,47.09,4307100,41.95317
"40",47.080002,49.040001,46.799999,49,9008600,43.654816
"41",48.18,49.02,47.93,48.630001,4552700,43.325179
"42",48.810001,49.009998,48.48,48.860001,3663600,43.530089
"43",48.549999,48.650002,47.98,48.43,4052900,43.146995
"44",48.349998,48.349998,47.439999,47.779999,3880700,42.567899
"45",46.459999,46.990002,45.57,46.5,15119200,41.42753
"46",46.27,46.459999,44.939999,44.990002,5964600,40.08225
"47",44.580002,44.779999,44.07,44.27,4898900,39.440791
"48",44.669998,45.509998,44.470001,45.310001,4348600,40.367343
"49",45.25,47.290001,44.990002,47,6347200,41.872987
"50",46.75,47.130001,46.490002,46.720001,5215700,41.623532
"51",46.389999,46.639999,45.810001,46.32,4930200,41.267165
"52",46.389999,46.93,45.970001,46.639999,3564700,41.552257
"53",46.110001,46.450001,45.830002,46.209999,5587700,41.169164
"54",45.889999,47.98,45.889999,47.619999,6219900,42.425353
