"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"1",21.280001,21.709999,21.190001,21.709999,4258000,19.040756
"2",21.540001,22.139999,21.450001,22.08,5161600,19.365265
"3",23.41,23.889999,22.75,22.85,9545600,20.040594
"4",22.84,23.1,22.629999,23.1,4317800,20.259856
"5",22.809999,23.16,22.76,23.15,3584900,20.303708
"6",23.16,23.25,22.959999,23.200001,4512800,20.347562
"7",23.209999,23.379999,22.959999,23.139999,4712700,20.294937
"8",23.32,23.51,22.99,23.09,2246200,20.251086
"9",23.139999,23.24,22.870001,22.950001,3986100,20.128299
"10",22.99,23.450001,22.85,23.030001,3443500,20.198463
"11",22.98,23.1,22.809999,22.91,5335200,20.093216
"12",23.02,23.25,22.719999,23.25,11789700,20.391413
"13",23.190001,25.32,23.1,23.24,3530800,20.382643
"14",22.82,23.139999,22.719999,22.870001,5882900,20.058135
"15",22.790001,22.99,22.51,22.549999,4509700,19.777478
"16",22.48,22.620001,22.129999,22.43,3293700,19.672233
"17",22.469999,22.610001,22.209999,22.379999,2575100,19.628379
"18",22.559999,22.73,22.17,22.360001,3037800,19.610839
"19",22.389999,22.91,22.15,22.870001,3618400,20.239165
"20",23.040001,23.040001,22.530001,22.780001,4368200,20.159518
"21",22.77,23.129999,22.68,23.110001,3811200,20.451557
"22",23.02,23.02,22.41,22.639999,3985000,20.035622
"23",22.860001,23.34,22.83,23.26,4228500,20.584301
"24",23.139999,23.17,22.950001,23.059999,5008700,20.407308
"25",23.059999,23.09,22.719999,23.030001,2544400,20.38076
"26",22.84,23.01,22.43,22.469999,5312700,19.885178
"27",22.549999,22.6,22.299999,22.559999,2925800,19.964825
"28",22.26,22.82,22.209999,22.809999,2563300,20.186066
"29",23.059999,23.059999,22.33,22.42,3005600,19.84093
"30",22.66,23.09,22.57,23.09,3757800,20.433857
"31",23.01,23.25,22.93,23.219999,2066300,20.548902
"32",22.98,23.559999,22.85,23.559999,2466200,20.84979
"33",23.700001,23.73,23.34,23.530001,2550200,20.823243
