"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"1",76.959999,78.779999,76.849998,78.639999,1216200,68.028939
"2",77.82,78.489998,76.660004,78.389999,770600,67.812672
"3",79.019997,79.629997,77.209999,77.529999,1117200,67.068713
"4",78.440002,79.599998,77.730003,79.360001,1036200,68.651789
"5",79.18,83.190002,79.050003,81.93,2532800,70.875013
"6",82.980003,90.989998,82.769997,89.339996,5959000,77.285163
"7",88.059998,90.860001,86.620003,90.709999,3728800,78.470308
"8",90.309998,95.980003,90.279999,94.449997,3348100,81.70566
"9",94.279999,96.150002,93.029999,93.709999,1836300,81.065512
"10",94.029999,94.75,90.5,91.019997,2025000,78.738477
"11",90.540001,90.540001,86.32,86.690002,2199700,74.992738
"12",87.459999,89.419998,87.25,88.370003,1421900,76.446053
"13",87.769997,89.650002,87.5,89.239998,1143700,77.198657
"14",87.940002,89.050003,85.889999,86.290001,1449700,74.64671
"15",86.400002,87.879997,84.790001,84.949997,1003400,73.487515
"16",84.949997,87.790001,84.199997,87.199997,1834300,75.433918
"17",88.040001,88.040001,84.339996,84.889999,892400,73.435613
"18",86.650002,87.669998,84.93,85.959999,1100800,74.361236
"19",86.510002,89.43,86.150002,89.230003,1165800,77.190012
"20",89.82,90.589996,87.230003,88.620003,1100200,76.66232
"21",88.059998,90.489998,87.790001,90.230003,833200,78.055079
"22",89.93,90.019997,88.25,89.120003,608900,77.094854
"23",90.199997,91.690002,89.830002,91.510002,890400,79.162365
"24",90.779999,91.150002,88.940002,89.940002,717000,77.804209
"25",89.940002,90.339996,87.449997,88.779999,595800,76.800727
"26",87.559998,87.949997,85.5,85.730003,1165000,74.162274
"27",86.5,86.690002,84.779999,86.080002,628700,74.465046
"28",84.599998,85.5,83.5,85.080002,1387700,73.599978
"29",87.32,89.25,82.849998,83.5,1440700,72.23317
"30",84.720001,87.330002,84.339996,86.68,906800,74.984086
"31",86.639999,89.989998,86.010002,89.559998,1111600,77.475479
"32",90,92.5,89.059998,92.379997,932700,79.91497
"33",93.300003,93.470001,89.699997,89.849998,621700,77.726349
"34",89.82,90.540001,87.5,87.830002,531600,75.978915
"35",88.5,88.980003,85.519997,87,1199000,75.260907
"36",86.349998,88.650002,85.599998,87.339996,735300,75.555027
"37",88.779999,90.32,88.239998,89.559998,645500,77.475479
"38",89.489998,89.779999,87.860001,87.989998,436900,76.117323
"39",88.879997,88.889999,87.5,88.599998,584600,76.645015
"40",87.5,88.040001,86.5,87.669998,432500,75.840501
"41",86.889999,87.040001,85.010002,86.879997,609000,75.157097
"42",87.599998,88.379997,86.610001,87.949997,436600,76.082719
"43",87.089996,88.599998,86.410004,87.910004,449600,76.048122
"44",86.57,86.650002,84.389999,84.389999,787100,73.003079
"45",83.489998,85.610001,83.370003,85.190002,953500,73.695136
"46",85.379997,86.080002,84.809998,85.349998,865300,73.833544
"47",84.940002,85.650002,84.489998,85.449997,617600,73.920049
"48",88.330002,92.360001,88,90.43,1913900,78.22809
"49",90,91.150002,88.93,90.050003,1256900,77.899367
"50",90.120003,90.32,88.07,89.309998,996500,77.259212
"51",88.470001,89.900002,88.050003,89.760002,672200,77.648496
"52",89.709999,90.900002,88.709999,88.779999,485900,76.800727
"53",87.489998,88.400002,87.029999,87.370003,609400,75.580985
"54",87,87.860001,85.639999,86.809998,620200,75.096542
"55",87.040001,88.440002,86.449997,86.650002,459600,74.958135
"56",87.150002,88.050003,85.980003,87.779999,438600,75.935659
"57",87.160004,87.160004,84.949997,84.949997,468500,74.078249
"58",84.809998,86.529999,84.379997,85.639999,721000,74.679946
"59",86.150002,87.879997,86.089996,87.489998,748800,76.293185
"60",88.080002,88.290001,86.900002,87.279999,677400,76.110061
"61",88.339996,88.940002,87.68,88.93,479200,77.548898
"62",88.089996,88.400002,84.669998,84.699997,808000,73.860243
"63",84.720001,86.989998,84.720001,85.459999,614300,74.522982
"64",86.989998,88.400002,86.43,87.209999,650100,76.04902
"65",87.919998,87.919998,85.690002,86.57,399900,75.490926
"66",88.279999,88.489998,87.120003,88.389999,596300,77.078006
"67",88.300003,88.440002,86.5,87.900002,488700,76.650717
"68",87.5,87.709999,86.199997,87.400002,629100,76.214706
"69",87.220001,87.220001,86.07,86.919998,319100,75.796133
"70",87.370003,87.830002,86.5,86.699997,754600,75.604287
"71",87.059998,95,86.580002,91,1996400,79.353983
"72",91.300003,92.190002,88.589996,88.690002,1065000,77.339615
"73",88.370003,90.93,87.400002,88.940002,1000700,77.557621
"74",87.540001,90.75,87.540001,88.169998,832600,76.88616
"75",89.620003,90.669998,87.779999,90.620003,1066300,79.022617
"76",86.110001,86.870003,84,84.239998,1921100,73.459114
"77",83.959999,84.379997,81.080002,82.5,1991100,71.941798
"78",81.879997,82.709999,81.279999,81.809998,880800,71.340101
