"","MWV.Open","MWV.High","MWV.Low","MWV.Close","MWV.Volume","MWV.Adjusted"
"1",22.879999,23.27,22.639999,23.27,944300,19.434758
"2",22.9,23.82,22.9,23.75,837100,19.835646
"3",24.040001,24.52,23.799999,23.860001,931200,19.927517
"4",23.940001,24.33,23.85,24.280001,1253500,20.278295
"5",24.15,24.35,23.879999,24.200001,1369300,20.21148
"6",24.25,24.299999,23.66,24.17,1234100,20.186424
"7",24.23,24.5,24.209999,24.34,1019400,20.328406
"8",24.790001,25.040001,24.01,24.18,1601200,20.194776
"9",24.280001,24.49,23.41,23.48,1335800,19.610146
"10",23.370001,23.9,23.059999,23.74,2361600,19.827294
"11",23.57,23.74,23,23.059999,1394900,19.259368
"12",23.129999,23.280001,22.6,23.16,1936000,19.342887
"13",23.26,23.309999,22.780001,23.17,2191900,19.351239
"14",22.67,23.27,22.35,22.530001,3930100,18.816721
"15",22.469999,22.85,22.129999,22.200001,1974000,18.54111
"16",22.17,22.52,21.549999,22.309999,2136800,18.632979
"17",22.41,22.610001,21.860001,22.17,1162100,18.516054
"18",22.700001,22.76,21.92,22.18,1551300,18.524406
"19",22.09,22.68,22.07,22.68,2099300,18.941999
"20",22.889999,23.370001,22.74,23.299999,1778900,19.459812
"21",23.459999,23.84,23.309999,23.68,895500,19.777184
"22",23.6,23.85,23.32,23.459999,986100,19.593442
"23",23.77,24.26,23.709999,24.139999,961100,20.161368
"24",24.030001,24.15,23.690001,23.940001,1303100,19.994332
"25",23.950001,23.99,23.370001,23.93,925600,19.98598
"26",23.780001,23.809999,23.200001,23.299999,1306800,19.459812
"27",23.33,23.379999,22.790001,23.16,1152100,19.342887
"28",22.73,23.719999,22.73,23.68,2420800,19.777184
"29",23.879999,23.93,22.99,23.17,1926700,19.351239
"30",23.549999,24.040001,23.459999,23.91,1544500,19.969276
"31",23.879999,24.73,23.82,24.639999,1613600,20.578961
"32",24.860001,25.26,24.700001,24.870001,2086000,20.771054
"33",24.950001,25,24.559999,24.76,1567900,20.679184
"34",25.35,25.35,24.5,24.67,1167600,20.604017
"35",24.48,24.540001,23.68,23.92,1926000,20.165634
"36",23.709999,24.16,23.6,23.959999,1709100,20.199354
"37",24.120001,24.43,23.99,24.02,2042600,20.249938
"38",23.83,24.049999,23.690001,23.870001,1177800,20.123482
"39",23.98,24.129999,23.85,23.9,1264500,20.148772
"40",23.83,24.02,23.6,23.809999,1490700,20.072898
"41",23.620001,23.860001,23.27,23.700001,983600,19.980164
"42",23.83,23.99,23.5,23.530001,1390500,19.836847
"43",23.24,23.5,23,23.24,1170100,19.592363
"44",22.9,22.9,21.99,22.040001,1719400,18.58071
"45",21.719999,22.18,21.549999,22.040001,1327100,18.58071
"46",21.91,22.35,21.870001,21.969999,1422800,18.521695
"47",21.82,22.09,21.76,21.77,918500,18.353087
"48",22.08,22.34,21.959999,22.040001,1414600,18.58071
"49",22.040001,22.219999,21.77,22.040001,846300,18.58071
"50",21.93,22.049999,21.309999,21.48,934600,18.108604
"51",21.549999,21.93,21.5,21.790001,1423000,18.369949
"52",22.02,22.1,21.26,21.299999,1084000,17.956855
"53",21.129999,21.35,20.91,21.17,2235800,17.84726
"54",21.07,21.58,20.809999,21.48,1855400,18.108604
"55",21.58,21.9,21.49,21.49,1844700,18.117034
"56",21.67,21.85,21.129999,21.83,2246200,18.40367
"57",21.690001,21.82,21.49,21.58,1346800,18.192908
"58",21.42,22.030001,21.389999,21.76,1499200,18.344657
"59",22.08,22.73,22.08,22.639999,1613300,19.086536
"60",22.799999,23.23,22.700001,23.16,1407100,19.524919
"61",23.389999,23.66,23.07,23.34,1197400,19.676668
"62",23.120001,23.34,22.98,23.059999,1150900,19.440614
"63",23.09,23.43,23.059999,23.34,1211500,19.676668
"64",23.49,23.639999,23.24,23.459999,1228000,19.777832
"65",23.450001,23.68,23.34,23.66,1278300,19.946442
"66",23.799999,23.98,23.75,23.92,1078400,20.165634
"67",23.9,24.139999,23.690001,23.860001,916000,20.115051
"68",23.690001,23.870001,23.57,23.77,1367800,20.039177
"69",23.75,24.02,23.700001,23.99,1003100,20.224646
"70",24.190001,24.389999,23.91,24.200001,1162000,20.401687
"71",24.219999,24.23,23.49,24.209999,1216300,20.410116
"72",24.25,24.450001,24.08,24.280001,1680000,20.46913
"73",24.280001,24.610001,23.99,24.02,945400,20.249938
"74",23.85,23.99,23.52,23.59,696600,19.887429
"75",24.16,24.889999,24.16,24.700001,1070400,20.823209
"76",24.76,24.77,24.42,24.49,695100,20.646169
"77",24.629999,24.709999,24,24.67,970800,20.797917
"78",24.530001,24.74,24.32,24.43,1094500,20.595587
"79",24.639999,24.75,24.1,24.379999,1566900,20.553433
"80",24.65,24.99,24.530001,24.58,1410700,20.722043
"81",24.48,24.629999,23.74,23.82,1322300,20.081329
"82",24.16,24.74,24.09,24.540001,1455500,20.688322
"83",24.610001,24.83,24.540001,24.83,900300,20.932804
"84",25,25,24.42,24.530001,774900,20.679891
"85",24.6,24.940001,24.48,24.809999,1148500,20.915943
"86",24.790001,24.85,24.57,24.719999,435900,20.840069
"87",24.709999,24.870001,24.379999,24.84,852000,20.941235
