"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"1",71.190002,72.550003,71.139999,71.75,5915600,33.518701
"2",71.290001,72.639999,71.029999,72.330002,4404200,33.789655
"3",72.489998,72.949997,71.910004,72.220001,4373200,33.738267
"4",72.290001,73.980003,72.290001,73.980003,4348800,34.560469
"5",73.370003,74.5,73.080002,73.830002,6350200,34.490394
"6",74.419998,74.699997,73.629997,74.57,5901200,34.836091
"7",74.800003,75.230003,74.470001,74.940002,5598200,35.008941
"8",75.489998,75.919998,73.82,74.349998,5596000,34.733315
"9",74.440002,75,72.169998,72.459999,5194000,33.850384
"10",72.660004,73.18,71.5,72.519997,5829400,33.878413
"11",70.010002,70.669998,69.199997,69.629997,18052000,32.528322
"12",69.860001,70.470001,68.900002,70.120003,9045000,32.757232
"13",70.5,70.870003,69.629997,70.5,6360200,32.934752
"14",69.629997,69.669998,67.440002,68.169998,11660400,31.846269
"15",67.940002,69.139999,67.300003,67.550003,9275600,31.556632
"16",67.889999,68.5,66.769997,68.07,10241200,31.799554
"17",68.190002,68.940002,67.43,67.860001,5813400,31.701451
"18",68.209999,69.169998,66.339996,67.209999,8437400,31.397796
"19",67.470001,68.589996,67.010002,68.559998,8585800,32.028461
"20",69.230003,70.480003,69.019997,70.279999,8900800,32.831976
"21",70.160004,70.209999,69.519997,70.150002,5481200,32.771247
"22",69.970001,70.470001,69.279999,69.809998,4444800,32.61241
"23",70.400002,70.919998,70.019997,70.470001,6064800,32.920738
"24",70.160004,70.599998,69.470001,70.540001,5828000,32.953439
"25",70.339996,70.800003,69.349998,70.650002,7051600,33.004826
"26",70.349998,70.660004,68.690002,68.959999,6851800,32.215326
"27",69.139999,69.470001,68.190002,68.610001,4790000,32.05182
"28",67.900002,70,67.620003,69.839996,7402000,32.626425
"29",70.129997,71.07,69.309998,69.650002,7894400,32.537667
"30",70.389999,72.120003,70.360001,71.559998,6764000,33.42994
"31",71.5,73.160004,71.160004,72.739998,5759400,33.981188
"32",72.709999,73.949997,72.480003,73.220001,5245800,34.205426
"33",73.699997,73.849998,72.839996,73.68,5206200,34.420319
"34",73.639999,74.019997,72.870003,73.110001,4228200,34.154039
"35",73.650002,74.110001,72.68,73.529999,4832200,34.350245
"36",73.010002,73.949997,72.639999,73.639999,4351400,34.401633
"37",74.389999,74.970001,73.940002,74.32,5134000,34.719301
"38",74.199997,74.199997,72.849998,73.099998,6361800,34.149366
"39",73.18,74.370003,73.129997,74,6078800,34.56981
"40",73.449997,74.360001,73.300003,74.059998,4032800,34.597839
"41",73.419998,74.089996,72.779999,73.959999,3849400,34.551124
"42",74.139999,75,73.879997,74.120003,3946800,34.625871
"43",73.419998,74.389999,72.800003,73.910004,4693200,34.527768
"44",72.769997,72.779999,71.480003,72.080002,6076000,33.672865
"45",70.989998,71.790001,70.699997,71.519997,4876000,33.411253
"46",71.410004,71.480003,70.480003,70.580002,4397200,32.972125
"47",70.110001,71.470001,69.769997,71.059998,4762800,33.19636
"48",71.75,72.709999,71.470001,71.709999,5061800,33.500014
"49",71.690002,72.709999,70.940002,72.239998,4391400,33.747608
"50",71.809998,72.010002,70.559998,71.339996,4940400,33.327164
