"","PBCT.Open","PBCT.High","PBCT.Low","PBCT.Close","PBCT.Volume","PBCT.Adjusted"
"1",14.28,14.29,14,14.24,6328200,11.211083
"2",14.1,14.2,14.02,14.18,4984400,11.163846
"3",14.23,14.31,14.07,14.08,3723600,11.085116
"4",14.12,14.23,14.05,14.19,5620700,11.171718
"5",14.18,14.7,14.1,14.58,12052000,11.478763
"6",14.67,14.67,14.39,14.58,4904700,11.478763
"7",14.61,14.69,14.47,14.54,5542200,11.447272
"8",14.59,14.66,14.52,14.66,5502700,11.541747
"9",14.65,14.67,14.16,14.2,7229800,11.179591
"10",14.18,14.31,14.05,14.12,4269600,11.116608
"11",14.05,14.13,13.83,13.87,5518600,10.919784
"12",13.93,14.02,13.79,14.01,5471900,11.030005
"13",13.98,14.03,13.74,13.78,6873200,10.848927
"14",13.68,13.75,13.5,13.53,7713700,10.652103
"15",13.59,13.8,13.49,13.5,7137500,10.628485
"16",13.48,13.69,13.27,13.52,5699000,10.644231
"17",13.65,13.66,13.27,13.36,3984300,10.518263
"18",13.64,13.67,13.34,13.42,11870300,10.565501
"19",13.41,13.83,13.4,13.81,3922000,10.872547
"20",13.78,13.94,13.52,13.72,5613700,10.80169
"21",13.74,13.89,13.68,13.88,2873900,10.927657
"22",13.8,14.25,13.8,14.11,6131500,11.108734
"23",14.25,14.34,14.05,14.11,7569800,11.108734
"24",14.08,14.13,13.99,14.09,3031800,11.092989
"25",14.08,14.23,13.84,14.15,5881600,11.140226
"26",14,14.05,13.47,13.63,8585500,10.730833
"27",13.64,13.89,13.56,13.78,4741500,10.848927
"28",13.69,14.09,13.65,14.08,3644300,11.085116
"29",14.15,14.15,13.6,13.63,5038200,10.730833
"30",13.79,13.98,13.71,13.93,3532500,10.967022
"31",13.93,14.06,13.69,14.05,4556300,11.061497
"32",14.14,14.24,14.01,14.18,3072200,11.163846
"33",14.22,14.35,14.02,14.2,5113400,11.179591
"34",14,14.2,13.87,13.96,2788300,11.111932
"35",14.01,14.12,13.77,13.84,6237000,11.016414
"36",13.8,13.9,13.77,13.84,3187300,11.016414
"37",13.96,13.99,13.73,13.9,3924500,11.064173
"38",13.88,13.92,13.69,13.75,4412400,10.944775
"39",13.79,13.82,13.63,13.67,2473800,10.881097
"40",13.62,13.71,13.61,13.68,3015200,10.889057
"41",13.64,13.71,13.42,13.57,3241900,10.801498
"42",13.68,13.7,13.51,13.68,2346800,10.889057
"43",13.62,13.89,13.57,13.75,5012100,10.944775
"44",13.64,13.65,13.38,13.4,3489900,10.666181
"45",13.25,13.41,13.2,13.25,3588600,10.546784
"46",13.21,13.36,13.15,13.22,2285600,10.522904
"47",13.22,13.36,13.12,13.36,2779100,10.634342
"48",13.42,13.58,13.35,13.48,2640800,10.72986
"49",13.46,13.5,13.35,13.43,3072700,10.690061
