"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"1",178.899994,181.610001,176.559998,181.240005,1239000,181.240005
"2",178.949997,184.440002,178.380005,183.910004,921300,183.910004
"3",186.330002,187.600006,183.899994,184.139999,975500,184.139999
"4",186.490005,187.380005,184.160004,185.770004,908700,185.770004
"5",192.990005,198.800003,192.720001,196.410004,2239500,196.410004
"6",198.869995,199.5,193.009995,195.259995,1329000,195.259995
"7",195.5,195.630005,191.589996,193.089996,1426000,193.089996
"8",196.860001,197.220001,187.619995,189.25,1411600,189.25
"9",189.860001,194.710007,188.580002,188.949997,1200800,188.949997
"10",189.300003,190.410004,185.419998,188.25,811500,188.25
"11",187.960007,190.970001,184.009995,185.110001,1209800,185.110001
"12",184.240005,192.990005,184.229996,191.990005,1230000,191.990005
"13",192.259995,193.729996,186.669998,187.929993,976100,187.929993
"14",184.25,185.529999,179.190002,180.289993,1348200,180.289993
"15",179.580002,183.949997,175.660004,176.539993,1310800,176.539993
"16",176.660004,182.440002,173.75,182.029999,1463300,182.029999
"17",181.229996,181.229996,175.75,176.410004,1422900,176.410004
"18",179.139999,183,176.990005,181.5,1489300,181.5
"19",182.270004,190.839996,181.270004,190.729996,1466700,190.729996
"20",193.699997,199.949997,193,199.279999,1949400,199.279999
"21",199.75,204.600006,196.699997,204.089996,1748400,204.089996
"22",204.139999,205.520004,201,204,1006600,204
"23",207.100006,218.990005,205.910004,216.320007,2259900,216.320007
"24",216.5,216.5,211.139999,215.350006,1376500,215.350006
"25",214.339996,223.300003,212.350006,222.610001,1740900,222.610001
"26",223.169998,225,216.5,218.210007,1555800,218.210007
"27",218.820007,222.399994,217.550003,220.050003,984800,220.050003
"28",216.039993,221.850006,216.029999,221.639999,1048500,221.639999
"29",223.270004,224.690002,217.619995,218.429993,917200,218.429993
"30",221.559998,228.5,221.25,227.919998,1094700,227.919998
"31",225.5,228.759995,223.699997,228.639999,1067900,228.639999
"32",228.800003,231.860001,226.330002,231.550003,679100,231.550003
"33",232.639999,234.449997,223.880005,224.029999,1236100,224.029999
"34",223.949997,227.929993,221.589996,224.070007,745400,224.070007
"35",224,226.490005,217.720001,224.190002,921700,224.190002
"36",222.770004,227.350006,220,224.399994,1096800,224.399994
"37",226.899994,230,225.339996,227.380005,850000,227.380005
"38",227.509995,234.399994,226.149994,230.669998,2660200,230.669998
"39",272.290009,286.850006,272.23999,281.299988,6827000,281.299988
"40",279.48999,292.670013,277,292.670013,2902500,292.670013
"41",289.950012,298.98999,288.690002,295.25,3189000,295.25
"42",296.600006,296.700012,290.01001,292.730011,1457800,292.730011
"43",289.25,295.869995,287.230011,294.01001,1494900,294.01001
"44",289.5,291.820007,285.350006,289.100006,1228800,289.100006
"45",287,300.850006,285.690002,299.600006,1739000,299.600006
"46",299.5,301.980011,294.48999,297.190002,1157300,297.190002
"47",295.339996,299.200012,293,294.519989,972300,294.519989
"48",297.950012,307.5,296.059998,303.570007,1983900,303.570007
"49",302.970001,309.459991,296.76001,297.630005,1513400,297.630005
"50",296.820007,308.950012,293.880005,299.470001,1219600,299.470001
"51",298.549988,303.209991,296.450012,302.359985,923000,302.359985
"52",304.100006,306.73999,299.51001,299.820007,908900,299.820007
"53",295.890015,296.109985,290,291.799988,1373600,291.799988
"54",289.410004,296.98999,288.299988,294.899994,1085900,294.899994
"55",296.290009,296.5,285.790009,285.790009,992300,285.790009
"56",287.5,298,283.109985,297.679993,1241600,297.679993
"57",297.529999,297.619995,289.440002,289.679993,659800,289.679993
"58",288,294.799988,287.799988,291.480011,817700,291.480011
"59",297.570007,306.839996,294.019989,306.839996,1280800,306.839996
"60",306.850006,314.630005,306.170013,311.279999,936900,311.279999
"61",315,318,311.350006,313.850006,921000,313.850006
"62",313.98999,315.470001,311.109985,311.549988,733800,311.549988
"63",314.440002,328.769989,314.070007,328.769989,1660800,328.769989
"64",332.890015,333.73999,320.75,323.799988,1416600,323.799988
"65",324.829987,328.869995,322.570007,323.149994,756700,323.149994
"66",326,330.899994,323.25,330.299988,870400,330.299988
"67",330.73999,336.579987,327.230011,334.769989,1186800,334.769989
"68",334.73999,334.880005,329.649994,332.059998,998100,332.059998
"69",331.529999,333.880005,327.799988,332.380005,626200,332.380005
"70",333.170013,334.959991,326.25,334.950012,1298500,334.950012
"71",339.609985,349.970001,339.609985,347.459991,1898700,347.459991
"72",347.75,347.75,338.559998,341.019989,1275800,341.019989
"73",343,343.950012,336.149994,338.149994,824700,338.149994
"74",335.600006,343.339996,333.549988,337.200012,985800,337.200012
"75",344.350006,346.679993,341,344.269989,931700,344.269989
"76",346.320007,348.570007,340.890015,345.160004,829100,345.160004
"77",345.179993,350.820007,339.380005,349.929993,1126300,349.929993
"78",348.170013,352,345.220001,348.130005,576200,348.130005
"79",354,358.23999,342.73999,348.339996,1241700,348.339996
"80",351.600006,351.609985,334,337.820007,1660000,337.820007
"81",337.209991,340.940002,328.109985,331.640015,960700,331.640015
"82",336.269989,344.940002,334.029999,344.940002,1206000,344.940002
"83",343.059998,343.100006,329.899994,332.690002,1138100,332.690002
"84",334.019989,334.98999,325,330.859985,1050600,330.859985
"85",336.589996,343.890015,334.299988,340.899994,1283200,340.899994
"86",340.720001,341.98999,331.329987,332.350006,983800,332.350006
"87",332.630005,336.429993,330.070007,336.179993,1160800,336.179993
"88",343.98999,345.980011,338.769989,341.040009,1267900,341.040009
"89",340.149994,350.290009,337.470001,349.059998,1378000,349.059998
"90",354.859985,357.890015,351.040009,354.600006,1398500,354.600006
"91",353.380005,357.279999,350.059998,353.76001,760500,353.76001
"92",348.609985,352.480011,342.049988,345.51001,913100,345.51001
"93",348.950012,351.5,342.950012,347.570007,819200,347.570007
"94",348.98999,349.600006,341.23999,343.700012,1224000,343.700012
"95",344.899994,364.929993,344.049988,363.5,1512900,363.5
"96",367,375.5,364,371.929993,1331400,371.929993
"97",370.459991,374.98999,369,374.440002,1034300,374.440002
"98",373.950012,379.579987,371.950012,372.5,1047700,372.5
"99",375.149994,375.839996,365.299988,367.579987,813000,367.579987
"100",369.51001,383.109985,369,376.809998,1422300,376.809998
"101",381.100006,381.700012,371,374.040009,877400,374.040009
"102",377.190002,382.98999,375.100006,381.190002,913100,381.190002
"103",382,383,374.799988,379.98999,1304100,379.98999
"104",386.410004,387.950012,376.899994,380.119995,1243800,380.119995
"105",381.450012,388.880005,380.200012,388.869995,1042600,388.869995
"106",391.279999,393.329987,384.25,388.579987,2491300,388.579987
"107",421,428.100006,419,420.649994,3451700,420.649994
"108",421.559998,423.899994,411.450012,419.070007,1303300,419.070007
"109",414.410004,421.390015,413.75,419.570007,1056400,419.570007
"110",416.329987,418,405.320007,414.929993,1297500,414.929993
"111",415.130005,415.450012,406,407.429993,757800,407.429993
"112",404.350006,407.130005,398.179993,399,1035000,399
"113",399.279999,408.399994,395.790009,404.679993,1082000,404.679993
"114",410,415.25,408.76001,410.649994,718700,410.649994
"115",410.700012,413.570007,408.890015,409.589996,694700,409.589996
"116",408.230011,420.890015,406.649994,420.420013,1024100,420.420013
"117",414.799988,416.970001,405.140015,407.850006,1083900,407.850006
"118",413.98999,415.950012,410.209991,411.23999,806800,411.23999
"119",408.540009,412.5,407.040009,410.869995,394700,410.869995
"120",409.690002,410.070007,401.809998,404.660004,987000,404.660004
"121",400,401.429993,392.049988,394.049988,1706000,394.049988
"122",402.429993,410.5,402.100006,403.100006,1026400,403.100006
"123",402.570007,407.48999,398.179993,402.98999,877000,402.98999
"124",399,414.920013,398.149994,414.109985,1088500,414.109985
"125",416.690002,423.190002,416.209991,417.160004,908800,417.160004
"126",425.429993,425.980011,412.100006,412.929993,888200,412.929993
"127",413.630005,416.529999,409.179993,416.029999,585300,416.029999
"128",419.959991,420.98999,411.51001,415.149994,523700,415.149994
"129",414.329987,423.700012,413.5,419.970001,900900,419.970001
"130",422.570007,422.579987,411.5,412,1086700,412
"131",412.01001,412.779999,397.079987,400.23999,1180000,400.23999
"132",397.570007,406.429993,395.269989,398.880005,748000,398.880005
"133",398.709991,404.5,396,400.279999,657100,400.279999
"134",400.529999,405.279999,399.609985,400.640015,1312500,400.640015
"135",402.410004,408.200012,392.899994,405.329987,1336400,405.329987
"136",405.730011,409.910004,401.420013,407,645800,407
"137",415.089996,420.859985,413.809998,416.170013,1097000,416.170013
"138",416.600006,416.899994,410.140015,413.190002,597200,413.190002
"139",410.089996,412.959991,404.200012,408.23999,605100,408.23999
"140",409.51001,409.809998,403.640015,404.799988,419700,404.799988
"141",405.119995,408.309998,402.579987,405.700012,536200,405.700012
"142",404.920013,407.5,400.109985,404.269989,433200,404.269989
"143",403.070007,403.589996,399.179993,399.549988,583900,399.549988
"144",402.25,415.98999,402.25,415.98999,1323200,415.98999
"145",415.73999,417.619995,408.299988,409.380005,1088300,409.380005
"146",410.640015,434.950012,410.640015,433.600006,2406400,433.600006
"147",433.959991,441.540009,430.089996,437.320007,1634500,437.320007
"148",439.200012,441.890015,434.450012,440.589996,1098800,440.589996
"149",437.790009,441.5,435.149994,440.559998,616100,440.559998
"150",442.799988,443.190002,429.130005,431.209991,1445600,431.209991
"151",433.23999,435.470001,431.73999,434.23999,585900,434.23999
"152",435.230011,440.600006,433.420013,439.51001,616000,439.51001
"153",438.130005,439.480011,435,437.98999,789700,437.98999
"154",437.209991,441.5,437.209991,440.910004,693000,440.910004
"155",440.109985,440.910004,429.549988,432.029999,826700,432.029999
"156",429.779999,429.779999,416,424.220001,1425800,424.220001
"157",425.309998,431.01001,424.350006,425.600006,1137100,425.600006
"158",425.040009,426.859985,417.320007,423.799988,706500,423.799988
"159",420.450012,428.859985,418.799988,428.859985,724300,428.859985
"160",428.209991,428.970001,421.019989,422.700012,911400,422.700012
"161",423.630005,439.170013,423.410004,437.140015,1118600,437.140015
"162",435.630005,439,424,425.309998,1278300,425.309998
"163",425.399994,429.869995,421.76001,428.519989,706200,428.519989
"164",432,444.950012,431.940002,437.929993,1033100,437.929993
"165",435.339996,441.790009,435.320007,437.190002,559600,437.190002
"166",435.480011,441,435.25,435.98999,778300,435.98999
"167",436.980011,440,433.029999,433.429993,1114200,433.429993
"168",436,441.619995,431.059998,437.200012,951700,437.200012
"169",435.940002,443.399994,435.269989,442.75,801500,442.75
"170",441.959991,459.100006,440.440002,451.109985,1364500,451.109985
"171",449.690002,456.5,445.220001,455.429993,1100100,455.429993
"172",450.730011,457.730011,448.549988,455.390015,1167300,455.390015
"173",458,459.570007,453.529999,457.01001,666900,457.01001
"174",454,464.470001,452.540009,457.200012,888200,457.200012
"175",457.850006,461.600006,455.820007,458.040009,658500,458.040009
"176",457.790009,462.350006,453.950012,455.269989,709700,455.269989
"177",455.5,457.579987,446.459991,448.929993,968500,448.929993
"178",443.579987,444.910004,430.299988,433.779999,1333300,433.779999
"179",433.01001,438.880005,416,425.98999,2583500,425.98999
"180",466.609985,469.399994,453.109985,462.339996,4461500,462.339996
"181",465.940002,465.970001,459.51001,460.029999,1229800,460.029999
"182",460.75,463.98999,450.230011,453.880005,1332900,453.880005
"183",450,452.23999,440.809998,445.230011,1795200,445.230011
"184",443.269989,454.48999,443.01001,449.179993,1300100,449.179993
"185",453.75,464.799988,453.75,464.790009,1545700,464.790009
"186",462.869995,469.73999,461.559998,469.130005,1346800,469.130005
"187",470,474.73999,459.26001,466.690002,1450000,466.690002
"188",464.549988,471.700012,460.109985,469.079987,1273500,469.079987
"189",464.670013,474.359985,464.670013,468.519989,1126900,468.519989
"190",461.26001,468.690002,457.220001,464.410004,1325900,464.410004
"191",462.200012,466.76001,457.299988,463.190002,925500,463.190002
"192",459.209991,464.5,455.440002,463.609985,897000,463.609985
"193",451.630005,464.350006,451.25,461.339996,1221600,461.339996
"194",459.119995,466.529999,450,455.959991,1317100,455.959991
"195",462.5,462.5,451.769989,452.190002,915500,452.190002
"196",456.880005,457.790009,448.5,449.540009,1352500,449.540009
"197",453,458.470001,443.119995,456.929993,1032900,456.929993
"198",458,462.190002,448.720001,455.700012,1331700,455.700012
"199",454.549988,467.98999,450.059998,466.26001,1174700,466.26001
"200",470.519989,478,468,476.01001,1191600,476.01001
"201",480.130005,490.390015,478.149994,487,1236100,487
"202",488.470001,491.359985,483.98999,483.98999,771400,483.98999
"203",482.839996,493.440002,481,491.690002,981900,491.690002
"204",495.01001,506.690002,493.630005,504,1237900,504
"205",503.019989,509,500.600006,506.440002,1087800,506.440002
"206",508.179993,515.640015,507.829987,513.849976,1393700,513.849976
"207",515.210022,518.679993,509.5,518.590027,883700,518.590027
"208",516.650024,522,514.809998,516.940002,710500,516.940002
"209",520,521,503.540009,506.269989,1306900,506.269989
"210",506.380005,511.850006,502.220001,508.859985,956500,508.859985
"211",514,515.97998,504.549988,506.820007,927000,506.820007
"212",507.859985,512.5,500.470001,512.450012,1074700,512.450012
"213",509.98999,515,505.5,512.140015,946000,512.140015
"214",514.25,516.299988,509.5,514.809998,833500,514.809998
"215",511.790009,514,508.01001,512.650024,959900,512.650024
"216",512.880005,520.340027,509.350006,520.070007,933200,520.070007
"217",517.280029,517.849976,507.549988,516.780029,1016700,516.780029
"218",517,525.570007,512.669983,525.530029,821200,525.530029
"219",530.599976,537,530.02002,531.349976,1011300,531.349976
"220",533.140015,544.27002,530.359985,543.950012,901600,543.950012
"221",544.799988,547.909973,542.22998,544.309998,567400,544.309998
"222",544.940002,546.200012,532.369995,537.690002,809400,537.690002
"223",538.659973,544.559998,534.799988,539.450012,729300,539.450012
"224",538.869995,551.169983,537.580017,550.030029,832200,550.030029
"225",550.22998,556.27002,545.950012,547.01001,1132200,547.01001
"226",551.820007,561.880005,551.219971,555.650024,1228500,555.650024
"227",556.469971,561,537.030029,540.109985,1200000,540.109985
"228",539.98999,544.22998,528,537.559998,1139700,537.559998
"229",535.5,545.5,531.179993,533.969971,2300000,533.969971
"230",530.5,540.929993,518.099976,519.030029,3351900,519.030029
"231",519.25,532,517.580017,529.200012,1230100,529.200012
"232",531.299988,531.919983,524.280029,528.5,1246900,528.5
"233",528.5,530.150024,518,520.98999,818300,520.98999
"234",520.5,527.039978,514.099976,523.960022,990000,523.960022
"235",524.340027,530.679993,520.5,520.609985,842400,520.609985
"236",518.01001,519.330017,498.609985,503.380005,1466700,503.380005
"237",499.859985,505.390015,493.670013,504.399994,1283700,504.399994
"238",505.100006,521.01001,502.790009,518.380005,1290800,518.380005
"239",519.869995,527.5,519.22998,522.099976,823800,522.099976
"240",521.169983,525.98999,519.599976,520.080017,764400,520.080017
"241",512.950012,513.580017,501.040009,501.660004,1400000,501.660004
