"","RAI.Open","RAI.High","RAI.Low","RAI.Close","RAI.Volume","RAI.Adjusted"
"1",52.189999,52.700001,52.099998,52.490002,2597200,20.271924
"2",52,52.060001,51.060001,52.049999,2860000,20.101993
"3",52.32,52.48,51.91,51.970001,3320400,20.071097
"4",52.43,52.790001,52.139999,52.630001,3012400,20.325992
"5",52.330002,52.59,52.150002,52.34,3248000,20.213993
"6",52.549999,52.880001,52.360001,52.5,3556400,20.275785
"7",52.5,53.18,52.5,52.759998,4028600,20.376198
"8",53.16,53.439999,52.799999,52.959999,3742600,20.453439
"9",52.98,53.389999,52.240002,52.259998,3215400,20.183095
"10",52.279999,52.650002,52.099998,52.34,2817600,20.213993
"11",52.240002,52.470001,51.709999,51.790001,2950400,20.00158
"12",51.790001,52.099998,51.23,51.369999,3459600,19.839373
"13",51.580002,54.110001,51.369999,53.450001,7653400,20.642681
"14",52.93,53.279999,52.049999,52.259998,4764200,20.183095
"15",52.299999,52.720001,51.869999,52.119999,4266400,20.129027
"16",52.209999,52.310001,51.470001,52.18,2712400,20.1522
"17",52.139999,52.73,51.900002,52.439999,2051200,20.252612
"18",52.779999,53.299999,52.549999,53.080002,2627000,20.499785
"19",53.110001,54.029999,52.82,53.959999,2633800,20.839645
"20",54.220001,55.459999,53.91,55.419998,4128400,21.403504
"21",55.27,55.549999,54.98,55.459999,2453600,21.418953
"22",55.099998,55.860001,55.099998,55.310001,2146400,21.361023
"23",55.799999,55.91,55.27,55.369999,2272400,21.384195
"24",55,55.68,54.900002,55.68,1944400,21.503919
"25",55.57,56.040001,55.5,55.98,2027800,21.61978
"26",55.779999,55.959999,55.09,55.169998,3065400,21.306953
"27",55.450001,55.970001,55.040001,55.880001,3177400,21.58116
"28",55.470001,56.52,55.349998,56.5,2803200,21.820607
"29",56.540001,56.66,55.529999,55.82,2592400,21.557987
"30",56.91,56.93,55.869999,56.720001,3405800,21.905573
"31",56.810001,57.099998,56.57,57.080002,2892200,22.044607
"32",57.18,57.68,57,57.68,3033800,22.27633
"33",57.98,58.34,57.709999,58.029999,3273400,22.411501
"34",57.939999,58.099998,57.509998,57.919998,3095800,22.369018
"35",58.040001,58.25,57.240002,57.400002,2772000,22.168193
"36",56.919998,58.02,56.52,57.82,2982200,22.330398
"37",58.459999,58.599998,57.529999,57.779999,3308400,22.31495
"38",57.700001,57.990002,57.360001,57.459999,2391400,22.191364
"39",57.450001,57.990002,57.259998,57.52,3240600,22.214537
"40",57.419998,57.82,57.27,57.380001,6241200,22.160468
"41",57.09,57.790001,57.060001,57.77,2509200,22.311088
"42",57.77,57.810001,57.200001,57.299999,2965800,22.129571
"43",57.02,57.599998,56.75,57.389999,3927200,22.16433
"44",56.720001,56.990002,56.43,56.529999,2823600,21.832193
"45",56,56.650002,55.889999,56.57,2746200,21.847641
"46",56.43,56.650002,56.169998,56.369999,1528200,21.7704
"47",56.130001,56.689999,55.799999,56.66,1984800,21.8824
"48",56.950001,57.82,56.450001,57.529999,2403400,22.218398
"49",57.630001,57.919998,57.02,57.810001,7689800,22.326537
"50",57.669998,57.669998,56.23,56.759998,2120600,21.92102
"51",56.25,56.720001,56.130001,56.639999,2245000,21.874676
"52",57.110001,57.290001,56.439999,56.459999,1942000,21.805158
"53",56.18,56.669998,56,56.490002,2206400,21.816746
"54",56.23,56.759998,55.830002,56.650002,5321600,21.878538
"55",56.880001,56.889999,55.75,55.759998,2632800,21.534814
"56",55.93,56.040001,54.799999,55.259998,3818600,21.341712
"57",55.259998,55.66,54.919998,54.959999,1973800,21.22585
"58",54.889999,54.950001,54.27,54.540001,2676600,21.063645
"59",55.07,56.009998,55.07,55.740002,2870800,21.527092
"60",55.869999,56.490002,55.869999,56.349998,2740800,21.762676
"61",56.68,57.439999,56.529999,57.439999,2301600,22.18364
"62",57.529999,57.790001,57.369999,57.52,3104600,22.214537
"63",56.639999,56.740002,56.25,56.619999,2447600,22.214537
"64",56.759998,57.040001,56.23,56.369999,2143200,22.116451
"65",56.540001,57.25,56.509998,57.029999,1649000,22.375398
"66",57.349998,57.400002,56.880001,57.02,1269800,22.371475
"67",57.02,58.080002,56.790001,57.889999,2902400,22.712815
"68",58.200001,59.07,58,58.900002,3026200,23.109083
"69",58.869999,58.869999,58.209999,58.43,2146600,22.924681
"70",58.790001,59.169998,58.41,58.41,1957400,22.916834
"71",58.580002,59.299999,58.459999,59.169998,1283600,23.215015
"72",59.82,59.880001,59.049999,59.43,2068200,23.317025
"73",59.200001,59.580002,59.130001,59.32,1975800,23.273867
"74",58.84,59.049999,58.34,58.490002,1900400,22.948222
"75",58.740002,59.700001,58.709999,59.380001,1113000,23.297408
"76",59.380001,59.560001,58.98,58.98,1342800,23.14047
"77",59.259998,59.799999,58.709999,59.709999,1548800,23.426881
"78",59.450001,60.169998,59.400002,59.919998,1990800,23.509273
"79",59.470001,60.439999,59.169998,59.389999,2587200,23.301331
"80",59.900002,59.900002,58.59,58.849998,2025200,23.089465
"81",58.880001,59.369999,58.740002,58.84,1600800,23.085542
"82",59.080002,60,58.959999,59.869999,5456800,23.489656
"83",59.91,60.200001,59.23,59.25,2617600,23.246403
"84",59.580002,59.740002,59.040001,59.34,1699800,23.281714
"85",59.5,59.599998,58.73,58.73,2268200,23.042384
"86",58.73,59.119999,58.099998,58.490002,1844400,22.948222
"87",58.43,59.200001,58.18,59.07,1726600,23.175781
