"","RHI.Open","RHI.High","RHI.Low","RHI.Close","RHI.Volume","RHI.Adjusted"
"1",23.450001,24.209999,23.34,24.209999,2143400,22.066861
"2",23.879999,24.24,23.83,24.139999,1440200,22.003058
"3",24.299999,24.5,23.879999,23.9,1351500,21.784304
"4",24.17,24.559999,23.84,24.51,1803300,22.340305
"5",24.33,24.639999,24.17,24.41,2258400,22.249157
"6",24.42,24.6,23.99,24.51,1578200,22.340305
"7",24.58,24.75,24.370001,24.719999,1799200,22.531714
"8",25.559999,25.700001,24.93,25.040001,3263500,22.823389
"9",25.059999,25.41,24.610001,24.66,2390600,22.477026
"10",24.76,25.1,24.09,24.969999,2451800,22.759584
"11",24.940001,25.389999,24.469999,24.98,2423500,22.768699
"12",25.09,25.41,24.84,25.200001,2672400,22.969225
"13",25.200001,25.290001,24.84,24.889999,2634900,22.686666
"14",24.41,24.42,23.629999,23.780001,3051100,21.674927
"15",23.74,24.25,23.450001,23.549999,3452100,21.465286
"16",23.530001,23.77,23.17,23.5,2270500,21.419713
"17",23.559999,23.629999,23.17,23.32,1095200,21.255647
"18",23.719999,24.129999,23.290001,23.469999,2178900,21.392368
"19",23.49,24.6,23.48,24.6,1552700,22.422338
"20",24.799999,25.07,24.5,24.75,1402600,22.559059
"21",24.790001,25.440001,24.709999,25.379999,1558400,23.133289
"22",25.23,25.51,24.969999,25,1285400,22.786929
"23",25.370001,25.969999,25.34,25.83,1311800,23.543455
"24",25.700001,25.77,25.08,25.219999,2163900,22.987453
"25",25.25,25.25,24.67,24.959999,1332500,22.750469
"26",24.799999,24.85,23.969999,24.040001,1360300,21.911911
"27",24.120001,24.370001,23.82,24.07,1284600,21.939255
"28",23.68,24.620001,23.629999,24.6,1030200,22.422338
"29",25.15,25.6,24.059999,24.290001,1618800,22.139781
"30",24.540001,25.74,24.5,25.67,2104400,23.397618
"31",25.67,26.34,25.469999,26.02,1785500,23.716636
"32",26.01,26.360001,25.870001,26.360001,978900,24.026538
"33",26.450001,26.49,26.049999,26.120001,1165100,23.807784
"34",26.139999,26.190001,25.469999,25.620001,1009200,23.352045
"35",25.790001,25.98,25.059999,25.17,1342500,22.94188
"36",24.77,25.290001,24.690001,25.18,1117200,22.950995
"37",25.65,25.92,25.290001,25.860001,1314300,23.5708
"38",25.83,26.030001,25.620001,25.709999,1428400,23.434077
"39",25.879999,26.5,25.77,26.4,1855500,24.062996
"40",26.139999,26.26,25.879999,25.98,958200,23.680176
"41",25.620001,25.629999,24.9,25.32,1244800,23.078601
"42",25.809999,25.870001,25.51,25.700001,774800,23.424963
"43",25.379999,25.48,24.860001,25.1,876200,22.878077
"44",24.5,24.5,23.620001,23.700001,1531700,21.602009
"45",23.200001,23.91,23.16,23.790001,1588300,21.684042
"46",23.59,24.01,23.48,23.719999,1464800,21.620237
"47",23.530001,23.780001,23.309999,23.629999,642000,21.538204
"48",23.879999,24.23,23.709999,24.030001,777000,21.902797
"49",23.950001,24.120001,23.690001,24,823900,21.875452
"50",23.82,23.82,23.01,23.18,1092400,21.128041
"51",22.940001,23.16,22.450001,22.82,1490200,20.799908
"52",22.51,22.76,21.870001,21.99,1867800,20.158218
"53",21.6,21.76,21.16,21.57,2863600,19.773205
"54",21.299999,22.1,21.23,22,1543800,20.167386
"55",22.15,22.360001,21.83,21.879999,1630100,20.057381
"56",22.09,22.379999,21.67,22.35,1084000,20.488231
"57",22.25,22.35,21.709999,21.75,777500,19.938211
"58",21.629999,21.959999,21.290001,21.58,1437200,19.782372
"59",21.99,22.709999,21.83,22.629999,1142200,20.744906
"60",22.620001,23.08,22.52,22.99,833400,21.074918
"61",23.41,24.25,23.4,24.030001,1673100,22.028286
"62",23.790001,23.889999,23.290001,23.33,1044700,21.386596
"63",23.35,23.74,23.33,23.440001,976200,21.487433
"64",23.860001,23.99,23.690001,23.860001,1025600,21.872447
"65",23.879999,24.040001,23.59,23.67,625600,21.698274
"66",23.99,24.33,23.860001,24.190001,796600,22.174958
"67",24.16,24.25,23.889999,24.02,786200,22.019119
"68",23.93,24.08,23.700001,24.040001,787100,22.037453
"69",23.98,24.030001,23.780001,23.93,812900,21.936616
"70",24.09,24.790001,23.98,24.540001,1825800,22.495803
"71",24.639999,25.16,24.5,25.08,1310700,22.99082
"72",25.040001,25.200001,24.870001,24.99,1105500,22.908317
"73",24.879999,25.24,24.43,24.73,1002800,22.669975
"74",24.440001,25.040001,24.219999,24.459999,1026300,22.422465
"75",24.860001,25.23,24.76,25.23,686400,23.128324
"76",25.23,25.23,24.790001,24.889999,623700,22.816646
"77",25.02,25.41,24.57,25.34,665800,23.229162
"78",25.190001,25.469999,25.08,25.389999,686600,23.274996
"79",25.559999,26.5,25.559999,26,2057900,23.834183
"80",26.219999,26.33,25.889999,26.07,1348800,23.898352
"81",26.030001,26.15,25.049999,25.379999,1180800,23.265829
"82",25.690001,26.4,25.59,26.360001,1144700,24.164195
"83",26.33,26.34,26.02,26.200001,972200,24.017524
"84",26.35,26.41,25.969999,26.08,778600,23.907519
"85",26.16,26.6,25.969999,26.530001,1157300,24.320034
"86",26.52,26.75,26.48,26.59,816900,24.375036
"87",26.51,26.93,26.190001,26.82,1019400,24.585876
"88",27,27.35,26.809999,27.219999,1019700,24.952556
"89",27.290001,27.290001,26.77,26.99,1234700,24.741715
"90",27.200001,27.200001,26.42,26.77,1383300,24.540042
"91",26.82,27.17,26.790001,27.1,1041700,24.842553
"92",26.59,26.85,26.15,26.540001,1644600,24.329202
"93",26.73,27.469999,26.73,27.15,2302900,24.888387
"94",27.42,27.9,26.799999,27.1,2249200,24.842553
"95",27.26,27.52,27.190001,27.360001,1362600,25.080895
"96",27.620001,27.879999,27.379999,27.440001,866000,25.154231
"97",27.129999,27.559999,26.91,27.4,1210100,25.117562
"98",27.24,27.42,26.83,27.209999,974100,24.943388
"99",27.440001,27.58,27.02,27.26,722000,24.989224
"100",27.18,27.440001,27.02,27.110001,755400,24.85172
"101",27.43,27.889999,27.17,27.309999,2116100,25.035059
"102",27.65,27.74,27.43,27.6,1593900,25.300902
"103",27.66,27.889999,27.440001,27.85,2106200,25.530077
"104",28.280001,28.35,27.889999,28.34,2195700,25.97926
"105",28.17,28.48,28.15,28.41,1983000,26.043428
"106",28.25,28.379999,27.9,28.110001,680100,25.768419
"107",28.15,28.209999,27.5,27.620001,706100,25.319237
"108",27.57,27.83,27.41,27.790001,745500,25.475076
"109",27.450001,27.91,27.360001,27.809999,775100,25.493408
"110",27.610001,27.74,27.26,27.620001,897000,25.319237
"111",27.809999,27.879999,27.57,27.58,906100,25.282568
"112",27.34,27.43,26.65,27,1226600,24.750882
"113",27.01,27.1,26.879999,26.99,899900,24.741715
"114",27.280001,27.780001,27.280001,27.540001,1199400,25.245901
"115",27.4,27.540001,26.99,27.16,1706800,24.897554
"116",26.92,27.48,26.92,27.35,753100,25.192309
"117",26.98,27.209999,26.68,27.120001,880000,24.980455
"118",27.389999,28.15,27.370001,28.129999,803900,25.910773
"119",27.790001,28.059999,27.66,27.85,260200,25.652863
"120",27.620001,28.030001,27.25,27.99,925700,25.781818
"121",27.639999,27.83,27.43,27.719999,946800,25.533118
"122",28.23,28.83,28.09,28.82,1182700,26.546338
"123",28.879999,30.110001,28.84,29.84,2590700,27.485868
"124",29.65,29.82,29.24,29.76,1119500,27.41218
"125",29.610001,29.99,29.610001,29.629999,1296600,27.292435
"126",30.01,30.049999,29.68,29.73,1524000,27.384546
"127",29.77,30.030001,29.67,29.9,703800,27.541134
"128",30.200001,30.389999,30.049999,30.17,897500,27.789834
"129",30.280001,30.32,29.98,30.200001,881100,27.817468
"130",30.32,30.42,30.15,30.16,714800,27.780623
"131",30.209999,30.700001,30.209999,30.57,951900,28.158277
"132",30.52,30.84,30.200001,30.299999,1034500,27.909577
"133",30.280001,30.32,29.790001,30.209999,1730600,27.826677
"134",30.27,30.52,30.07,30.42,1407100,28.020111
"135",30.469999,30.58,30.18,30.33,898200,27.937211
"136",30.530001,30.83,30.4,30.82,2044900,28.388554
"137",30.790001,30.93,30.639999,30.870001,616700,28.43461
"138",30.76,31,30.76,30.9,523400,28.462243
"139",30.82,30.93,30.719999,30.879999,340300,28.44382
"140",30.99,31.02,30.75,30.98,737500,28.535931
"141",30.98,31.040001,30.68,30.879999,592800,28.44382
"142",30.879999,30.98,30.85,30.9,618900,28.462243
"143",30.84,30.9,30.540001,30.6,467000,28.185911
"144",30.9,31.16,30.75,30.959999,858500,28.517509
"145",30.950001,30.950001,30.209999,30.450001,975100,28.047745
"146",30.379999,31.629999,30.309999,31.59,1637900,29.097808
"147",31.65,31.879999,31.43,31.77,1436300,29.263607
"148",31.780001,32,31.620001,31.73,1484700,29.226762
"149",31.540001,32.09,31.219999,31.98,1088300,29.457039
"150",32.07,32.560001,32.040001,32.369999,1365300,29.816271
"151",32.689999,33.119999,32.490002,32.970001,1387600,30.368938
"152",32.869999,33.07,32.810001,32.880001,1035000,30.286038
"153",32.849998,33.09,32.77,33.049999,904400,30.442625
"154",33.009998,33.860001,33.009998,33.849998,1222200,31.179511
"155",34.07,34.130001,32.900002,33.02,2537100,30.414993
"156",32.950001,33.259998,32.509998,32.82,1774000,30.23077
"157",33.16,33.27,32.419998,32.860001,1283000,30.267616
"158",32.799999,33.369999,32.5,33.330002,1221600,30.700538
"159",33.16,33.849998,33.16,33.830002,1215400,31.161092
"160",33.900002,34.259998,33.41,33.689999,1657800,31.032134
"161",32.52,32.52,31.040001,31.559999,4851200,29.070174
"162",31.639999,31.639999,30.59,30.77,2536300,28.342499
"163",30.84,31.379999,30.67,31.360001,1826200,28.885953
"164",31.57,31.91,31.42,31.790001,1370200,29.28203
"165",31.59,31.98,31.33,31.82,1109200,29.309662
"166",31.959999,32.849998,31.959999,32.759998,2565900,30.175503
"167",32.82,33.630001,32.209999,33.610001,1554900,30.958447
"168",33.599998,34.16,33.470001,33.490002,1557200,30.847915
"169",33.560001,33.59,33.279999,33.57,1134800,30.921602
"170",33.450001,33.580002,33.18,33.419998,1162000,30.783434
"171",33.119999,33.48,33.049999,33.240002,1460100,30.617638
"172",33.200001,33.360001,33.130001,33.25,1253100,30.626847
"173",33.209999,33.209999,32.720001,32.830002,1269000,30.239983
"174",32.68,32.75,32.150002,32.5,982800,29.936016
"175",32.560001,32.77,32.400002,32.599998,793200,30.028125
"176",32.490002,32.650002,32.330002,32.509998,836800,29.945226
