"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"1",51.27,52.830002,51.27,52.700001,1302600,47.199538
"2",52.009998,53.16,51.990002,52.880001,1467600,47.360752
"3",53.220001,53.630001,51.57,51.759998,1575400,46.357647
"4",52.48,54.169998,52.16,54.099998,1077000,48.453414
"5",53.669998,54.509998,53.560001,54.040001,658800,48.399679
"6",54.220001,54.220001,53.029999,53.82,712200,48.20264
"7",53.98,54.080002,53.540001,53.830002,826200,48.211598
"8",54.799999,55.669998,53.5,53.950001,951000,48.319072
"9",53.950001,54.450001,52.07,52.209999,834600,46.76068
"10",52.209999,52.560001,51.25,52.009998,919200,46.581554
"11",51.939999,52.09,50.75,50.970001,792200,45.650104
"12",51.119999,52.139999,50.400002,52.139999,3432100,46.697986
"13",51.849998,52.349998,51.279999,51.580002,993900,46.196437
"14",50.599998,50.669998,48.630001,49.110001,1745400,43.984238
"15",48.869999,50.049999,48.779999,49.09,1605700,43.966325
"16",48.990002,49.380001,47.790001,49.080002,1426100,43.95737
"17",49.200001,49.830002,49.029999,49.369999,1731300,44.217099
"18",49.709999,50.48,48.630001,49.16,1097700,44.029018
"19",49.439999,50.799999,49.139999,50.700001,1421200,45.408285
"20",51.509998,51.73,50.810001,51.66,688400,46.268086
"21",51.790001,52.139999,51.400002,52.02,592900,46.590512
"22",51.650002,52.130001,51.119999,51.389999,464600,46.026266
"23",52.07,52.93,51.950001,52.669998,535100,47.172667
"24",52.330002,52.68,51.82,52.529999,797100,47.04728
"25",52.619999,52.66,51.150002,51.82,888400,46.411386
"26",51.48,51.529999,50.23,50.490002,876000,45.220204
"27",50.73,51.18,50.049999,50.959999,626600,45.641146
"28",50.110001,51.790001,49.939999,51.740002,1076200,46.339737
"29",52.16,52.459999,51.049999,51.450001,1028600,46.080005
"30",52.450001,54.110001,52.450001,53.23,1278100,47.67422
"31",53.119999,54.77,53,54.57,742600,48.87436
"32",54.669998,55.810001,54.540001,55.779999,702800,49.958068
"33",56.490002,56.490002,55.77,55.959999,1582600,50.119281
"34",55.299999,55.419998,53.790001,54.529999,1647400,48.838534
"35",55.060001,55.43,54.240002,54.610001,1256200,48.910186
"36",53.860001,54.650002,53.490002,54.150002,728300,48.498198
"37",55.25,55.790001,54.59,55.650002,946500,49.841638
"38",55.310001,55.689999,54.98,55.32,879300,49.54608
"39",55.380001,56,55.189999,55.919998,1031700,50.083455
"40",55.59,56.799999,55.41,56.360001,985500,50.477533
"41",55.66,56.349998,55.07,56.119999,672600,50.262581
"42",56.25,56.740002,55.540001,56.73,1044500,50.808914
"43",56.110001,56.77,55.139999,56.52,1022600,50.620833
"44",55.200001,55.200001,52.040001,52.509998,1818900,47.029367
"45",51.09,52.59,50.68,51.360001,1572000,46.308059
"46",51.049999,52.150002,51.049999,51.470001,1406900,46.40724
"47",50.830002,51.639999,50.619999,50.900002,1232600,45.893307
"48",51.75,52.450001,51.580002,51.84,1683700,46.740845
"49",51.709999,52.759998,51.48,52.5,1593800,47.335925
"50",52.07,52.25,50.880001,51.060001,1831800,46.037569
"51",50.66,50.849998,49.939999,50.57,1130000,45.595766
"52",50.82,51.060001,49.77,49.860001,1204900,44.955604
"53",49.240002,49.889999,48.349998,49.349998,1688400,44.495768
"54",48.700001,50.049999,48.68,49.880001,1653700,44.973638
"55",50.360001,51.369999,50.099998,50.77,2731300,45.776094
"56",51.259998,52.470001,50.099998,52.349998,1892100,47.200678
"57",52.07,52.18,51.060001,51.060001,1015300,46.037569
"58",50.700001,51.720001,50.34,51.139999,1411100,46.109698
"59",52.080002,53.490002,52.080002,53.43,1219000,48.174447
"60",53.540001,54.560001,53.41,54.560001,1089800,49.193297
"61",55.400002,55.759998,55.060001,55.470001,794800,50.013787
"62",55.139999,55.48,54.669998,54.790001,637900,49.400673
"63",54.900002,56.540001,54.900002,56.369999,1411400,50.825258
"64",57.25,57.259998,55.77,56.189999,820300,50.662963
"65",56.380001,57.77,56.380001,57.540001,1362100,51.880174
"66",58.299999,59.75,58.16,59.599998,1440100,53.737544
"67",59.43,60.139999,59.009998,59.549999,1899400,53.692462
"68",59.330002,59.52,58.849998,59.349998,992100,53.512134
"69",59.049999,59.889999,58.889999,59.400002,725100,53.557219
"70",59.540001,60.189999,59.27,59.950001,1146600,54.053118
"71",60.18,61.279999,59.799999,61.169998,700900,55.153113
"72",61.049999,61.450001,60.599998,60.73,868000,54.756394
"73",60.759998,61.439999,59.900002,60.25,794900,54.323609
"74",59.5,60.549999,59.41,59.740002,621800,53.863776
"75",60.799999,61.990002,60.799999,61.709999,728000,55.639997
"76",61.619999,61.619999,60.98,61.189999,431500,55.171146
"77",61.18,62.34,60.02,62.220001,968800,56.099834
"78",61.73,62.709999,61.73,62.439999,921400,56.298192
"79",62.75,63.27,61.290001,61.73,937300,55.658031
"80",62.060001,62.639999,60.970001,61.869999,1137800,55.784259
"81",61.779999,61.779999,60.080002,60.869999,842000,54.882623
"82",61.529999,62.869999,61.130001,62.549999,988600,56.397372
"83",62.299999,62.779999,61.630001,62.060001,836500,55.955572
"84",62.470001,62.470001,61.48,61.93,681700,55.838359
"85",61.959999,62.98,61.650002,62.639999,922700,56.47852
"86",62.619999,62.650002,61.959999,62.220001,703500,56.099834
"87",62.110001,62.299999,61.049999,62.07,646700,55.964587
"88",62.540001,63.18,62.189999,62.91,950200,56.721962
"89",62.959999,63.189999,61.700001,62.029999,902400,55.928521
"90",62.73,62.830002,61.34,61.919998,802700,55.82934
"91",61.970001,62.52,61.860001,62.360001,463000,56.226063
"92",61.200001,62.119999,60.599998,61.049999,940300,55.044917
"93",61.240002,62.639999,60.959999,62.16,836700,56.045735
"94",62.25,63.25,62.25,63.080002,933300,56.875242
"95",63.119999,63.119999,62.299999,62.709999,393900,56.541634
"96",63.41,64.260002,63.209999,63.84,840700,57.560485
"97",63.529999,63.790001,62.849998,63.32,619100,57.091633
"98",62.75,62.75,61.650002,62.630001,777900,56.469505
