"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"1",56.279999,57.580002,55.939999,57.470001,21406400,13.640738
"2",56.740002,58.060001,56.720001,57.330002,16787200,13.607508
"3",57.919998,57.919998,56.799999,56.970001,15680800,13.522061
"4",57.02,57.68,56.549999,57.580002,11816800,13.666847
"5",57.310001,57.82,57,57.450001,8982400,13.635991
"6",57.720001,57.990002,56.77,57.689999,17339200,13.692955
"7",57.900002,58.16,57.18,57.310001,14992000,13.602761
"8",57.810001,58.009998,56.009998,56.389999,10759200,13.384395
"9",56.380001,57.169998,55.119999,55.27,12636000,13.118559
"10",55.279999,55.790001,54.630001,55.41,12628800,13.151788
"11",55.130001,55.68,54.650002,55.060001,11067200,13.068715
"12",55.16,55.360001,54.400002,54.509998,14735200,12.938169
"13",54.610001,55.09,54.040001,54.669998,11171200,12.976146
"14",54.18,54.34,53.09,53.400002,13406400,12.674707
"15",53.189999,54.529999,53.169998,53.290001,16082400,12.648598
"16",53.18,54.990002,52.740002,54.75,22381600,12.995135
"17",54.93,55.509998,54.18,54.259998,15476000,12.878831
"18",54.810001,55.77,53.759998,54.650002,15699200,12.971399
"19",55,56.009998,54.400002,55.349998,22433600,13.137547
"20",55.25,55.259998,52.959999,54.029999,28260000,12.824239
"21",54.099998,54.240002,53.450001,54.09,10624800,12.838481
"22",53.98,54.880001,53.52,53.75,9932000,12.75778
"23",54.110001,54.540001,53.759998,54.299999,13305600,12.888325
"24",54.41,54.82,53.650002,54.209999,11600000,12.866963
"25",54.41,54.93,53.75,54.790001,11868000,13.004629
"26",54.650002,54.75,53,53.049999,15943200,12.591632
"27",53.209999,53.880001,53.150002,53.389999,10628800,12.672333
"28",52.709999,54.509998,52.560001,54.400002,12090400,12.912061
"29",54.509998,54.75,53.240002,53.470001,15063200,12.691322
"30",53.799999,55.09,53.66,54.849998,11410400,13.01887
"31",54.959999,55.759998,54.630001,55.650002,10055200,13.208754
"32",55.650002,55.959999,55,55.880001,9234400,13.263345
"33",55.82,55.91,53.630001,54.130001,21096800,12.847975
"34",53.959999,54.549999,53.049999,53.25,15504800,12.639103
"35",53.549999,53.790001,51.380001,52.34,20886400,12.423111
"36",51.91,52.869999,51.490002,52.66,15193600,12.499065
"37",52.990002,53.32,51.799999,52.650002,16098400,12.496691
"38",52.639999,52.869999,51.02,51.93,18542400,12.325796
"39",52.240002,52.93,52.09,52.91,13228800,12.558403
"40",52.209999,52.5,48.709999,50.619999,34404000,12.014862
"41",48.82,50.470001,48.82,50.220001,21520800,11.919921
"42",50.610001,51.68,50.540001,51.380001,13131200,12.195252
"43",51.139999,51.41,50.66,50.990002,10638400,12.102684
"44",50.5,50.540001,49.740002,49.799999,15200800,11.820232
"45",49.360001,50.029999,49,49.619999,12084000,11.777508
"46",49.09,49.889999,49.009998,49.029999,17690400,11.637469
"47",48.830002,49.740002,48.75,49.41,9420000,11.727664
"48",49.869999,50.150002,49.490002,49.669998,11271200,11.789375
