"","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume","SCHW.Adjusted"
"1",15.9,16.139999,15.81,16.120001,13317000,15.067299
"2",15.95,16.33,15.89,16.32,7838500,15.254237
"3",16.4,16.440001,15.81,15.85,11291000,14.81493
"4",15.91,16.030001,15.78,15.95,11605500,14.908399
"5",15.85,15.95,15.72,15.78,10691100,14.749501
"6",15.84,15.91,14.96,15.4,30660500,14.394316
"7",15.4,15.58,15.36,15.45,11504300,14.441051
"8",15.67,15.67,15.24,15.29,9890800,14.2915
"9",15.28,15.36,14.87,14.89,14298100,13.917622
"10",14.93,15.01,14.75,14.89,10622600,13.917622
"11",14.8,14.96,14.6,14.62,12311300,13.665254
"12",14.79,14.97,14.6,14.94,13949300,13.964356
"13",14.86,15.13,14.82,14.98,11236500,14.001744
"14",14.81,14.9,14.13,14.18,16982100,13.253988
"15",14.12,14.45,14.1,14.18,14111000,13.253988
"16",14.17,14.34,13.75,13.94,14949400,13.02966
"17",14.01,14.11,13.81,13.94,9858500,13.02966
"18",14.05,14.32,13.95,14.13,14624300,13.207253
"19",14.18,14.32,14.04,14.24,15296500,13.310069
"20",14.28,14.46,13.99,14.11,16136000,13.188559
"21",14.11,14.33,13.98,14.24,19988800,13.310069
"22",14.2,14.45,14.13,14.42,11934000,13.478315
"23",14.49,14.73,14.47,14.59,12610000,13.637213
"24",14.43,14.62,14.33,14.5,11170500,13.553091
"25",14.5,14.73,14.28,14.55,13107600,13.599826
"26",14.99,15.72,14.92,15.14,39722100,14.151296
"27",15.22,15.38,15.05,15.17,12891800,14.179337
"28",15,15.1,14.71,15.08,11981700,14.095214
"29",15.24,15.24,14.68,14.7,13091700,13.74003
"30",14.87,15.16,14.79,15.12,10707300,14.132602
"31",15.07,15.24,14.93,15.22,8287000,14.226072
"32",15.27,15.4,15.08,15.33,6871800,14.328888
"33",15.33,15.44,15.11,15.24,8583600,14.244765
"34",15.23,15.32,14.93,15,10195800,14.020438
"35",15.11,15.29,14.91,15.04,6954900,14.057826
"36",14.95,15.08,14.74,14.79,7683500,13.824152
"37",14.92,15.02,14.67,15,10790000,14.020438
"38",14.97,14.97,14.74,14.9,8638500,13.926969
"39",14.97,15.42,14.83,15.4,12272200,14.394316
"40",15.37,15.45,15.24,15.43,9392000,14.422358
"41",15.31,15.49,15.13,15.28,9398300,14.282153
