"","SE.Open","SE.High","SE.Low","SE.Close","SE.Volume","SE.Adjusted"
"1",20.1,20.57,20.1,20.549999,4341200,16.947984
"2",20.200001,20.629999,20.200001,20.620001,2511400,17.005715
"3",20.92,21.09,20.59,20.68,3590400,17.055198
"4",20.9,21.379999,20.889999,21.379999,2963900,17.632501
"5",21.23,21.450001,21.139999,21.32,2475000,17.583018
"6",21.9,21.9,21.200001,21.49,2725300,17.72322
"7",21.530001,21.77,21.379999,21.690001,4276900,17.888165
"8",21.959999,22.120001,21.48,21.6,3021300,17.81394
"9",21.719999,21.75,21.110001,21.23,3693600,17.508793
"10",21.18,21.24,20.77,21.02,3520800,17.335603
"11",20.790001,21.110001,20.66,20.76,2900300,17.121176
"12",20.790001,21.040001,20.620001,20.91,4506700,17.244883
"13",20.9,20.940001,20.639999,20.83,3552400,17.178906
"14",20.57,20.68,20.120001,20.25,4870000,16.700568
"15",20.25,20.51,20,20.07,3451600,16.552119
"16",20.1,20.299999,19.67,20.24,5928300,16.692321
"17",20.309999,20.59,20.120001,20.18,3049600,16.642838
"18",20.48,20.6,20.110001,20.35,7003400,16.783041
"19",20.35,20.92,20.35,20.92,4200500,17.253131
"20",21.1,21.309999,20.940001,21.23,2290000,17.508793
"21",21.27,21.360001,21.110001,21.32,1731300,17.583018
"22",21.24,21.76,21.190001,21.459999,2940600,17.698478
"23",21.66,21.76,21.43,21.469999,3192500,17.706726
"24",21.35,21.440001,21.1,21.219999,4264300,17.500546
"25",21.24,21.299999,20.950001,21.209999,3785900,17.492298
"26",21.110001,21.15,20.73,20.83,3413900,17.178906
"27",20.91,21.09,20.73,20.91,2389900,17.244883
"28",20.690001,21.25,20.559999,21.219999,4401700,17.500546
"29",21.280001,21.34,20.65,20.83,4226600,17.178906
"30",21.07,21.360001,21.059999,21.219999,3138800,17.500546
"31",21.24,21.299999,21.030001,21.23,3550300,17.508793
"32",21.16,21.530001,21.16,21.49,2686700,17.72322
"33",21.549999,21.65,21.35,21.450001,2976500,17.690232
"34",21.549999,21.59,21.09,21.120001,4934100,17.418075
"35",21.280001,21.360001,20.559999,20.690001,6961000,17.063445
"36",20.440001,20.84,20.4,20.790001,6192900,17.145918
"37",21.17,21.309999,21.040001,21.290001,3652300,17.558277
"38",21.219999,21.4,21.049999,21.24,2876800,17.51704
"39",21.33,21.58,21.200001,21.52,4176700,17.747962
"40",21.42,21.83,21.200001,21.790001,3768900,17.970637
"41",21.639999,22,21.59,21.93,4457800,18.086097
"42",22.07,22.110001,21.93,21.959999,2370800,18.110838
"43",21.77,21.889999,21.469999,21.809999,4547500,17.98713
"44",21.34,21.34,20.92,20.950001,3129300,17.478219
"45",20.700001,21.040001,20.65,20.92,2784400,17.45319
"46",20.9,21.34,20.780001,21.27,3765500,17.74519
"47",21.219999,21.219999,20.91,21.059999,2901900,17.569989
"48",21.25,21.68,21.16,21.620001,3356300,18.037189
"49",21.610001,21.610001,21.200001,21.389999,3267500,17.845303
"50",21.360001,21.370001,20.9,21.040001,2922100,17.553305
"51",20.860001,21.049999,20.77,20.98,2861300,17.503247
"52",21.07,21.209999,20.950001,21.049999,6434800,17.561646
"53",20.83,21.030001,20.690001,20.76,3571100,17.319705
"54",20.700001,20.969999,20.6,20.91,4105000,17.444847
"55",20.98,21.110001,20.5,20.629999,3316600,17.211248
"56",20.73,21,20.450001,20.98,4037200,17.503247
"57",20.940001,20.969999,20.49,20.5,2992700,17.102792
"58",20.48,20.629999,20.190001,20.34,6238300,16.969307
"59",20.57,21.120001,20.57,21.1,4795400,17.603361
"60",21.110001,21.33,20.969999,21.32,2549400,17.786903
"61",21.41,21.610001,21.370001,21.540001,2136800,17.970446
"62",21.4,21.469999,21.17,21.209999,1839300,17.695131
"63",21.200001,21.42,21.190001,21.290001,2256700,17.761876
"64",21.459999,21.5,21.18,21.190001,2868600,17.678447
"65",21.200001,21.57,21.200001,21.5,2927800,17.937074
"66",21.73,22.040001,21.66,21.91,3850400,18.27913
"67",21.93,22,21.700001,21.879999,2887500,18.254101
"68",21.809999,21.950001,21.610001,21.91,2845900,18.27913
"69",21.74,21.77,21.549999,21.74,2837800,18.137302
"70",21.809999,21.940001,21.549999,21.59,3467300,18.01216
"71",21.700001,22.1,21.57,22.059999,2484800,18.404272
"72",22.1,22.18,21.82,22.049999,2840700,18.395929
"73",22.08,22.24,21.85,21.870001,3002700,18.245759
"74",21.76,21.91,21.58,21.629999,2203200,18.04553
"75",21.860001,22.41,21.83,22.26,3117100,18.571129
"76",22.32,22.32,22.040001,22.07,2659300,18.412615
"77",22.18,22.549999,22.02,22.51,3114900,18.7797
"78",22.5,22.629999,22.32,22.5,2899800,18.771357
"79",22.610001,22.809999,22.33,22.549999,3240200,18.81307
"80",22.76,22.860001,22.450001,22.799999,3045400,19.021641
"81",22.780001,22.790001,22.370001,22.530001,2624500,18.796386
"82",22.719999,23.15,22.68,23.129999,3960300,19.296954
"83",23.139999,23.23,22.950001,23.07,2527600,19.246897
"84",23.209999,23.299999,23,23.17,2201700,19.330326
"85",23.26,23.5,23.110001,23.450001,1921800,19.563926
"86",23.48,23.629999,23.35,23.42,1622100,19.538897
"87",23.32,23.440001,23.129999,23.389999,1671800,19.513868
"88",23.559999,23.860001,23.48,23.629999,3744200,19.714095
"89",23.65,23.700001,23.299999,23.51,2161100,19.613982
"90",23.74,23.780001,23.42,23.6,2628000,19.689068
"91",23.65,23.860001,23.469999,23.82,4859200,19.872609
"92",23.459999,23.700001,23.190001,23.34,3166800,19.472154
"93",23.360001,23.67,23.360001,23.459999,2833500,19.572267
"94",23.51,23.83,23.360001,23.530001,2371600,19.630668
"95",23.610001,23.790001,23.57,23.780001,2360000,19.839239
"96",23.940001,24,23.709999,23.74,2739100,19.805867
"97",23.719999,23.83,23.549999,23.74,2522000,19.805867
"98",23.58,23.76,23.389999,23.59,3248300,19.680725
"99",23.780001,23.799999,23.5,23.639999,2351100,19.722438
"100",23.629999,23.83,23.48,23.77,2491500,19.830896
"101",23.959999,23.99,23.639999,23.790001,1721000,19.847582
"102",24,24.190001,23.9,24.16,2295200,20.156265
"103",23.950001,24.02,23.629999,23.99,3268400,20.014437
"104",24.26,24.66,24.219999,24.629999,2829200,20.548378
"105",24.65,24.77,24.469999,24.700001,2516900,20.606779
"106",24.549999,24.690001,24.33,24.540001,2799700,20.473294
"107",24.4,24.75,24.299999,24.42,2684900,20.582866
"108",24.41,24.49,24.120001,24.49,2268900,20.641867
"109",24.299999,24.48,24.200001,24.48,2476100,20.633438
"110",24.27,24.360001,23.98,24.110001,2076500,20.321577
"111",24.190001,24.48,24.16,24.25,2016200,20.439579
"112",24.1,24.110001,23.51,23.700001,3592500,19.976001
"113",23.709999,23.92,23.559999,23.709999,2497800,19.984428
"114",23.940001,24.17,23.84,23.99,2791000,20.220432
"115",23.99,24.049999,23.700001,24.049999,2529700,20.271004
"116",23.99,24.120001,23.68,24.120001,2155400,20.330006
"117",23.85,23.870001,23.5,23.709999,2264500,19.984428
"118",23.950001,24.07,23.85,24.040001,1829000,20.262577
"119",23.82,24.059999,23.74,23.84,1036800,20.094002
"120",23.709999,23.91,23.48,23.85,2659400,20.102431
"121",23.620001,23.940001,23.549999,23.77,2983000,20.035002
"122",24.17,24.620001,24.129999,24.440001,2844000,20.599724
"123",24.43,24.809999,24.4,24.76,2725100,20.869442
"124",24.73,24.799999,24.5,24.700001,5432800,20.81887
"125",24.73,24.83,24.58,24.59,2141600,20.726154
"126",24.780001,24.879999,24.48,24.52,2472900,20.667154
"127",24.690001,24.690001,24.360001,24.58,2218700,20.717725
"128",24.690001,24.76,24.379999,24.459999,2328600,20.61658
"129",24.5,24.639999,24.49,24.530001,2004800,20.675583
"130",24.9,25.129999,24.67,24.969999,2704500,21.046444
"131",25.059999,25.110001,24.76,24.83,2998200,20.928443
"132",24.82,24.870001,24.42,24.48,3177800,20.633438
"133",24.530001,24.6,24.290001,24.48,3187300,20.633438
"134",24.42,24.5,24.34,24.4,4583700,20.566009
"135",24.5,24.82,24.32,24.77,2880000,20.877871
"136",24.84,24.99,24.780001,24.940001,1759000,21.021159
"137",25,25.17,24.93,25.120001,1867300,21.172876
"138",25.120001,25.17,24.969999,25.07,1449900,21.130731
"139",25.02,25.190001,24.91,25.110001,1241100,21.164447
"140",25.18,25.24,25.07,25.219999,1263300,21.257161
"141",25.219999,25.34,25.190001,25.26,1471400,21.290877
"142",25.280001,25.450001,24.969999,24.99,2397800,21.063302
"143",24.91,25.120001,24.84,24.99,1656100,21.063302
"144",25.200001,25.25,25,25.040001,2340600,21.105446
"145",25.129999,25.209999,24.83,25.209999,3538900,21.248732
"146",25.16,25.290001,24.92,25.280001,2435100,21.307735
"147",25.309999,25.34,24.809999,24.860001,3544100,20.953729
"148",24.91,24.99,24.68,24.959999,2531600,21.038015
"149",24.77,24.77,24.440001,24.719999,2934500,20.835727
"150",24.700001,25.139999,24.620001,25.120001,3355000,21.172876
"151",25.25,25.379999,25.120001,25.219999,2427000,21.257161
"152",25.25,25.370001,24.73,24.809999,3726000,20.911585
"153",24.780001,25.07,24.67,25.01,2410500,21.080159
"154",25,25.25,25,25.120001,1654300,21.172876
"155",25.51,25.610001,25.01,25.120001,2730800,21.172876
"156",25.120001,25.389999,24.93,25.309999,3654000,21.33302
"157",25.51,25.6,25.4,25.48,3822200,21.476307
"158",25.459999,25.84,25.450001,25.77,4959600,21.72074
"159",25.73,25.870001,25.379999,25.59,2423300,21.569024
"160",25.66,26,25.549999,25.93,3295500,21.855599
"161",25.92,26.299999,25.82,26.049999,3042100,21.956743
"162",26.1,26.190001,25.66,25.700001,2587800,21.66174
"163",25.879999,26.25,25.85,26.23,2686100,22.108459
"164",26.309999,26.469999,26.25,26.41,2368100,22.260176
"165",26.25,26.48,26.209999,26.33,1939300,22.192747
"166",26.360001,26.530001,26.059999,26.190001,4515300,22.074745
"167",26.52,26.52,26.01,26.190001,4045400,22.074745
"168",26.290001,26.559999,26.200001,26.32,3241800,22.184318
"169",26.41,26.51,26.139999,26.34,2210500,22.201175
"170",26.190001,26.190001,25.82,25.889999,2656100,22.039433
"171",25.790001,25.92,25.51,25.76,3925900,21.928768
"172",25.75,25.950001,25.6,25.85,3103300,22.005383
"173",25.860001,26.049999,25.77,25.940001,2722000,22.081997
"174",25.879999,26.030001,25.66,25.940001,2199800,22.081997
"175",25.99,26.33,25.99,26.200001,2220800,22.303328
"176",26.16,26.57,26.16,26.459999,3764800,22.524658
"177",26.48,26.540001,26.23,26.25,3297300,22.345891
"178",26.01,26.299999,25.799999,25.92,4470800,22.064972
"179",25.98,26.26,25.93,26.09,3581500,22.209688
"180",26.040001,26.200001,25.82,26.1,4574700,22.218201
"181",26.18,26.360001,26.110001,26.360001,2270900,22.439532
"182",26.43,26.75,26.309999,26.75,3066800,22.771527
"183",26.83,26.870001,26.27,26.4,4399700,22.473582
"184",26.379999,26.52,26.129999,26.4,3704700,22.473582
"185",26.57,26.92,26.530001,26.84,2931100,22.848142
"186",26.85,26.99,26.719999,26.959999,3637700,22.950294
"187",26.969999,27.24,26.780001,26.98,3729300,22.967319
"188",26.99,27.120001,26.77,27.02,2726300,23.001371
"189",26.91,27.24,26.85,26.92,2405900,22.916244
"190",26.66,26.68,26,26.040001,4342800,22.167125
"191",25.76,26.34,25.76,26.219999,2731500,22.320352
"192",26.18,26.379999,26.049999,26.34,5521100,22.422506
"193",25.620001,26.02,25.370001,25.85,4141500,22.005383
"194",25.83,25.969999,25.16,25.48,4731400,21.690411
"195",25.91,26.08,25.74,26,3217400,22.133073
"196",26.26,26.290001,25.93,26.01,3237800,22.141586
"197",26.33,26.639999,26.16,26.57,2235300,22.618298
"198",26.530001,26.58,26.389999,26.51,2641900,22.567222
"199",26.49,26.610001,26.35,26.58,2248500,22.626811
"200",26.76,26.76,26.4,26.73,1695100,22.754501
"201",26.809999,27.129999,26.76,27.09,2302600,23.06096
"202",27.209999,27.33,26.84,26.860001,2135500,22.865168
"203",26.82,26.969999,26.639999,26.940001,2770600,22.933269
"204",27.139999,27.34,27,27.27,2186700,23.214189
"205",27.18,27.5,27.16,27.18,2924700,23.137574
