"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"1",20.52,20.75,20.299999,20.6,1101200,18.470044
"2",20.389999,20.91,20.33,20.85,1127400,18.694195
"3",21.049999,21.309999,20.870001,20.93,821500,18.765923
"4",21.030001,21.34,21.030001,21.34,1006400,19.133531
"5",21.129999,21.32,21.01,21.18,852100,18.990074
"6",21.27,21.379999,21.09,21.370001,907300,19.16043
"7",21.450001,21.540001,21.360001,21.52,1015200,19.29492
"8",21.83,21.860001,21.219999,21.4,880400,19.187327
"9",21.41,21.5,20.9,20.93,614200,18.765923
"10",20.92,21.09,20.65,20.889999,846100,18.730058
"11",20.870001,21.139999,20.6,20.65,764700,18.514874
"12",20.690001,20.809999,20.42,20.690001,872700,18.550739
"13",20.700001,20.790001,20.389999,20.43,762600,18.317621
"14",20.16,20.389999,19.9,20,1332700,17.932081
"15",19.940001,20.09,19.620001,19.719999,1733800,17.681031
"16",19.74,19.83,19.280001,19.59,1078900,17.564474
"17",19.65,19.66,19.34,19.49,832000,17.474813
"18",19.700001,19.860001,19.48,19.77,2096600,17.725863
"19",19.84,20.32,19.73,20.32,1259700,18.218994
"20",20.440001,20.690001,20.309999,20.68,937500,18.541772
"21",20.799999,20.93,20.68,20.85,628800,18.694195
"22",20.85,21.200001,20.809999,20.860001,732700,18.703161
"23",21.02,21.629999,21.02,21.57,907400,19.339749
"24",21.49,21.639999,21.290001,21.58,821300,19.348716
"25",21.6,21.870001,21.469999,21.809999,1073500,19.554934
"26",21.74,21.74,21.059999,21.120001,751900,18.936279
"27",21.190001,21.290001,21.030001,21.27,552600,19.070769
"28",21.07,21.879999,21.01,21.870001,1129800,19.608732
"29",22,22.040001,21.43,21.65,1093500,19.411478
"30",21.9,22.299999,21.860001,22.200001,762200,19.904611
"31",22.18,22.74,22.15,22.68,755800,20.33498
"32",22.74,23.049999,22.74,22.860001,1378300,20.496369
"33",23,23.059999,22.780001,22.959999,988400,20.586028
"34",22.67,22.959999,21.75,22.33,1933700,20.021169
"35",22.49,22.709999,21.65,21.860001,1835400,19.599765
"36",21.620001,21.860001,21.49,21.629999,1603800,19.393545
"37",21.879999,22.389999,21.879999,22.32,1160600,20.012202
"38",22.25,22.35,22.09,22.25,810300,19.94944
"39",22.33,22.52,22.26,22.49,770500,20.164625
"40",22.4,22.52,22.190001,22.4,1142200,20.083931
"41",22.24,22.360001,21.9,22.360001,1085200,20.048067
"42",22.5,22.709999,22.4,22.629999,482800,20.290149
"43",22.42,22.57,22.18,22.469999,846100,20.146693
"44",22.17,22.17,21.780001,21.790001,956800,19.537003
"45",21.5,21.860001,21.389999,21.690001,721600,19.447343
"46",21.59,21.790001,21.559999,21.639999,985400,19.402511
"47",21.530001,21.74,21.43,21.65,537900,19.411478
"48",22.02,22.620001,22,22.530001,1307100,20.20049
"49",22.48,22.530001,21.809999,21.84,1315700,19.581833
"50",21.75,21.780001,21.219999,21.379999,735400,19.169394
"51",21.200001,21.469999,21.15,21.219999,831300,19.025938
"52",21.27,21.440001,20.93,20.959999,429300,18.79282
"53",20.73,20.76,20.469999,20.469999,806700,18.353485
"54",20.379999,20.58,20.15,20.51,747000,18.389349
"55",20.639999,20.690001,20.24,20.280001,911600,18.183131
"56",20.43,20.950001,20.290001,20.9,1341100,18.739025
"57",20.85,20.940001,20.639999,20.65,855500,18.514874
"58",20.51,20.83,20.440001,20.51,1513200,18.389349
"59",20.58,20.709999,20.440001,20.5,2644900,18.497629
"60",20.610001,20.85,20.549999,20.85,1421300,18.813443
"61",21.030001,21.26,21.030001,21.16,1000300,19.093162
"62",21.120001,21.219999,20.93,21.040001,767300,18.984884
"63",21.040001,21.290001,21,21.25,676900,19.174372
"64",21.469999,21.5,21.25,21.450001,864300,19.354837
"65",21.469999,21.809999,21.41,21.690001,829400,19.571394
"66",21.85,22.1,21.790001,21.940001,587000,19.796975
"67",21.940001,22.139999,21.790001,22.01,773000,19.860137
"68",21.969999,22.1,21.790001,22.049999,571000,19.89623
"69",22.049999,22.18,21.940001,22.120001,442900,19.959394
"70",22.219999,22.690001,22.120001,22.5,1137000,20.302276
"71",22.57,22.77,22.24,22.719999,977900,20.500786
"72",22.719999,22.870001,22.57,22.629999,967300,20.419577
"73",22.620001,22.83,22.41,22.469999,947700,20.275205
"74",22.200001,22.52,22.15,22.17,632200,20.004509
"75",22.41,22.83,22.41,22.709999,707000,20.491763
"76",22.709999,22.719999,22.51,22.51,570800,20.311299
"77",22.530001,22.719999,22.190001,22.700001,668600,20.482741
"78",22.58,22.719999,22.379999,22.59,928200,20.383485
"79",22.719999,22.940001,22.370001,22.48,776400,20.284229
"80",22.73,22.950001,22.67,22.73,998200,20.50981
"81",22.73,22.92,22.190001,22.360001,915000,20.175951
"82",22.610001,22.93,22.6,22.9,989000,20.663205
"83",22.91,22.93,22.639999,22.780001,539900,20.554927
"84",22.9,22.9,22.370001,22.6,655900,20.392508
"85",22.6,22.940001,22.530001,22.860001,679600,20.627113
"86",22.85,22.99,22.700001,22.879999,669200,20.645158
"87",22.870001,22.99,22.67,22.940001,405000,20.699298
"88",23,23.48,22.93,23.389999,683800,21.105343
"89",23.42,23.6,23.299999,23.41,621300,21.12339
"90",23.67,23.809999,23.33,23.77,1214100,21.448227
"91",23.780001,23.82,23.540001,23.700001,1154100,21.385064
"92",23.42,23.690001,23.26,23.469999,1132400,21.177529
"93",23.559999,24.200001,23.49,23.959999,932500,21.619667
"94",24.049999,24.18,23.65,23.809999,591700,21.484319
"95",23.860001,23.870001,23.610001,23.76,358600,21.439203
"96",23.92,24.129999,23.809999,23.870001,598600,21.538459
"97",23.77,23.92,23.540001,23.549999,1135100,21.249715
"98",23.360001,23.370001,22.73,23.17,1415000,20.906832
"99",23.309999,23.35,22.809999,23,865000,20.753437
"100",22.93,23.18,22.85,23.15,1068200,20.888786
"101",23.280001,23.41,22.889999,23.049999,564700,20.798553
"102",23.26,23.52,23.24,23.35,741400,21.069251
"103",23.4,23.459999,22.950001,23.18,824200,20.915856
"104",23.48,23.629999,23.25,23.629999,484900,21.3219
"105",23.620001,23.74,23.34,23.59,899100,21.285808
"106",23.440001,23.559999,23.200001,23.52,769000,21.222646
"107",23.58,23.610001,23.110001,23.26,1189900,20.988042
"108",23.219999,23.370001,22.82,22.92,1229900,20.681252
"109",22.74,22.969999,22.690001,22.809999,1337400,20.581995
"110",22.68,22.68,22.35,22.52,1108800,20.320323
"111",22.620001,22.92,22.459999,22.49,680400,20.293252
"112",22.309999,22.48,22.01,22.25,900500,20.076695
"113",22.32,22.610001,22.26,22.459999,1285000,20.266182
"114",22.66,22.809999,22.610001,22.700001,832100,20.482741
"115",22.709999,22.879999,22.639999,22.870001,725300,20.636136
"116",22.719999,23.16,22.42,23.01,1571800,20.762461
"117",22.780001,22.99,22.58,22.889999,1071800,20.654181
"118",22.940001,23.4,22.940001,23.389999,850600,21.105343
"119",23.219999,23.389999,23.129999,23.26,544800,20.988042
"120",23.08,23.6,22.92,23.530001,1312700,21.231669
"121",23.299999,23.629999,23.23,23.25,1452600,20.979018
"122",23.440001,23.719999,23.440001,23.620001,1016000,21.432717
"123",23.68,24.049999,23.610001,23.98,1055600,21.759379
"124",23.93,24.459999,23.93,24.280001,1112300,22.031599
"125",24.26,24.33,24.08,24.139999,567200,21.904562
"126",24.389999,24.5,24.01,24.120001,875500,21.886416
"127",24.110001,24.23,23.959999,23.99,635000,21.768453
"128",24.15,24.280001,24.120001,24.190001,1003000,21.949933
"129",24.200001,24.389999,24.120001,24.32,796000,22.067894
"130",24.32,24.51,24.299999,24.389999,869800,22.131412
"131",24.379999,24.74,24.34,24.629999,1001300,22.349187
"132",24.57,24.870001,24.57,24.77,1199700,22.476223
"133",24.92,25.07,24.690001,24.99,1509700,22.67585
